,course_code,course_name,subclass,quota,vacancies,waiting_applicants,semester,AoI,seats
0,CCST5002,"Quantitative Literacy in Science, Technology and Society (Online) (SCCE)",A,100,95,5,First Semester,ST,90
1,CCST5037,Mathematics: A Cultural Heritage (Online) (SCCE),A,100,93,9,First Semester,ST,84
2,CCST5078,Health Literacy: Things to Know Before Consulting Dr. Google (Online) (HL),A,100,95,6,First Semester,ST,89
3,CCST9003,Everyday Computing and the Internet (SCCE),A,64,63,10,First Semester,ST,53
4,CCST9006,"Chasing Biomedical Miracles: Promises and Perils (SCCE, HL)",A,64,64,1,First Semester,ST,63
5,CCST9009,"Living with Stem Cells (SCCE, HL)",A,64,64,1,First Semester,ST,63
6,CCST9013,Our Living Environment (SCCE),A,64,58,7,First Semester,ST,51
7,CCST9016,Energy: Its Evolution and Environmental Impacts (SCCE),A,64,54,11,First Semester,ST,43
8,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),A,64,61,4,First Semester,ST,57
9,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),B,64,60,2,First Semester,ST,58
10,CCST9019,Understanding Climate Change (SCCE),A,64,59,12,First Semester,ST,47
11,CCST9020,Sustainable Development of the Built Environment (SCCE),A,64,63,10,First Semester,ST,53
12,CCST9022,"How the Mass Media Depicts Science, Technology and the Natural World (SCCE)",A,64,63,3,First Semester,ST,60
13,CCST9023,The Oceans: Science and Society (SCCE),A,64,62,2,First Semester,ST,60
14,CCST9025,"Genetics and Human Nature (SCCE, HL)",A,64,46,28,First Semester,ST,18
15,CCST9026,"Scientific Revolutions: Their Continuing Impact on Our World and Society (SCCE, UQM, UQM)",A,64,62,2,First Semester,ST,60
16,CCST9030,"Forensic Science: Unmasking Evidence, Mysteries and Crimes (SCCE)",A,64,56,10,First Semester,ST,46
17,CCST9032,"""Intelligent"" Architecture and Sustainability (SCCE, HL)",A,64,56,3,First Semester,ST,53
18,CCST9033,"Left Brain, Right Brain: Science and Myth (SCCE)",A,64,63,6,First Semester,ST,57
19,CCST9034,Living in a Hazardous World (SCCE),A,64,52,29,First Semester,ST,23
20,CCST9042,The World of Waves (SCCE),A,150,138,14,First Semester,ST,124
21,CCST9050,"Robot: Flesh, Machines, Intelligence (HL)",A,64,60,5,First Semester,ST,55
22,CCST9051,"What are We Made of – the Fundamental Nature of Matter (UQM, UQM)",A,64,64,3,First Semester,ST,61
23,CCST9056,The Force is with You: How Things Work (SCCE),A,64,57,8,First Semester,ST,49
24,CCST9062,Sports: For You and Hong Kong (HL),A,64,53,34,First Semester,ST,19
25,CCST9064,The World Changed by DNA,A,64,62,0,First Semester,ST,62
26,CCST9070,Nature-inspired Innovations,A,64,63,4,First Semester,ST,59
27,CCST9077,"The Quantum Revolution: From Secret Codes to Black Holes (UQM, UQM)",A,64,58,4,First Semester,ST,54
28,CCST9081,"All You've Ever wanted to Know About Humans (SCCE, UQM, HL, UQM, GSD)",A,64,57,6,First Semester,ST,51
29,CCST9083,Earth as Seen by Satellite (SCCE),A,64,63,3,First Semester,ST,60
30,CCST9084,"From Ancient Remedies to Modern Medicine: A Historical Perspective on Health Technology (UQM, UQM)",A,64,61,3,First Semester,ST,58
31,CCHU5065,"A Life Worth Living (Online) (SCCE, UQM, HL, UQM)",A,100,87,37,First Semester,HU,50
32,CCHU9001,"Designs on the Future (SCCE, HL)",A,64,59,11,First Semester,HU,48
33,CCHU9007,"Sexuality and Gender: Diversity and Society (SCCE, GSD)",A,64,55,15,First Semester,HU,40
34,CCHU9011,"Social Divisions in Contemporary Societies (SCCE, GSD)",A,64,63,1,First Semester,HU,62
35,CCHU9012,"Body, Beauty and Fashion (SCCE, GSD)",A,64,57,8,First Semester,HU,49
36,CCHU9013,Cultural Heritage in the Contemporary World,A,64,57,7,First Semester,HU,50
37,CCHU9018,Art and Ideas: East and West (CA),A,64,59,10,First Semester,HU,49
38,CCHU9022,Journey into Madness: Conceptions of Mental Health and Mental Illness (SCCE),A,64,59,10,First Semester,HU,49
39,CCHU9032,"Language, Institution and Power (SCCE, GSD)",A,64,63,3,First Semester,HU,60
40,CCHU9039,"Sexuality and Culture (SCCE, GSD)",A,64,42,54,First Semester,HU,-12
41,CCHU9049,"Reinventing Classical Music (SCCE, CA)",A,64,62,1,First Semester,HU,61
42,CCHU9051,"Mysteries of the Human Mind (UQM, HL, UQM)",A,64,59,7,First Semester,HU,52
43,CCHU9052,"The Best Things in Life: A Philosophical Exploration (SCCE, UQM, HL, UQM)",A,64,62,9,First Semester,HU,53
44,CCHU9053,"Contested Words, Disputed Symbols (SCCE, GSD)",A,64,61,7,First Semester,HU,54
45,CCHU9056,"Virtual Worlds, Real Bodies (SCCE, CA)",A,64,59,3,First Semester,HU,56
46,CCHU9060,"Games: Play, Learning and Society (SCCE)",A,64,50,52,First Semester,HU,-2
47,CCHU9062,"Buddhist Visions in World Cinema (SCCE, UQM, CA, UQM)",A,64,59,17,First Semester,HU,42
48,CCHU9068,"Shaping our World: Liberalism, Socialism and Nationalism",A,64,59,11,First Semester,HU,48
49,CCHU9070,Making Movies: Creative Expression on Screen (CA),A,40,38,8,First Semester,HU,30
50,CCHU9071,Man Up: Masculinities in the Making (GSD),A,64,60,10,First Semester,HU,50
51,CCHU9075,Buddhist Architecture: Monasteries in Cross-Cultural Developments,A,64,57,21,First Semester,HU,36
52,CCHU9078,"Contemplative Practices: From Personal Awareness to Social Well-being (UQM, HL, UQM)",A,64,63,8,First Semester,HU,55
53,CCHU9081,"Urban Legend: Fact, Myth and Reinterpretation",A,64,58,14,First Semester,HU,44
54,CCHU9082,24 Frames: Communicating Ideas through Film (CA),A,64,62,8,First Semester,HU,54
55,CCHU9083,"Spiritual, not Religious: Technologies of the Soul (UQM, UQM)",A,64,64,0,First Semester,HU,64
56,CCHU9085,When Animals Talk Back,A,64,63,10,First Semester,HU,53
57,CCHU9086,"Understanding Religious Worlds (UQM, UQM)",A,64,61,8,First Semester,HU,53
58,CCGL5005,"Poverty, Development, and the Next Generation: Challenges for a Global World (Online) (HL, GSD)",A,100,78,17,First Semester,GL,61
59,CCGL5062,"Shaping our Health Across Cultures (Online) (SCCE, HL)",A,100,89,16,First Semester,GL,73
60,CCGL6002,Material Ecologies: Local Practices and Global Impacts (SCCE),A,60,60,0,First Semester,GL,60
61,CCGL9001,Hong Kong Cinema through a Global Lens (CA),A,64,36,69,First Semester,GL,-33
62,CCGL9002,Hong Kong Culture in the Context of Globalization (SCCE),A,64,60,11,First Semester,GL,49
63,CCGL9007,"Youth in a Global World (SCCE, GSD)",A,64,53,38,First Semester,GL,15
64,CCGL9010,Sports Culture under Global Capitalism,A,64,58,18,First Semester,GL,40
65,CCGL9011,Media in the Age of Globalization,A,64,59,9,First Semester,GL,50
