,course_code,course_name,subclass,quota,vacancies,waiting_applicants,semester,AoI,seats
0,CCST5002,"Quantitative Literacy in Science, Technology and Society (Online) (SCCE)",A,100,100,5,First Semester,ST,95
1,CCST5037,Mathematics: A Cultural Heritage (Online) (SCCE),A,100,100,7,First Semester,ST,93
2,CCST5078,Health Literacy: Things to Know Before Consulting Dr. Google (Online) (HL),A,100,100,5,First Semester,ST,95
3,CCST9003,Everyday Computing and the Internet (SCCE),A,64,64,1,First Semester,ST,63
4,CCST9006,"Chasing Biomedical Miracles: Promises and Perils (SCCE, HL)",A,64,64,0,First Semester,ST,64
5,CCST9009,"Living with Stem Cells (SCCE, HL)",A,64,64,0,First Semester,ST,64
6,CCST9013,Our Living Environment (SCCE),A,64,64,6,First Semester,ST,58
7,CCST9016,Energy: Its Evolution and Environmental Impacts (SCCE),A,64,64,10,First Semester,ST,54
8,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),A,64,64,3,First Semester,ST,61
9,CCST9017,Hidden Order in Daily Life: A Mathematical Perspective (SCCE),B,64,64,4,First Semester,ST,60
10,CCST9019,Understanding Climate Change (SCCE),A,64,64,5,First Semester,ST,59
11,CCST9020,Sustainable Development of the Built Environment (SCCE),A,64,64,1,First Semester,ST,63
12,CCST9022,"How the Mass Media Depicts Science, Technology and the Natural World (SCCE)",A,64,64,1,First Semester,ST,63
13,CCST9023,The Oceans: Science and Society (SCCE),A,64,64,2,First Semester,ST,62
14,CCST9025,"Genetics and Human Nature (SCCE, HL)",A,64,64,18,First Semester,ST,46
15,CCST9026,"Scientific Revolutions: Their Continuing Impact on Our World and Society (SCCE, UQM, UQM)",A,64,64,2,First Semester,ST,62
16,CCST9030,"Forensic Science: Unmasking Evidence, Mysteries and Crimes (SCCE)",A,64,64,8,First Semester,ST,56
17,CCST9032,"""Intelligent"" Architecture and Sustainability (SCCE, HL)",A,64,64,8,First Semester,ST,56
18,CCST9033,"Left Brain, Right Brain: Science and Myth (SCCE)",A,64,64,1,First Semester,ST,63
19,CCST9034,Living in a Hazardous World (SCCE),A,64,64,10,First Semester,ST,54
20,CCST9042,The World of Waves (SCCE),A,150,150,12,First Semester,ST,138
21,CCST9050,"Robot: Flesh, Machines, Intelligence (HL)",A,64,64,4,First Semester,ST,60
22,CCST9051,"What are We Made of – the Fundamental Nature of Matter (UQM, UQM)",A,64,64,0,First Semester,ST,64
23,CCST9056,The Force is with You: How Things Work (SCCE),A,64,64,7,First Semester,ST,57
24,CCST9062,Sports: For You and Hong Kong (HL),A,64,64,11,First Semester,ST,53
25,CCST9064,The World Changed by DNA,A,64,64,2,First Semester,ST,62
26,CCST9070,Nature-inspired Innovations,A,64,64,1,First Semester,ST,63
27,CCST9077,"The Quantum Revolution: From Secret Codes to Black Holes (UQM, UQM)",A,64,64,6,First Semester,ST,58
28,CCST9081,"All You've Ever wanted to Know About Humans (SCCE, UQM, HL, UQM, GSD)",A,64,64,6,First Semester,ST,58
29,CCST9083,Earth as Seen by Satellite (SCCE),A,64,64,1,First Semester,ST,63
30,CCST9084,"From Ancient Remedies to Modern Medicine: A Historical Perspective on Health Technology (UQM, UQM)",A,64,64,3,First Semester,ST,61
31,CCHU5065,"A Life Worth Living (Online) (SCCE, UQM, HL, UQM)",A,100,100,13,First Semester,HU,87
32,CCHU9001,"Designs on the Future (SCCE, HL)",A,64,64,5,First Semester,HU,59
33,CCHU9007,"Sexuality and Gender: Diversity and Society (SCCE, GSD)",A,64,64,9,First Semester,HU,55
34,CCHU9011,"Social Divisions in Contemporary Societies (SCCE, GSD)",A,64,64,1,First Semester,HU,63
35,CCHU9012,"Body, Beauty and Fashion (SCCE, GSD)",A,64,64,6,First Semester,HU,58
36,CCHU9013,Cultural Heritage in the Contemporary World,A,64,64,7,First Semester,HU,57
37,CCHU9018,Art and Ideas: East and West (CA),A,64,64,5,First Semester,HU,59
38,CCHU9022,Journey into Madness: Conceptions of Mental Health and Mental Illness (SCCE),A,64,64,4,First Semester,HU,60
39,CCHU9032,"Language, Institution and Power (SCCE, GSD)",A,64,64,1,First Semester,HU,63
40,CCHU9039,"Sexuality and Culture (SCCE, GSD)",A,64,64,20,First Semester,HU,44
41,CCHU9049,"Reinventing Classical Music (SCCE, CA)",A,64,64,2,First Semester,HU,62
42,CCHU9051,"Mysteries of the Human Mind (UQM, HL, UQM)",A,64,64,5,First Semester,HU,59
43,CCHU9052,"The Best Things in Life: A Philosophical Exploration (SCCE, UQM, HL, UQM)",A,64,64,3,First Semester,HU,61
44,CCHU9053,"Contested Words, Disputed Symbols (SCCE, GSD)",A,64,64,3,First Semester,HU,61
45,CCHU9056,"Virtual Worlds, Real Bodies (SCCE, CA)",A,64,64,4,First Semester,HU,60
46,CCHU9060,"Games: Play, Learning and Society (SCCE)",A,64,64,14,First Semester,HU,50
47,CCHU9062,"Buddhist Visions in World Cinema (SCCE, UQM, CA, UQM)",A,64,64,5,First Semester,HU,59
48,CCHU9068,"Shaping our World: Liberalism, Socialism and Nationalism",A,64,64,5,First Semester,HU,59
49,CCHU9070,Making Movies: Creative Expression on Screen (CA),A,40,40,2,First Semester,HU,38
50,CCHU9071,Man Up: Masculinities in the Making (GSD),A,64,64,3,First Semester,HU,61
51,CCHU9075,Buddhist Architecture: Monasteries in Cross-Cultural Developments,A,64,64,7,First Semester,HU,57
52,CCHU9078,"Contemplative Practices: From Personal Awareness to Social Well-being (UQM, HL, UQM)",A,64,64,1,First Semester,HU,63
53,CCHU9081,"Urban Legend: Fact, Myth and Reinterpretation",A,64,64,6,First Semester,HU,58
54,CCHU9082,24 Frames: Communicating Ideas through Film (CA),A,64,64,2,First Semester,HU,62
55,CCHU9083,"Spiritual, not Religious: Technologies of the Soul (UQM, UQM)",A,64,64,0,First Semester,HU,64
56,CCHU9085,When Animals Talk Back,A,64,64,2,First Semester,HU,62
57,CCHU9086,"Understanding Religious Worlds (UQM, UQM)",A,64,64,3,First Semester,HU,61
58,CCGL5005,"Poverty, Development, and the Next Generation: Challenges for a Global World (Online) (HL, GSD)",A,100,100,22,First Semester,GL,78
59,CCGL5062,"Shaping our Health Across Cultures (Online) (SCCE, HL)",A,100,100,10,First Semester,GL,90
60,CCGL6002,Material Ecologies: Local Practices and Global Impacts (SCCE),A,60,60,0,First Semester,GL,60
61,CCGL9001,Hong Kong Cinema through a Global Lens (CA),A,64,64,27,First Semester,GL,37
62,CCGL9002,Hong Kong Culture in the Context of Globalization (SCCE),A,64,64,4,First Semester,GL,60
63,CCGL9007,"Youth in a Global World (SCCE, GSD)",A,64,64,10,First Semester,GL,54
64,CCGL9010,Sports Culture under Global Capitalism,A,64,64,7,First Semester,GL,57
65,CCGL9011,Media in the Age of Globalization,A,64,64,5,First Semester,GL,59
66,CCGL9016,Feeding the World (SCCE),A,64,64,5,First Semester,GL,59
67,CCGL9022,Globalization in Question: Human and Economic Consequences,A,64,64,8,First Semester,GL,56
68,CCGL9025,The Political Economy of Growth and Poverty in the World (HL),A,64,64,6,First Semester,GL,58
69,CCGL9030,"Financial Crises: History, Solutions, and Our Economic Futures (SCCE)",A,64,64,10,First Semester,GL,54
70,CCGL9031,Entrepreneurship: Global and Social Development (SCCE),A,64,64,10,First Semester,GL,54
