,teams,link
0,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png
1,France,https://futhead.cursecdn.com/static/img/22/nations/18.png
2,England,https://futhead.cursecdn.com/static/img/22/nations/14.png
3,Brazil,https://futhead.cursecdn.com/static/img/22/nations/54.png
4,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png
5,Argentina,https://futhead.cursecdn.com/static/img/22/nations/52.png
6,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png
7,Portugal,https://futhead.cursecdn.com/static/img/22/nations/38.png
8,Netherlands,https://futhead.cursecdn.com/static/img/22/nations/34.png
9,Belgium,https://futhead.cursecdn.com/static/img/22/nations/7.png
10,Denmark,https://futhead.cursecdn.com/static/img/22/nations/13.png
11,Uruguay,https://futhead.cursecdn.com/static/img/22/nations/60.png
12,Croatia,https://futhead.cursecdn.com/static/img/22/nations/10.png
13,Switzerland,https://futhead.cursecdn.com/static/img/22/nations/47.png
14,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png
15,Japan,https://futhead.cursecdn.com/static/img/22/nations/163.png
16,Mexico,https://futhead.cursecdn.com/static/img/22/nations/83.png
17,Serbia,https://futhead.cursecdn.com/static/img/22/nations/51.png
18,Ghana,https://futhead.cursecdn.com/static/img/22/nations/117.png
19,Morocco,https://futhead.cursecdn.com/static/img/22/nations/129.png
20,Poland,https://futhead.cursecdn.com/static/img/22/nations/37.png
21,Ecuador,https://futhead.cursecdn.com/static/img/22/nations/57.png
22,Korea Republic,https://futhead.cursecdn.com/static/img/22/nations/167.png
23,Australia,https://futhead.cursecdn.com/static/img/22/nations/195.png
24,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png
25,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png
26,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png
27,Cameroon,https://futhead.cursecdn.com/static/img/22/nations/103.png
28,Canada,https://futhead.cursecdn.com/static/img/22/nations/70.png
29,Colombia,https://futhead.cursecdn.com/static/img/22/nations/56.png
30,Iran,https://futhead.cursecdn.com/static/img/22/nations/161.png
31,Ivory Coast,https://futhead.cursecdn.com/static/img/22/nations/108.png
32,Nigeria,https://futhead.cursecdn.com/static/img/22/nations/133.png
33,Tunisia,https://futhead.cursecdn.com/static/img/22/nations/145.png
34,Austria,https://futhead.cursecdn.com/static/img/22/nations/4.png
35,Sweden,https://futhead.cursecdn.com/static/img/22/nations/46.png
36,Costa Rica,https://futhead.cursecdn.com/static/img/22/nations/72.png
37,Czech Republic,https://futhead.cursecdn.com/static/img/22/nations/12.png
38,Scotland,https://futhead.cursecdn.com/static/img/22/nations/42.png
39,Norway,https://futhead.cursecdn.com/static/img/22/nations/36.png
