,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,26.0,28.3,,38.0,418.0,,,62.0,52.0,114.0,61.0,1.0,2.0,48.0,3.0,1.63,1.37,3.0,1.61,2.97
Aston Villa,23.0,28.0,,38.0,419.0,,,46.0,35.0,81.0,45.0,1.0,1.0,64.0,3.0,1.21,0.92,2.13,1.18,2.11
Bradford City,27.0,30.4,,38.0,366.0,,,26.0,17.0,43.0,23.0,3.0,5.0,58.0,1.0,0.68,0.45,1.13,0.61,1.05
Charlton Ath,27.0,26.8,,38.0,418.0,,,47.0,33.0,80.0,44.0,3.0,3.0,47.0,2.0,1.24,0.87,2.11,1.16,2.03
Chelsea,26.0,28.1,,38.0,411.0,,,67.0,49.0,116.0,63.0,4.0,4.0,75.0,2.0,1.76,1.29,3.05,1.66,2.95
Coventry City,28.0,25.7,,38.0,418.0,,,33.0,22.0,55.0,30.0,3.0,3.0,76.0,2.0,0.87,0.58,1.45,0.79,1.37
Derby County,31.0,25.2,,38.0,415.0,,,36.0,24.0,60.0,34.0,2.0,3.0,79.0,3.0,0.95,0.63,1.58,0.89,1.53
Everton,31.0,27.0,,38.0,414.0,,,45.0,28.0,73.0,40.0,5.0,7.0,78.0,4.0,1.18,0.74,1.92,1.05,1.79
Ipswich Town,23.0,26.4,,38.0,438.0,,,56.0,39.0,95.0,53.0,3.0,3.0,32.0,2.0,1.47,1.03,2.5,1.39,2.42
Leeds United,24.0,24.6,,38.0,425.0,,,63.0,44.0,107.0,60.0,3.0,4.0,72.0,3.0,1.66,1.16,2.82,1.58,2.74
Leicester City,29.0,27.3,,38.0,425.0,,,39.0,31.0,70.0,36.0,3.0,3.0,57.0,2.0,1.03,0.82,1.84,0.95,1.76
Liverpool,24.0,25.4,,38.0,415.0,,,70.0,48.0,118.0,67.0,3.0,4.0,53.0,4.0,1.84,1.26,3.11,1.76,3.03
Manchester City,30.0,26.1,,38.0,434.0,,,38.0,28.0,66.0,36.0,2.0,2.0,68.0,3.0,1.0,0.74,1.74,0.95,1.68
Manchester Utd,28.0,26.9,,38.0,418.0,,,77.0,60.0,137.0,75.0,2.0,3.0,44.0,3.0,2.03,1.58,3.61,1.97,3.55
Middlesbrough,28.0,29.4,,38.0,438.0,,,43.0,25.0,68.0,40.0,3.0,3.0,73.0,6.0,1.13,0.66,1.79,1.05,1.71
Newcastle Utd,28.0,25.8,,38.0,424.0,,,42.0,27.0,69.0,37.0,5.0,7.0,48.0,5.0,1.11,0.71,1.82,0.97,1.68
Southampton,24.0,27.2,,38.0,433.0,,,40.0,28.0,68.0,40.0,0.0,0.0,49.0,1.0,1.05,0.74,1.79,1.05,1.79
Sunderland,27.0,26.4,,38.0,395.0,,,46.0,32.0,78.0,44.0,2.0,4.0,78.0,5.0,1.21,0.84,2.05,1.16,2.0
Tottenham,29.0,26.3,,38.0,418.0,,,46.0,31.0,77.0,43.0,3.0,4.0,47.0,3.0,1.21,0.82,2.03,1.13,1.95
West Ham,34.0,27.0,,38.0,409.0,,,45.0,30.0,75.0,41.0,4.0,4.0,70.0,2.0,1.18,0.79,1.97,1.08,1.87
