,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Arsenal,30.0,26.8,61.4,38.0,418.0,3420.0,38.0,73.0,61.0,134.0,69.0,4.0,5.0,,,68.3,64.3,53.3,117.6,915.0,2223.0,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1
Bournemouth,22.0,26.9,48.1,38.0,418.0,3420.0,38.0,45.0,36.0,81.0,42.0,3.0,3.0,,,38.8,36.4,29.1,65.5,702.0,1526.0,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72
Brighton,24.0,27.5,43.7,38.0,418.0,3420.0,38.0,33.0,25.0,58.0,28.0,5.0,7.0,,,37.0,31.8,26.2,58.0,523.0,1230.0,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53
Burnley,24.0,27.5,43.7,38.0,418.0,3420.0,38.0,35.0,26.0,61.0,35.0,0.0,0.0,,,32.3,32.3,23.6,55.9,431.0,1103.0,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47
Chelsea,26.0,26.7,55.6,38.0,418.0,3420.0,38.0,60.0,42.0,102.0,57.0,3.0,3.0,,,54.4,52.0,41.5,93.5,1045.0,1998.0,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46
Crystal Palace,28.0,27.1,45.2,38.0,418.0,3420.0,38.0,44.0,26.0,70.0,36.0,8.0,10.0,,,53.5,45.9,33.3,79.2,727.0,1308.0,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08
Everton,30.0,26.7,45.5,38.0,418.0,3420.0,38.0,42.0,26.0,68.0,37.0,5.0,8.0,,,40.5,34.1,24.7,58.8,477.0,1161.0,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55
Huddersfield,25.0,26.4,45.7,38.0,418.0,3420.0,38.0,25.0,19.0,44.0,23.0,2.0,2.0,,,31.3,29.8,23.7,53.5,627.0,1210.0,0.66,0.5,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41
Leicester City,27.0,27.2,48.0,38.0,418.0,3420.0,38.0,53.0,38.0,91.0,48.0,5.0,6.0,,,50.0,45.3,34.9,80.2,655.0,1271.0,1.39,1.0,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11
Liverpool,27.0,25.6,60.3,38.0,418.0,3420.0,38.0,82.0,58.0,140.0,80.0,2.0,3.0,,,72.9,70.6,52.7,123.3,982.0,2236.0,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24
Manchester City,25.0,26.4,71.0,38.0,418.0,3420.0,38.0,103.0,85.0,188.0,97.0,6.0,8.0,,,78.6,72.7,57.9,130.6,1308.0,2570.0,2.71,2.24,4.95,2.55,4.79,2.07,1.52,3.59,1.91,3.44
Manchester Utd,27.0,26.7,54.7,38.0,418.0,3420.0,38.0,67.0,53.0,120.0,66.0,1.0,3.0,,,55.7,53.3,40.5,93.8,920.0,1564.0,1.76,1.39,3.16,1.74,3.13,1.47,1.07,2.53,1.4,2.47
Newcastle Utd,27.0,25.6,41.7,38.0,418.0,3420.0,38.0,38.0,29.0,67.0,38.0,0.0,1.0,,,41.6,40.9,32.1,72.9,548.0,1145.0,1.0,0.76,1.76,1.0,1.76,1.1,0.84,1.94,1.08,1.92
Southampton,26.0,26.2,51.3,38.0,418.0,3420.0,38.0,36.0,23.0,59.0,33.0,3.0,3.0,,,39.9,37.6,29.5,67.0,694.0,1609.0,0.95,0.61,1.55,0.87,1.47,1.05,0.78,1.83,0.99,1.76
Stoke City,30.0,27.5,41.4,38.0,418.0,3420.0,38.0,34.0,28.0,62.0,34.0,0.0,3.0,,,36.5,34.1,27.4,61.4,477.0,1150.0,0.89,0.74,1.63,0.89,1.63,0.96,0.72,1.68,0.9,1.62
Swansea City,26.0,27.2,45.3,38.0,418.0,3420.0,38.0,27.0,20.0,47.0,26.0,1.0,1.0,,,31.6,30.8,20.2,51.0,596.0,1194.0,0.71,0.53,1.24,0.68,1.21,0.83,0.53,1.36,0.81,1.34
Tottenham,25.0,25.8,61.8,38.0,418.0,3420.0,38.0,70.0,51.0,121.0,68.0,2.0,3.0,,,64.7,62.3,49.0,111.3,862.0,2249.0,1.84,1.34,3.18,1.79,3.13,1.7,1.29,2.99,1.64,2.93
Watford,29.0,27.9,49.7,38.0,418.0,3420.0,38.0,42.0,27.0,69.0,39.0,3.0,6.0,,,45.0,40.2,29.2,69.4,647.0,1455.0,1.11,0.71,1.82,1.03,1.74,1.19,0.77,1.95,1.06,1.83
West Brom,24.0,29.1,40.7,38.0,418.0,3420.0,38.0,31.0,24.0,55.0,30.0,1.0,1.0,,,36.5,35.7,25.9,61.6,507.0,1106.0,0.82,0.63,1.45,0.79,1.42,0.96,0.68,1.64,0.94,1.62
West Ham,27.0,28.0,45.2,38.0,418.0,3420.0,38.0,48.0,29.0,77.0,46.0,2.0,4.0,,,36.7,33.6,24.9,58.4,523.0,1179.0,1.26,0.76,2.03,1.21,1.97,0.97,0.65,1.62,0.88,1.54
