Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
"STAR WARS Jedi: Survivor™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Electronic Arts Inc.,https://store.playstation.com/en-hk/product/UP0006-PPSA07783_00-APPLEJACKGAME000,55%,HK$549.00,HK$247.05,14/2/2024 02:59 PM UTC,4.51,9.4k,Action,28/4/2023
"EA SPORTS FC™ 24 Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",EA Swiss Sarl,https://store.playstation.com/en-hk/product/EP0006-PPSA13385_00-24STANDARDBUNDLE,65%,HK$549.00,HK$192.15,14/2/2024 03:59 PM UTC,3.48,51k,Sport,28/9/2023
"Hogwarts Legacy PS5 Version (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-PPSA01593_00-HOGWARTSLEGACY01,40%,HK$548.00,HK$328.80,14/2/2024 03:59 PM UTC,4.5,29k,Unique,9/2/2023
"Hogwarts Legacy PS4 Version (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-CUSA12824_00-HOGWARTSLEGACY01,40%,HK$468.00,HK$280.80,14/2/2024 03:59 PM UTC,4.5,29k,Unique,4/5/2023
Hogwarts Legacy: Dark Arts Pack (English/Chinese/Korean Ver.),Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-PPSA01593_00-STOR01ALLP00R0VP,40%,HK$160.00,HK$96.00,14/2/2024 03:59 PM UTC,5,7,Unique,9/2/2023
PGA TOUR 2K23 Michael Jordan Bonus Pack (Add-On),2K,https://store.playstation.com/en-hk/product/UP1001-PPSA04390_00-PGAMJBONUSBUNDLE,50%,HK$78.00,HK$39.00,14/2/2024 03:59 PM UTC,0,No,Sport,14/11/2022
"NBA 2K24 Kobe Bryant Edition for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",2K,https://store.playstation.com/en-hk/product/UP1001-CUSA42311_00-NBA2K24000000000,75%,HK$468.00,HK$117.00,14/2/2024 03:59 PM UTC,3.22,16k,Sport,7/9/2023
"NBA 2K24 Kobe Bryant Edition for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",2K,https://store.playstation.com/en-hk/product/UP1001-PPSA15301_00-NBA2K24000000000,75%,HK$548.00,HK$137.00,14/2/2024 03:59 PM UTC,3.22,16k,Sport,7/9/2023
"Call of Duty®: Modern Warfare® III - Cross-Gen Bundle (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",Activision,https://store.playstation.com/en-hk/product/HP0002-PPSA07953_00-CODMW3CROSSGEN01,30%,HK$548.00,HK$383.60,14/2/2024 03:59 PM UTC,4.04,276k,Action,2/11/2023
"ARMORED CORE™ VI FIRES OF RUBICON™ PS4＆PS5 (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06772_00-ARMOREDCORE60000,30%,HK$479.00,HK$335.30,14/2/2024 03:59 PM UTC,4.7,8.5k,"Action, Adventure",24/8/2023
"ARMORED CORE™ VI FIRES OF RUBICON™ - Deluxe Edition PS4＆PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06772_00-ARMOREDCORE6DX00,30%,HK$569.00,HK$398.30,14/2/2024 03:59 PM UTC,4.7,8.5k,Action,24/8/2023
"Cyberpunk 2077 (Simplified Chinese, English, Thai, Traditional Chinese)",CD PROJEKT S.A.,https://store.playstation.com/en-hk/product/HP4497-PPSA04028_00-00000000000000N5,40%,HK$398.00,HK$238.80,14/2/2024 03:59 PM UTC,4.32,93k,Role Playing Games,15/2/2022
"Cyberpunk 2077: Ultimate Edition (PS5) (Simplified Chinese, English, Thai, Traditional Chinese)",CD PROJEKT S.A.,https://store.playstation.com/en-hk/product/HP4497-PPSA04028_00-EXPANSION1B00000,25%,HK$568.00,HK$426.00,14/2/2024 03:59 PM UTC,4.32,93k,Role Playing Games,11/6/2023
Cyberpunk 2077: Phantom Liberty (English/Chinese/Japanese Ver.),CD PROJEKT S.A.,https://store.playstation.com/en-hk/product/HP4497-PPSA04028_00-EXPANSION1000000,15%,HK$238.00,HK$202.30,14/2/2024 03:59 PM UTC,4.6,5,"Role Playing Games, Unique",25/9/2023
"Ghost of Tsushima DIRECTOR’S CUT (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA03210_00-GHOSTDIRECTORPS5,58%,HK$568.00,HK$238.56,14/2/2024 03:59 PM UTC,4.54,142k,Role Playing Games,19/8/2021
"Ghost of Tsushima: Legends (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA03210_00-GHOSTSHIP0000000,Trial,HK$158.00,HK$79.00,14/2/2024 03:59 PM UTC,4.54,142k,Unique,2/9/2021
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA05033_00-GHOSTDCPS5PSPLUS,Catalogue,,Included,,4.54,142k,Role Playing Games,23/5/2022
"Ghost of Tsushima DIRECTOR’S CUT (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-CUSA16972_00-GHOSTDIRECTORPS4,67%,HK$468.00,HK$154.44,14/2/2024 03:59 PM UTC,4.54,142k,Role Playing Games,19/8/2021
"Diablo® IV - Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Activision,https://store.playstation.com/en-hk/product/UP0002-PPSA02442_00-DIVGAMEDELUXE001,40%,HK$709.00,HK$425.40,14/2/2024 03:59 PM UTC,4.15,7k,Unique,1/6/2023
"Diablo® IV - Standard Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Activision,https://store.playstation.com/en-hk/product/UP0002-PPSA02442_00-DIVGAMESTANDARD1,40%,HK$549.00,HK$329.40,14/2/2024 03:59 PM UTC,4.15,7k,Unique,5/6/2023
"Assassin’s Creed Mirage Master Assassin Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",UBISOFT,https://store.playstation.com/en-hk/product/JP0001-PPSA07232_00-EDITIONMENTOR000,30%,HK$698.00,HK$488.60,14/2/2024 03:59 PM UTC,4.01,13k,"Action, Adventure",13/11/2023
"Grand Theft Auto V: Premium Edition (English, Korean, Traditional Chinese)",Rockstar Games,https://store.playstation.com/en-hk/product/UP1004-CUSA00419_00-ASIA000000000014,50%,HK$249.00,HK$124.50,14/2/2024 03:59 PM UTC,4.52,671k,"Action, Adventure",18/12/2017
"Portal Knights (Simplified Chinese, English, Korean)",505 GAMES S.R.L.,https://store.playstation.com/en-hk/product/EP4040-CUSA06287_00-ASIAALKNIGHTS000,70%,HK$233.00,HK$69.90,14/2/2024 03:59 PM UTC,4.23,31k,Role Playing Games,18/5/2017
"Monster Hunter Rise + Sunbreak (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-PPSA08038_00-SBSET00000000000,50%,HK$458.00,HK$229.00,14/2/2024 03:59 PM UTC,4.55,5.2k,"Action, Role Playing Games",27/4/2023
Monster Hunter Rise: Sunbreak Deluxe Edition (Add-On),CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-PPSA08038_00-SBDELUXEEDITION0,40%,HK$388.00,HK$232.80,14/2/2024 03:59 PM UTC,0,No,"Action, Role Playing Games",27/4/2023
"Monster Hunter Rise + Sunbreak Deluxe (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-PPSA08038_00-SBDOUBLEDELUXE00,43%,HK$538.00,HK$306.66,14/2/2024 03:59 PM UTC,4.55,5.2k,"Action, Role Playing Games",27/4/2023
"MONSTER HUNTER: WORLD™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-CUSA09554_00-ASIAPLACEHOLDER0,50%,HK$156.00,HK$78.00,14/2/2024 03:59 PM UTC,4.72,108k,Action,25/1/2018
"Monster Hunter World: Iceborne Master Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-CUSA09554_00-ICEBORNME0000000,50%,HK$313.00,HK$156.50,14/2/2024 03:59 PM UTC,4.72,108k,Action,30/9/2019
"Monster Hunter World: Iceborne Master Edition Digital Deluxe (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-CUSA09554_00-ICEBORNMEDX00000,50%,HK$388.00,HK$194.00,14/2/2024 03:59 PM UTC,4.72,108k,Action,30/9/2019
Monster Hunter World: Iceborne Digital Deluxe (English/Chinese/Korean/Japanese Ver.),CAPCOM ASIA,https://store.playstation.com/en-hk/product/HP0102-CUSA09554_00-ICEBORNDX0000000,50%,HK$313.00,HK$156.50,14/2/2024 03:59 PM UTC,4.56,1.2k,Action,5/9/2019
"FINAL FANTASY XVI (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA10666_00-FF16ASIA00000002,30%,HK$568.00,HK$397.60,14/2/2024 03:59 PM UTC,4.52,19k,"Action, Role Playing Games",21/6/2023
