,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,my little airport,51,189801,https://open.spotify.com/artist/3yfDRplDZh03Y0fEeCd6B0,"['chinese indie', 'chinese indie rock', 'hong kong indie', 'hong kong rock', 'twee pop']",西湖沒有中秋,你說之後會找我,50,2018-01-01,127760,False,https://open.spotify.com/album/3dJsTKVZ2XG4hKu7OJ43Rt,https://open.spotify.com/track/12095GlriCNhVCbJV30vKw
2,Yoga Lin,53,558769,https://open.spotify.com/artist/1GPoTgvXd5OqZMF1akOsV2,"['chinese r&b', 'mandopop']",說謊,感官/世界,58,2009-10-30,264160,False,https://open.spotify.com/album/5xQZa2Pvi6JoQnZFzYaRAt,https://open.spotify.com/track/5EXpL9orGpIsscSyBgPdSx
3,Ronghao Li,57,650906,https://open.spotify.com/artist/0rTP0x4vRFSDbhtqcCqc8K,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",烏梅子醬,縱橫四海,68,2022-12-21,257251,False,https://open.spotify.com/album/2FbkaXZl2bM5YU7sZYkL6Q,https://open.spotify.com/track/4p9jbhD6N7HpuECGusu6iT
4,Ren Ran,58,313222,https://open.spotify.com/artist/6f4srX54JFrLNK4aTJe2Sc,"['chinese viral pop', 'mainland chinese pop']",飞鸟和蝉,Ren然,69,2021-07-27,296006,False,https://open.spotify.com/album/2eAqOiX0rfSelLMLDfz3RT,https://open.spotify.com/track/6XBL9naPxZjATbmGAWGJ9V
5,David Tao,55,423425,https://open.spotify.com/artist/40tNK2YedBV2jRFAHxpifB,"['chinese r&b', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']",就是愛妳,太平盛世,62,2005-08-01,261906,False,https://open.spotify.com/album/1XnDRFsNxG12nZPRXNcPkU,https://open.spotify.com/track/73eCSQ1DxQbaOnzy8PhKx3
6,WeiBird,55,334369,https://open.spotify.com/artist/7y3HnWCFEvWj4KM9GFSkiX,"['chinese r&b', 'mandopop', 'taiwan singer-songwriter']","如果可以 - 電影""月老""主題曲","如果可以 (電影""月老""主題曲)",72,2021-11-05,274400,False,https://open.spotify.com/album/6CGKNcn63JbPWljHtQi1L0,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au
7,Kiri T,38,15764,https://open.spotify.com/artist/1gpUtHqrKRAEy8w7ojs8l5,['chinese electropop'],世一 (不可一世) [feat. Kiri T],This is MC (Deluxe),52,2023-03-15,263873,False,https://open.spotify.com/album/7DsuhLnk7vEp4DZ4Awcybx,https://open.spotify.com/track/6tr0lpSi0fKE3hSM0vkdIe
8,Khalil Fong,49,305722,https://open.spotify.com/artist/1YrtUPrWcPfgdl9BaD9nhd,"['chinese r&b', 'mandopop']",特別的人,危險世界,59,2014-04-11,259079,False,https://open.spotify.com/album/3QR6UyUXB4KclN8HwSIhx9,https://open.spotify.com/track/0VTzUEuHYD8s7CgQ15cDPo
9,Zhou Shen,52,312728,https://open.spotify.com/artist/0BezPR1Hn38i8qShQKunSD,"['chinese talent show', 'mainland chinese pop']",Rubia,Rubia (Honkai Impact 3rd Impressions),59,2021-01-29,194558,False,https://open.spotify.com/album/2wnTaXGOcP03IOWWxET3ML,https://open.spotify.com/track/1cyGvXPHdd5yG0Hrf9Ms8x
10,Silence Wang,54,225677,https://open.spotify.com/artist/0PdNEiQ3MsJGCEgE13Tz60,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),67,2023-06-19,194423,False,https://open.spotify.com/album/096qr8b6jJm2oICXJF39tX,https://open.spotify.com/track/7cwB09xvS1ArgeXozdf3dU
11,Mao Buyi,52,342271,https://open.spotify.com/artist/6gvSKE72vF6N20LfBqrDmm,"['chinese minyao', 'chinese singer-songwriter', 'mainland chinese pop']",黑月光 - 電視劇《長月燼明》片尾曲,黑月光,60,2023-04-07,275780,False,https://open.spotify.com/album/6S9G5roK2PPHAycMF8YaRu,https://open.spotify.com/track/0yLa3c4X1cppuFvqQr1ikt
12,Ivana Wong,35,83276,https://open.spotify.com/artist/27WDr8Ky1j0LtgY82Ttk5S,"['cantopop', 'chinese audiophile']",我真的受傷了,國語情歌集,30,2008-01-01,213320,False,https://open.spotify.com/album/1t1Q05AtGJ7aOTjl9XerWx,https://open.spotify.com/track/5mNanSqILS25aPhiiN1fxy
13,张远,49,18115,https://open.spotify.com/artist/3PutidTQajzWO1gTetJReW,['chinese viral pop'],嘉宾,嘉宾,71,2020-10-26,333628,False,https://open.spotify.com/album/1orkuJNHCx51s1B0lWh3Ta,https://open.spotify.com/track/1IVj6CsBbTgOEpo0W6hgwN
14,Stream of Praise,48,61648,https://open.spotify.com/artist/4doyJAIKxTGN2II0QpgUjT,"['chinese worship', 'japanese worship', 'korean worship']",能不能,新的事將要成就 (敬拜讚美專輯20),45,2015-07-01,229133,False,https://open.spotify.com/album/5NApTKCqIXikSqrysvM8Qb,https://open.spotify.com/track/6d2QLUP8pubdaxWwHMjmn1
15,队长,54,118753,https://open.spotify.com/artist/4SpsVETdnMLwPHyOW0FlQz,['chinese viral pop'],哪里都是你,哪里都是你,67,2017-07-03,222683,False,https://open.spotify.com/album/6C7UyN1fTxNKDeU6X4fYsH,https://open.spotify.com/track/3QP3cYE3qnplFueLKNVsbM
