,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,YOASOBI,76,5945744,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,"['j-pop', 'japanese teen pop']",アイドル,アイドル,91,2023-04-12,213233,False,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt
2,Vaundy,70,1731531,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,"['j-pop', 'japanese soul']",怪獣の花唄,strobo,81,2020-05-27,224806,False,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx
3,Yuuri,68,1945640,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",ベテルギウス,壱,77,2022-01-12,230600,False,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
4,Macaroni Empitsu,64,1052832,https://open.spotify.com/artist/1t17z3vfuc82cxSDMrvryJ,"['anime', 'j-pop', 'japanese alternative rock', 'japanese teen pop']",なんでもないよ、,ハッピーエンドへの期待は,74,2022-01-12,219252,False,https://open.spotify.com/album/2pJn8hcJhOliBQipPHKsaz,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl
5,Fujii Kaze,72,2399516,https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi,['japanese teen pop'],Shinunoga E-Wa,HELP EVER HURT NEVER,87,2020-05-20,185573,False,https://open.spotify.com/album/1OojCidx0eoPKch2M0Kz31,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW
6,Ado,70,2793612,https://open.spotify.com/artist/6mEQK9m2krja6X1cfsAjfl,"['j-pop', 'japanese teen pop']",New Genesis,UTA'S SONGS ONE PIECE FILM RED,70,2022-08-10,226813,False,https://open.spotify.com/album/7Ixqxq13tWhrbnIabk3172,https://open.spotify.com/track/6A8NfypDHuwiLWbo4a1yca
7,HIRAIDAI,63,1426230,https://open.spotify.com/artist/7JthQ6zwNzfxRfIEjp6wUs,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']","Stand by me, Stand by you.",Life Goes On,67,2021-02-10,193012,False,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
8,RADWIMPS,70,3500219,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",Suzume,Suzume (Motion Picture Soundtrack),73,2022-11-10,238560,False,https://open.spotify.com/album/6Ar5HxNWXtvraqs7FI7bYq,https://open.spotify.com/track/1n1y2kFPISpF9WGD3JaFo5
9,Saucy Dog,63,905879,https://open.spotify.com/artist/4WqXqPmUuenMIr4QaFrZXN,"['j-indie', 'j-pop', 'japanese alternative rock']",Cinderella Boy,Lazy Sunday,55,2021-08-25,234323,False,https://open.spotify.com/album/2EqGqT6xIeNpaJJe5yjFr3,https://open.spotify.com/track/4UALTBWz0OdQcjbTsjFceV
10,ONE OK ROCK,68,5038425,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']",Wherever you are,Niche Syndrome,67,2010-06-09,295600,False,https://open.spotify.com/album/4OKBuE9F8MTCV7nnsBRcsK,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
