,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,QUEEN BEE,60,302723,https://open.spotify.com/artist/6whFEcaV75AmQMiwlfaxvc,"['anime rock', 'dance rock', 'j-rock']",メフィスト,メフィスト,80,2023-04-20,227320,False,https://open.spotify.com/album/4GlhyWqXM0Ir8083Ue9Je0,https://open.spotify.com/track/45LUKiex0D78VuhP3Oz6mG
2,WEDNESDAY CAMPANELLA,52,249338,https://open.spotify.com/artist/0bp9CvkjQYhUJvWRHjFRWI,"['hyperpop', 'japanese dance pop', 'japanese electropop']",Edison,Neon,49,2022-05-25,193510,False,https://open.spotify.com/album/2B5aKWrCrb8XNAtufGyxm8,https://open.spotify.com/track/0N4FgQoqMlmMPikactFwtE
3,BALLISTIK BOYZ from EXILE TRIBE,45,90683,https://open.spotify.com/artist/1dZ8IZ8BXP30yhG50TH06o,"['j-pop boy group', 'japanese dance pop']",Ding Ding Dong,Ding Ding Dong,52,2023-05-31,204401,False,https://open.spotify.com/album/4Go0pUF5MNArW9Wg1XLbCf,https://open.spotify.com/track/34SdlF91Zn6as6hGC7H8Md
4,DA PUMP,45,363184,https://open.spotify.com/artist/3NRXKeatDxKe4apH6XawKX,"['j-pop', 'j-pop boy group', 'japanese dance pop', 'okinawan pop']",if...,if...,59,2000-09-27,218800,False,https://open.spotify.com/album/1KwFfjS6VzlollGPr84mAm,https://open.spotify.com/track/78LQTUp1f8APWgFNZNOD5y
5,LOZAREENA,39,28068,https://open.spotify.com/artist/5lRAsaQysYDBzpa1CT0qwV,['japanese dance pop'],I knew,I knew,54,2023-04-19,289960,False,https://open.spotify.com/album/2h744OhmRWGvyBqhRxcKMa,https://open.spotify.com/track/22fzmCpT5dx66zMfbrsOEL
6,Hiroomi Tosaka,39,186843,https://open.spotify.com/artist/4lsSLCTKrmfULsRivqAShx,['japanese dance pop'],BLUE SAPPHIRE,Who Are You?,44,2020-01-08,212300,False,https://open.spotify.com/album/7llwdzqjvqs5bc1VNuLTH3,https://open.spotify.com/track/7hi6jXqicGD6MIb5H8Ktwk
7,Yasutaka Nakata,39,127195,https://open.spotify.com/artist/2qNI3aGlywRzTkRBOy9YzG,"['bitpop', 'japanese dance pop', 'japanese electropop']",NANIMONO (feat. 米津玄師),Digital Native,43,2018-02-05,246133,False,https://open.spotify.com/album/6NVNEoqidz3c49nCCiYoUf,https://open.spotify.com/track/5uodb4Kj8xSuxurunWcbPJ
8,Banty Foot,35,6763,https://open.spotify.com/artist/4WBZSqhp3CgTL5XUgfXvBm,"['j-reggae', 'japanese dance pop']",Light It Up,#CCC,42,2021-06-30,213123,True,https://open.spotify.com/album/2fanTA8fD1fGIEHrdPCaq0,https://open.spotify.com/track/4aKlQfM58EYIYETc4mEATD
9,KIRA,34,13474,https://open.spotify.com/artist/384MAG8fZLUBFQoO2KgDVG,"['j-reggae', 'japanese dance pop']",Bye Bye Boy,Naked,38,2018-06-06,178466,False,https://open.spotify.com/album/73GyVRc5FkJUbB7JRoZKZq,https://open.spotify.com/track/0lIBp6lovie7jxCKxHQGXL
10,EMMA WAHLIN,35,10454,https://open.spotify.com/artist/5vLM0jSwj4TMVhnWuocoaD,['japanese dance pop'],Make A Move,Make A Move,56,2019-02-06,189146,False,https://open.spotify.com/album/2wyItp4YIkkGJa3NqL0hoh,https://open.spotify.com/track/4D9QMZ3n8OupOPdxU0MMBS
11,Maharajan,36,29765,https://open.spotify.com/artist/5N22lbGgYS8PIR9or5LIIF,['japanese dance pop'],くらえ!テレパシー,くらえ!テレパシー,51,2023-01-05,176915,False,https://open.spotify.com/album/5QPurrlpbc5HWphTwfCG4i,https://open.spotify.com/track/7Jj6eiasbU7LVPXqZKBaNf
12,Shuta Sueyoshi,35,81290,https://open.spotify.com/artist/3NSKTb4t386KNoI3bP9XVV,['japanese dance pop'],HACK,WONDER HACK,53,2019-01-16,192000,False,https://open.spotify.com/album/661ZDp52CvN6lXdzwMLQJ6,https://open.spotify.com/track/6sUsZUvJ1RxXK80EG3DQM2
13,CAPSULE,44,104003,https://open.spotify.com/artist/61KJdJU38zrAW4c3PI9C9N,"['japanese dance pop', 'japanese electropop']",TICTAC,L.D.K. Lounge Designers Killer,64,2005-09-21,150920,False,https://open.spotify.com/album/2QKJQBS7ElKCcq7GoE601a,https://open.spotify.com/track/3M1RQSSxQiZs8fooz4Qo0y
14,CrazyBoy,32,75556,https://open.spotify.com/artist/1hGDB3W5mvP1ETGu2aU5WM,['japanese dance pop'],BREAK THE LAW feat. CrazyBoy,BREAK THE LAW,28,2023-04-07,217066,False,https://open.spotify.com/album/4IUyf1ppMMiVItgRDrHrwe,https://open.spotify.com/track/2cqc18OwdBgDzqVtsJxjcL
15,SWAY,31,13655,https://open.spotify.com/artist/64E9KDP02XA0o13WFx2MFL,['japanese dance pop'],FUNK JUNGLE,HiGH & LOW ORIGINAL BEST ALBUM,34,2016-06-15,168720,False,https://open.spotify.com/album/2tljvKsdzlZ5nPQvkCfiqi,https://open.spotify.com/track/4Ua4iLhEM14iafQ4fFlEmS
16,AmPm,41,53101,https://open.spotify.com/artist/5Xcbv83o11Ez2XPHa1n8Pf,['japanese dance pop'],Best Part Of Us,Best Part Of Us,55,2017-05-16,241040,True,https://open.spotify.com/album/431OaLkgYn4TJU2JynSAJm,https://open.spotify.com/track/0t8zIi7cwdADvWmkIWE1sp
17,Ryuji Imaichi,30,130547,https://open.spotify.com/artist/70OLJdY31J0j1JgNcLsvSc,['japanese dance pop'],Catch my Light,LIGHT>DARKNESS,32,2018-08-01,220626,False,https://open.spotify.com/album/6ng558k2FjrsB8O3YGngzY,https://open.spotify.com/track/0aA5bXlKf0JaAdsJkZzpaW
18,DEAN FUJIOKA,41,68042,https://open.spotify.com/artist/59m6Auk4r76d16XDpOznCY,['japanese dance pop'],History Maker,History Maker,62,2016-10-07,190044,False,https://open.spotify.com/album/2kJJe8xSLSgh5i61Ra5MQE,https://open.spotify.com/track/3QjIdDDKoZRyfWDKZC4Ayb
19,80KIDZ,30,22026,https://open.spotify.com/artist/6ah9gnwgMJ1PMKhkKOwH1D,"['japanese dance pop', 'japanese electropop']",Memories,Memories,34,2023-05-24,171045,False,https://open.spotify.com/album/6W69O0ITYeU5NJfmMgq6Q9,https://open.spotify.com/track/7vDvrWD0b8Ff5BF4zU00Pl
20,ØMI,32,40923,https://open.spotify.com/artist/6hgAxdLyAScworv2mZucqK,['japanese dance pop'],You (Prod. SUGA of BTS),ANSWER...,42,2022-02-02,187364,False,https://open.spotify.com/album/4aYmsSl7O2JOkPvY9nCq4s,https://open.spotify.com/track/6JLms20xagDkDJ1K9bUqDV
21,Charly Black,60,331019,https://open.spotify.com/artist/5sK8BsvyDl4TFA6KaBf8or,"['dancehall', 'jamaican dancehall']",Gyal You a Party Animal,Gyal You a Party Animal,72,2015,214455,False,https://open.spotify.com/album/0AuidICCpJQTwjMajndF4h,https://open.spotify.com/track/6bOLRTULQUiXeVnxOIPZVA
22,Unknöwn Kun,27,16789,https://open.spotify.com/artist/5zfNAxbKj2jx54fC0GzNMl,['japanese dance pop'],Keep Tryin',Keep Tryin',45,2019-05-01,198545,False,https://open.spotify.com/album/6cTayMy2qurZfOwwdeZKwO,https://open.spotify.com/track/2vZBoKOsY1GBvgKOBSNOX5
23,Leola,27,34623,https://open.spotify.com/artist/5WpHAEOowRK9peCx0CIdMy,['japanese dance pop'],Let it fly,Hello! My name is Leola.,43,2017-07-12,329386,False,https://open.spotify.com/album/1DmZyD3fdQbFtKUwC89d4f,https://open.spotify.com/track/2rtNLROI612bwP0D2bMXsh
24,Freshlyground,60,61150,https://open.spotify.com/artist/7AcV1lk8Zrgo1691PDWEle,"['african rock', 'afropop', 'south african jazz', 'south african pop', 'south african pop dance']",Nomvula (After the Rain),Nomvula,39,2004-09-03,283826,False,https://open.spotify.com/album/2kKXMbWFVcqYms0Y5WsjFx,https://open.spotify.com/track/6S1cd5F5cpflZq6bAXQmg1
25,Maika Loubté,30,15054,https://open.spotify.com/artist/0wMkBz97F3SE4yNz0y2OOz,['japanese dance pop'],薄明,crepuscular,41,2021-12-03,265040,False,https://open.spotify.com/album/65xrdCFgvAorZQB8tONZoc,https://open.spotify.com/track/5rpjOYav3yLcWspvPZ5Crd
26,Akane,25,3085,https://open.spotify.com/artist/0nKpqFaNG7C0qiGZHoqpSM,"['j-reggae', 'japanese dance pop']",COMAGAIN,AkaneAMG,7,2019-01-16,238001,False,https://open.spotify.com/album/3wyDeWi9A0PwceNCsH60B4,https://open.spotify.com/track/6fhOBBhtRlQQ5fpou3Nrpp
27,Beenie Man,58,467258,https://open.spotify.com/artist/4L3GTE04bW5N7azA9QPhjA,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Flow Natural,Top Of The Line,72,2006-01-01,173866,False,https://open.spotify.com/album/0GERlfOuy87BuTAcwuO5Kb,https://open.spotify.com/track/2oeyvFG0mFFDHUxhPVObNk
28,FAKY,32,59115,https://open.spotify.com/artist/5oLb41tSEDtY357HGJCIK9,['japanese dance pop'],four,four,47,2018-07-11,213307,False,https://open.spotify.com/album/46SKYBNEHeuSmQfNmURKSK,https://open.spotify.com/track/5q0JLhzbWHNOOAXeUCI3mG
29,THREE1989,30,61687,https://open.spotify.com/artist/43pUK083tLA3lk3JQr5ATn,"['japanese dance pop', 'japanese r&b', 'japanese soul']",mint vacation,mint vacation / c/w Rambling Rose,37,2018-07-19,267378,False,https://open.spotify.com/album/1cnyIs31lm6mMLhw7yRBoW,https://open.spotify.com/track/3S2YC17ITlwficGzLPMRXB
30,Tokyo Machine,49,201206,https://open.spotify.com/artist/3bwENxqj9nhaAI3fsAwmv9,['japanese dance pop'],PLAY,PLAY,56,2019-02-28,183949,False,https://open.spotify.com/album/1dVqxYQRLfTQt1DFkUfY1e,https://open.spotify.com/track/1fRadkuwHEqwMuiY5ns15C
31,SARA-J,27,7831,https://open.spotify.com/artist/5o11pS7iIyQ2H4Uw587jyL,"['japanese dance pop', 'japanese r&b']",I Used To Be,I Used To Be,34,2020-02-05,176603,False,https://open.spotify.com/album/0tE85L1MwllWbclOOPr3d3,https://open.spotify.com/track/0r1ti3WMa3Bu1NdhWT1M1F
32,Flying Lotus,54,741896,https://open.spotify.com/artist/29XOeO6KIWxGthejQqn793,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'indietronica', 'instrumental hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",Crust,Yasuke,61,2021-04-30,133520,False,https://open.spotify.com/album/0tOVrY13drf4AGBWtSIkgX,https://open.spotify.com/track/6ri6ZQWxqIZgYd2RfsnKNa
