,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,Nogizaka46,60,1197802,https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq,"['j-idol', 'j-pop', 'j-pop girl group']",月の大きさ,バレッタ TypeD,59.0,2013-11-27,236293.0,False,https://open.spotify.com/album/2NkG7Ei5PObrNHHcTgXLgF,https://open.spotify.com/track/4bY2oZGA5Br3pTE1Jd1IfY
2,BiSH,55,368684,https://open.spotify.com/artist/0ebinq3ZTOQAJNag4sBTJj,"['anime', 'idol rock', 'j-pixie', 'j-pop', 'j-rock']",innocent arrogance,innocent arrogance,63.0,2023-04-02,211911.0,False,https://open.spotify.com/album/1VoA8bMAIB5BRjSMqaFQkP,https://open.spotify.com/track/7JgBlEV4AbeHVhaTczGdTg
3,Seiko Matsuda,52,356160,https://open.spotify.com/artist/3E5NLQpQbd0eJ18XO9zC0h,"['idol kayo', 'japanese singer-songwriter', 'kayokyoku', 'techno kayo']",赤いスイートピー,BIBLE,57.0,1980,218533.0,False,https://open.spotify.com/album/0dgfL1KfvwumtF2RH4gNZL,https://open.spotify.com/track/0b5iSriqvDLmd6QSWkalr3
4,Akina Nakamori,51,410208,https://open.spotify.com/artist/7140bcJ0ZySe314nUfOo1J,"['idol kayo', 'j-pop', 'japanese new wave', 'kayokyoku', 'techno kayo']",DESIRE -情熱- - 30th anniversary mix,ベスト・コレクション 〜ラブ・ソングス&ポップ・ソングス〜,53.0,2012-08-01,264253.0,False,https://open.spotify.com/album/6omKm2a8Vc6KDPqVr06LZT,https://open.spotify.com/track/7mGrHfdQmP4ChPzrpCUF5B
5,AKB48,53,434225,https://open.spotify.com/artist/01wau5CL3Z1vfJJWkzBkqg,"['48g', 'j-idol', 'j-pop', 'j-pop girl group']",Seventeen,SET LIST〜グレイテストソングス〜完全盤,59.0,2006,225253.0,False,https://open.spotify.com/album/36cRSYRGxDJHLRqIOV1dvQ,https://open.spotify.com/track/7ntInJEUj7yhOYVFLLKK4t
6,Mariya Takeuchi,54,642282,https://open.spotify.com/artist/3WwGRA2o4Ux1RRMYaYDh7N,"['classic city pop', 'idol kayo', 'japanese singer-songwriter']",Plastic Love,Expressions,68.0,2008-05-21,294493.0,False,https://open.spotify.com/album/3lBX7AtzE4JoZaAIBLptRx,https://open.spotify.com/track/7rU6Iebxzlvqy5t857bKFq
7,Perfume,52,747652,https://open.spotify.com/artist/2XMxWKPKCxoLkSdpCViCnr,"['bitpop', 'j-idol', 'j-pop', 'j-pop girl group', 'japanese electropop', 'shibuya-kei']",エレクトロ・ワールド - Album-mix,Perfume~Complete Best~,56.0,2006-08-02,261720.0,False,https://open.spotify.com/album/73vkeEI6YNUcShqIDVQiNK,https://open.spotify.com/track/3vk4V4vwotEvP16U1cM0HQ
8,Keyakizaka46,48,612857,https://open.spotify.com/artist/03E7w8NrBr4lNCK33TQyil,"['j-idol', 'j-pop', 'j-pop girl group']",サイレントマジョリティー,真っ白なものは汚したくなる (Complete Edition),58.0,2017-07-19,265826.0,False,https://open.spotify.com/album/7qPeOcSdZjHCaHcG5L6xPC,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5
9,Shizuka Kudo,44,122689,https://open.spotify.com/artist/7sU5H7XSVz0GC1RyM7jY2W,"['classic j-pop', 'idol kayo']",Doukoku,Rise Me,33.0,1993,285306.0,False,https://open.spotify.com/album/1MJbSdsGgECWrne38f5bL3,https://open.spotify.com/track/5A8Ol39jeXCzbuFQbEdRRF
10,Momoiro Clover Z,46,201847,https://open.spotify.com/artist/3Zl0EsuYV23OgNw6WqGelN,"['denpa-kei', 'idol rock', 'j-idol', 'j-pop girl group']",ニッポン笑顔百景,ニッポン笑顔百景,59.0,2012-09-05,234573.0,False,https://open.spotify.com/album/3xafGKlmb5CcZsqWInSU7d,https://open.spotify.com/track/7HvLwBlGXvaWJZpg1IqwbS
