,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,Mrs. GREEN APPLE,73,2764561,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,"['anime rock', 'j-pop', 'j-rock']",ダンスホール,ダンスホール,79,2022-05-23,203149,False,https://open.spotify.com/album/3OyEc77lPQ8QOWMIWvZl08,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz
2,YOASOBI,76,5945744,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,"['j-pop', 'japanese teen pop']",アイドル,アイドル,91,2023-04-12,213233,False,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt
3,Vaundy,70,1731531,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,"['j-pop', 'japanese soul']",怪獣の花唄,strobo,81,2020-05-27,224806,False,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx
4,back number,69,3945938,https://open.spotify.com/artist/6rs1KAoQnFalSqSU4LTh8g,"['j-pop', 'j-rock']",水平線,ユーモア,74,2023-01-17,288013,False,https://open.spotify.com/album/4Owee1i5rIFJvQczZXSdiQ,https://open.spotify.com/track/3RvdkNMcSy71m0aT6UF9Uf
5,OFFICIAL HIGE DANDISM,70,5792865,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",Tattoo,Tattoo,63,2023-04-21,288099,False,https://open.spotify.com/album/07hAM6iu7A39wR2zwfaoCL,https://open.spotify.com/track/6wffxmLgeZTbvS1hYvLkht
6,Yuuri,68,1945640,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",ベテルギウス,壱,77,2022-01-12,230600,False,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
7,Kenshi Yonezu,71,5112482,https://open.spotify.com/artist/1snhtMLeb2DYoMOcVbb8iB,"['anime', 'j-pop']",KICK BACK,KICK BACK,84,2022-10-12,193495,False,https://open.spotify.com/album/6RH1fEIz8HVXregzz5Xp2B,https://open.spotify.com/track/3khEEPRyBeOUabbmOPJzAG
8,Aimyon,67,4725930,https://open.spotify.com/artist/5kVZa4lFUmAQlBogl1fkd6,"['j-acoustic', 'j-pop']",ai no hana,ai no hana,53,2023-04-05,242792,False,https://open.spotify.com/album/05BmOU0qWEmrkLoGxwoV1p,https://open.spotify.com/track/2piySGAWgVwsRKm60SfOmF
9,SPITZ,66,1954189,https://open.spotify.com/artist/5kjGRHClVacSyllOUqU1S0,"['classic j-pop', 'j-pop', 'j-rock']",美しい鰭,ひみつスタジオ,77,2023-05-17,211920,False,https://open.spotify.com/album/5u95y591xPiCFY3UI5gHqY,https://open.spotify.com/track/1H3qOzheTPhE7aVvJOWfvA
10,Ado,70,2793612,https://open.spotify.com/artist/6mEQK9m2krja6X1cfsAjfl,"['j-pop', 'japanese teen pop']",New Genesis,UTA'S SONGS ONE PIECE FILM RED,70,2022-08-10,226813,False,https://open.spotify.com/album/7Ixqxq13tWhrbnIabk3172,https://open.spotify.com/track/6A8NfypDHuwiLWbo4a1yca
