,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,Beenzino,55,223825,https://open.spotify.com/artist/7IrDIIq3j04exsiF3Z7CPg,"['k-rap', 'korean r&b']",Travel Again (Feat. Cautious Clay),NOWITZKI,57,2023-07-03,257066,True,https://open.spotify.com/album/2ZcI7Sbm7s2yz8l8wvIyUq,https://open.spotify.com/track/1bPMPSOQPIinoU6ZBDWtgb
2,V,66,14088149,https://open.spotify.com/artist/3JsHnjpbhX4SnySpvpa9DK,"['j-division', 'korean ost']",Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",84,2021-12-24,209946,False,https://open.spotify.com/album/4210mSQ3r10AsJMZEYAH5l,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
3,Yerin Baek,56,568634,https://open.spotify.com/artist/6dhfy4ByARPJdPtMyrUYJK,['korean pop'],Here I Am Again,"Crash Landing on You (Original Television Soundtrack), Pt. 4",63,2020-01-12,234840,False,https://open.spotify.com/album/2qCB3BnsOtq3Rja6nPslrk,https://open.spotify.com/track/1uZ5Ulb2qfle3HbqB12vNQ
4,10cm,54,500369,https://open.spotify.com/artist/6zn0ihyAApAYV51zpXxdEp,['korean pop'],Drawer,"Our Beloved Summer (Original Television Soundtrack), Pt.1",61,2021-12-07,237266,False,https://open.spotify.com/album/1EZNobvRioRsfH5Av4fjBv,https://open.spotify.com/track/1OQ3PoRZRtE7RH0NIh3p1O
5,Jay Park,64,1983578,https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI,"['k-pop', 'k-rap', 'korean r&b']",MOMMAE,Worldwide,71,2015-11-05,204991,True,https://open.spotify.com/album/5vESroqrGYDxDPAwUceQxf,https://open.spotify.com/track/1LNlfvPQmB0cqYJQQskZ8x
6,CHANGMO,55,304255,https://open.spotify.com/artist/3hvinNZRzTLoREmqFiKr1b,"['k-rap', 'korean r&b']",METEOR,Boyhood,51,2019-11-29,197096,False,https://open.spotify.com/album/7ybEq8ZLOtsH2VwdIrjNri,https://open.spotify.com/track/4g6XOg9rvB55GCTJcYchOG
7,Leellamarz,48,130046,https://open.spotify.com/artist/79g2STpP2iV1xfgHuhrhX0,"['k-rap', 'korean r&b']",Don′t do That,TOYSTORY3,50,2022-05-20,135120,False,https://open.spotify.com/album/2g9x0qCPJGKzfxqrVcgrVy,https://open.spotify.com/track/5OiD0uUNxZkSyG3opReDlx
8,JANNABI,51,385050,https://open.spotify.com/artist/2SY6OktZyMLdOnscX3DCyS,['korean indie rock'],for lovers who hesitate,LEGEND,65,2019-03-13,265000,False,https://open.spotify.com/album/28GiIRNu9nEugqnUci3aIC,https://open.spotify.com/track/5BqwC9kOBbqYkzdOKeXFFk
9,GIRIBOY,52,347414,https://open.spotify.com/artist/2MtHuR0W2idZdF7x4wddqq,"['k-rap', 'korean r&b']",DIE DIE (Feat. CHOILB) (STUDY GROUP X GIRIBOY),DIE DIE (Feat. CHOILB) (STUDY GROUP X GIRIBOY),50,2021-06-04,192000,False,https://open.spotify.com/album/2P4nB1fYZbYZUY5xcw8glj,https://open.spotify.com/track/6e2LjOQ7SyZuYIOGeZlIkh
10,The Black Skirts,55,306455,https://open.spotify.com/artist/6WeDO4GynFmK4OxwkBzMW8,"['k-indie', 'k-rock', 'korean dream pop', 'korean indie rock']",EVERYTHING,TEAM BABY,74,2017-05-30,293000,False,https://open.spotify.com/album/4x4xyLYUjyyBqKlkFT4YdY,https://open.spotify.com/track/19Hg1UCZaCdpHB37L7x63X
