,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,アイドル,アイドル,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,YOASOBI,91,2023-04-12,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,213233,False
2,怪獣の花唄,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,81,2020-05-27,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,224806,False
3,そんなbitterな話,そんなbitterな話,https://open.spotify.com/album/0ssYbSrcAHMWk2EijQAKTP,Vaundy,78,2023-03-13,https://open.spotify.com/track/4QlSFkbRxZWkHDF1MqBaEY,276082,False
4,祝福,祝福,https://open.spotify.com/album/7KS8ZZpgraGBazVoSeX6O4,YOASOBI,80,2022-10-01,https://open.spotify.com/track/7ajpbW6tBpqUI9foCtwlLw,196235,False
5,Nagisa,Nagisa,https://open.spotify.com/album/1AtPpQ0av1ugXZ1QhjMQkK,imase,77,2023-05-26,https://open.spotify.com/track/0bdAQ9dwLA5cJtgM05PRKW,226489,False
6,ガーデン,LOVE ALL SERVE ALL,https://open.spotify.com/album/6VJwkUQXD3DnqqUUaxqDzH,Fujii Kaze,76,2022-03-23,https://open.spotify.com/track/5U4PgFWzfzY7VEg9Ck4ziF,229333,False
7,ベテルギウス,壱,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,Yuuri,77,2022-01-12,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,230600,False
8,シンデレラボーイ,レイジーサンデー,https://open.spotify.com/album/39EU8gQm5E0vUDj9AvKUgr,Saucy Dog,76,2021-08-25,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,234323,False
9,ビリミリオン,弐,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,Yuuri,75,2023-03-29,https://open.spotify.com/track/7M0dIdZWN1FDcveRdoOzbZ,228760,False
10,W / X / Y,Memories,https://open.spotify.com/album/4tp4dyeVhcG7kM2jUi3Yj5,Tani Yuuki,75,2021-12-08,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49,278118,False
11,リンジュー・ラヴ,リンジュー・ラヴ,https://open.spotify.com/album/0jH2GxrReBs2SqeVSaM5vU,Macaroni Empitsu,75,2023-01-14,https://open.spotify.com/track/0NUJhYxwcAAB4UQULseQyX,185945,False
