,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,メフィスト,メフィスト,https://open.spotify.com/album/4GlhyWqXM0Ir8083Ue9Je0,QUEEN BEE,80,2023-04-20,https://open.spotify.com/track/45LUKiex0D78VuhP3Oz6mG,227320,False
2,蝉ダンスフロア,蝉ダンスフロア,https://open.spotify.com/album/4UnxjQdVeivzuJmXTl9NO5,Maharajan,39,2023-05-27,https://open.spotify.com/track/2o7cOj0V9YziUyLR8F1qpV,198901,False
3,マーメイド,マーメイド,https://open.spotify.com/album/4E6w5h2440vYWD9xgub8Gq,WEDNESDAY CAMPANELLA,66,2023-07-05,https://open.spotify.com/track/2E0zCVEO5yKPlWPSY7Rk5e,235814,False
4,DANCE,MIRROR / DANCE,https://open.spotify.com/album/2s6NTStbmkjGROK1ajShqu,Shogo Hamada,36,2020-09-09,https://open.spotify.com/track/2At766v0enB5tcGuPGpok1,386240,False
5,エジソン,ネオン,https://open.spotify.com/album/4tlqOW9ThwLtEBHPLWD27C,WEDNESDAY CAMPANELLA,61,2022-05-25,https://open.spotify.com/track/2wRKOmpe6I7q6k69bkjuFU,193510,False
6,Hello,PLAYER,https://open.spotify.com/album/0cuYDX4CorPYfFTvzgQwG8,CAPSULE,32,2010-03-03,https://open.spotify.com/track/1qVjRYP91rmsDFpGbLbbik,101773,False
7,if...,if...,https://open.spotify.com/album/1KwFfjS6VzlollGPr84mAm,DA PUMP,59,2000-09-27,https://open.spotify.com/track/78LQTUp1f8APWgFNZNOD5y,218800,False
8,FUNKY,LOVE,https://open.spotify.com/album/29RYRXrFJJeeqEx9GemxsX,ARASHI,37,2013-10-23,https://open.spotify.com/track/3HV7S9ygJxyxTHmgx2Uq4h,240372,False
9,エジソン,招き猫 / エジソン,https://open.spotify.com/album/5R4QHlcpCdAX1CxV8tHWaa,WEDNESDAY CAMPANELLA,55,2022-02-25,https://open.spotify.com/track/223e30Nk8UY0HKezFtakUS,193510,False
10,Face2,Face2,https://open.spotify.com/album/15eTxMxc2yzCOC4wveboLD,LOZAREENA,34,2022-08-05,https://open.spotify.com/track/5N1bKDzbdCKnReop9O2YEG,221600,False
11,火炎,火炎(Full Edition),https://open.spotify.com/album/6DdJGNawJYKpYq6A9hwcfp,QUEEN BEE,65,2019-01-30,https://open.spotify.com/track/4k2GMy34pt5rQT9aVEzEwq,215973,False
12,DREAM,蝉ダンスフロア,https://open.spotify.com/album/3ewrQXeEG1sBfnyV3i0c5v,Maharajan,39,2023-07-14,https://open.spotify.com/track/0iwapo5J8OfpNWLZ2XBSkk,226168,False
13,金剛力士像,RABBIT STAR ★,https://open.spotify.com/album/0eK9iO9xQ5lcTGcXAggJzT,WEDNESDAY CAMPANELLA,54,2023-04-26,https://open.spotify.com/track/3y9ImuUtxOU6ZlAkbB5SRc,208796,False
14,JOURNEY,JOURNEY,https://open.spotify.com/album/2MHv1QzkvrzJM1KfBVjQ31,Tokyo Machine,36,2020-04-30,https://open.spotify.com/track/76ZRTYeZzD9Y51IZ2KWdsc,239119,False
15,Make A Move,Make A Move,https://open.spotify.com/album/2wyItp4YIkkGJa3NqL0hoh,EMMA WAHLIN,56,2019-02-06,https://open.spotify.com/track/4D9QMZ3n8OupOPdxU0MMBS,189146,False
16,PLAY,PLAY,https://open.spotify.com/album/1dVqxYQRLfTQt1DFkUfY1e,Tokyo Machine,56,2019-02-28,https://open.spotify.com/track/1fRadkuwHEqwMuiY5ns15C,183949,False
