,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,secret base ~君がくれたもの~,E 〜Complete A side Singles〜,https://open.spotify.com/album/3u67WK57WVdfjx5z7HwfIf,ZONE,60,2001,https://open.spotify.com/track/1k42CHnoxIlqAJ81VE65Uc,295386,False
2,花は誰のもの?,花は誰のもの?,https://open.spotify.com/album/1ju0qlhMjLHhPMIovte8h5,STU48,43,2022-04-07,https://open.spotify.com/track/4KZWXhQivY3VmD9g7yyFpR,250935,False
3,夏祭り,(初),https://open.spotify.com/album/4gYecLNP2SMcZ8ObXyryeS,Whiteberry,59,2000,https://open.spotify.com/track/6rDJe5gVgAunlkaSY1vnAF,220706,False
4,Actually...,Actually... (Special Edition),https://open.spotify.com/album/0gPax2EEHYH3dPUN4OJhsz,Nogizaka46,49,2022-03-16,https://open.spotify.com/track/4pfJEUjNi65LLQcEBHaWAz,220280,False
5,サイレントマジョリティー,真っ白なものは汚したくなる (Complete Edition),https://open.spotify.com/album/7qPeOcSdZjHCaHcG5L6xPC,Keyakizaka46,58,2017-07-19,https://open.spotify.com/track/6vqGGV7ZGWYFRg5EtlcuN5,265826,False
6,IDOL - Japanese ver.,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,https://open.spotify.com/album/1nScVw87kRJiT2bg2Kswhp,BTS,47,2020-07-14,https://open.spotify.com/track/2vYF5MHeCNtqCVastthDAo,223213,False
7,プロミスザスター,THE GUERRiLLA BiSH,https://open.spotify.com/album/4C3QGfTeUy9P579s2rFxpj,BiSH,58,2017-11-29,https://open.spotify.com/track/61Yl4bWKSUeNxe6jPgKq5c,269200,False
8,Dear J,S×W×A×G,https://open.spotify.com/album/0207VJpFAqoGPJPIqSVFqx,Tomomi Itano,33,2014-07-02,https://open.spotify.com/track/5tN91D7Qcld6S1qbmWCa0t,221453,False
9,人は夢を二度見る,人は夢を二度見る (Special Edition),https://open.spotify.com/album/0UsFZH5apY15AyGbFyCYfd,Nogizaka46,57,2023-03-22,https://open.spotify.com/track/3W1KL5dUISmtye75QhNohl,343200,False
10,Wing,Growing,https://open.spotify.com/album/7bjwcgZhVxCxsBy0nN0LSX,Rina Chinen,32,1998-06-10,https://open.spotify.com/track/3BQBaC0YMBofUo2UnRrVOz,289826,False
11,シンクロニシティ,シンクロニシティ (Special Edition),https://open.spotify.com/album/6kG2cUR1dGvardDnsY9Bpy,Nogizaka46,57,2018-04-18,https://open.spotify.com/track/3cZwlMEtYsc2c3d6ABFyOz,254880,False
12,風も空もきっと…,風も空もきっと…,https://open.spotify.com/album/1CS6IutJnsvco0I0De7yEg,Alisa Mizuki,35,1996-04-20,https://open.spotify.com/track/50tRpoVWeGheugpKFlg7en,286933,False
13,ここにはないもの,ここにはないもの (Special Edition),https://open.spotify.com/album/31Tl5tXrIOYl6zOH1t0uiM,Nogizaka46,57,2022-12-07,https://open.spotify.com/track/1lZyM0j1iFa4vB9xSkpjur,311360,False
14,チャプチャパ,6th Anniversary Songs,https://open.spotify.com/album/3xjUaHnjFa3fRJey4WB40R,26時のマスカレイド,24,2022-10-30,https://open.spotify.com/track/2RT2A1S1N3K4M3EgvYql2Q,258359,False
15,帰り道は遠回りしたくなる,帰り道は遠回りしたくなる (Special Edition),https://open.spotify.com/album/6JRJ7rS8nlHA2ZNZgznlEE,Nogizaka46,57,2018-11-07,https://open.spotify.com/track/4RWJxm0Vn83uE0TIhwnABv,269706,False
16,IDOL - Japanese ver.,Lights/Boy With Luv,https://open.spotify.com/album/0rHMQLHyw0Bt17fRTJEqh6,BTS,40,2019-07-03,https://open.spotify.com/track/7IeoEVVNdCXHeILYk2Yxsr,222173,False
17,赤いスイートピー,BIBLE,https://open.spotify.com/album/0dgfL1KfvwumtF2RH4gNZL,Seiko Matsuda,57,1980,https://open.spotify.com/track/0b5iSriqvDLmd6QSWkalr3,218533,False
18,VS,never+land,https://open.spotify.com/album/04rzJMNZDO9yxVxLOTrQaT,misono,28,2007-02-28,https://open.spotify.com/track/5VDgMlCs1vsyaouh5pnD74,252426,False
19,裸足でSummer,裸足でSummer (Special Edition),https://open.spotify.com/album/49O4upPZzJqOkR7NToxWQy,Nogizaka46,55,2016-07-20,https://open.spotify.com/track/288SNOHYZizb3jZ6U6DByY,277933,False
20,暗闇,暗闇<Type B>,https://open.spotify.com/album/6WNysLeZWwvBxOlrN076KI,STU48,33,2018-01-31,https://open.spotify.com/track/01DPWHlpb1z2BjXoZdmJXt,276453,False
21,インフルエンサー,インフルエンサー(Special Edition),https://open.spotify.com/album/2DOlVrOCdY139TNstj7u2I,Nogizaka46,55,2017-03-15,https://open.spotify.com/track/0PHEwJbhs3wte1vCsBI4LF,270093,False
22,ふいに,S×W×A×G,https://open.spotify.com/album/0207VJpFAqoGPJPIqSVFqx,Tomomi Itano,29,2014-07-02,https://open.spotify.com/track/49pMlSAzwqBrXUcwRpm7FW,274546,False
23,タッチ,half time,https://open.spotify.com/album/75zFDfWZKFbsUavUjUInUY,Yoshimi Iwasaki,55,1985-09-05,https://open.spotify.com/track/1EvVwqTga8655SrGAS6Zba,192893,False
24,Faraway,Faraway,https://open.spotify.com/album/7q9gpg1R0a7iS5Tl0pqC5f,PARADISE GO!! GO!!,30,2005-04-13,https://open.spotify.com/track/7EdbAqwqCipPHYfalJIzGt,267233,False
25,あなたに恋をしてみました,ハートクチュール,https://open.spotify.com/album/6bOlc9ScVEFLLsxVjm8J1I,chay,54,2015-04-15,https://open.spotify.com/track/4IqBRdBiSN251FuHM8k4Bp,268160,False
26,二人三脚,生 -say-,https://open.spotify.com/album/0Rtcv8clMNssRJbzJjOEWq,misono,32,2008-07-16,https://open.spotify.com/track/3Np6RasPKUwOmAs9RnhTTM,268426,False
