,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,アイドル,アイドル,https://open.spotify.com/album/7yMkS4NCpG0FH6NoaH3F0a,YOASOBI,91,2023-04-12,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt,213233,False
2,COCONUT,COCONUT,https://open.spotify.com/album/2NKPBCTEK6qd0aRrRvDzTi,NiziU,61,2023-06-29,https://open.spotify.com/track/1BSnc9wwUe2RecyDJFQne0,178426,False
3,怪獣の花唄,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,81,2020-05-27,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,224806,False
4,COCONUT,COCONUT,https://open.spotify.com/album/7pMBT70d3wGM0VZfLcQ6f3,NiziU,57,2023-07-05,https://open.spotify.com/track/3xgxEgp7Cd69RqbkK374Mm,178426,False
5,TATTOO,TATTOO,https://open.spotify.com/album/3VqutKQybsb2z1IT9CDRUE,OFFICIAL HIGE DANDISM,79,2023-04-21,https://open.spotify.com/track/36jIu8oPR1Z4cguMuHxUXA,288099,False
6,グッドな音楽を,グッドな音楽を,https://open.spotify.com/album/3yp1DVS4dSKvkgJqcxXfcA,neguse.,65,2022-07-27,https://open.spotify.com/track/2vAtN2fB1zqTzfPGxqHmyO,215093,False
7,Subtitle,Subtitle,https://open.spotify.com/album/1v9BX6TLVaStze2oJkb3Jy,OFFICIAL HIGE DANDISM,79,2022-10-12,https://open.spotify.com/track/49F3htNmwzPKFycPdOrDvf,305509,False
8,J-POP,ジエイポップ,https://open.spotify.com/album/4Yx329a8uxdHXcVksl460L,Koresawa,27,2016-09-21,https://open.spotify.com/track/3IZJZpKdXSYqZsO6YVqPVl,263160,False
9,ダンスホール,ダンスホール,https://open.spotify.com/album/3OyEc77lPQ8QOWMIWvZl08,Mrs. GREEN APPLE,79,2022-05-23,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,203149,False
10,SuperCali,SuperCali,https://open.spotify.com/album/0Z8ddGt1kEMRBTY1engcvy,JO1,53,2022-09-23,https://open.spotify.com/track/4pW4sNCWGUG9D9EjACfkvK,181506,False
11,祝福,祝福,https://open.spotify.com/album/7KS8ZZpgraGBazVoSeX6O4,YOASOBI,80,2022-10-01,https://open.spotify.com/track/7ajpbW6tBpqUI9foCtwlLw,196235,False
12,トリコ,Nissy Entertainment 5th Anniversary BEST,https://open.spotify.com/album/2L5U8yliF5szJ3r8bzCQBm,Nissy,49,2019-02-04,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi,232439,False
13,そんなbitterな話,そんなbitterな話,https://open.spotify.com/album/0ssYbSrcAHMWk2EijQAKTP,Vaundy,78,2023-03-13,https://open.spotify.com/track/4QlSFkbRxZWkHDF1MqBaEY,276082,False
14,COCONUT,COCONUT ‐Deluxe Edition‐,https://open.spotify.com/album/3gCyEsv6Qd36T0Ydii72l3,NiziU,34,2023-07-19,https://open.spotify.com/track/0SyPNyWWTV9DwsvlLDsXbQ,178426,False
15,絆ノ奇跡,絆ノ奇跡,https://open.spotify.com/album/1xml9CR90tJdvTESDk4Q4s,MAN WITH A MISSION,83,2023-04-10,https://open.spotify.com/track/2VBLFxCUyFp5BfmsZpxcis,223320,False
16,Jasmine,Jasmine,https://open.spotify.com/album/50tg2e8PSPE0ITolDOZhaI,sumika,45,2021-07-30,https://open.spotify.com/track/5hBZys3y8MF6NgGoOBZ0sd,228284,False
17,美しい鰭,ひみつスタジオ,https://open.spotify.com/album/5u95y591xPiCFY3UI5gHqY,SPITZ,77,2023-05-17,https://open.spotify.com/track/1H3qOzheTPhE7aVvJOWfvA,211920,False
18,MILABO,MILABO,https://open.spotify.com/album/3yPAd2z3R6Y8lzrybPJbWZ,ZUTOMAYO,45,2020-07-13,https://open.spotify.com/track/4fDWZUtMp2Aoe8wmenloa7,268146,False
19,点描の唄,青と夏,https://open.spotify.com/album/5enxwo7c4D5mhXp5f56OLy,Mrs. GREEN APPLE,77,2018-07-31,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV,307066,False
20,だーりん。 - 2022,だーりん。 (2022),https://open.spotify.com/album/7aFSDc1bqGoHpmWM1JKVkG,Matsuri,42,2022-11-23,https://open.spotify.com/track/6ebds1nkWdq6cFUwYLV17A,188300,False
21,シンデレラボーイ,レイジーサンデー,https://open.spotify.com/album/39EU8gQm5E0vUDj9AvKUgr,Saucy Dog,76,2021-08-25,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,234323,False
22,星丘公園 - Cover,mami J-Pop Cover,https://open.spotify.com/album/0eMXAwx6LsdGhpaLOqwhv0,mami,29,2021-11-18,https://open.spotify.com/track/1MiwYiLo4Ow54kIO0cD9pd,241493,False
23,W / X / Y,Memories,https://open.spotify.com/album/4tp4dyeVhcG7kM2jUi3Yj5,Tani Yuuki,75,2021-12-08,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49,278118,False
24,UTAGE,UTAGE,https://open.spotify.com/album/0hj7GLa0rrqpBy6merUwto,Ketsumeishi,38,2022-10-24,https://open.spotify.com/track/6WILz0FrBpjqGbypbVhnQ8,220728,False
25,ベテルギウス,壱,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,Yuuri,77,2022-01-12,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,230600,False
26,Japanese-Pop-Music,はじめてのはじまり,https://open.spotify.com/album/2fFcJ2lo09y0C2kbwoUhbM,KANKAKU PIERO,21,2016-05-31,https://open.spotify.com/track/0zJBtKFoOolutPdKuQBuAF,246013,False
27,青と夏,Attitude,https://open.spotify.com/album/3bRSI9DOQA2KdJ7t6zdW0V,Mrs. GREEN APPLE,77,2019-10-01,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3,270026,False
28,outro,HOPE,https://open.spotify.com/album/7KDcEG3mcB0g6XWwFNZ6KR,Shota Shimizu,27,2021-07-21,https://open.spotify.com/track/5HnVZpzXh0g2BrQV0660sq,64160,False
29,Nagisa,Nagisa,https://open.spotify.com/album/1AtPpQ0av1ugXZ1QhjMQkK,imase,77,2023-05-26,https://open.spotify.com/track/0bdAQ9dwLA5cJtgM05PRKW,226489,False
30,J-POPは終わらない,J-POPは終わらない,https://open.spotify.com/album/7yMwh30JRgmqsxdFBf7TDq,SASUKE,27,2019-08-07,https://open.spotify.com/track/1v5BM1pdVOVHPfn6FZRwz6,216923,False
31,ガーデン,LOVE ALL SERVE ALL,https://open.spotify.com/album/6VJwkUQXD3DnqqUUaxqDzH,Fujii Kaze,76,2022-03-23,https://open.spotify.com/track/5U4PgFWzfzY7VEg9Ck4ziF,229333,False
32,少女レイ - Cover,nana J-Pop Cover,https://open.spotify.com/album/4D94dXEgWxINWgU8LreExx,nana,29,2021-08-22,https://open.spotify.com/track/6qFAkhsdKl31csYSxplpg2,277560,False
