,channelName,id,subscribers,total views,total videos,created date,description,playlistId
0,Fox News,UCXIJgqnII2ZOINSWNOGFThA,10500000,14839464315,93767,2006-09-19T01:48:52Z,"FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-54, FNC has been the most-watched news channel in the country for almost two decades and according to Public Policy Polling is the most trusted television news source in the country. FNC is available in more than 89 million homes and dominates the cable news landscape, routinely notching 12 of the top 15 programs in the genre.",UUXIJgqnII2ZOINSWNOGFThA
1,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,10500000,3343817389,105487,2006-11-23T14:12:43Z,"#AlJazeeraEnglish, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless.'

Reaching more than 282 million households in over 140 countries across the globe, our viewers trust #AlJazeeraEnglish to keep them informed, inspired, and entertained.

Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of #journalism that the world has come to rely on.

We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected #news and #CurrentAffairs channels.",UUNye-wNBqNL5ZzHSJj3l8Bg
2,Vox,UCLXo7UDZvByw2ixzpQCufnA,11400000,3260217205,1593,2014-03-04T20:30:22Z,"Vox helps you understand our world.

Vox video is Mona Lalwani, Valerie Lapinski, Cath Spangler, Dion Lee, Joss Fong, Adam Freelander, Bridgett Henwood, Kim Mas, Coleman Lowndes, Christophe Haubursin, Ranjani Chakraborty, Liz Scheltens, Phil Edwards, Rajaa Elidrissi, Christina Thornell, Laura Bult, Ed Vega, Matt Dunne, Joey Sendaydiego, Melissa Hirsch, and Halley Brown, with engagement support from Jayne A. Quan. 

Help keep our work free for everyone by making a financial gift to Vox! http://www.vox.com/givenow

Check out our FAQ on permissions and licensing of our videos: https://www.voxmedia.com/pages/licensing

✉️ Write us: voxvideo@vox.com
",UULXo7UDZvByw2ixzpQCufnA
3,Good Morning Britain,UCq18eeL7D9Vd8DhjMcLh9QQ,1200000,1048952422,11212,2014-08-18T09:23:49Z,"The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments.

Good Morning Britain - every weekday on ITV from 6am
",UUq18eeL7D9Vd8DhjMcLh9QQ
4,E! News,UCjDsbbzHgTrGc4Ff26TJtsA,1220000,515416062,12501,2005-10-25T11:21:48Z,"E! News is your go-to source for breaking celebrity news & entertainment.

E! News is the modern-and-bold mood for the pop cultured – brought to life by the diverse perspectives viewers can connect with, in addition to unexpected takes & plenty of laughs! It’s a fun, fresh spin on celebrity news.  E! News features A-list interviews, rising stars, and pop culture exclusives you won’t find anywhere else!

Watch your favorite dramas, comedies, true crime and reality, plus news, sports and pop culture updates on Peacock, the new streaming service from NBCUniversal. Stream now. https://bit.ly/PeacockE",UUjDsbbzHgTrGc4Ff26TJtsA
5,ABC News In-depth,UCxcrzzhQDj5zKJbXfIscCtg,1320000,572043478,2717,2019-08-18T23:30:03Z,"Welcome to ABC News In-depth, where you'll find our long-form journalism and explainers to help you understand what's going on in the world around you.

You'll find all your favourite ABC News programs: Four Corners, Foreign Correspondent, Australian Story, Planet America and selected 7.30 stories, as well as explainers and news features made just for you. Make sure you subscribe and hit the bell so you don't miss new episodes.

ABC News In-depth helps you dig a little deeper. That means looking into the issues that affect all of us, and why it matters to you. It means going to where the people are, across Australia and the world. And it also means breaking all of that down for you, one step at a time.

If you're looking for breaking news and our 24/7 ABC News live stream, subscribe to ABC News: https://www.youtube.com/user/NewsOnABC
",UUxcrzzhQDj5zKJbXfIscCtg
6,BBC News,UC16niRr50-MSBwiO3YDb3RA,14500000,4602144155,18897,2006-04-08T05:51:05Z,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",UU16niRr50-MSBwiO3YDb3RA
7,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,14700000,12985125977,80633,2006-08-07T23:12:21Z,"ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://abcnews.go.com",UUBi2mrWuNuyYy4gbM6fU18Q
8,CBC News: The National,UCKjU3KzdbJE1EFcHVqXC3_g,1510000,925942531,26521,2007-10-17T21:34:25Z,"The National is the flagship of CBC News, showcasing award-winning journalism from across Canada and around the world. Led by Chief Correspondent Adrienne Arsenault and Ian Hanomansing, our team of trusted reporters help you make sense of the world, wherever you are. The National was named Canada’s Best National Newscast by the Canadian Screen Awards and RTDNA Canada.",UUKjU3KzdbJE1EFcHVqXC3_g
9,CNN,UCupvZG-5ko_eiXAupbDfxWw,15200000,14208712681,160250,2005-10-02T16:06:36Z,"CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.",UUupvZG-5ko_eiXAupbDfxWw
10,ITV News,UCFQgi22Ht00CpaOQLtvZx2A,1530000,911664133,16943,2006-10-06T17:47:18Z,"ITV News has been providing trusted and impartial news for more than 60 years. On our YouTube channel you'll find the best of our journalism from the UK and around the world. 

Subscribe to stay up-to-date with reports on the top news stories, explainers and analysis from our team of specialist correspondents to help you make sense of what’s happening, and must-see interviews and pictures.",UUFQgi22Ht00CpaOQLtvZx2A
11,On Demand News,UCME81PohuzT1JMCsEtvsD2w,1560000,1832529657,25932,2006-11-26T18:59:53Z,"Daily breaking news, compelling current affairs and must see moments from around the globe - powered by ITN. 

Formerly the ITN YouTube channel, ODN is the UK's longest serving YouTube News Network. 

👉  Subscribe for Daily content",UUME81PohuzT1JMCsEtvsD2w
