,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,NxRGRFKBVLg,On Demand News,Fans Catch CAT Plummeting from Stadium,2021-09-13T15:02:56Z,25,"'Fans Catch CAT Plummeting from Stadium'

Fans watched in terror, as a cat clung to the upper tier of a stadium. The cat hung from a single claw as people frantically prepared a soft landing. All eyes turned from the game to the tense situation in the stalls. As the cat plummeted to the seats below, fans caught it in an American flag.

Subscribe here: http://bit.ly/ODNsubs

Twitter: https://twitter.com/ODN

Facebook: https://www.facebook.com/ODN/

If you wish to purchase any of our clips for commercial use, please visit: http://www.itnproductions.co.uk/news/

#Shorts #Cat #Animals #Football #Americanfootball #Cats",121244026,6269691,,95053,PT44S
1,x4c_wI6kQyE,On Demand News,Indonesian baby smokes 40 cigarettes a day,2010-05-28T13:42:50Z,25,"Is this the world's fattest baby? http://bit.ly/1iG8XIx
Subscribe to ITN News: http://bit.ly/1bmWO8h
A toddler in Sumatra is hooked on nicotine after being introduced to cigarettes by his father. Ardi, who is rarely seen without a cigarette, insists on the same brand, costing £3.78 a day.

Like us on Facebook: http://on.fb.me/1aENuyJ
Follow us on Twitter: http://bit.ly/1fta2Qp
Add us on Google+: http://bit.ly/17z0Dpd

Ten more great videos from ITN:
The Harlem Shake, ITN-style: http://bit.ly/ZB1HX2
Slam-dunking sea otter: http://bit.ly/YMdpId
Real jetpack demonstration: http://bit.ly/X2RsYR
Chewing gum art from Ukraine: http://bit.ly/XrY3M8
The amazing moment a baby killer whale is born: http://bit.ly/XKwMU5
Foam fills Australian town: http://bit.ly/YsR95m
Meet the man with the world's stretchiest skin: http://bit.ly/YNZbGK
Dogs learn to drive in New Zealand: http://youtu.be/chrzpnL1OEM
See the world's biggest biceps: http://bit.ly/121JALt
Full size Angry Birds: http://bit.ly/VYgLgj

See 2013's Most Watched Videos: http://bit.ly/14iM9r5

See our Biggest Videos of All Time: http://bit.ly/11GI36D

See 2012's Most Watched Videos: http://bit.ly/18R1boW",35934123,38688,,30014,PT1M11S
2,dmkewoSJLsU,On Demand News,Train driver warns passengers seconds before train crashes in to lorry,2016-05-13T18:51:06Z,25,"A train driver has been hailed as a hero after he risked his life to warn his passengers of an impending crash with a lorry. 

Dramatic footage from the incident in Poland shows the driver running the length of a carriage, warning passengers to brace for impact. They dive to the floor moments before the train is rocked by the collision.

#Trains #Crash #Poland

Report by Jennifer Cordingley. New stories everyday. Subscribe to ODN: http://bit.ly/ODNsubs 

Continue the conversation: 
On Facebook: http://bit.ly/ODNface   
On Twitter: http://bit.ly/ODNTweets   
Add us on Google+: http://bit.ly/ODNplus",23497919,170973,,6601,PT1M14S
3,7X0hq0ug9q4,On Demand News,Exploding sperm whale Carcass caught on camera in The Faroe Islands!,2013-11-30T14:48:46Z,25,"A camera captured the moment a sperm whale carcass, which washed up in the Faroe Islands, exploded. The clip, which was shown of Faroese Television, has since gone viral, racking up millions of hits on YouTube alone. The dead whale had been lying on the beach for two days, after getting stuck in the waters between two islands, when marine biologist Bjarni Mikkelsen was sent to cut it open. As he made incisions in the whale's side the carcass exploded due to a buildup of methane gas from the decomposition creating a loud sound and releasing a pungent smell. It is reported that a local museum will collect the skeleton and put it on display. Report by Laurie Blake.

Like us on Facebook: http://www.facebook.com/itn
Follow us on Twitter: http://twitter.com/itn
Add us on Google+: http://bit.ly/17z0Dpd

More stories from ITN:
Parking fail: Driver smashes into three vehicles in car park: http://bit.ly/1dGipvg
Shoppers go wild as Black Friday hits UK: http://bit.ly/18PBMOD
Watch deadly crane collapse at Brazil 2014 World cup venue: http://bit.ly/1b8lexm
Teenager wakes up from a coma after four months: http://bit.ly/1b37hnP
Kim Jong-un's long lost twin? Tell us what you think: http://bit.ly/18Kn8Z0
Amazing footage of Scotland's newest landmark: http://bit.ly/1iW8Gkj
Prince William, Taylor Swift, Bon Jovi sing Livin' on a Prayer: http://bit.ly/187v7vl
Get out of the way! Ice block falls on a car in China: http://bit.ly/1b4qDpo
Shocking video of kids narrowly avoiding Syrian explosion: http://bit.ly/1cq5fxF
Australian family breaks Christmas light world record: http://bit.ly/1ckZVvo
Mount Sinabung erupts as alert is raised for Indonesia: http://bit.ly/IoGx79
Iceberg the size of Singapore breaks off from Antarctica: http://bit.ly/1c4dzER
Mini baby antelope rejected by its mother: http://bit.ly/1iuMihT
Russian plane explodes in a ball of fire: http://bit.ly/1aty3q8
Typhoon Haiyan: Baby birth in Tacloban caught on camera: http://bit.ly/1cY3uMI
Basketball fail: Globetrotter player narrowly escapes injury: http://bit.ly/1gIVsrR

Check out Truthloader, the new home of citizen journalism on YouTube. Subscribe now at http://bit.ly/tldrsub

See 2013's Most Watched Videos: http://bit.ly/14iM9r5

See our Biggest Videos of All Time: http://bit.ly/11GI36D

See 2012's Most Watched Videos: http://bit.ly/18R1boW",21932288,68659,,9378,PT1M10S
4,y821Rzji31Q,On Demand News,Kim Jong-un gives Vladimir Putin a SWORD at final summit dinner,2019-04-25T13:58:05Z,25,"Russian President Vladimir Putin and North Korean leader Kim Jong Un have attended a dinner following their much-anticipated summit.  The Russia President presented Kim with a tea set. In return, Putin was gifted with a ceremonial sword. Putin and Kim said they had good talks about their joint efforts to resolve a standoff over Pyongyang's nuclear program, amid stalled negotiations with the United States. Kim's first trip to Russia comes about two months after his second summit with US President Donald Trump failed because of disputes over US-led sanctions on the North. Putin meanwhile wants to expand Russia's clout in the region and get more leverage with Washington.

#VladimirPutin #KimJongUn #Summit

Report by Lily Thomas.",13506106,81226,,6135,PT1M13S
5,V3EI1n_7JwU,On Demand News,ROBBER TAKEN OUT: Martial arts experts interrupt robbery in Los Angeles,2011-11-07T18:42:02Z,25,"Subscribe to ITN News: http://bit.ly/itnytsub
A man tries to rob a hotel in Los Angeles when two martial arts experts interrupt. Report by Anna Drury. 

WATCH- Caught On Camera: CCTV's Most Shocking Moments: http://bit.ly/17MFfzh

Like us on Facebook: http://www.facebook.com/itn
Follow us on Twitter: http://twitter.com/itn
Add us on Google+: http://bit.ly/17z0Dpd

More amazing video of moments caught on CCTV: 
Bear breaks into Colorado chocolate shop: http://youtu.be/tBeFxlMa4KU
Janet Jackson 'slaps' Paris Jackson: http://youtu.be/Gd-CQV5UmpI
Mother and toddler rescued after falling on train tracks: http://youtu.be/Esk3yAmcDMY
Hapless thief James Allan caught on CCTV: http://youtu.be/6IBKmkOZW5k
Deer smashes through store front door: http://youtu.be/4Spvg0ezgtE

See 2013's Most Watched Videos: http://bit.ly/14iM9r5

See our Biggest Videos of All Time: http://bit.ly/11GI36D

See 2012's Most Watched Videos: http://bit.ly/18R1boW",13033550,40357,,3221,PT57S
6,TVDwtgtT1Nk,On Demand News,Elderly Palestinian man confronts armed Israeli soldiers before collapsing,2015-10-11T16:04:13Z,25,"An elderly Palestinian man confronted a group Israeli troops after they clashed with Palestinian youths in Hebron, before he collapsed on the street. Report by Lauren Hampshire.


Current affairs, amazing footage and incredible stories. Welcome to ODN - On Demand News. Formerly the ITN YouTube channel, ODN is your home for the top visual stories happening across the globe.      


 
Like us on Facebook: http://bit.ly/ODNface          
Follow us on Twitter: http://bit.ly/ODNTweets          
Add us on Google+: http://bit.ly/ODNplus                                                                                  
                                                                   
More stories from ODN:    
Greece: a ton of unwanted fruit and veg feed thousands - http://bit.ly/AthensTon  
Elderly Palestinian man confronts Israeli soldiers - http://bit.ly/IvPConfront  
North Korea: Torchlight parade marks 70th anniversary - http://bit.ly/NKLight  
Turkey bomb blast: Protests as death toll rises - http://bit.ly/TurkeYBlast  
Former Chancellor Lord Howe dies at 88 - http://bit.ly/RIPHowe  
Wills and Kate mark World Mental Health Day - http://bit.ly/WMHDaY  
Shia LaBeouf arrested for drunk and disorderly - http://bit.ly/ShiArrest  
North Korea: Parade shows country 'ready for war' - http://bit.ly/NKWAr  
Turkey bomb blast: More footage released - http://bit.ly/TurkeyBlast  
Ebola nurse readmitted to hospital in a 'serious' condition - http://bit.ly/EbolANurse  
Nobel Peace Prize: Tunisia Diaolgue Quartet wins - http://bit.ly/NobelPeacE  
First colour image of Pluto released - http://bit.ly/ColourPluto  
Orphaned baby possum has a new cuddly friend - http://bit.ly/PossumToy  
Jurgen Klopp: ""I am the Normal One"" - http://bit.ly/NormalOne  
Facebook emoticon reactions launched - like or dislike? http://bit.ly/LikeDislikE  
North Korea's Kim Jong-un given peace award - http://bit.ly/NKPeace  
SeaWorld wins bid to expand Orca tanks - http://bit.ly/SeaWorldOrca  
ISIS: US release dramatic air strikes video - http://bit.ly/ISISUSStrikes  
Indonesian forest fires: Amazing drone footage - http://bit.ly/IndoFires  
Time-lapse video of the Northern Lights in Minnesota - http://bit.ly/MinnesotaNL  
Superheroes descend upon NYC for exhibit - http://bit.ly/SuperheroesNYC  
NASA launches new sounding rocket - http://bit.ly/NASArockeT  
Plane crashes straight into Compton - http://bit.ly/StraightIn2Compton  
FIFA suspend Blatter, Valcke, Platini et al - http://bit.ly/FIFAbans  
Jewelry raid: CCTV captures moment of robbery - http://bit.ly/RaidNorwich   
Coral reef faces major bleaching event - http://bit.ly/ReefBleach  
Police chase ends when thief drives into sea - http://bit.ly/SeaDrive  
Putin celebrates 63rd birthday on ice - http://bit.ly/Putin63",12451334,118095,,28968,PT1M55S
7,JOyMju1a4No,On Demand News,MPs RIP into Rishi's 'Grubby' Deal,2022-10-26T15:10:52Z,25,"'MPs RIP into Rishi's 'Grubby' Deal'
Rishi Sunak went head-to-head with Labour party leader Sir Keir Starmer and MP Ian Blackford at his first PMQ as Prime Minister. 

His decision to reappoint Suella Braverman as home secretary was raised several times, along with repeated calls for a general election.

#shorts #pmqs #politics #ukpolitics #keirstarmer #rishisunak #primeminister 

Subscribe here: http://bit.ly/ODNsubs

Twitter: https://twitter.com/ODN

Facebook: https://www.facebook.com/ODN/

If you wish to purchase any of our clips for commercial use, please visit: http://www.itnproductions.co.uk/news/",11652995,300368,,2607,PT25S
8,WJ2DC2X1e5k,On Demand News,Fastest 100m in high heels in Guinness World Record attempt,2013-09-12T11:41:30Z,25,"Running in high heels has the potential of leaving you with a broken shoe. However, a woman from Germany has avoided the 'unthinkable' and broken a world record instead. Julia Plecher, from Ruckersdorf, has run 100 metres in 14.531 seconds, wearing shiny golden heels. She has raced into the Guinness World Records and has been included in its 2014 book.

Julia has a history of running in heels. She took part in a 'stiletto race' in Berlin back in 2009, and despite the rule being a seven centimetre heel, she chose an 8.5 cm one. She ended up winning the race.

Julia has previously said the key to not falling over is unsurprisingly now the show is made.

""You need shoes which ideally are closed in the front because you run on the front part of the foot. You have to be careful not to slip out. I think sandals would not be too appropriate,"" Plecher said. Report by Ashley Fudge.

Subscribe to ITN News! http://bit.ly/itnytsub

Like us on Facebook: http://www.facebook.com/itn
Follow us on Twitter: http://twitter.com/itn
Visit our homepage: http://itn.co.uk

Check out our full Guinness World Record playlist: http://bit.ly/1521gIx

Watch more record setters:
Skateboarding goat enters Guinness Book of World Records: http://bit.ly/16kuxJp
AMAZING CONTORTIONIST- Woman serves and drinks tea with feet: http://bit.ly/15XnuMI
The world's smallest dog: Milly the Chihuahua awarded the record: http://bit.ly/15mWunp
Wow! Take a look at the world's biggest motorbike: http://bit.ly/14RXQ5E
That's a lot of people covered in paint! World record broken: http://bit.ly/137Rtc3
The shortest woman in the world heads to Hollywood: http://bit.ly/16kJ2Nl
Move out of the way! It's the world's smallest car: http://bit.ly/1do8AhK
The world's longest nails continue to grow: http://bit.ly/1a39dLQ
Have you seen the world's longest tongue? It's nearly 10 centimetres: http://bit.ly/1gxmqhC

See 2013's Most Watched Videos: http://bit.ly/14iM9r5

See our Biggest Videos of All Time: http://bit.ly/11GI36D

See 2012's Most Watched Videos: http://bit.ly/18R1boW",11229723,39990,,2619,PT1M1S
9,Rbfl9yjTWjI,On Demand News,Footage of Couple Kidnapped by Somali Pirates,2009-11-20T20:46:29Z,25,"'Footage of Couple Kidnapped by Somali Pirates'

Paul and Rachel Chandler, the British couple kidnapped by Somali pirates, say their captors are ""losing patience"" as they wait for ransom negotiations to begin. 

In October 2009 the Chandlers set sail from the Seychelles for Tanzania. Ninety miles offshore, their small yacht was boarded by armed Somali pirates, who held them hostage on land for more than a year, demanding a ransom of millions.

They were held hostage for 388 days and freed when a private ransom was paid, mostly be members of their extended family.

#Somalia #Pirates #Footage",10319171,235074,,28391,PT2M5S
