,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,ZlRObEeuuJM,Al Jazeera English,Is Bangladesh a one-party state? | Head to Head,2019-03-01T05:37:50Z,25,"In this episode of Head to Head, Mehdi Hasan challenges Gowher Rizvi, the International Affairs advisor to the Prime Minister of Bangladesh, on the state of the country’s democracy and whether it is heading towards authoritarianism.

Once one of the poorest countries in the region, Bangladesh’s economy has been booming over the last decade, with economic growth faster than its neighbours, India and Pakistan. It also boasts lower infant mortality and longer life expectancy than its peers. 

However, human rights groups warn that the country is becoming increasingly autocratic, accusing the government of clamping down on any form of dissent and hounding and locking up its political rivals. 

In recent elections Bangladesh’s ruling party, the Awami League, reasserted its power following a landslide general election victory. The opposition rejected the results, amid violence which saw 17 killed and allegations of vote-rigging and intimidation. 

Our guest on Head to Head is Gowher Rizvi, close ally of Prime Minister Sheikh Hasina and advisor on international affairs.  Mr Rizvi is also a renowned historian and former Oxford University scholar.  

We challenge Mr Rizvi on Sheikh Hasina’s government’s record in office and whether it is increasingly trying to silence its critics. We also ask him about the ongoing Rohingya crisis, where over 1 million refugees have fled Myanmar and are living in camps in Bangladesh. Is Bangladesh doing enough to help?

We are joined by a panel of three experts:

Saida Muna Tasneem, Bangladesh's High Commissioner to the UK and Ireland.

Abbas Faiz, South Asia analyst at Essex University, previously worked for Amnesty International for more than 30 years.

Tasneem Khalil, Swedish Bangladeshi journalist, author of Jallad: Death Squads and State Terror in South Asia.

Is Bangladesh a one-party state? with Gohwer Rizvi will be broadcast on March 1 at 20:00 GMT and will be repeated on March 2nd at 12:00 GMT, March  3rd at 01:00 GMT and March 4th at 06:00 GMT.

Head to Head is Al Jazeera's forum for ideas, a gladiatorial contest tackling big issues such as faith, nationalism, democracy and foreign intervention, in front of an opinionated audience at the Oxford Union.

Follow us on:  https://www.facebook.com/AJHeadToHead and @AJheadtohead 

Watch previous Head to Head shows here: https://www.aljazeera.com/programmes/headtohead/episodes.html 

#Gowher_Rizvi_Al_Jazeera

- Subscribe to our channel: http://aje.io/AJSubscribe 
- Follow us on Twitter: https://twitter.com/AJEnglish 
- Find us on Facebook: https://www.facebook.com/aljazeera 
- Check our website: https://www.aljazeera.com/

#AlJazeeraEnglish #Bangladesh #HeadtoHead",15297248,135540,,16985,PT48M19S
1,SIFvY06_-1Q,Al Jazeera English,Living in Mexico’s kill zone | The Full Report,2021-06-01T10:05:05Z,25,"Michoacan state is an epicenter of Mexico's violence. While cartels, vigilantes & authorities fight, the population's trapped in the middle. Al Jazeera spent a month on the ground in the state to investigate.

@johnrichardful 

- Subscribe to our channel: http://aje.io/AJSubscribe 
- Follow us on Twitter: https://twitter.com/AJEnglish 
- Find us on Facebook: https://www.facebook.com/aljazeera 
- Check our website: https://www.aljazeera.com/ #Thefullreportaljazeera  #Pakistan #pakistanflood2022  #2022flood #fullreport  #news",8530190,64375,,8535,PT25M51S
2,i-DibXXjW4g,Al Jazeera English,Algerian Wedding | Al Jazeera World,2014-06-25T13:00:37Z,25,"A rare glimpse at people's daily lives in western Algeria as we go behind the scenes at three different weddings.

Summer in Algeria - the largest Arab country in the world and the biggest in the African continent - is a popular time of year for traditional, elaborate weddings, particularly in the lead-up to Ramadan.

At the heart of these celebrations are the brides with their hand-made outfits, their jewellery and the henna parties; as well as the delicious food that accompanies every step of the marriage process. Plus the music and armed horsemen in tribal war dress.

This colourful film takes us through the rituals and significance of Algerian traditions by following three different wedding ceremonies.

We speak to heritage researchers about Algeria's marriage traditions and see how engagements and arrangements are formalised. This film is an intimate look at the preparations and rituals of these rich and sumptuous family celebrations.

- Subscribe to our channel: http://bit.ly/AJSubscribe
- Follow us on Twitter: https://twitter.com/AJEnglish
- Find us on Facebook: https://www.facebook.com/aljazeera
- Check our website: http://www.aljazeera.com/

#AlJazeeraEnglish #AlgerianWedding #AlgerianTraditions",6182179,27921,,8821,PT47M5S
3,8ipzwxXjAcA,Al Jazeera English,The Philippines' Baby Factory | 101 East,2018-01-18T09:50:57Z,24,"The Philippines' Baby Factory: They call it the ""baby factory"". At the Dr. Jose Fabella Memorial Hospital in the Philippines' capital, Manila, an infant is born every 12 minutes. Many of the new mothers are teenagers, some just 13.

This devoutly Catholic nation, where abortion is illegal, is the only Asian country where teenage pregnancy has increased in the last two decades.

Authorities say they want to reduce the birth rate, but the fight to make contraception readily available has been plagued by setbacks.

101 East investigates why children are having babies in the Philippines and meets some of the country's youngest mothers. 

More on 101 East: 

Facebook: http://facebook.com/101east
Twitter: http://twitter.com/aj101east
Instagram: http://instagram.com/aj101east
Homepage: http://aljazeera.com/programmes/101east

#AlJazeeraEnglish #Philippines #101East",5463144,40666,,10280,PT25M45S
4,ecUchA2NsB8,Al Jazeera English,Who are the Taliban? | Start Here,2021-05-30T13:00:13Z,25,"Who are the Taliban?
The Taliban have been fighting the Afghan government and its allies for decades. 
Now the US is pulling its soldiers out of Afghanistan and the Taliban seem stronger than ever. 
Who are the Taliban really? And how is it that they have so much power? 

Subscribe to our channel  http://bit.ly/AJSubscribe
Follow us on Twitter https://twitter.com/AJEnglish
Find us on Facebook https://www.facebook.com/aljazeera
Check our website:  http://www.aljazeera.com/
@Sandra Gathmann

#AlJazeeraEnglish
#AJStartHereExplainer
#AlJazeeraDigitalShows
#Taliban",5340421,77862,,16445,PT8M56S
5,866fXIAZsDk,Al Jazeera English,Piracy in Nigeria | People & Power,2016-11-17T11:06:25Z,24,"The event followed a now familiar pattern: a small convoy of dusty 4x4 vehicles drove on to the edge of the airstrip at Galkayo in Puntland, north-central Somalia; armed security guards took up watchful positions nearby and a number of bemused-looking men stepped gingerly from the cars and lined up to have their photographs taken by the media.

On this occasion there were 11 of them; all had been hostages until that morning. They were sailors from a Malaysian cargo vessel that had been hijacked by Somali pirates a few years ago and held until a ransom was paid for their release.

One of them gave a brief account of what had happened. ""On November 26, 2010 our ship was hijacked in the Indian Ocean. Their demand was 20 million. After that, they threatened the owner. You now increase money or we will shoot the crew. The owner didn't increase the money and then one Indian is shot with just three bullets. Then they hit us and tortured us. Tell your family to bring us money, otherwise we will kill you!""

The crew had been held for three and a half years but they were the fortunate ones. Five of their crew mates had died in that time. Now the survivors were going home and a UN plane with two envoys on board was flying in to see them to safety.

Such scenes have become relatively commonplace in Galkayo in recent times. Eighty percent of global trade is carried by sea and Somalia sits on a key maritime route linking Europe and Asia. More than 18,000 ships pass its shores every year. Over the past decade, Somali pirates, often former fishermen whose traditional livelihoods have been destroyed by foreign trawlers and toxic waste dumping, have attacked more than 300 vessels and kidnapped 700 people.

Faced with such a threat, the international community responded aggressively. In 2008, European states, the US and others began sending naval forces to these seas. They are still there today - warships, planes and helicopters patrolling thousands of square miles and doing a fair job of keeping the hijackers at bay. The UN and others have also played an increasing role in facilitating negotiations for the release of hostages - such as those set free at places such as Galkayo - for whose liberty large ransoms have been paid.

But if the problem is now slowly coming under control in Somalia, the same cannot be said for other parts of the world where piracy is on the increase. Lawlessness, desperation, poverty, greed and even political radicalism have brought the phenomenon to the waters of South America, Asia and, perhaps most aggressively, to West Africa.  

In an effort to understand the reasons why, Bertrand Monnet, a French academic and filmmaker, has been travelling to piracy hot spots around the coast of Africa. In an extraordinary and very tense series of encounters, he came to face to face with heavily armed pirate gangs operating in and around the Niger Delta, where Nigeria's huge offshore oil industry, which employs thousands of expatriates, offers rich ransom pickings. It gradually became clear that piracy in West Africa has many of the same root causes as piracy in Somalia and elsewhere, not least of which is that those who don't share in the benefits and profits of global trade have ever fewer reasons these days to respect the security of those who do. 

Source: Al Jazeera


- Subscribe to our channel: http://aje.io/AJSubscribe
- Follow us on Twitter: https://twitter.com/AJEnglish
- Find us on Facebook: https://www.facebook.com/aljazeera
- Check our website: http://www.aljazeera.com/",5104392,27464,,3249,PT25M1S
6,rvkEpstd9os,Al Jazeera English,The Boeing 787: Broken Dreams l Al Jazeera Investigations,2014-09-10T16:00:12Z,25,"This is a major project by the Al Jazeera Investigative Unit focusing on the 787 “Dreamliner”, the flagship passenger jet of the Boeing Company.
 
Our journalism reveals the deeply-held safety concerns of current and former Boeing engineers, who in some cases fear to fly on the 787, the plane they build.

We uncover allegations of on-the-job drug use, quality control problems and poor workmanship.
 
We explore the roots of the battery problems that led to the plane’s grounding due to safety concerns for three months from January 2013.

For more on the investigation, visit http://www.aljazeera.com/boeing787

Senior Producer/Director: Marc Shaffer
Producer/Director of Photography/Editor: Colin McIntyre
Producer: Kevin Hirten
Reporter/Producer: Will Jordan
Music Composer: Ryan Whittier
Additional Music: Sean Hirten

#AlJazeeraInvestigations #Boeing787 #BrokenDreams",5055201,20287,,6024,PT48M23S
7,g8J6s7qSUbY,Al Jazeera English,🏍️ Isle of Man TT: A Dangerous Addiction | Al Jazeera Correspondent,2012-11-02T08:00:11Z,17,"The Isle of Man TT is described as the world's most dangerous race, a complicated and unforgiving course. Yet every year more and more motorcycle enthusiasts come to this tiny British island to race in the event. Is it some kind of fatal attraction?


- Subscribe to our channel: http://aje.io/AJSubscribe
- Follow us on Twitter: https://twitter.com/AJEnglish
- Find us on Facebook: https://www.facebook.com/aljazeera
- Check our website: http://www.aljazeera.com/",4209971,22547,,2157,PT48M9S
8,wp4YZdSz2aA,Al Jazeera English,Plastic Surgery: The Cost of Beauty | 101 East,2014-08-22T14:40:02Z,24,"Seoul, South Korea's capital, is at the heart of a growing obsession to look perfect.

In the Apgujeong district of Seoul, the streets are lined with endless rows of plastic surgery clinics. Business is booming. In South Korea, v-shaped jaws, double eyelids and dimpled smiles are all the rage and people from across the nation, and the world, are flocking to the clinics for plastic surgery, supporting an industry worth $5bn a year.

More than 4,000 clinics provide cosmetic surgery in Seoul, with an estimated 650,000 people a year going under the knife.

But the surgeries performed by some of the clinics do not always live up to patients' expectations and the quest for beauty and profits is putting lives at risk.

So Yi Yoon has suffered many medical problems since having plastic surgery, including not being able to close one of her eyes. She now works two jobs to pay off her debts and is suffering from depression.

On this edition of 101 East, we look at what is driving the growth of this booming business and at what price to individuals and the wider Korean society?

101 East delves into Korea's plastic surgery craze and uncovers the real price of pursuing physical perfection.

More from 101 East on:

YouTube - http://aje.io/101eastYouTube
Facebook - http://facebook.com/101east 
Twitter - http://twitter.com/aj101east 
Instagram - http://instagram.com/aj101east 
Website - http://aljazeera.com/101east

#Plastic_Surgery #Cosmetic_Surgery #Al_Jazeera_English",4200604,30234,,7759,PT25M15S
9,lfOgm1IcBd0,Al Jazeera English,The Spy in Your Phone | Al Jazeera World,2021-01-06T11:50:24Z,25,"In mid-2020, a mobile phone belonging to an Al Jazeera Arabic investigative team was hacked. Over the next few months, reporter Tamer Almisshal and the Canadian research group Citizen Lab investigated Pegasus, the sophisticated spyware used.

Pegasus is manufactured by an Israeli technology company called the NSO Group and is among the most advanced spyware in the world. It can access and infiltrate a smartphone without the owner clicking a link, opening an email or even answering their phone - meaning it can go undetected.

This investigation exposes how Pegasus works, how governments like Saudi Arabia and the UAE have bought the hugely expensive spyware and how it has been used beyond the stated intentions of the NSO Group of “developing technology to prevent and investigate terror and crime” - including to target journalists.",4139136,44169,,5643,PT47M7S
