,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,LUwj1-1-M1Q,BBC News,Sex addiction: Five times a day 'wasn't enough' - BBC News,2018-05-02T10:04:03Z,25,"A former sex addict says the condition took over her life and ruined her relationship.
Rebecca Barker, 37, originally from North Yorkshire but now living in France, said she wanted sex with her partner five times a day at the height of her addiction.
Her story comes as the charity Relate calls for more help to be available on the NHS for sex addicts.

Please subscribe HERE http://bit.ly/1rbfUog",24975741,84845,,,PT1M22S
1,RwTAgom_VX8,BBC News,Mia Khalifa: Why I’m speaking out about the porn industry - BBC News,2019-09-07T10:57:37Z,25,"The human preoccupation with sex is nothing new – but the internet has made it so much easier to explore and exploit every shade of desire. The online porn industry makes billions of dollars in profit every year, but the big winners are corporate players, not the women and men performing the sex acts. Stephen Sackur interviews Mia Khalifa. 

She was briefly a porn actress, garnering worldwide notoriety when she appeared in a sex video wearing the Islamic hijab. After years of threats and insecurity, she’s speaking out. What does her story tells us about the porn industry and 21st century culture?

Please subscribe HERE http://bit.ly/1rbfUog",17260959,213156,,,PT7M12S
2,LQicq60aJaw,BBC News,FULL Interview: Prince Harry and Meghan Markle  - BBC News,2017-11-27T19:38:39Z,25,"Prince Harry, aged 33, and Ms Markle, aged 36, are to marry in the spring
He said the ""stars were aligned"" when they fell in love and he proposed over roast chicken
Appearing for photos outside Kensington Palace earlier, Prince Harry said he was ""thrilled""
The couple secretly got engaged earlier this month
The Queen and Prince Philip are ""delighted for the couple""
Ms Markle is an actress and humanitarian campaigner

Please subscribe HERE http://bit.ly/1rbfUog

World In Pictures https://www.youtube.com/playlist?list=PLS3XGZxi7cBX37n4R0UGJN-TLiQOm7ZTP
Big Hitters https://www.youtube.com/playlist?list=PLS3XGZxi7cBUME-LUrFkDwFmiEc3jwMXP
Just Good News https://www.youtube.com/playlist?list=PLS3XGZxi7cBUsYo_P26cjihXLN-k3w246",13405060,112302,,23723,PT20M26S
3,6VixqvOcK8E,BBC News,Ben Shapiro: US commentator clashes with BBC's Andrew Neil - BBC News,2019-05-10T21:49:00Z,25,"He has more than 2 million followers on Twitter, 600,000 YouTube subscribers and his videos on the Daily Wire channel rack up millions of views.

Ben Shapiro is a controversial figure but one of the US' leading conservative political commentators. His book, The Right Side of History: How Reason and Moral Purpose Made the West Great, is a New York Times bestseller.

In a spiky Politics Live interview with Andrew Neil, Mr Shapiro refers to an incident which took place between Trump campaign manager, Corey Lewandowski and Breitbart reporter Michelle Fields in 2016.

Although a charge was brought at the time against Mr Lewandowski, Florida prosecutors dropped the case.

This is an unedited version of their interview, which was terminated by Mr Shapiro.

#BenShapiro #BBCNews

Please subscribe HERE http://bit.ly/1rbfUog",12755242,198789,,149997,PT16M7S
4,PmV631kroUU,BBC News,India overwhelmed by world’s worst Covid crisis - BBC News,2021-04-25T21:19:30Z,25,"International help is being pledged for India as it battles a ferocious second wave of coronavirus, described by Prime Minister Narendra Modi as a storm that has shaken the nation.

Almost 350,000 new infections were recorded in India in the latest 24 hour period - a record number for the fourth day in a row. 

As the epidemic continues to grow hospitals are under intolerable pressure - with shortages of beds and critical supplies including oxygen. 

Mishal Husain presents BBC News at Ten reporting by Yogita Limaye in Delhi and diplomatic correspondent Paul Adams. 

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",12054626,152924,,28963,PT5M24S
5,ZpIwMt5JAQ8,BBC News,'You killed a million people in Iraq' George Galloway tells Jacqui Smith - BBC News,2014-09-26T13:47:14Z,25,"Subscribe to BBC News www.youtube.com/bbcnews
George Galloway told a former member of Tony Blair and Gordon Brown's cabinets she killed one million people in Iraq. The former Labour MP, now a Respect MP, turned on Jacqui Smith as they looked ahead to Friday's vote in Parliament on possible UK military action in the Middle East.

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcworldnews 
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",11591438,167235,,25696,PT1M19S
6,LKXvdyNz6L8,BBC News,Mariana Trench: Record-breaking journey to the bottom of the ocean - BBC News,2019-05-14T14:50:10Z,28,"An American explorer has descended nearly 11km (seven miles) to the deepest place in the ocean - the Mariana Trench in the Pacific.

Victor Vescovo spent four hours exploring the bottom of the trench with the risk of his submersible imploding if anything were to go wrong.

The dive was later verified to be 10,972m and Victor became the first person to reach the deepest part of the Pacific Ocean.


Please subscribe HERE http://bit.ly/1rbfUog",9938988,133395,,9340,PT2M14S
7,MLPYAKL-f2M,BBC News,BBC journalist reports from British warship as Russia “fires warning shots” - BBC News,2021-06-23T21:28:49Z,25,"Tensions have escalated sharply between Russia and the United Kingdom, on the seas off the coast of Crimea. 

More than 20 Russian aircraft and two coastguard ships were shadowing a British warship, HMS Defender, when the Russians claim they've fired warning shots and dropped bombs in the path of the British ship, accusing it of violating Russian territorial waters. The British deny that account.

Russia annexed Crimea from Ukraine in 2014 and claims the peninsula and its waters are Russian territory.  However  the UK says HMS Defender was passing through Ukrainian waters, in an internationally recognised route.

The only broadcast journalist on board HMS Defender was from the BBC.

Huw Edwards presents BBC News at Ten reporting by Jonathan Beale, who describes the hostile warnings from Russia and HMS Defender’s response the confrontation.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",8537681,65800,,26075,PT5M54S
8,UXR_bqyAy4E,BBC News,Chaos in Washington as Trump supporters storm Capitol and force lockdown of Congress - BBC News,2021-01-06T22:27:24Z,25,"Thousands of supporters of President Trump have stormed the US Capitol building, venting their anger at the victory of Joe Biden in the presidential election. 

They forced the evacuation and lockdown of Congress, where lawmakers were preparing to approve the election result. 

Shortly before the clashes President Trump had addressed his supporters near the White House telling them that he would never accept defeat. 

President-elect Biden called on Mr Trump to tell his people to go home and eventually that was the message delivered from the White House.

Washington’s Mayor ordered a curfew as members of the US National Guard were deployed to protect the city. 

Huw Edwards presents BBC News at Ten reporting by North America editor Jon Sopel in Washington and from Aleem Maqbool and Lebo Diseko at the Capitol.

Please subscribe HERE http://bit.ly/1rbfUog",8000331,69544,,44368,PT11M47S
9,Y5yCbi4qcpk,BBC News,Taliban seize power in Afghanistan as President flees country - BBC News,2021-08-15T21:30:16Z,25,"The Taliban have taken control of Afghanistan, occupying the capital Kabul after President Ashraf Ghani fled the country.

Taliban forces occupied the Presidential Palace, from where they are preparing to announce that they are the new rulers of an “Islamic Emirate of Afghanistan”. 

It’s the culmination of a lightning takeover by the Islamist fighters, following the decision by the United States and other coalition nations to withdraw all troops from Afghanistan.   

Coalition troops first entered the country in 2001 following the 9/11 attacks and removed the Taliban from power.   20 years of fighting to support the new Afghan government cost thousands of lives. 

The decision of the US President Joe Biden to withdraw all US forces by September paved the way for the final Taliban offensive that overwhelmed the Afghan government's forces.

Foreign nationals and many Afghans have been trying to get on flights out of Kabul airport, where US and British troops have been deployed to aid the evacuation. 

Mishal Husain presents BBC News at Ten reporting by diplomatic correspondent Paul Adams, Malik Mudassir in Kabul, political correspondent Ben Wright and north America editor Jon Sopel. 

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",7818131,93120,,32076,PT13M31S
