,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,-avpx8UTakI,CBC News,Oil change scams: Hidden camera investigation on what really happens to your car (CBC Marketplace),2014-09-10T17:52:18Z,25,"CBC Marketplace finds aggressive upselling and services paid for but not performedTo read the full story:
http://www.cbc.ca/1.2418675. Originally broadcast Nov 8, 2013. 

When you trust someone else to take care of your car, can you trust that they're not taking you for a ride? Our undercover investigation reveals ripoffs at a popular oil change chain. We're going in for the advertised $19.99 oil change, but you won't believe the charges we end up with. And did they even do the work? We go up on the hoist to show you what’s really going down at these oil change shops.

More from CBC Marketplace, Canada's top consumer affairs show:
Watch episodes online at http://cbc.ca/marketplace
Like us on Facebook: http://facebook.com/cbcmarketplace
Talk to us on Twitter: http://twitter.com/cbcmarketplace 
Follow our hosts @cbctom and @cbcerica",44751678,284485,,34373,PT21M9S
1,bvlzZnhZhrc,CBC News,Locksmith ripoffs: Hidden camera investigation (Marketplace),2020-01-11T01:00:03Z,25,"Who do you call when you're locked out of your home? A locksmith. But industry experts tell us some of them are duping customers with the promise of a quick and cheap fix, only to end up ripping you off. CBC Marketplace uncovers a network of fake local business locations and fake five-star reviews cluttering Google Maps in the Greater Toronto Area.

We also rig up a house with hidden cameras to test locksmiths advertising their services online, and expose how some companies use low prices, fake names, fake addresses and fake reviews to lure you in. Google says it is now auditing every locksmith listing in Canada following our investigation.

To read more: https://www.cbc.ca/1.5417931  


»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",20064842,194200,,17583,PT20M47S
2,jBpMe36GoW0,CBC News,Car dealership ripoff: Hidden-camera investigation,2017-09-23T17:07:03Z,25,"Car dealership hidden-camera investigation reveals how service centres upsell you on unnecessary work.
To read more: http://cbc.ca/1.4300557

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",18032946,107197,,18459,PT22M27S
3,HiMXjqP2SUA,CBC News,Inmate kills cellmate and hides body without guards noticing,2017-10-12T16:15:27Z,25,"Video shows inmate killing cellmate and hiding the body without guards noticing. The newly released surveillance video was taken at the Elgin-Middlesex Detention Centre in London, Ont.
To read more: http://cbc.ca/1.4350212

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",16864284,93984,,,PT3M30S
4,sOboCgIhcfk,CBC News,Tow truck tricks: Don't get scammed after an accident (CBC Marketplace),2015-12-04T23:53:18Z,25,"Marketplace investigates tow trucks that can take you for a ride after an accident. For more: http://www.cbc.ca/marketplace/episodes/2015-2016/tow-truck-tricks
Get our newsletter http://cbc.ca/marketplace/watchdog
Facebook: http://facebook.com/cbcmarketplace
Twitter: http://twitter.com/cbcmarketplace 
Instagram: http://instagram.com/cbcmarketplace

»»» Subscribe to CBC News to watch more videos:   https://www.youtube.com/user/cbcnews?sub_confirmation=1

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://www.cbcnews.ca
Find CBC News on Facebook: https://www.facebook.com/cbcnews
Follow CBC News on Twitter: https://twitter.com/cbcnews
For breaking news on Twitter: https://twitter.com/CBCAlerts
Follow CBC News on Google+:  https://plus.google.com/+CBCNews/posts
Follow CBC News on Instagram: http://instagram.com/cbcnews
Follow CBC News on Pinterest: https://www.pinterest.com/cbcnews//
Follow CBC News on Tumblr: http://cbcnews.tumblr.com


»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",12647769,84890,,11208,PT16M59S
5,K3ksKkCOgTw,CBC News,The Secrets of Sugar - the fifth estate,2014-10-03T16:56:02Z,25,"We’ve heard for years about the dangers of eating too much fat or salt. But there have never been recommended limits for sugar on Canadian food labels, despite emerging research that suggests the sweet stuff may be making more of us fat and sick. In the fifth estate’s season premiere, Gillian Findlay digs into the surprising science — and the reaction from the food industry — to reveal The Secrets of Sugar. Has the sugar industry been hiding an unsavoury truth from consumers?

A small but influential group of medical researchers is stirring up the health debate, linking sugar not just to rising obesity rates but also to a host of diseases including cancer, heart disease and Alzheimer’s.

We put a family of four on a healthy diet to try to beat their sugar habit and track the surprising results. We talk to leading scientists – and their critics. And we ask the food industry why those ingredient labels are far from clear when it comes to how much sugar is really on your plate.

Original airdate : October 4th, 2013

For more on the fifth estate : http://www.cbc.ca/fifth
Follow us on Twitter : http://www.twitter.com/cbcfifth
Like us on Facebook : https://www.facebook.com/thefifthestate",11893962,93493,,7130,PT42M
6,I75qa0kTeY4,CBC News,Here's what's in your bottled water (Marketplace),2018-04-06T22:30:01Z,25,"Ever wonder what's lurking in your bottled water? Marketplace asked a lab to test five of the top-selling brands of bottled water in Canada, and microplastics were found in all of them.
To read more: http://cbc.ca/1.4575045

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",10541753,99508,,12121,PT17M5S
7,g2QZT89aRCs,CBC News,Busting phone scammers: Police raids shine light on overseas call centres (Marketplace),2020-02-15T01:00:04Z,25,"Marketplace journalists got exclusive access to an undercover RCMP investigation into major scam calls that have bilked Canadians of millions of dollars. For two years, we have zeroed in on scammers in Indian call centres targeting Canadians: posing as CRA tax agents, tech support workers or impersonating police and other government officials. Many of you have come forward with stories of being contacted by these scammers and asked why authorities can’t do more to stop these schemes. We’ve always wondered: Are there accomplices in Canada?

To read more: http://cbc.ca/1.5463838


»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",8589726,61992,,11143,PT22M31S
8,xctScalMkYs,CBC News,Rental car ripoffs: Hidden camera investigation (Marketplace),2020-02-01T01:00:05Z,25,"Three cars, three teams wearing hidden cameras, and one car rental company location with a long history of complaints and overcharging.  What happens when we send in our Marketplace team with some savvy consumers to fight back against those extra fees?
To read more: http://cbc.ca/1.5442260

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",6606827,52244,,,PT21M3S
9,Isa5c1p6aC0,CBC News,Twins get 'mystifying' DNA ancestry test results (Marketplace),2019-01-19T00:58:42Z,25,"CBC Marketplace investigates the science and marketing behind popular DNA ancestry kits. Host Charlsie Agro and her identical twin sister Carly test five top brands. Find out why ancestry test kits are not as accurate as you might think. To read more: https://www.cbc.ca/1.4980976

»»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

Connect with CBC News Online:

For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX
Find CBC News on Facebook: http://bit.ly/1WjG36m
Follow CBC News on Twitter: http://bit.ly/1sA5P9H
For breaking news on Twitter: http://bit.ly/1WjDyks
Follow CBC News on Instagram: http://bit.ly/1Z0iE7O

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

»»»»»»»»»»»»»»»»»»
For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.",5446227,70410,,14531,PT21M15S
