,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,JvEas_zZ4fM,CNBC Television,Watch CNBC's full interview with Berkshire Hathaway CEO Warren Buffett,2020-02-24T19:58:45Z,25,"Berkshire Hathaway's chairman and CEO Warren Buffett sat down with CNBC's Becky Quick on Monday to answer viewer questions and discuss the top news stories of the morning.

For more Warren Buffett, check out Squawk Pod:
    
» Subscribe on Google Play: https://play.google.com/music/m/Imbb7bptxdyljmmabn7svbhzd4m?t=Squawk_Pod
» Subscribe on Apple Podcasts: https://podcasts.apple.com/us/podcast/ask-warren-buffett/id1480890290?i=1000466545028
» Subscribe on Spotify: https://open.spotify.com/show/6zG3vq4UQ0xDRVOs8eGAMi?si=J39_0ed9RNSOASe5xCQFlA
» Listen on Stitcher: https://www.stitcher.com/podcast/cnbc/squawk-pod/e/67565551

For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://www.cnbc.com/pro/?__source=youtube
 
» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic
 
Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC
 
#CNBC
#CNBC TV",13282947,50505,,7628,PT2H58S
1,dTa_cIj1b4o,CNBC Television,"16,000 foreign fighters flock to Ukraine to fight Russia",2022-03-04T00:53:38Z,25,"CNBC's Perry Russom joins Shep Smith to report on volunteers from outside Ukraine who are going to the country to fight against the Russian invasion. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.
 
The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",5234605,73156,,14906,PT3M30S
2,gfN4P1cCveY,CNBC Television,School shooter in Michigan kills 3 students,2021-12-01T00:38:57Z,25,"WEYI reporter Stephanie Parkinson joins Shep Smith to report on another school shooting, this one in Michigan, where a 15-year-old killed three students and wounded 8 more people, including a teacher. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic 

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",2167812,13806,,9447,PT2M55S
3,-F7UQUsFQgQ,CNBC Television,"Putin has already begun to cannibalize his own regime, says investigative journalist",2022-03-17T23:37:35Z,25,"Investigative journalist Michael Weiss joins Shep Smith to discuss what’s really going on in Ukraine and how long Putin’s invasion can continue. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.
 
The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",1958986,20336,,3026,PT3M22S
4,EOLJ9HjRhGs,CNBC Television,"At least 6 dead in massive I-35 wreck in Fort Worth, Texas",2021-02-12T00:37:24Z,25,"NBC's Morgan Chesky reports ice was one of the factors that led to the massive pileup on I-35 in Fort Worth, Texas. The accident killed six people and more than 130 cars were involved. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",1894542,9301,,2430,PT2M40S
5,229Fi8fOtho,CNBC Television,Coronavirus: Why Germany has been so successful in dealing with COVID-19,2020-04-13T19:56:15Z,25,"A look at why Germany has been so successful in dealing with the pandemic, and has been able to keep its coronavirus death rate so low, compared to other nations, with Jens Spahn, Germany's health minister.

The world is reeling from the coronavirus pandemic, and some countries are reeling more than others.

But Germany seems to be taking the epidemic in its stride with a high number of cases but a low number of deaths, thanks to a number of factors.

In Europe, while Italy and Spain are the worst hit countries with over 100,000 cases each, as of Friday, Germany has recorded 84,794 confirmed cases but has witnessed just 1,107 deaths, according to data from Johns Hopkins University.

The low mortality rate in Germany, at just over 1%, is far below its neighboring European countries, and this has been put down to Germany’s decision to implement widespread testing of people suspected of having the virus, as opposed to Italy or the U.K.’s decision to only test symptomatic cases.

Karl Lauterbach, a professor of health economics and epidemiology at the University of Cologne, and a politician in the Social Democratic Party (SPD) of Germany, told CNBC that Germany’s less severe experience of the pandemic so far was down to a handful of factors.

“I think so far we’ve been lucky because we were hit by the wave of new infections later than many other European countries, for example Italy, Spain and France,” he told CNBC Thursday.

For more coronavirus live updates:
https://www.cnbc.com/2020/04/13/coronavirus-latest-updates.html 

For access to live and exclusive video from CNBC subscribe to CNBC PRO: 
https://cnb.cx/2JdMwO7 
 
» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic
 
Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC
 
#CNBC
#CNBC TV",1589241,38448,,12771,PT9M8S
6,qCRZHnX7PwY,CNBC Television,"WHO, vaccine makers move quickly against new omicron Covid variant",2021-11-27T00:28:11Z,25,"CNBC's Meg Tirrell reports on the latest data from the omicron covid variant, which the World Health Organization has labeled a ""variant of concern."" For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

The World Health Organization on Friday labeled a new heavily mutated strain of Covid-19 a variant of concern.

“This variant has a large number of mutations, some of which are concerning,” the WHO said in a statement released Friday. “Preliminary evidence suggests an increased risk of reinfection with this variant, as compared to other VOCs.”

The variant, first known as B.1.1.529 and now named omicron, has been detected in small numbers in South Africa, WHO officials said. However, the number of omicron cases “appears to be increasing” in almost all of South Africa’s provinces, the WHO reported on Friday. The omicron variant has since been found in the U.K., Israel, Belgium, the Netherlands, and Hong Kong.

Here’s what we know so far:

Multiple mutations

South African scientist Tulio de Oliveira said in a media briefing held by the South Africa Department of Health on Thursday that the variant contains a “unique constellation” of more than 30 mutations to the spike protein, the component of the virus that binds to cells. This is significantly more than those of the delta variant.

Many of these mutations are linked to increased antibody resistance, which may affect how the virus behaves with regard to vaccines, treatments and transmissibility, health officials have said.

De Oliveira said the variant contains around 50 mutations in total. The receptor binding domain, the part of the virus that first makes contact with cells, has 10 mutations, far greater than just two for the delta Covid variant, which spread rapidly earlier this year to become the dominant strain worldwide.

This level of mutation means it’s possible that it came from a single patient who could not clear the virus, giving it the chance to genetically evolve. The same hypothesis was proposed for the alpha Covid variant.

Maria Van Kerkhove, the WHO’s technical lead on Covid-19, said in a livestreamed Q&A on Thursday that scientists “don’t know very much about this yet” and that it would take a few weeks to gain a full picture of how the variant reacts to existing vaccines.

‘Most significant variant’ to date

The U.K. immediately moved to ban flights from South Africa, Lesotho, Botswana, Namibia, Eswatini and Zimbabwe from noon Friday to 4 a.m. local time Sunday.

The U.K. Health Security Agency is investigating the variant, which Health Secretary Sajid Javid said is “potentially concerning.” No cases have yet been identified in the U.K., and Javid emphasized that although more data is needed at this early stage, the government had opted to take precautions.

“This is the most significant variant we have encountered to date and urgent research is underway to learn more about its transmissibility, severity and vaccine-susceptibility,” said U.K. HSA Chief Executive Jenny Harries.

Israel has also barred travel to several southern African nations over the new variant, as well as Singapore and other nations. Israel has reported one case of the new variant in a traveler returning from Malawi.

Israeli Prime Minister Naftali Bennett met with health experts Friday to discuss the country’s response, which could reportedly include declaring a state of emergency.

Belgium on Friday afternoon became the first European country to report a case of the B.1.1.529 variant.

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic 

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",1510343,9074,,11991,PT3M55S
7,iDKm7feXJDw,CNBC Television,Mike Pence and Kamala Harris face off in the only vice presidential debate — 10/7/2020,2020-10-08T03:13:02Z,25,"Vice President Mike Pence and Sen. Kamala Harris will lock horns in Salt Lake City on Wednesday night in their first and only debate of the 2020 campaign. With less than four weeks until Election Day and the White House now a coronavirus hot spot, the pandemic’s presence looms larger than ever over the nation, and the political fortunes of incumbent President Donald Trump and his rival, former Vice President Joe Biden.


» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

#CNBC
#CNBCTV
Mike Pence and Kamala Harris face off in the first and only vice presidential debate — 10/7/2020",1484619,14695,,14461,PT1H30M25S
8,jPsOsrQ3PSo,CNBC Television,Man intentionally drives SUV into a crowded holiday parade,2021-11-23T00:36:36Z,25,"CNBC's Perry Russom joins The News with Shepard Smith to report on the man who drove an SUV into a holiday parade in Waukesha, Wisconsin. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic 

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",1470227,7835,,6199,PT3M43S
9,5zkIDLk9Qao,CNBC Television,Jay Leno tries to break record in Tesla's new Model S Plaid on 'Jay Leno's Garage',2021-06-11T23:49:58Z,25,"Comedian Jay Leno, host of ‘Jay Leno’s Garage’ joins ‘The News with Shepard Smith’ to discuss Tesla's new Model S Plaid. He tried to break the the car's speeding record during a test drive on his show. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi 

» Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision
» Subscribe to CNBC: https://cnb.cx/SubscribeCNBC
» Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic 

Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide.

The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast 
 
Connect with CNBC News Online
Get the latest news: http://www.cnbc.com/
Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC
Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC
Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC
Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC

https://www.cnbc.com/select/best-credit-cards/ 

#CNBC
#CNBCTV",1337926,19563,,3469,PT3M42S
