,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,fHxO0UdpoxM,Channel 4 News,Liam Dutton nails pronouncing Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,2015-09-09T09:33:26Z,25,"It may be a mouthful to say, but Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch in north west Wales was one of the warmest places in the UK today.

And, it was no problem for our Welsh weather presenter Liam Dutton to mention it on today’s weather forecast.",62473217,1688842,,89178,PT20S
1,aMcjxSThD54,Channel 4 News,"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",2018-01-16T17:13:07Z,25,"Channel 4 News’ full, fiery interview with clinical psychologist and professor Jordan B Peterson, whose views on gender have amassed great controversy - and a huge online following. He discusses the pay gap, patriarchy and his new book ""12 Rules for Life."" Subscribe: http://bit.ly/2mFYm8e.",45279588,834498,,232517,PT29M56S
2,aAXOC3P0Knw,Channel 4 News,Virgins for sale in Colombia in 'world's biggest brothel',2014-09-18T11:05:30Z,25,"Subscribe to Channel 4 News: http://bit.ly/1sF6pOJ

The barrios of Medellin are controlled by criminals and are full of prostitutes, with virgins commanding the highest prices. Guillermo Galdos meets one woman who fears for her daughter's future.

Read more here: http://bit.ly/1mhQYNc

Sex trafficking in Mumbai: http://bit.ly/1tNpXo2

Watch more Dangerous World: http://bit.ly/1xY6K0X

Top stories: http://bit.ly/1wdbIG1",27699420,115657,,12432,PT11M53S
3,wjEBftl5axM,Channel 4 News,Osama bin Laden killed as raid is watched live by Obama,2011-05-02T21:02:10Z,25,Al-Qaeda leader Osama bin Laden is killed following a firefight with US special forces in Pakistan. It has emerged President Obama watched the operation via videolink from the US.,19425212,104087,,9172,PT4M54S
4,ALBwaO-rAsE,Channel 4 News,Robert Downey Jr full interview: star walks out when asked about past,2015-04-22T15:31:47Z,25,"Robert Downey Jr talks super heroes, Iron Man and his latest movie Avengers: Age of Ultron. But when the questions turn to his family and colourful past, the interview with Channel 4 News presenter Krishnan Guru-Murthy to an abrupt end. Full story: http://bit.ly/1bjv7QW",14498941,,,12634,PT7M8S
5,X2JHgZLNuPw,Channel 4 News,WWII enemies reunited in D-Day anniversary,2019-06-06T19:25:26Z,25,"A lot of time has passed, but how do British and German veterans view each other today?  

We introduced two of them to each other, for the first time. 

(Subscribe: https://bit.ly/C4_News_Subscribe) 

Putting politics to one side is difficult, but for German veterans coming back, the memories are no less painful. Thousands of them died on D-Day.  

We’re joined afterwards by two more British veterans - Bill Gladden and Dickie Forester. 

-----------------------   
 
Get more news at our site - https://www.channel4.com/news/  
 
Follow us: Facebook - https://www.facebook.com/Channel4News/   
 
Twitter - https://twitter.com/Channel4News",11280194,252409,,19998,PT10M56S
6,Zx6U3x2M3XA,Channel 4 News,Mosul offensive: Fighting ISIS on the frontline in Iraq,2017-02-09T15:29:01Z,25,"French cameraman Olivier Sarbil spent 6 weeks embedded with an elite unit of the Iraqi special forces as they struggled to recapture the city of Mosul that had fallen to Islamic State in just two days back in June 2014. Subscribe for more exclusives: http://bit.ly/LtASif.

Iraq's Prime Minister says his forces, backed by coalition airpower, have taken complete control of eastern portion of Mosul. But fierce fighting continues as Iraqi soldiers continue their push. 

This film was filmed and directed by Olivier Sarbil. Produced and directed by Teresa Smith, edited by Agnieszka Liggett and reported by Andy Davies. Translation by Nazar Alrawi.

For more like this documentary, subscribe here: https://www.youtube.com/channel4news.",6074907,53962,,7539,PT24M43S
7,Bn6fhvHuD_U,Channel 4 News,Russia Ukraine conflict: Armed volunteers resist Russian advance,2022-02-26T19:53:33Z,25,"Russian troops are just a few miles from the centre of Ukraine's capital Kyiv, as a defiant President Zelenskiy vowed that his country would stand its ground. 

(Subscribe: https://bit.ly/C4_News_Subscribe)

Despite Moscow's claim to be striking at military targets, residential areas of many cities have come under sustained attack, while key infrastructure including power plants, bridges and a dam supplying fresh water to Crimea have been hit.  

Ukraine said at least 198 people have so far been killed, including three children. 

There's now a round-the-clock curfew in place in Kyiv, its capture is Russia's primary military objective. 

In the capital, and in cities across the country like Kharkiv, the Ukrainian military seems to be holding out against Russian advances. 

But many sources are saying that the southern city of Melitopol has fallen. 

Tens of thousands of civilians have fled, heading for neighbouring countries in the west. 

Our chief correspondent Alex Thomson reports.

-------

Get more news at our site - https://www.channel4.com/news/ 

Follow us:
Facebook - https://www.facebook.com/Channel4News/
Twitter - https://twitter.com/Channel4News",4846796,30938,,9884,PT30M50S
8,FbUeJB3mN04,Channel 4 News,Saudi Arabia's human rights violations,2015-10-21T20:13:31Z,25,"Britain has signed an agreement to assist the Saudis with advice on policing, although there are precious few details on what that British involvement means.
Subscribe for more like this, every day: http://bit.ly/1epe41j
 
Dangerous world: http://bit.ly/1JCsSYb
The news explained: http://bit.ly/1epgay4
Music: http://bit.ly/1RVTRNy
Technology: http://bit.ly/1LI1K9y
 
Like us on Facebook: http://on.fb.me/1wQ1Gty
Follow us on Twitter: http://bit.ly/1mFUjBD",3973112,15071,,3861,PT3M18S
9,rB3ZJtfAI9M,Channel 4 News,The 'knife angel' removing weapons from British streets,2021-06-28T18:56:14Z,25,"Last week we looked at the growing crisis on our streets, with 2021 on course to become one of the worst on record for teenage homicides. Years of interventions and official initiatives seem to be making little impact, with 18 young people having been stabbed to death in London so far this year.  
(Subscribe: https://bit.ly/C4_News_Subscribe) 

We have been out with one community organisation, run by a man whose own experience of being stabbed has led him to try to rid the streets of knives. 

 -----------------------  

Follow us on Instagram - https://www.instagram.com/Channel4News",3587128,58549,,5674,PT6M4S
10,1x0G4NCBTzg,Channel 4 News,Black bank manager to sue Metropolitan Police for racial discrimination after 26-month nightmare,2020-06-12T18:56:23Z,25,"The Metropolitan Police have told us they will fully investigate allegations made by Dale Semper, a black bank manager, who says he was wrongfully targeted by officers, and faced accusations of money laundering, terrorism and trafficking in an investigation which lasted more than two years before being dropped with no apology. In this exclusive report, he told Channel 4 News, it has devastated his life. 

(Subscribe: https://bit.ly/C4_News_Subscribe) 
 -----------------------  
Follow us on Instagram - https://www.instagram.com/Channel4News",3533575,44823,,10194,PT14M58S
11,kc_Jq42Og7Q,Channel 4 News,Jaron Lanier interview on how social media ruins your life,2018-06-15T18:49:42Z,25,"Jaron Lanier, the Silicone Valley ‘computer philosopher', thinks social media is ruining your life.

(Click to subscribe for more Channel 4 News videos.
https://www.youtube.com/channel4news?sub_confirmation=1)

In this interview Jaron Lanier talks about Facebook, YouTube, Google and how the tech and social media giants are using algorithms to record data about their users - and how internet algorithms shape how we see the world and what we’re shown online.",3272725,83733,,12918,PT21M1S
12,CrB-Dv_liPs,Channel 4 News,"How Joaquin ""El Chapo"" Guzman escaped prison",2015-07-15T20:58:51Z,25,"He's Mexico's most notorious drug lord - and his escape from one of the country's top-security jails at the weekend was a severe embarrassment to the government. Now the authorities have released video from inside the cell that held ""Shorty"".
Subscribe for more like this, every day: http://bit.ly/1epe41j
 
Dangerous world: http://bit.ly/1JCsSYb
The news explained: http://bit.ly/1epgay4
Music: http://bit.ly/1RVTRNy
Technology: http://bit.ly/1LI1K9y
 
Like us on Facebook: http://on.fb.me/1wQ1Gty
Follow us on Twitter: http://bit.ly/1mFUjBD",2918697,18613,,789,PT2M46S
13,LMlVOBbuuig,Channel 4 News,"Ukraine: Russian forces attack civilians near Kyiv, as Mauripol evacuation halted for second time",2022-03-06T19:23:39Z,25,"Warning: There are distressing scenes from the beginning of this report.  (Subscribe: https://bit.ly/C4_News_Subscribe) 

They were trying to escape the wreckage of what was once their homes when they came under direct attack.

In Irpin, just outside Kyiv, at least three members of a family - including children - were killed.

To the south, renewed Russian shelling forced the Red Cross to abandon a second attempt to evacuate hundreds of thousands of people trapped in the besieged city of Mariupol. 

President Zelenskyy appealed to the West again to enforce a no-fly zone, something they have refused to do, but today US Secretary of State Antony Blinken said they have given the green light to Nato countries to provide fighter jets to Ukraine. 

 -----------------------  
Follow us on Instagram - https://www.instagram.com/Channel4News",2856411,20088,,8052,PT31M48S
