,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,0jvt8Js0OU0,Complex,Cristiano Ronaldo Goes Sneaker Shopping With Complex,2018-08-13T14:00:00Z,24,"Cristiano Ronaldo goes Sneaker Shopping with Joe La Puma at Honor 23 in Beijing, China in his first interview since joining Juventus, and talks about his humble beginnings growing up in Madeira, Nike making new sneakers for Juventus, and his son, Cristiano Jr., wanting to dress like his dad.


Looking for the best deal on a pair of sneakers? We just launched an app for that. Download the Sole Collector app now!: https://solecollector.com/app﻿


Subscribe to Complex on YouTube: https://www.youtube.com/complex?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex

Season 7
Episode 1

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",37180953,799762,,34985,PT9M35S
1,EvdzQdnZPcw,Complex,Billie Eilish Goes Sneaker Shopping With Complex,2019-03-04T15:00:04Z,24,"Billie Eilish goes Sneaker Shopping at Stadium Goods in New York City and talks about how Riff Raff's music got her into Jordans, potentially working with Jordan Brand on a shoe, and why she likes men's sneakers.

Looking for the best deal on a pair of sneakers? We just launched an app for that. Download the Sole Collector app now!: https://solecollector.com/app﻿


Subscribe to Complex on YouTube: https://www.youtube.com/channel/UCE_--R1P5-kfBzHTca0dsnw?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex
https://plus.google.com/+complex/

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",27848969,635118,,33954,PT9M39S
2,7MZt8wcURSM,Complex,Neymar Goes Sneaker Shopping With Complex,2017-07-24T14:00:01Z,24,"International soccer star Neymar goes Sneaker Shopping with Joe La Puma at Flight Club in Los Angeles and talks about meeting Michael Jordan and spending a record-setting $18,000 plus on shoes.

Looking for the best deal on a pair of sneakers? We just launched an app for that. Download the Sole Collector app now!: https://solecollector.com/app﻿



Subscribe to Complex on YouTube: https://www.youtube.com/complex?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex

Season 4
Episode 25

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",26106302,432363,,21458,PT8M25S
3,39nNRQ1gR3c,Complex,Eminem Goes Sneaker Shopping With Complex,2017-12-18T15:00:01Z,24,"Eminem goes Sneaker Shopping with Joe La Puma at Burn Rubber in Detroit in a rare sneaker interview, and reveals that his Air Jordan IV collaboration is coming back and says he doesn't mind people reselling his friends-and-family sneakers.

Looking for the best deal on a pair of sneakers? We just launched an app for that. Download the Sole Collector app now!: https://solecollector.com/app﻿

Get your Sneaker Shopping merch here: https://shop.complex.com/collections/complex

Subscribe to Complex on YouTube: https://www.youtube.com/complex?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex

Season 5
Episode 18

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",24913441,522755,,28646,PT9M13S
4,lE3rRoMk9zo,Complex,Old People Try Lean for the First Time | Complex,2015-04-01T04:00:00Z,24,"This is what happens when senior citizens sip the sizzurp.

Subscribe to Complex for More: http://goo.gl/PJeLOl
Check out more of Complex here:
http://www.complex.com
https://twitter.com/ComplexMag
https://www.facebook.com/complex
https://www.instagram.com/complex/
https://plus.google.com/+complex/

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.

Don C goes Sneaker Shopping with Complex from Complex.",22529189,396538,,24216,PT3M33S
5,8-FWx5e3UdY,Complex,The Ball Family Goes Sneaker Shopping With Complex,2017-06-05T14:00:00Z,24,"LaVar, Lonzo, LiAngelo, and LaMelo Ball go Sneaker Shopping with Joe La Puma at Flight Club in Los Angeles, and talk about their $500 sneakers and Big Baller Brand.

Subscribe to Complex on YouTube: https://www.youtube.com/complex?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex

Season 4
Episode 20

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",21437745,243476,,22698,PT12M42S
6,t4pRQ0jn23Q,Complex,YoungBoy Never Broke Again Goes Sneaker Shopping With Complex,2018-05-14T14:00:03Z,24,"YoungBoy Never Broke Again goes Sneaker Shopping with Complex's Joe La Puma at Stadium Goods in New York City and talks about wearing Air Jordans growing up, never wearing the same outfit twice, and wanting to start his own sneaker brand.

NOTE: This episode was shot on February, 22, 2018.



Subscribe to Complex on YouTube: https://www.youtube.com/complex?sub_confirmation=1
Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex

Season 6
Episode 21

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",20759951,325944,,20654,PT6M32S
7,vV94CDlLF8g,Complex,Kylian Mbappé Goes Sneaker Shopping With Complex,2019-07-15T14:00:08Z,24,"Global soccer superstar and World Cup champion Kylian Mbappé goes Sneaker Shopping with Complex's Joe La Puma at Flight Club in Los Angeles and talks about growing up in Paris, PSG's Air Jordans, the legacy of the Nike Mercurial boot, and more.

Les sous-titres en français sont disponibles pour cette vidéo en cliquant sur l'icône CC


Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex
https://plus.google.com/+complex/

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",18158300,359940,,10027,PT8M7S
8,qA9eSd15GXU,Complex,Chris Brown Shows Off The Most Insane Sneaker Collection We've Ever Seen On Complex Closets,2017-07-17T14:00:06Z,24,"Chris Brown gives Complex's Joe La Puma an extensive tour of his never-before-seen insane sneaker collection, talks about his love for Allen Iverson growing up and how he brought 1,000 pairs of shoes on tour.

Subscribe to Complex on YouTube: https://goo.gl/43ac5w
Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex
https://plus.google.com/+complex/

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",13888590,191585,,8321,PT9M
9,rgCMNeitkZo,Complex,Pop Smoke Goes Sneaker Shopping With Complex,2020-01-27T15:00:22Z,24,"Pop Smoke goes Sneaker Shopping with Complex's Joe La Puma at Stadium Goods in New York City and talks about playing basketball in high school, the first Air Jordans he owned, and going to Paris Fashion Week and connecting with Virgil Abloh and Louis Vuitton.

Looking for the best deal on a pair of sneakers? We just launched an app for that. Download the Sole Collector app now!: https://solecollector.com/app﻿


Get your Sneaker Shopping merch here: https://shop.complex.com/collections/complex

Subscribe to Complex on YouTube: https://www.youtube.com/channel/UCE_--R1P5-kfBzHTca0dsnw?sub_confirmation=1

Check out more of Complex here:
http://www.complex.com
https://twitter.com/Complex
https://www.facebook.com/complex
http://instagram.com/complex
https://plus.google.com/+complex/

COMPLEX is a community of creators and curators, armed with the Internet, committed to surfacing and sharing the voices and conversations that define our new America. Our videos exemplify convergence culture, exploring topics that include music, sneakers, style, sports and pop culture through original shows and Complex News segments. Featuring your favorite celebrities, authoritative commentary, and a unique voice, our videos make culture pop.",13799418,353646,,24495,PT7M59S
