,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,T0NINJOuaf4,DW News,The German sauna culture – nudity and all | Meet the Germans,2018-12-05T08:40:02Z,25,"The Germans might not have invented the sauna tradition, but they have very much embraced it. On this week's Meet the Germans, Rachel Stewart finds out why the Germans just love to get naked for a communal sweat session.
Rachel is on a mission to investigate the quirks and idiosyncrasies of daily life in Germany. Every two weeks she explores a new topic - from beer to sauna etiquette to complicated grammar - and heads out to get some tips from the Germans themselves. 

Rachel moved from the UK to Germany in 2016. As a relative newcomer she casts a fresh eye over German clichés and shares her experiences of settling into German life. You'll find more from Meet the Germans on YouTube or at dw.com/MeettheGermans. 
Subscribe: http://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dw_stories/
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle
#Sauna #Germany #MeetTheGermans",11047344,19317,,1847,PT2M53S
1,1cB5JZcosr4,DW News,Meet the foreign fighters joining Ukraine's battle with Russia | DW News,2022-05-02T19:40:15Z,25,"In Ukraine, it’s not just Ukranians who fight. Thousands of people from abroad have joined the battle. Who are they? And why are they risking their lives? Our reporter meets two men from Latin America who are heading to Ukraine to serve in the armed forces. She accompanies them on their journey. Both men are fully aware that this might be a one-way trip, but they’re convinced it’s worth the risk.

With photo material by Gunnar Bratthammer/NRK.

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch

#ForeignFighters #Ukraine #Russia",5572727,56878,,10322,PT18M51S
2,pqabxBKzZ6M,DW News,DW News livestream | Headline news from around the world,2023-03-30T06:18:48Z,25,"DW News goes deep beneath the surface, providing the key stories from Europe and around the world.

Exciting reports and interviews from the worlds of politics, business, sports, culture and social media are presented by our DW anchors in 15-, 30- and 60-minute shows.
Correspondents on the ground and experts in the studio deliver detailed insights and analysis of issues that affect our viewers around the world. We combine our expertise on Germany and Europe with a special interest in Africa and Asia while keeping track of stories from the rest of the world.
Informative, entertaining and up-to-date – DW News, connecting the dots for our viewers across the globe.

Deutsche Welle is Germany’s international broadcaster. We convey a comprehensive image of Germany, report events and developments, incorporate German and other perspectives in a journalistically independent manner. By doing so we promote understanding between cultures and peoples.

#LiveNews #dwnews",5439183,,,,P0D
3,gDu9kVy17Vw,DW News,Vast 65 km Russian military convoy advances towards Kyiv | DW News,2022-03-01T07:47:07Z,25,"A massive Russian military convoy consisting of hundreds of tanks, trucks, towed artillery pieces and support vehicles has been pictured slowly making its way toward Kyiv. Satellite images provided by the US company Maxar Technologies show the convoy spanning a distance of about 40 miles (65 kilometers). The Ukrainian news agency UNIAN also reported the same length early on Tuesday. The convoy, which is longer than previously thought, is inching slowly toward the outskirts of the Ukrainian capital. Up until now, Ukrainian forces have managed to slow the Russian invasion, but it is unclear just how long they will be to fend off the Russian push for the capital.

More than 70 Ukrainian troops were killed when Russian troops shelled a military base in the town of Okhtyrka, regional governor Dmytro Zhyvytskyy said on Facebook. Okhtyrka is located in Ukraine's northeastern Sumy region, which borders Russia.

UN human rights chief Michelle Bachelet has confirmed the deaths of 102 civilians, including seven children, since the Russian invasion began on Thursday. Hundreds more had been injured, and the figures provided were likely to be undercounted.  Residents of Kyiv who have remained in the city have hunkered down in the subway stations.


Russia and Ukraine broke off peace talks Monday, which were held on the Ukrainian-Belarusian border. A follow-on round will take place in the coming days. Ukraine had demanded an immediate Russian cease-fire and troop withdrawal as its delegation arrived in Belarus for talks with Russian negotiators.
Ukrainian President Volodymyr Zelenskyy signed a formal request for his country to join the European Union as EU leaders said they might discuss the possibility of Ukraine joining the 27-nation bloc at an informal summit in March.
The UN said that more than 500,000 people had fled the country and were seeking safety in neighboring countries.
The US ordered 12 members of Russia's diplomatic mission to the United Nations in New York to be expelled, mandating their departures by March 7, said Russia's ambassador to the UN, Vasily Nebenzya.
Sanctions have taken a toll on Russia's economy, with the Central Bank announcing that it will raise its key interest rate to an unprecedented 20%, up from 9.5%, in the face of new sanctions following the invasion of Ukraine. 
The Russian ruble plunged almost 30% against the dollar.
On Monday, hundreds of anti-war protesters were arrested in both Russia and Belarus, according to human rights watchdogs.

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch
#Russia #Ukraine #UkraineInvasion",4164689,25470,,8662,PT30M54S
4,h9FlJKFWawM,DW News,Russia launches military attacks on Ukraine | DW News,2022-02-24T06:41:03Z,25,"Ukrainian Foreign Minister Dmytro Kuleba says Russia has launched a ""full-scale invasion of Ukraine."" President Vladimir Putin earlier said Russia was to conduct a ""military operation."" 

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch

#Russia #Ukraine #Putin",4116061,15446,,5044,PT1H21M40S
5,3qfomj2SVEI,DW News,"European Union announces delivery of weapons to Ukraine, new sanctions on Russia | DW News",2022-02-27T20:12:27Z,25,"The European Union said it will spend €500 million on weapons and equipment for Ukraine. For the first time in its history, the European Union will purchase weapons for a country under attack, said European Commission President Ursula von der Leyen. In a meeting on Sunday, EU foreign minister agreed to budget €500 million ($564 million) for weapons and equipment for Ukraine. Poland agreed to work as a logistic hub for the delivery of weapons. She also said EU airspace would be closed to Russia-owned, registered or controlled aircraft, explicitly mentioning that the ban would apply to ""the private jets of oligarchs."" Additionally, von der Leyen announced the 27-member bloc would take steps to stop ""the Kremlin's media machine in the EU"" by banning state-owned Russia Today, Sputnik and their subsidiaries. ""We are developing tools to ban their toxic and harmful disinformation in Europe,"" she said. EU foreign policy chief Josep Borrell said the move was aimed at ""turning off the tap for Russia's disinformation in Europe."" In addition to the measures against Russia, von der Leyen added that the EU agreed to sanction Russia's ally Belarus, which she called ""the other aggressor in this war."" In a message to the hundreds of thousands of people fleeing Ukraine, von der Leyen said they would be welcomed with ""open arms.""

Kyiv and Moscow have sent envoys to peace talks on the Belarus border. Ukrainian President Volodymyr Zelenskyy said he was willing to ""try"" talks with Russia but added he is ""skeptical"" they will lead to a ceasefire. ""I will be honest, as always: I do not really believe in the outcome of this meeting, but let them try,"" Zelenskyy said in a video statement. If there was a ""chance"" to end the war, he should take part in the talks, he added

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch
#Russia #Ukraine #UkraineInvasion",3956180,31417,,8429,PT25M32S
6,qCU7GP6bGUY,DW News,Russian warship 'Moskva' sinks in Black Sea: What does it mean? | DW News,2022-04-15T08:28:59Z,25,"It has been more than fifty days since Russia launched its invasion of Ukraine. In his nightly video address, President Volodymyr Zelenskyy praised the Ukrainian people for surviving so long under relentless attack. Ukraine is also claiming a victory in its efforts to repel Russian forces at sea.
Russia's military has confirmed that its main warship in the Black Sea, the Moskva, sank while being towed back to port in stormy weather. Moscow says the ship suffered a fire and explosion. But Ukraine says the damage was caused by its missiles hitting the vessel on Wednesday off the port of Odesa. 
The loss of the warship is a setback for Russia, and a symbolic victory for Ukraine, which Zelenskyy picked up on in his address.


Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch


#Russia #Ukraine #Moskva",3430880,28690,,5158,PT7M55S
7,3wnRxZu7_Qw,DW News,"Russian troops meet with stiff resistance, Ukrainian forces retake Kharkiv | DW News",2022-02-27T14:22:37Z,25,"Scholz pledges €100 billion for German military, end to Russian energy exports
A turning point in the history of our continent. That's how Chancellor Olaf Scholz described Russia's war against Ukraine. Speaking to a special session of parliament, the German leader announced a raft of policy changes that would have been unthinkable just days ago. Germany will drastically strengthen its military, and move quickly to eliminate its reliance on Russian energy exports. He put the blame squarely on Russian President Vladimir Putin - who he said had brought decades of peaceful coexistence to an end. Here's some of what he said.
Holding out in Ukraine, President Volodymyr Zelenskyy has said Russia's military assault verges on genocide - and he's called for Russia to be stripped of its seat on the UN Security Council. Moscow's forces targeted civilian infrastructure overnight, including gas pipelines - as they stepped up efforts to push further into Ukraine.
Moscow's forces have met stiff resistance as they attempt to push further into Ukraine. The mayor of Kyiv says the capital is holding its defense lines and there are no Russian troops in the city. And after reports of heavy fighting in eastern Kharkiv, the regional governor says Ukrainian forces have retaken full control of the city. Russia's latest attacks have targeted civilian infrastructure and the military.
The Russian invasion of Ukraine has sent tens of thousands of people fleeing their homes since Thursday. Huge crowds have been waiting at train stations to travel to the border and cross into neighboring countries. Scenes from Lviv in western Ukraine show the fear and frustration: There's not enough space on the trains to carry everyone to safety. Men are forced to say goodbye to their families, as they are not allowed to leave because they've been called up to fight. Many of the refugees are headed to Poland.
Ukraine is doing its best to repel the Russian attack by training civilians to fight. Support from the US and other NATO members has also bolstered national defenses. But few believe Ukraine is a match for its much larger neighbor. 
Taking active and reserve troops together, Kyiv can draw on more than 1 million men and women. Russia has more than three million. Ukraine has less than 2,500 tanks, compared to Russia's 13,000.
And in the air, Ukraine has just 67 attack aircraft in contrast to Russia's 1,500.
In Berlin a demonstration calling for restoring peace in Ukraine is underway, with estimates of 20,000 or more people taking part in the protest.
The demonstration is organized by a variety of groups including workers' unions, religious groups and environmental organizations. Protesters are calling on Russia to immediately withdraw from Ukraine and to respect democracy and human rights. In the past days there have been numerous demonstrations across the world in support of Ukraine and demanding an immediate end to all violence.


Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch


#Ukraine #Russia Germany",3231582,28239,,6284,PT22M48S
8,paKweV2pdJs,DW News,Why is the Russian offensive not going at full speed? | Ukraine war latest,2022-03-08T23:30:08Z,25,"The Ukrainian military says that Russia is seeing major setbacks and its advance has slowed significantly.  

Meanwhile, Ukrainian President Volodymyr Zelenskyy addressed the House of Commons by video link Tuesday evening, and received a standing ovation after paraphrasing one of Winston Churchill's famous wartime speeches in vowing his continued resistance of Russia's invasion.

""We will not give up and we will not lose. We will fight to the end, at sea, in the air. We will continue fighting for our land, whatever the cost, in the forests, in the fields, on the shores, in the streets,"" Zelenskyy said.

The Ukrainian president added his country was fighting for its survival, and called on UK lawmakers to continue applying pressure on the Kremlin with sanctions.

Zelenskyy's address to a packed house in the Westminster chamber came shortly after the UK announced it would be phasing out imports of Russian oil in response to the invasion of Ukraine.

US President Joe Biden said that the US will also no longer import Russian oil.

""We will not be part of subsidizing Putin's war,"" Biden said. Energy imports provide a vital source of income for the Kremlin.

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/dwdeutsch

#Ukraine #Russia #Zelenskyy",3085551,23790,,5148,PT18M
9,n8J2dW-QYQY,DW News,Navalny reveals investigation into ‘Putin's Palace’ | DW News,2021-01-20T14:12:19Z,25,"Who owns the sprawling palace complex, with its own amphitheatre, a teahouse and a helipad at the Black Sea? Kremlin critic Alexei Navalny has released a two-hour video investigation into the complex, saying the palace was built for Russian President Vladimir Putin using taxpayer money. The Kremlin has denied the allegations. The video was posted by Navalny's team two days after he was jailed upon returning to Russia.

Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1

For more news go to: http://www.dw.com/en/
Follow DW on social media:
►Facebook: https://www.facebook.com/deutschewellenews/
►Twitter: https://twitter.com/dwnews
►Instagram: https://www.instagram.com/dwnews
Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle
#Navalny #PutinPalace",2882107,28471,,6926,PT5M28S
