,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,AwfhV9HINq4,Daily Mail,Playful dog makes push-ups impossible for his very patient owner - Daily Mail,2018-03-08T17:25:20Z,15,"This is the adorable moment a dog mistakes a girl's workout for play time in Charlotte, North Carolina. In the video, taken this month, the girl can be seen doing push ups on her fingertips in the living room. However, her exercise is thwarted when the dog comes in and starts to bother her.

Original Article: http://www.dailymail.co.uk/news/article-4922164/Dog-bothers-woman-does-push-ups-living-room.html
Original Video: http://www.dailymail.co.uk/video/news/video-1543745/Playful-dog-makes-push-ups-impossible-patient-owner.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",55426655,67811,,1504,PT1M9S
1,jRbYWML8EO8,Daily Mail,CCTV captures moment tanker truck explodes in Italy,2018-08-07T11:31:13Z,2,"CCTV footage shows the petrol tanker driving straight into the vehicles in front at high speed, immediately catching fire on the motorway bridge near Bologna airport, Italy. Some time later, when surrounding unharmed vehicles have been evacuated from the motorway bridge, the burning vehicles cause an almighty explosion. Police  have named the deceased as the tanker's 41-year-old driver, and has said 70 people were injured, some with serious burns.

Original Article: http://www.dailymail.co.uk/news/article-6034921/Moment-petrol-tanker-explosion-left-two-dead-scores-injured-Italy.html
Original Video: http://www.dailymail.co.uk/video/news/video-1740524/Video-CCTV-captures-moment-tanker-truck-explodes-Italy.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",33462865,203936,,11600,PT1M18S
2,vaa1MDFAWh0,Daily Mail,Mum vlogger films first ever live-streamed smear test,2018-03-16T15:47:09Z,24,"Anna Cribb, 40, went through the cervical screening procedure live on the ChannelMum.com Facebook page, with the video currently up to 11,000 views. 'Hey Mummy' vlogger, Anna, from Hampshire, volunteered for the live test having had her own scare and treatment to remove pre-cancerous cells after a routine smear test in the past.

Original Article: http://www.dailymail.co.uk/femail/article-4353574/Mother-40-LIVE-STREAMS-smear-test.html
Original Video: http://www.dailymail.co.uk/video/news/video-1436905/Mum-vlogger-films-live-streamed-smear-test.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",21261060,26897,,684,PT2M6S
3,pfoFvfYdFcs,Daily Mail,Adorable moment hero dog 'rescues' girl who is playing in the sea,2018-08-13T20:28:17Z,15,"Matyas was swimming in the ocean near Gouville-sur-Mer, France, with his owner’s granddaughter when a small ripple crashed over her. Deciding it was too dangerous for the little one to continue her leisurely swim, the pooch gently grabbed hold of her shirt with his teeth and dragged her towards the beach. The youngster found this highly amusing and let out peels of laughter as she was guided towards safety.

Original Article: http://www.dailymail.co.uk/news/article-6055533/Dog-fears-owners-granddaughter-washed-away-small-waves-drags-safety.html
Original Video: http://www.dailymail.co.uk/video/news/video-1744072/Video-Adorable-moment-dog-rescues-girl-playing-sea.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",19524222,105105,,4871,PT40S
4,ESxRXECdMSk,Daily Mail,Femspreading passenger refuses to move her purse from a seat!!,2019-02-15T20:42:40Z,24,"A woman on a NJT Transit North East Corridor train refuses to remove her purse from a seat on a packed, sanding room only commuter train. She is extremely rude to other passengers, and is eventually removed by police after causing a 25 minute delay.

Original Video: http://www.dailymail.co.uk/video/news/video-1864102/Video-Rude-New-Jersey-Transit-passenger-refuses-purse-seat.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",12298550,152303,,39372,PT3M6S
5,zbE_7R345Lw,Daily Mail,Handcuffed teen escapes police station by diving head-first out window,2019-03-01T13:23:14Z,24,"Quantrell D. Schwartzlow, 17, managed to flee the Rock County Sheriff’s Office in Janesville after being left alone in an interview room. The teenager had been hauled from his classroom at Orfordville Parkview High School on October 18 and arrested on suspicion of strangulation in an August 1 assault. Footage shows the teen heading straight for the window as the detective leaves the room. He opens the blinds and pushes the window out before diving headfirst from 12ft up. A second camera picks him up sprinting across the lawn making his getaway. About 14 minutes later, the detective returns to find the room empty and the window wide open, before uttering: 'Ah, no f****** way'.

Original Article: http://www.dailymail.co.uk/news/article-6751331/Handcuffed-criminal-dives-head-interview-room-window-escape-Wisconsin-police-station.html
Original Video: http://www.dailymail.co.uk/video/news/video-1873332/Video-Handcuffed-teen-escapes-police-station-diving-head-window.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",11390861,197757,,18907,PT46S
6,4q-WYYnLEUs,Daily Mail,Baby elephant won't let woman go,2018-05-25T14:58:40Z,15,"This playful baby elephant has fallen for this American tourist in Thailand. He is determined to not let her go. He tries to grab her feet with his trunk, but she manages to set free. Then, he decides to jump on top of her.

Original Video: http://www.dailymail.co.uk/video/video/video-1696218/Video-Baby-elephant-wont-let-woman-go.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",10110761,8713,,212,PT3M13S
7,WA-NPIOdCLc,Daily Mail,'Show me your t***': Patient's hilarious rant after anaesthetic - Daily Mail,2018-03-08T17:21:40Z,25,"This is the hilarious moment Mark Clayton III (pictured), from Orlando, Florida, makes an extremely lewd suggestion to a female nurse while under anesthetic  - and gets ruthless told off by his father. Mark Clayton Jr, his father, filmed the video of his son, who had just had a metal rod placed in his leg. He tells his son to 'quit it' and be respectful when women come in the room'. The video has been viewed more than six million times on Facebook.

Original Article: http://www.dailymail.co.uk/news/article-4951000/Father-scolds-sedated-son-making-lewd-remark.html
Original Video: http://www.dailymail.co.uk/video/news/video-1549205/Show-t-Patient-s-hilarious-rant-anaesthetic.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",9747454,226502,,7242,PT4M1S
8,kN1noF1tzWo,Daily Mail,Crazy Royal Family facts you probably didn’t know about | Part 3 #Shorts,2021-10-08T13:11:17Z,24,"#Royals #QueenElizabeth #Royalsfacts #RoyalFamily #RoyalFamilyfacts #Shorts

Part 3 of the crazy and funny Royal Family facts you probably didn't know about. Find out why the Queen never took a driving test, why Royals open presents on Christmas Eve and what happens when the Queen stops eating!

Part 1: https://www.youtube.com/watch?v=xnwsyAhDGKE
Part 2: https://www.youtube.com/watch?v=HlGSzn7TZKw",9709861,621732,,2033,PT1M
9,8hclBctFyjw,Daily Mail,Dramatic moment armed police tackle gang with knives and SHOTGUN,2019-07-24T15:50:50Z,25,"CCTV picked up the gang as they were given the fearsome weapon from contacts in a BMW in the Castle Vale area of Birmingham last year. Armed police flooded the area and, as filmed by officers' body-cameras, they forced two of the gang onto the ground and caught another as he tried to climb over a fence. The sawn-off shotgun, which police say could have further fuelled the city's spiralling violence, was found hidden behind a wheelie bin nearby.

Original Article: http://www.dailymail.co.uk/news/article-7257421/Dramatic-moment-armed-police-took-sawn-SHOTGUN-gang.html
Original Video: http://www.dailymail.co.uk/video/news/video-1967506/Video-Dramatic-moment-armed-police-tackle-gang-knives-SHOTGUN.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",8967478,60156,,5426,PT2M2S
