,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,QabAtYBnqro,Forbes Breaking News,'What Percent Of CDC Employees Are Vaccinated?': Cassidy Grills Walensky At Senate Hearing,2021-11-04T16:59:51Z,25,"At today's Senate Health Committee hearing, Sen. Bill Cassidy (R-LA) asked CDC Director Rochelle Walensky about her department's vaccination rates.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",6135511,157979,,46293,PT6M50S
1,WnJasqv9X_s,Forbes Breaking News,'Do You Need An ID To Rent An Apartment?': Nancy Mace Asks Witness Rapid-Fire Questions About ID,2021-07-29T18:24:34Z,25,"At today's House Oversight Committee hearing on voting rights in Texas, Rep. Nancy Mace (R-SC) asked a series of rapid fire questions to Texas State Rep. Senfronia Thompson about what citizens need to use ID for on a daily basis, as well as voting stats.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",3700780,92909,,26212,PT5M20S
2,RF1TJFaPrII,Forbes Breaking News,BREAKING: All Hell Breaks Loose In House After Lauren Boebert Refuses To Cede Floor,2022-08-12T16:51:29Z,25,"Rep. Lauren Beobert (R-CO) refuses to cede the floor as she attacks the Inflation Reduction Act.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",3090544,68462,,13099,PT3M9S
3,sedNMosOU8M,Forbes Breaking News,"WATCH: Trump Takes Audience Questions About Women's Sports, Defund The Police Movement",2023-04-27T23:15:01Z,25,"At the end of his speech in New Hampshire, former President Trump took audience questions.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",3010711,78717,,14910,PT12M11S
4,F_ZZecS9T-4,Forbes Breaking News,Hawley To General On Pronouns: 'I'm Curious As Heck How Not Using He/She Can Help With Lethality',2022-09-21T20:38:09Z,25,"At a Senate Armed Services Committee hearing on Wednesday, Sen. Josh Hawley spoke about military recruitment.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2949730,52439,,9812,PT5M39S
5,ZOLJQzf1qmc,Forbes Breaking News,JUST IN: Ted Cruz Attacks Biden In Epic Speech Slamming Nord Stream 2 Pipeline Policy,2021-09-23T21:06:43Z,25,"On the Senate floor, Sen. Ted Cruz (R-TX) attacks President Biden over the Nord Stream 2 pipeline, claiming Biden's decision helped Russia's President Vladimir Putin.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2814148,39793,,7459,PT50M35S
6,Tu_f9vND7Co,Forbes Breaking News,"""We Have Utter Chaos"": Chip Roy Gives Mammoth House Floor Remarks Decrying ""America Last"" Policies",2021-05-19T02:00:21Z,25,"On the House floor, Rep. Chip Roy (R-TX), along with Rep. Scott Perry (R-PA), took nearly an hour of floor time to decry what Roy called President Biden's ""America Last"" policies, especially calling out the current ""border crisis.""

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2781966,57827,,13219,PT58M3S
7,P_x72Sjrflo,Forbes Breaking News,BREAKING NEWS: Hearing Stops Cold After Marjorie Taylor Greene Mercilessly Calls Out Eric Swalwell,2023-04-19T16:15:58Z,25,"At a House Homeland Security Committee hearing on Wednesday, Rep. Marjorie Taylor Greene (R-GA) called out Rep. Eric Swalwell (D-CA) after he attacked her for past tweets calling to defund the FBI.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2595517,45485,,24730,PT8M21S
8,aV6P9TVletU,Forbes Breaking News,'Do You Agree... That Babies Are Racist?': Ted Cruz Questions Jackson About 'Antiracist Baby' Book,2022-03-22T19:12:54Z,25,"At today's Senate Judiciary Committee confirmation hearing for Judge Ketanji Brown Jackson, Sen. Ted Cruz (R-TX) asked whether she agrees with the book, ""Antiracist Baby"" by Dr. Ibrim X. Kendi, which is in the library at a school on whose board she sits.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2534160,32689,,14202,PT4M51S
9,e73_ycokJbA,Forbes Breaking News,"JUST IN: White House Pulls David Chipman’s ATF Nomination In Win For GOP, Gun Groups",2021-09-09T15:46:19Z,25,"The White House on Thursday withdrew the nomination of David Chipman to lead the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF), according to multiple reports, a victory for gun groups and Republicans who staunchly opposed his nomination, as seen in this compilation of months of attacks, and a loss for President Biden, who has now had to pull two major nominations.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2245593,45246,,9856,PT44M27S
10,yJNiXIztS_w,Forbes Breaking News,JUST IN: Jim Jordan Leads Hearing Targeting Biden Admin. Alleged Suppression Of Free Speech - Part 1,2023-03-30T15:53:51Z,25,"The House Weaponization of the Federal Government Committee holds a hearing on the alleged suppression of free speech by the Biden Administration.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2204594,22005,,8929,PT1H33M57S
11,luxkkn5viMg,Forbes Breaking News,Josh Hawley Takes No Prisoners Grilling Key Judicial Nominee: 'Why Are You Fighting Me On This?!',2023-06-07T15:47:19Z,25,"Sen. Josh Hawley (R-MO) grills Loren L. AliKhan, nominee to be United States District Judge for the District of Columbia, in today's Senate Judiciary Committee hearing.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",2016077,43673,,7188,PT6M21S
12,Z9CZpiH3KaE,Forbes Breaking News,Ted Cruz Successfully Blocks Chuck Schumer's Attempt To Pass For The People Act,2021-08-11T18:45:41Z,25,"Last night, Sen. Ted Cruz (R-TX) successfully blocked Senate Majority Leader Chuck Schumer's (D-NY) attempt to advance the For the People Act.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1959384,56678,,23481,PT22M58S
13,XtKo9EEalwI,Forbes Breaking News,JUST IN: Chip Roy Completely Explodes At Democrats On House Floor Over Omnibus,2022-12-23T16:13:40Z,25,"Rep. Chip Roy (R-TX) rips the process by which the omnibus was created and will likely be passed.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1937383,58230,,13035,PT5M23S
14,TqJejj7esfE,Forbes Breaking News,Cawthorn Directly Insults Biden On House Floor Over Afghanistan: 'I'll Say It Slowly Just For You',2021-08-23T22:00:43Z,25,"On the House floor, Rep. Madison Cawthorn (R-NC) insulted President Biden over the withdrawal from Afghanistan.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1887735,81856,,14770,PT1M26S
15,Y06vLTRZNKM,Forbes Breaking News,BREAKING NEWS: HHS Whistleblower Claims US Government Is 'Middleman' In Child Trafficking Operation,2023-04-26T19:48:45Z,25,"Tara Lee Rodas, the HHS whistleblower, gives her opening statement on the child migrant crisis to the House Judiciary Committee.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1854056,71536,,19345,PT5M54S
16,b08Hi3kBpSs,Forbes Breaking News,"'He Wants To Deny The Reality Of What He Said, What He Did!': Ron Johnson Rips Fauci On Senate Floor",2021-12-08T22:29:12Z,25,"Sen. Ron Johnson (R-WI) assails Dr. Anthony Fauci's record on the Senate floor.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1812655,70069,,13600,PT30M44S
17,6zz0Xl_AVeA,Forbes Breaking News,'This May Be A First!': Ted Cruz Confronts 'Radical' Biden Nominee With His Own Past Statements,2021-12-01T17:38:26Z,25,"At today's Senate Judiciary Committee hearing, Sen. Ted Cruz (R-TX) confronted Dale Ho, nominee to be United States District Judge for the Southern District of New York over his past statements.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1806421,40218,,8037,PT6M35S
18,7TKOzR-z0RI,Forbes Breaking News,'How Many Members Of The US Senate Are White Supremacists?': Ted Cruz Grills Biden Judicial Nominee,2022-04-27T16:21:36Z,25,"At today's Senate Judiciary Committee hearing, Sen. Ted Cruz (R-TX) questioned Nancy Abudu, nominee to United States Circuit Judge for the Eleventh Circuit.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1804854,,,,PT6M49S
19,E7ncSq6dINE,Forbes Breaking News,JUST IN: GOP Lawmakers Decry New ATF Rule Requiring Registration Of Firearms With Stabilizing Braces,2023-02-02T01:16:00Z,25,"A group of House Republicans slams a new ATF rule that would require registration of weapons with stabilizing braces.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1781252,46434,,11783,PT30M38S
20,o3WurTUvCZA,Forbes Breaking News,'It's Not Going To Last Much Longer': Louie Gohmert Warns US Itself Is At Risk,2021-11-02T03:41:11Z,25,"On the House floor, Rep. Louie Gohmert (R-TX) railed against the Biden Administration, and warned that continued policies of immigration and spending might mean the nation is ""not going to last much longer.""

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1762066,30857,,7591,PT58M23S
21,5AcwcdSVvVc,Forbes Breaking News,JUST IN: Rand Paul Tells Fauci He Changed Website To 'Cover Your Ass' On Gain-Of-Function Research,2021-11-04T15:15:01Z,25,"At today's Senate Health Committee hearing, Sen. Rand Paul (R-KY) had another clash with Dr. Anthony Fauci.

Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",1759961,75352,,24669,PT8M35S
