,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,sG9rX6Ifzhw,Good Morning Britain,Piers and Alex Clash Over Prince Harry and Meghan’s Accusations of Racism | Good Morning Britain,2021-03-09T10:58:19Z,24,"Following the Duke and Duchess of Sussex’s landmark interview with Oprah Winfrey, today’s Good Morning Britain shared the reaction to the revelations, including those about Meghan’s suicidal thoughts and allegations of racism within the Royal family.

Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 09/03/2021

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am until 9 every weekday!

ITV Hub: https://bit.ly/37kf3wD
Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com

#GMB #PiersMorgan #SusannaReid",13390487,113092,,313,PT14M5S
1,C1roM98Dass,Good Morning Britain,Should Piers Morgan Be Fired for His Views on Gender? | Good Morning Britain,2019-10-15T11:53:14Z,24,"An online petition for Piers Morgan to be sacked from Good Morning Britain has been signed by thousands. The petition takes issues with Piers' view on gender and transgender issues. But should he be sacked or saved? India Willoughby and Benjamin Butterworth debate. 
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 15/10/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com

#GMB #PiersMorgan #SusannaReid",10470565,209089,,1726,PT13M57S
2,s4gO2RQR-bM,Good Morning Britain,Piers Morgan Debates Headscarf Ban With Muslim Women | Good Morning Britain,2017-03-15T11:29:31Z,24,"Subscribe now for more! http://bit.ly/1NbomQa
Piers and Susanna talk to two Muslim women who disagree about a new ruling on religious clothing in the workplace.

Broadcast on 15/03/17

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",8270768,81316,,485,PT7M54S
3,hxGEJqLEk2c,Good Morning Britain,Piers Clashes With Model Angelina Duplisea on Whether Obesity Is Glorified | Good Morning Britain,2019-07-16T11:50:11Z,24,"Miley Cyrus has sparked controversy for featuring plus-size model Angelina Duplisea in the music video for her single 'Mother's Daughter'. Critics have suggested that Angelina's appearance in the video is glorifying obesity. Angelina debates with Piers and former glamour model Chloe Goodman about whether or not the video sends an unhealthy message or if it's good for a different body type to be represented. 
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 16/07/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com

#GMB #PiersMorgan #SusannaReid",8162152,144312,,937,PT10M20S
4,WwE-WIdIzz8,Good Morning Britain,Is This Possibly the Best Donald Trump Impression? | Good Morning Britain,2019-04-30T11:15:45Z,24,"New York construction worker and impressionist Thomas Mundy has recently gone viral with his impression of Donald Trump. He joins GMB and impresses with a very accurate representation of the President. 
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 30/04/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",6911334,92054,,40,PT4M12S
5,dQzkkvrNLH8,Good Morning Britain,Piers Morgan Argues With Pro-Gun Campaigner About Orlando Shooting | Good Morning Britain,2016-06-13T10:03:55Z,24,"Subscribe now for more! http://bit.ly/1NbomQa
Broadcast on 13/06/2016
Dan Roberts, an American pro-gun campaigner, argues with Piers about the United States' gun laws.

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Ben Shephard, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",5236753,43415,,249,PT6M22S
6,S1pW6r9kjiw,Good Morning Britain,Gender Neutral Family Are Raising Their Child as a 'Theyby' | Good Morning Britain,2019-03-12T10:27:25Z,24,"Subscribe now for more! http://bit.ly/1NbomQa
A family in Florida have decided to raise their baby without a gender identity until the child is old enough to decide for themselves who they would like to be. Piers Morgan gets into a heated debate about whether this is detrimental to the child at such an early stage of development.
Broadcast on 06/03/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",4745120,47728,,3491,PT15M29S
7,I75kfAVF64A,Good Morning Britain,Do Transgender Athletes Have an Advantage in Female Sporting Events? | Good Morning Britain,2019-03-04T12:02:30Z,24,"Subscribe now for more! http://bit.ly/1NbomQa
Sociology professor Ellis Cashmore believes sport should adapt to accept transgender athletes and embrace inclusivity - but Olympic medal winner Sharron Davies says it’ll create an unequal playing field.
Broadcast on: 04/03/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",4555067,53475,,119,PT12M11S
8,vDT-Yj5n6zE,Good Morning Britain,Should There Be a Limit to Gender Identities? | Good Morning Britain,2019-09-11T12:20:24Z,24,"A film made by BBC Teach, designed to support school PHSE classes, explains that there are more than 100 different gender identities. The NHS currently recognises six genders but should there be a limit to how people can identify? Nicole Gibson and Benjamin Butterworth debate.   
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 11/09/2019

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com

#GMB #PiersMorgan #SusannaReid",4003503,64430,,669,PT12M29S
9,V00lN9t3a-0,Good Morning Britain,Munroe Bergdorf Clashes With Piers in Heated Debate on Gender Fluidity | Good Morning Britain,2018-11-27T11:32:07Z,24,"A school in Brighton has been hailed as the 'coolest state secondary' for embracing students choices when it comes to their gender. Stephanie Davies-Arai and Munroe Bergdorf debate whether or not children should be allowed to choose their gender at a young age.
Subscribe now for more! http://bit.ly/1NbomQa

Broadcast on 27/11/2018

Like, follow and subscribe to Good Morning Britain!

The Good Morning Britain YouTube channel delivers you the news that you’re waking up to in the morning. From exclusive interviews with some of the biggest names in politics and showbiz to heartwarming human interest stories and unmissable watch again moments. 

Join Susanna Reid, Piers Morgan, Ben Shephard, Kate Garraway, Charlotte Hawkins and Sean Fletcher every weekday on ITV from 6am.

Website: http://bit.ly/1GsZuha
YouTube: http://bit.ly/1Ecy0g1
Facebook: http://on.fb.me/1HEDRMb
Twitter: http://bit.ly/1xdLqU3

http://www.itv.com",3992302,42712,,616,PT12M29S
