,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,lU2wL0vIfGg,MSNBC,New Details On Why Pence Refused To Get In Secret Service Car On Jan. 6,2022-04-26T01:00:14Z,25,"After the mob breached the building on Jan. 6, the Secret Service hustled Mike Pence out. They wanted to take him away from the Capitol, but he refused to go. Why didn’t he want to go?
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#MSNBC #MikePence #January6",6928285,86483,,20458,PT9M24S
1,Yf-G6TUv3ck,MSNBC,Fox News Silent After Guest Dies Of Covid,2022-02-01T03:15:01Z,25,"Chris Hayes: For ratings, for fame, for cynical, monetary purposes, that network—overseen by CEO Suzanne Scott—has decided to fan the flames of vaccine resistance. And it's getting thousands of people killed. And when those people die, they are of course forgotten by Fox News.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#MSNBC #FoxNews #Covid",3426187,57378,,21050,PT8M49S
2,tajgN8DRZV4,MSNBC,Trump Rages As Fox News Turns On MAGAWorld,2022-07-29T01:15:03Z,25,"The tug-of-war within Fox News continues as the network ignores a Trump speech to air Ron DeSantis instead. The former President hitting back and reportedly “tracking which hosts he can count on.” MSNBC’s Ari Melber reports on the devastating shift for Trump. Lincoln Project co-founder Rick Wilson joins, adding: “Trump] sits in Mar-A-Lago and throws things at the walls every time he sees DeSantis on Fox, which is about every 35 seconds now. He is the guy Rupert [Murdoch] has picked…""
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#MSNBC #Trump #FoxNews",2743187,39543,,9660,PT7M15S
3,YeOjSMb3Ki8,MSNBC,New Reporting Outs The Betrayers Of Our Democracy,2021-12-16T23:00:25Z,25,"New York Times Justice Department reporter Katie Benner, former assistant U.S. Attorney Dan Goldman, and former Republican Congressman David Jolly discuss the new reporting in the New York Times on the six GOP loyalists in Congress that fought to keep Trump in power. 

» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, The ReidOut, All In, Last Word, 11th Hour, and more.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#Trump #GOP #Jan6",2627542,27406,,8246,PT10M39S
4,EnCoTBMJkSY,MSNBC,Hallie Jackson To Gaetz: ‘Why Do You Think The Rules Do Not Apply To You?’ | Hallie Jackson | MSNBC,2019-10-25T04:08:37Z,25,"Rep. Matt Gaetz is interviewed by MSNBC's Hallie Jackson about leading two dozen House Republicans into closed-door testimony, breaking Congressional rules by occupying a secure room without clearance, bringing electronic devices into the room, and ordering pizza and Chick-fil-A. Aired on 10/24/19.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

Hallie Jackson To Gaetz: ‘Why Do You Think The Rules Do Not Apply To You?’ | Hallie Jackson | MSNBC",2605441,19789,,13730,PT9M24S
5,g2aQfNsWUL0,MSNBC,Watch Morning Joe Highlights: July 27 | MSNBC,2022-07-27T18:00:28Z,25,"‘Morning Joe’ breaks down the day’s biggest stories. Watch on MSNBC weekdays from 6-10 a.m. ET.

» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

Watch Morning Joe Highlights: July 27 | MSNBC",2483026,8055,,1401,PT40M
6,aCAqzhRF4MI,MSNBC,Watch Donald Trump Implode On Fox News Over COVID Falsehoods | The Beat With Ari Melber | MSNBC,2020-07-21T00:25:08Z,25,"In a special fact-check brought to you by MSNBC’s Ari Melber, Trump’s repeated lies about the spread of the coronavirus in the United States are put on blast. Not only have the President’s public claims about the virus not been vindicated, but they have been proven false by many – most recently by Fox New’s Chris Wallace in an interview with Trump himself.(This interview is from MSNBC’s “The Beat with Ari Melber, a news show covering politics, law and culture airing nightly at 6pm ET on MSNBC. http://www.thebeatwithari.com). Aired on 7/20/2020.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

Watch Donald Trump Implode On Fox News Over COVID Falsehoods | The Beat With Ari Melber | MSNBC",2197216,24356,,6029,PT3M47S
7,XRz4Y3wQM2I,MSNBC,‘Covert Action’ By U.S. To Assist Ukraine Could Be In Play Says Naveed Jamali,2022-03-05T03:45:00Z,25,"Ukrainian President Volodymyr Zelenskyy has called for a no-fly zone over Ukraine, while slamming NATO for refusing to impose it. The US. could be assisting Ukraine through ‘covert action,’ author and former double agent Naveed Jamali tells The ReidOut.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#MSNBC #Ukraine #Russia",2059187,18942,,6773,PT11M40S
8,1tCLtHlzeeI,MSNBC,Joe: Putin Doesn't Care How Many Russian Soldiers Die In Ukraine — But Their Mothers Might,2022-03-21T15:32:45Z,25,"The Morning Joe panel discusses the current situation in Ukraine, where experts believe the war could be headed towards a ""bloody"" stalemate, and the Ukrainian government refuses to surrender in besieged Mariupol.

» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

About: MSNBC is the premier destination for in-depth analysis of daily headlines, insightful political commentary and informed perspectives. Reaching more than 95 million households worldwide, MSNBC offers a full schedule of live news coverage, political opinions and award-winning documentary programming -- 24 hours a day, 7 days a week.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

Joe: Putin Doesn't Care How Many Russian Soldiers Die In Ukraine — But Their Mothers Might",1801808,17135,,6890,PT16M59S
9,Nkd3kNqhFxM,MSNBC,Trump’s Legal Storm: Judge Warns Citizen Trump He Could Be In Trouble | The Beat With Ari Melber,2021-04-17T02:39:43Z,25,"Citizen Donald Trump taps a new lawyer and a new defense to counter the New York DA investigating his finances. Trump’s former personal attorney Michael Cohen plans to speak with investigators for the ninth time as more boxes of documents are turned over. MSNBC’s Chief Legal Correspondent Ari Melber reports on Trump’s legal issues in this digital exclusive. (This interview is from MSNBC’s “The Beat with Ari Melber, a news show covering politics, law and culture airing nightly at 6pm ET on MSNBC. http://www.thebeatwithari.com). Aired on 04/16/2021.
» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbc

“The Beat with Ari Melber” covers politics, law and culture on MSNBC nightly at 6pm ET, anchored by Emmy-winning journalist and attorney Ari Melber (@arimelber).  The Beat focuses on original reporting and in-depth interviews with a wide variety of guests, and was nominated for a 2020 Emmy in the Outstanding Interview category.

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, Meet the Press Daily, The Beat with Ari Melber, Deadline: White House with Nicolle Wallace, Hardball, All In, Last Word, 11th Hour, and more.

Connect with MSNBC Online
Visit msnbc.com: http://on.msnbc.com/Readmsnbc
Subscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTube
Find MSNBC on Facebook: http://on.msnbc.com/Likemsnbc
Follow MSNBC on Twitter: http://on.msnbc.com/Followmsnbc
Follow MSNBC on Instagram: http://on.msnbc.com/Instamsnbc

#SexTraffickingProbe #RepMattGaetz  #MSNBC

Trump’s Legal Storm: Judge Warns Citizen Trump He Could Be In Trouble | The Beat With Ari Melber",1789718,28449,,5385,PT2M47S
