,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,UCA1A5GqCdQ,NBC News,"Final 2020 Presidential Debate Between Donald Trump, Joe Biden | NBC News",2020-10-23T03:20:53Z,25,"Watch live coverage of the final presidential debate of the 2020 election between President Donald Trump and Democratic nominee Joe Biden. Pre-debate coverage starts at 7pm ET. 
Para ver el debate en Español, haga clic aquí - https://youtu.be/Uk4BPaaeBA8

Be sure to read our latest breaking news updates, fact checks and our frequently updated live blog at NBC News.com/2020. 

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#Trump #Biden #PresidentialDebate

Live: Final 2020 Presidential Debate Between Trump, Biden | NBC News",11998624,42905,,13957,PT1H59M33S
1,oBg6NFPq01k,NBC News,Texas Woman's Video Of Busting Credit Card Skimmer Goes Viral,2022-03-29T03:00:19Z,25,"A Texas woman’s TikTok video of her busting a credit card skimmer at a 7-Eleven has gone viral. NBC News’ Morgan Chesky meets with the woman to discuss how she was able to detect the scam.

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC

#Texas #TikTok #CreditCardSkimmer",11112255,90480,,13553,PT3M30S
2,zwfU2_Gyy94,NBC News,"El Salvador Arrests 6,000 Gang Members In 10 Days",2022-04-06T03:30:11Z,25,"El Salvador has continued its crackdown on what officials are calling a war on gangs as the government has arrested 6,000 gang members in response to a killing spree in March. The rise in gang violence caused a countrywide state of emergency, but advocates claim some of the the efforts are creating a framework for abuse. 

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC

#ElSalvador #GangCrackdown #GangViolence",7960402,118928,,31460,PT3M8S
3,lOScL7REF0A,NBC News,Say Hello to Deep Blue: ‘The Biggest Shark Ever Filmed’ | NBC Nightly News,2015-08-13T01:33:45Z,25,"Newly found footage of the 20-foot long great white was recorded off Mexico’s Guadalupe Island by shark expert Mauricio Hoyos Padilla in 2013.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and our original series Debunker, Flashback, Nerdwatch, and Show Me. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Say Hello to Deep Blue: ‘The Biggest Shark Ever Filmed’ | NBC Nightly News",4575492,11432,,1616,PT1M48S
4,z1pPkAOZI50,NBC News,"Confronting Russian President Vladimir Putin, Part 1 | Megyn Kelly | NBC News",2018-03-10T13:08:26Z,25,"In this NBC News Special, Megyn Kelly travels to Russia for a rare exclusive sit-down interview with Russian President Vladimir Putin. Amid heightened tensions between the U.S. and Russia, Megyn grills Putin on the Kremlin's role in Russian interference in the 2016 U.S. election.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Confronting Russian President Vladimir Putin, Part 1 | Megyn Kelly | NBC News",4388502,27009,,14069,PT9M20S
5,LU25d3hoZ6g,NBC News,LIVE: Russian Forces Invade Ukraine As Biden Imposes Stronger Sanctions | NBC News,2022-02-26T01:48:39Z,25,"Watch live coverage as Russia launches attacks on multiple cities in Ukraine following months of military buildup. The military operations have provoked widespread condemnation from the U.S. and NATO allies.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

LIVE: Russia Launches Attack on Ukraine | NBC News",3404068,22400,,1532,PT11H54M56S
6,jKG0HmfjFg8,NBC News,Senate Holds First Hearing On Capitol Riot | NBC News,2021-02-23T19:13:39Z,25,"Watch live coverage as the Senate Homeland Security and Rules Committee holds a joint hearing on the Jan. 6 attack on the Capitol. 

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

Live: Senate Holds First Hearing On Capitol Riot | NBC News",2922740,11601,,3224,PT3H55M15S
7,22Lr4fgSFAY,NBC News,The Ronald Reagan Mic Drop Moment At The 1984 Debate | NBC News,2016-09-22T19:37:52Z,25,"When his age became an issue in the second 1984 presidential debate against a younger Walter Mondale, Ronald Reagan found a way to use it to his advantage.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and our original series Debunker, Flashback, Nerdwatch, and Show Me. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

The Ronald Reagan Mic Drop Moment At The 1984 Debate | NBC News",2338339,29072,,3111,PT2M24S
8,YLdiHKiyrYg,NBC News,How The U.S. Military Is Responding To Russia’s Attack On Ukraine,2022-02-24T14:00:13Z,25,"U.S. troops stationed in Europe are on high alert as Russia begins its attack on Ukraine. However, the Biden administration has strongly stated U.S. troops will not move into the region. Dan De Luce reports on how U.S. troops might help with the refugee crisis in its positioning in western Europe.

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC

#Ukraine #Russia #Military",2179573,18467,,6648,PT4M28S
9,CMD3BhON6kg,NBC News,How Cannabis Legalization Is Changing The Workplace,2021-10-07T12:00:06Z,25,"As the country's support for marijuana legalization grows, some employers are now looking at the once-taboo subject of weed and work differently. NBC News' Vaughn Hillyard reports. 

Editor's Note: This story should have credited reporting on the subject by Krithika Varagur at The Wall Street Journal.
https://www.wsj.com/articles/is-it-ever-ok-to-get-stoned-with-a-client-and-other-questions-as-pot-comes-to-work-11632907802 

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC

#Cannabis #Marijuana #Legalization",2075742,32105,,9353,PT4M12S
