,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,jXRHb4sCM8c,NowThis News,Phone Scammer Gets Scammed by Police Captain,2019-09-07T20:00:04Z,25,"Apex, North Carolina Police Captain Ann Stephens totally schooled this phone scammer. 
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

In US news and current events today, Apex Police Department Captain Ann Stephens scammed a scammer and it was all caught on video. In terms of phone scams, 2019 has seen thousands of dollars lost according to the Federal Trade Commission (FTC). Stephens got some scammer payback after this caller tried to get her social security number and home address in a faux IRS phone scam. For police misconduct and caught-on-camera police harassment videos, subscribed to NowThis News.

#Scam #Police #Scammer #News #NowThis #NowThisNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",40029654,795884,,39694,PT3M45S
1,q7jDLHZxcNU,NowThis News,Vets Remove Dog Harnesses From Python's Stomach 🤯,2022-04-30T00:00:24Z,25,"Watch these vets in Australia work to remove two dog harnesses out of a python's stomach 🤯
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/knowthis_youtube
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe

For more animal news, subscribe to NowThis News.

#Snakes #Vets #SnakeRescue #Politics #News #NowThis

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",14230662,241043,,3022,PT59S
2,_CXdl9H28uE,NowThis News,Dad of 7 Shares Creative Hacks for Parents with Multiple Babies | NowThis,2019-10-04T23:00:04Z,25,"These parenting hacks are real lifesavers, take it from this dad of 7.
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

Chad and Amy Kempel already had 2 children when they found out that Amy was pregnant with quintuplets.

Before having their 7 children, the Kempels struggled with infertility. They had multiple miscarriages and lost twin boys at 22 weeks. Despite the odds, Amy carried her 5 babies to 27 weeks at which point doctors needed to intervene for medical reasons. The quintuplets were delivered by C-section 3 months early and spent 73 days in the NICU until they were ready to go home.

After the babies made it home safely, Chad and Amy had to figure out how to make it work. Amy chose to stay at home while Chad went to work each morning at 4am. So Chad came up with a variety of creative solutions to help streamline daily activities — including a prop feeding system and an end table with highchairs built in.

Chad shares his inventions on his YouTube channel, calling them Quint Hacks — see more here: https://www.youtube.com/user/ChadKempel.

#Babies #Parents #FeelGood #Quints #News #NowThis #NowThisNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",12905475,96306,,4466,PT3M52S
3,8GNInLhL2zA,NowThis News,Teacher Resigns During Kansas School Board Meeting With Powerful Speech | NowThis,2020-02-22T21:59:46Z,25,"'Teaching is like a bad marriage, you never get your needs met, but you stay in it for the kids.' — This teacher resigned on the spot during a school board meeting with this impassioned message.
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

In US news and current events today, teacher Amanda Coffman resigned on the spot during a school board meeting and delivered a powerful message to her former students. 

Coffman is a former teacher at Indian Woods Middle School in Kansas. She says she resigned because she felt ‘silenced’ when Shawnee Mission School District issued teachers new 3-year contracts. 

Coffman says the contracts don’t address the concerns or needs that the teachers have fought for in the past.

Listen to Amannda Coffman's fiery resignation speech to the Kansas school board here. Here is how she plans to continue the fight for better education in America. 

For more viral videos and news on education, subscribe to NowThis News. 

#AmandaCoffman #Teachers #Education #News #NowThis #NowThisNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",9077062,181288,,15372,PT4M22S
4,Ntmhe4EUgpE,NowThis News,Valedictorian Slams Teachers and Staff in Scathing Graduation Speech | NowThis,2019-06-19T02:00:07Z,25,"This Valedictorian called out her high school's staff for their lack of support and setting bad examples in this scathing grad speech.
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe

In US news, high school graduate Nataly Buhr shocked the audience and the world with her San Ysidro High School valedictorian speech. The headlines will surely read 'Valedictorian shocks world with brutally honest speech,' because in this grad speech she called out teachers and school staff for being negligent and accused one faculty of being a drunk teacher. Buhr hoped students would find her graduation speech inspirational. A rep from Sweetwater Union High School District called the speech 'unfortunate.' Buhr is evidently not the teachers pet. 

#Valedictorian #Graduation #Teachers #Education

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",8821877,217709,,14656,PT3M1S
5,Ie_m_eBevUI,NowThis News,Woman Discovers She's a Princess at 28,2021-05-24T21:59:54Z,25,"Mia Thermopolis, that you?! This woman discovered that she’s an actual princess at 28 👑
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

Visit sierraleonerising.org to learn more about Princess Sarah's nonprofit.

For more world news and viral videos, subscribe to NowThis News.

#SarahCulberson #SierraLeone #Royalty #News #NowThis

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",8357339,325937,,17080,PT6M31S
6,3ArNQp2dZto,NowThis News,TikToker Fired for Viral Paint Mixing Videos Gets New Job | NowThis,2020-12-01T18:59:49Z,25,"This TikToker was fired from his job after he viral for his paint-mixing videos — luckily, several companies lined up to hire him for his creativity.
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

For more feel good stories, viral videos, and world news, subscribe to NowThis News.

#TikTok #PaintMixing #Art #News #NowThis #NowThisNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",5449291,95950,,6482,PT3M11S
7,FjtRbz1LE4Y,NowThis News,Trump Humiliates Himself Repeatedly in Interview with Fox News | NowThis,2020-07-21T13:00:05Z,25,"‘I’m not a big fan of Fox’ — Watch Pres. Trump repeatedly crash and burn in this interview with Chris Wallace on Fox News

» Subscribe to NowThis: http://go.nowth.is/News_Subscribe
» Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis

In US news and current events today, President Trump had a catastrophic disaster of an interview with Fox News' Chris Wallace.

#Trump #Politics #MediaWatch #FoxNews #News #NowThis #NowThisNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",5325246,53865,,13655,PT4M4S
8,JQAuuVBFi6I,NowThis News,"Buttigieg Gets Standing Ovation on Fox News, Angers Trump | NowThis",2019-05-21T19:59:55Z,25,"Mayor Pete Buttigieg received a standing ovation from this Fox News audience, and President Trump took note.
» Subscribe to NowThis: http://go.nowth.is/News_Subscribe

In US news, Mayor Pete Buttigieg, one of the many 2020 election candidates, appeared at a Fox News Channel town hall and the Fox News audience loved him. At the end of the Pete Buttigieg Fox News town hall, the audience gave him a stand ovation. One might argue that the Pete Buttigieg town hall on Fox News went better than Bernie Sanders'. In the Pete Buttigieg interview he answered questions about the electoral college and called out Laura Ingraham and Tucker Carlson. After the town hall, the Fox & Friends hosts and President Trump expressed their dismay at Buttigieg's warm reception. 

#PeteButtigieg #Trump #FoxNews

Connect with NowThis
» Like us on Facebook: http://go.nowth.is/News_Facebook
» Tweet us on Twitter: http://go.nowth.is/News_Twitter
» Follow us on Instagram: http://go.nowth.is/News_Instagram
» Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat

NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live.

http://www.youtube.com/nowthisnews
@nowthisnews",4185348,83872,,7452,PT4M1S
9,IKyQW4Q9Hgg,NowThis News,Welcome from Michelle Obama,2019-09-13T16:00:34Z,27,"A Student’s Guide to Your First Year of College features advice from Michelle Obama, expert tips, and guidance from upperclassmen. You’ll also hear from Malcolm Jenkins of the Philadelphia Eagles, and Wes Moore, CEO of Robin Hood, who joined Mrs. Obama at Reach Higher’s Beating The Odds Summit. A Student’s Guide to Your First Year of College was produced by NowThis and YouTube Originals in partnership with Reach Higher.",3586075,4344,,,PT2M53S
