,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,JovtmKFxi3c,PBS NewsHour,China: Power and Prosperity -- Watch the full documentary,2019-11-22T21:44:01Z,25,"As China has risen in prosperity, influence and military strength, what are the social, economic and political forces at play? Come along with PBS NewsHour as we travel around the globe to explore the emerging superpower and its relationship with the United States.

""China: Power and Prosperity"" covers the country’s powerful leader, his signature foreign policy, U.S.-China trade and technology wars, how Chinese technology helps stifle dissent, and more. A collaboration with the Pulitzer Center on Crisis Reporting, PBS NewsHour conducted more than 70 on-camera interviews in eight Chinese cities and across eight countries.

00:00 President Xi Jinping
11:20 China’s Belt and Road initiative
22:19 US-China trade
33:45 Chinese billionaires
43:30 Big data or Big Brother?
53:41 The rise of Huawei
1:03:03 The green economy
1:11:10 Artistic renaissance 
1:17:04 The state of Uighurs in China
1:32:00 Hong Kong’s Umbrella Movement

Support your local PBS station here: https://pbs.org/donate

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",21364726,84937,,,PT1H44M30S
1,WEjzF2Cx1UY,PBS NewsHour,The Mueller Report - A PBS NewsHour/FRONTLINE Special,2019-03-26T03:43:49Z,25,"The nearly two-year investigation of special counsel Robert Mueller into Russian interference in the 2016 presidential election has concluded, with Mueller's final report delivered to Attorney General William Barr for review. Now, a groundbreaking collaboration between PBS NewsHour and FRONTLINE illuminates the complex details behind the Mueller investigation and analyzes what's yet to come.

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Snapchat: @pbsnews

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",10026515,34211,,,PT1H26M43S
2,kvmasW_glUQ,PBS NewsHour,"The Jan. 6 insurrection, 1 year later | PBS NewsHour presents",2022-01-08T14:00:09Z,25,"Congress is still investigating the people and organizations linked to the Jan. 6 attack  — the most violent assault on the U.S. Capitol since the British attack during the war of 1812. The PBS NewsHour looked back at what happened that day, the lasting impacts on those who survived, where the investigations stand, and the broader effects on American politics, culture and democracy itself.

0:00 How the attack unfolded on Jan. 6
8:24 Why some Texans stormed the Capitol
17:59 Officer Brian Sicknick’s partner speaks
26:07 Far-right extremist groups move mainstream
39:18 Capitol Police officers demand accountability
49:37 Fallout from Rep. Meijer’s vote to impeach Trump
57:59 Rep. Nehls on defending the Capitol
1:05:25 Rep. Jeffries on witnessing Jan. 6 from the House floor
1:15:42 Disinformation downplays the violence
1:29:44 Biden’s Jan. 6 anniversary address
1:37:41 Harris on democracy a year after Jan. 6
1:48:50 Jan. 6’s impact on politics, culture and democracy
2:01:00 Brooks and Capehart on Jan. 6 anniversary
2:13:43 NewsHour correspondents recall Jan. 6 experiences 
2:26:16 3 lawmakers of color on surviving Jan. 6


Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",5660099,25553,,,PT2H51M35S
3,KAJsdgTPJpU,PBS NewsHour,WATCH: Greta Thunberg's full speech to world leaders at UN Climate Action Summit,2019-09-23T16:44:30Z,25,"Swedish climate activist Greta Thunberg chastised world leaders Monday, Sep. 23, for failing younger generations by not taking sufficient steps to stop climate change. ""You have stolen my childhood and my dreams with your empty words,"" Thunberg said at the United Nations Climate Action Summit in New York. ""You're failing us, but young people are starting to understand your betrayal. The eyes of all future generations are upon you. And if you choose to fail us, I say we will never forgive you,"" she added. Thunberg traveled to the U.S. by sailboat last month so she could appear at the summit. She and other youth activists led international climate strikes on Friday in an attempt to garner awareness ahead of the UN's meeting of political and business leaders.

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Snapchat: @pbsnews

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",5654031,82512,,,PT5M20S
4,Nl6XvznIrHc,PBS NewsHour,See the Difference Between Pipe Bombs and Pressure Cooker Bombs,2013-05-31T19:03:20Z,25,"In this web exclusive scene, science correspondent Miles O'Brien explains the difference between pipe bombs and pressure cooker bombs, like the ones used at the 2013 Boston Marathon. Pipe bombs are much smaller so the pipe itself is the shrapnel. Less space means more pressure, and their size makes them easier to conceal.",5252778,25500,,,PT1M53S
5,QJfAorE860M,PBS NewsHour,"Abused nuns reveal stories of rape, forced abortions",2019-06-12T00:23:28Z,25,"Another scandal is engulfing the Catholic Church. At a time when the Vatican has taken its most concrete steps to address a long ordeal with sex abuse and coverups, a growing chorus of nuns is speaking out about the suffering they have endured at the hands of the priesthood, including rape, forced abortion, emotional abuse and labor exploitation. Special correspondent Christopher Livesay reports.

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Snapchat: @pbsnews

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",5075050,46457,,,PT10M7S
6,RyF40JydVNU,PBS NewsHour,How these penny-pinchers retired in their 30s,2018-10-26T20:04:35Z,25,"Watch more from Making Sen$e: https://bit.ly/2D8w9kc
Read more economic news: https://www.pbs.org/newshour/economy/making-sense

Eschewing consumer culture, Pete Adeney, also known as Mr. Money Mustache, practices an extreme frugality that allowed him to retire at age 30. Avoiding car use, DIYing and investing in stock market index funds are among the tactics he and his fellow F.I.R.E. (Financial Independence Retire Early) devotees espouse. Paul Solman reports from Colorado in this installment of “Making Sense.”

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Snapchat: @pbsnews

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",5043820,85056,,,PT9M29S
7,o_zZGJuIydQ,PBS NewsHour,Eyewitness captures Polaroid of moment JFK was shot,2013-11-16T16:52:05Z,25,"50 years after the assassination of President John F. Kennedy, we hear from Mary Ann Moorman, an eyewitness at Dealey Plaza who shared her story with documentary filmmaker Alan Govenar. His film is currently on display at an exhibit at the International Center of Photography in NYC entitled: ""JFK: A Bystanders View of History.""

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",4459552,23299,,,PT3M53S
8,UiL2inz487U,PBS NewsHour,WATCH LIVE: Jan. 6 Committee hearings - Day 1,2022-06-10T02:28:38Z,25,"Warning: This hearing includes footage of violence.

The House select committee investigating the Jan. 6 attack on the U.S. Capitol will hold its first hearing June 9, offering a glimpse into what it has learned about what led to the insurrection that day and the role of the White House, law enforcement and other officials and agencies before, during and after the attack.

The PBS NewsHour's special coverage of the hearing will begin at 8 p.m. ET. Before the hearing begins, the PBS NewsHour's Nicole Ellis will take a look at what we've learned about the attack since that day, including conversations with Julian Zelizer, a Princeton University professor of history, on the fallout for democracy, and the NewsHour's Lisa Desjardins, who reported from inside the Capitol as it was attacked and will cover the committee's hearing.

Thursday's hearing is the first of several the committee, led by  Reps. Bennie Thomas, D-Miss., and Liz Cheney R-Wyo., plans to hold this month to lay out key findings. The nine-member panel has interviewed dozens of witnesses, including those within the Secret Service and the White House along with members of law enforcement, Congress and former President Donald Trump's family. They've subpoenaed more than 100 people to testify in the months leading up to the hearings. A select few have also been indicted by the Department of Justice for being in contempt of Congress after refusing to participate.

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
TikTok: https://www.tiktok.com/@pbsnews
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour
Facebook: http://www.pbs.org/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",3572603,24490,,,PT3H6M45S
9,tamC-M8TxtY,PBS NewsHour,Why so many Americans in the middle class have no savings,2016-06-01T23:16:40Z,25,"Could you come up with $2,000 in 30 days if you had to? As many as 40 percent of American families can’t, despite the improving economy. Among them is Neal Gabler, who is frequently broke despite his successful career as a writer. As part of a collaboration between The Atlantic and the PBS NewsHour, Judy Woodruff looks at why Gabler and so many other Americans are struggling with savings.",3568430,28892,,,PT12M
