,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,6cWYiJKCWdI,SABC News,"SABC News: Barack Obama delivers 16th Nelson Mandela Annual Lecture, 17 July 2018",2018-07-17T15:43:26Z,25,"Barack Obama delivers the 16th Nelson Mandela Annual Lecture on the theme “Renewing the Mandela Legacy and Promoting Active Citizenship in a Changing World” in honour of Mandela’s centennial birthday.

For more news, visit: sabcnews.com",13750551,27256,,,PT3H58M5S
1,qkbP3GMQrdg,SABC News,King Zwelithini lashes out at critics of virginity testing,2016-09-11T16:49:25Z,25,"King Goodwill Zwelithini has lashed out at critics of virginity testing.
The king was addressing Zulu maidens at the annual Reed Dance ceremony at Nongoma in northern KwaZulu-Natal yesterday.
This year's reed dance ceremony at the Enyokeni Royal palace was lauded as a success, with organisers saying there is a growing interest in the cultural ceremony. 

For more news, visit: http://www.sabc.co.za/news",5536309,11325,,624,PT1M55S
2,23AIGh8Sfpo,SABC News,EFF Leader CIC Malema pays tribute to Mama Winnie,2018-04-14T10:08:21Z,25,"For more news, visit: sabcnews.com",2521930,18308,,0,PT18M1S
3,rNa8bWLCUYU,SABC News,AU Chair Robert Mugabe address: 26th AU Summit,2016-01-30T11:40:51Z,25,"The 26th AU Summit is called to discuss Human Rights in Africa focusing mainly on the Rights of Women. But Africa's security concerns will dominate the two day meeting. AU Chair President Robert Mugabe thanks Ban Ki Moon got helping Africa tackle Malaria and all calamities. He also says migration of Africans is a concern and Africa will hold a summit to address the issue. However Pres. Mugabe could not stop pointing his views about the West, asking them to 'shut up' over his long rule.


For more News visit: http://www.sabc.co.za/news",2168989,13788,,2453,PT54M18S
4,-tx55HWqM2M,SABC News,Shona Ferguson's Funeral Service | 04 August 2021,2021-08-04T11:39:18Z,25,"The funeral service of media mogul, Shona Ferguson is underway in Ruimsig Johannesburg. 
Aaron Arthur Shona Ferguson passed away on Friday at the Netcare Milpark Hospital from Covid-19-related complications. Mr. Shona Ferguson's funeral will be held in Fourways cemetery in JHB. 
As per Covid-19 protocols, only family and close friends may attend. 

For more news, visit sabcnews.com and also #SABCNews #Coronavirus #COVID19News on Social Media.",1774094,19861,,798,PT5H26M17S
5,7Y8LBTz07SY,SABC News,#SONA2020 | MPs weigh-in on EFF's point of order,2020-02-13T17:28:23Z,25,"For more news, visit sabcnews.com and also #SABCNews, #SONA2020 on Social Media.",1428683,7367,,825,PT8M41S
6,oTIeqLem67Q,SABC News,"De Klerk, Mandela pre-election debate rebroadcast, 14 April 2019",2019-04-14T15:09:49Z,25,"To mark 25 yrs of democracy, SABCNews rebroadcasts its first-ever pre-election debate, between Nelson Mandela & FW De Klerk on 14 April 1994. In studio are Profs @somadodafikeni and Susan Boysen with Freek Robinson who facilitated the debate. #SABCNewsChannel


For more news, visit: sabcnews.com",1246251,6818,,0,PT1H57M48S
7,BdQbD0YvIoU,SABC News,"Prophet Bushiri, Pastor Mboro speak to SABC News",2018-05-14T18:24:29Z,25,"Following their well known public spats, charismatic Christian pastors, Prophet Bushiri and Prophet Mboro have decided to bury the hatchet. Deciding to put the past behind them, they have committed to working together to ensure that they spread the gospel without any personal animosity between them.

For more news, visit: sabcnews.com",1201874,4699,,0,PT18M26S
8,LOJrdVu7GoQ,SABC News,Russian President Vladimir Putin touches down in SA,2018-07-26T09:04:25Z,25,"For more news, visit: sabcnews.com",1114790,5342,,1084,PT3M6S
9,rs_HK1FA-BA,SABC News,Cutting Edge: I Receive Papa: 24 November 2020 - Part 1,2020-11-25T12:40:04Z,25,"For more news, visit sabcnews.com and also #SABCNews #Coronavirus #COVID19News on Social Media.",1063921,5617,,2036,PT47M52S
10,Gz9-_Q1NlcI,SABC News,President Mugabe's Cecil John Rhodes joke,2015-04-08T16:52:43Z,25,"Cecil John Rhodes also loomed large during Zimbabwean president Robert Mugabe's state visit, with journalists reduced to laughter as he joked about the colonialist. Vuyo Mvoko was among them.

For more News visit: http://www.sabc.co.za/news
Follow us on Twitter: https://twitter.com/SABCNewsOnline?lang=en
Like us on Facebook: https://www.facebook.com/SABCNewsOnline",1020513,4492,,338,PT2M23S
11,GDIi1fBSG04,SABC News,"SABC speaks to EFF Leader, Julius Malema",2023-02-21T18:52:42Z,25,"SABC News Political Editor, Mzwandile Mbeje, is this evening talking to EFF Leader, Julius Malema.

For more news, visit sabcnews.com and #SABCNews on all Social Media platforms.",1009278,,,1815,PT35M39S
12,MYWfTkKTdc8,SABC News,Life in prison,2019-10-20T11:11:20Z,25,"It's tough in jail.. and regret comes easily within the confines of prison walls. Inmates pay their dues and often continue to do so long after they get their freedom back.

Rejected and stigmatised, many struggle to reintegrate.

SABC News reporter Maageketla Mohlabe and video journalist Scelo Hlanula spent time with inmates at a maximum security prison in Gauteng.

For more news, visit: sabcnews.com and also #SABCNews",1004282,2935,,0,PT5M58S
