,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,oh2Sj_QpZOA,Sky News Australia,SPECIAL INVESTIGATION: What Really Happened in Wuhan,2021-09-27T23:00:11Z,25,"Get Sharri Markson’s book ‘What Really Happened in Wuhan’ here: https://linktr.ee/WhatReallyHappenedInWuhan

This Sky News Australia special investigation into the origins of COVID-19 reveals what really happened in Wuhan in the early days of the pandemic.

Award-winning journalist Sharri Markson spent more than a year investigating the potential leak of the virus from a top-secret laboratory in Wuhan.

Ms Markson uncovered evidence of a widespread cover-up and unpacks the new theory that “patient zero” worked in the Wuhan lab.

Sky News Australia anchor and Investigations Writer at The Australian, Sharri has been at the forefront of investigating the origins of COVID-19 since early in 2020 when the virus spread globally. Since that time, the precise genesis of COVID-19 has been hotly contested, with scientists, government officials, the World Health Organization, and the Chinese authorities releasing conflicting reports.

In a coup for Australian television, Sharri secures the first sit-down interview for an Australian broadcast media outlet with Donald Trump since he was elected president in 2016. 

Sharri also speaks with a range of Chinese whistle-blowers, scientists, and high-ranking intelligence officials to bring us closer to discovering the truth of what happened in Wuhan. 

These include John Ratcliffe, the U.S. Director of National Intelligence from 2020 to 2021, and former head of British intelligence service, Mi6, Sir Richard Dearlove.",13316674,233564,,43049,PT59M46S
1,wk2YUNglhNE,Sky News Australia,Gender ideology a 'pervasive' and 'toxic' influence in western culture: Matt Walsh,2022-06-27T13:28:11Z,25,"Author and commentator Matt Walsh says as discovered in his documentary, 'What is a Woman?', gender ideologues ""certainly cannot define the term"".

""It starts with just recognising that gender ideology is this pervasive, toxic influence in our culture across the world, across the western world anyway"" Mr Walsh told Sky News host Rita Panahi. 

""And also realising that in spite of the fact it's been so successful in claiming so many people's minds, it is really quite hollow at its core.""

He said just a couple of questions ""really bring down the whole house of cards"", starting with the question he poses in his documentary: ""what is a woman?"".",4548901,103249,,21648,PT13M19S
2,0d7s-aoypoo,Sky News Australia,Piers Morgan eats steak in front of vegan activist,2022-12-07T05:54:10Z,25,"Sky News Australia host Piers Morgan started eating a steak in front of a “pasty” face vegan activist to prove they cannot stop people from eating meat.  

“All you’ve achieved is you’ve made me want to do this,” Mr Morgan said. 

“The very last thing on Earth that will stop me eating steak is people like you.”",4217791,74074,,27892,PT11M8S
3,2UPGkrKQDlE,Sky News Australia,This is 'what can happen' when Joe Biden 'goes off script',2022-07-10T05:28:37Z,25,"Sky News host Rita Panahi says there is a ""good reason"" why Joe Biden's handlers insist the President use an autocue when speaking to the media. 

Ms Panahi looked at one example of ""what can happen"" when Joe Biden ""goes off script"".

Her comments come after a recent Biden gaffe has been mocked on social media after the President read his autocue instructions aloud during a White House address. 

“It is noteworthy that the percentage of women who registered to vote and cast a ballot is consistently higher than the percentage of the men who do so – end of quote, repeat the line,” Mr Biden said.",3663121,85145,,14459,PT2M26S
4,fRLWI2SFQDs,Sky News Australia,Will Smith's Oscars outburst might point to 'what's going on' in his own relationship,2022-03-28T10:35:46Z,25,"Will Smith striking Chris Rock during the Oscars might have a lot to do with what's going on in his own relationship with wife Jada Pinkett-Smith, says Sky News host Chris Smith.

The Fresh Prince won an Oscar for his leading role in the film King Richard – a movie based on the father of legendary tennis players Venus and Serena Williams.

In his acceptance speech, Smith addressed the slap and his role in the film saying “Richard Williams was a fierce defender of his family"".

Smith then continued to say he was being called on to ""protect people"" while admitting in showbusiness he was often the victim of disrespect.

""He could've walked out; he didn't need to do what he did,"" Sky News host Chris Smith said.

""I wonder whether it had a lot to do with what's going on in his own relationship.""",3334122,36778,,25641,PT8M32S
5,St9IxZO1VGs,Sky News Australia,"China Rising: ‘Tremble and obey’, Xi Jinping’s ‘era of biding time’ is over (Part 1)",2021-11-23T05:58:12Z,25,Part one of Sky News Australia’s documentary – China Rising – delves into Chinese President Xi Jinping’s mission to topple the United States and become the world’s greatest superpower.,3287877,47589,,15405,PT51M24S
6,6R2RPZUw2eQ,Sky News Australia,Elon Musk teases AOC on Twitter after declaring she will sell her Tesla,2022-05-27T05:38:26Z,25,Elon Musk has taken to Twitter to tease Alexandria Ocasio-Cortez after she told Bloomberg News she was considering selling her Tesla following the billionaire's tweet last month where he told her to “stop hitting on” him.,3171800,60848,,14516,PT2M17S
7,U8q5WVCTXkk,Sky News Australia,Piers Morgan responds to Big Ben vegan protester by eating Big Mac,2022-09-08T07:53:11Z,25,"Sky News Australia host Piers Morgan has responded to the ""hypocrisy"" of Animal Rebellion protesters who eat ""almonds and avocados"" by eating a Big Mac.
 
Animal Rebellion protest groups sprayed the gates of Big Ben with ""paint symbolising milk"" yesterday.
 
""I meet so many vegans who devour avocados and almonds, and don't seem to realise it involves the slaughter of billions of bees,"" Mr Morgan said.
 
""My response to you destroying all these things is to have a Big Mac - because, you know what, it's a free country, it's a democracy and I'm allowed to eat meat.
 
""I'm certainly allowed to eat meat when someone who kills bees to feed their avocado habit minds.""",3100440,84694,,40698,PT6M59S
8,Rj9V-XjCol8,Sky News Australia,WATCH: Hunter Biden films himself weighing his ‘crack’,2022-07-11T06:27:28Z,25,"A new leaked video of Hunter Biden shows the president’s son filming himself with a cigarette in his mouth as he weighs a mystery powder on a scale which social media users have dubbed as “crack”, a nod to his well documented drug history.",3054443,87074,,23965,PT3M43S
9,RqGsBFVrVjQ,Sky News Australia,Joe Biden is ‘angry’ that Americans are ‘complaining’,2022-06-20T14:51:24Z,25,"US President Joe Biden is “angry” that Americans are complaining about not being able to afford gas and food, says Sky News host Rita Panahi.

“Don’t they realise he’s changing lives?”",3003665,80919,,27941,PT2M57S
10,G3zmq-uyTis,Sky News Australia,Media mocked for claiming Johnny Depp trial was ‘misogynistic’,2022-06-03T11:04:53Z,25,Sky News Digital Editor Jack Houghton says there were “clear and repeated acts of deception” in actor Amber Heard’s testimony against ex-husband Johnny Depp.,2981084,90929,,16906,PT11M57S
11,X5ECVUv0Wqg,Sky News Australia,Joe Biden displays ‘puzzling’ behaviour after escaping COVID isolation,2022-08-08T14:48:35Z,25,"US President Joe Biden has displayed “puzzling” behaviour in recent weeks, including a battle with the mute button on a public Zoom call and “mangling” his words during a press conference, says Sky News host Rita Panahi. 

Mr Biden also bizarrely opted to give reporters a hand gesture instead of answering questions as he headed out of Washington for his vacation house.",2888557,50584,,14196,PT2M19S
