,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,eTgNgGO_bLs,The Economist,What happens when we sleep?,2019-01-30T17:31:56Z,28,"Sleep is central to maintaining your physical and mental health, but many people don't sleep enough. We all do it, but what happens to us when we sleep?

Click here to subscribe to The Economist on YouTube: https://econ.st/2xvTKdy 

Every night almost everyone on the planet enters into a state of unconsciousness and paralysis - but what is really happening inside the body when we drift off, and what's the impact if we don't get enough sleep?

Sleep is regulated by your circadian rhythm, or body clock located in the brain. The body clock responds to light hews ramping up production of the hormone melatonin at night, and switching it off when it senses light. 

There are four stages of sleep that the body experiences in cycles throughout the night. On a good night we cycle through these stages four or five times. 

Stages one and two are light sleep. This is a transition from being awake to falling asleep. Heart rate and breathing begin to slow, body temperature falls, and muscles may twitch. Stage 3 is sometimes referred to as Delta sleep - because of the slow Delta brainwaves that are released during this stage. This is the first stage of deep sleep where our cells produce the most growth hormone to service bones and muscles, allowing the body to repair itself. Stage 4 is where we begin to dream. The body creates chemicals that render it temporarily paralyzed so that we do not act out our dreams. In this stage, the brain is extremely active and our eyes, although closed, dark back and forth as if we were awake.

Humans roughly spend one third of their lives asleep. Modern lifestyles, stress and the proliferation of Technology, mean that people is sleeping far less today than they were a century ago. 

Sleeping less than seven hours per day is associated with an increased risk of developing chronic conditions which could reduce life expectancy.

So for a healthier longer life get some shut-eye

For more from Economist Films visit: http://films.economist.com/ 
Check out The Economist’s full video catalogue: http://econ.st/20IehQk 
Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ 
Follow The Economist on Twitter: https://twitter.com/theeconomist 
Follow us on Instagram: https://www.instagram.com/theeconomist/ 
Follow us on Medium: https://medium.com/@the_economist",9326638,152779,,3671,PT2M45S
1,p0G68ORc8uQ,The Economist,The deep ocean is the final frontier on planet Earth,2017-03-23T12:03:53Z,28,"Watch the latest in the Ocean series - How to stop plastics getting into the ocean: https://youtu.be/D7EdgCxFZ8Q

The ocean covers 70% of our planet. The deep-sea floor is a realm that is largely unexplored, but cutting-edge technology is enabling a new generation of aquanauts to go deeper than ever before.

Click here to subscribe to The Economist on YouTube: http://econ.trib.al/rWl91R7 

Beneath the waves is a mysterious world that takes up to 95% of Earth's living space. Only three people have ever reached the bottom of the deepest part of the ocean. The deep is a world without sunlight, of freezing temperatures, and immense pressure. It's remained largely unexplored until now.

Cutting-edge technology is enabling a new generation of aquanauts to explore deeper than ever before. They are opening up a whole new world of potential benefits to humanity. The risks are great, but the rewards could be greater. From a vast wealth of resources to clues about the origins of life, the race is on to the final frontier 

The Okeanos Explorer, the American government state-of-the-art vessel, designed for every type of deep ocean exploration from discovering new species to investigating shipwrecks. On board, engineers and scientists come together to answer questions about the origins of life and human history. 

Today the Okeanos is on a mission to investigate the wreck of a World War one submarine. Engineer Bobby Moore is part of a team who has developed the technology for this type of mission.  

The “deep discover”, a remote operating vehicle is equipped with 20 powerful LED lights and designed to withstand the huge pressure four miles down. Equivalent to 50 jumbo jets stacked on top of a person

While the crew of the Okeanos send robots to investigate the deep, some of their fellow scientists prefer a more hands-on approach. Doctor Greg stone is a world leading marine biologist with over 8,000 hours under the sea. He has been exploring the abyss in person for 30 years. 

The technology opening up the deep is also opening up opportunity. Not just to witness the diversity of life but to glimpse vast amounts of rare mineral resources. Some of the world's most valuable metals can be found deep under the waves. A discovery that has begun to pique the interest of the global mining industry.

The boldest of mining companies are heading to the deep drawn by the allure of a new Gold Rush. But to exploit it they're also beating a path to another strange new world. In an industrial estate in the north of England, SMD is one of the world's leading manufacturers of remote underwater equipment. The industrial technology the company has developed has made mining possible several kilometers beneath the ocean surface.  

With an estimated 150 trillion dollars’ worth of gold alone, deep-sea mining has the potential to transform the global economy. 

With so much still to discover, mining in the deep ocean could have unknowable impact. It's not just life today that may need protecting; reaching the deep ocean might just allow researchers to answer some truly fundamental questions. Hydrothermal vents, hot springs on the ocean floor, are cracks in the Earth's crust. Some claim they could help scientists glimpse the origins of life itself. 

We might still be years away from unlocking the mysteries of the deep. Even with the latest technology, this kind of exploration is always challenging.  As the crew of the Okeanos comes to terms with a scale of the challenge and the opportunity that lies beneath, what they and others discover could transform humanity's understanding of how to protect the ocean.

It's the most hostile environment on earth, but the keys to our future may lie in the deep.

Check out Economist Films: http://films.economist.com/ 
Check out The Economist’s full video catalogue: http://econ.st/20IehQk 
Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ 
Follow The Economist on Twitter: https://twitter.com/theeconomist 
Follow us on Instagram: https://www.instagram.com/theeconomist/ 
Follow us on LINE: http://econ.st/1WXkOo6 
Follow us on Medium: https://medium.com/@the_economist",6136860,54948,,3720,PT14M49S
2,CsH152NE9Ak,The Economist,Why Belgium is now the cocaine capital of Europe,2022-11-03T15:00:02Z,25,"With record seizures of cocaine at Belgian ports, the country has become Europe’s cocaine-trafficking capital. As the flow of drugs increases, local authorities are struggling with corruption and violence.

00:00 - Antwerp: Europe’s cocaine trafficking capital 
01:48 - How much cocaine gets seized? 
03:18 - Why do traffickers choose the port of Antwerp?
05:54 - The entrepreneurial Balkan mafias
07:35 - How do cocaine mafias make a profit?
08:16 - Customs corruption
11:54 - How can Belgium halt its cocaine trade?
13:43 - Can legalising drugs help?

Sign up to our daily newsletter to keep up to date: https://econ.st/3HKmuzH 

How much does cocaine cost around the world? https://econ.st/3DwCuVt 

Has the war on drugs failed? https://econ.st/3NsFdSZ 

How are Latin American politicians dealing with the war on drugs? https://econ.st/3OklHHv

Why is European organised crime thriving? https://econ.st/3mT5iy8

Is drug trafficking to blame for violence in Latin America? https://econ.st/3tzk691

Watch our previous film about global cocaine trafficking: https://econ.st/3b40tzi",4782240,49933,,6467,PT14M45S
3,tK1OTQzyiX8,The Economist,The Saudi prince: how dangerous is MBS?,2022-08-26T16:30:10Z,25,"Muhammad bin Salman, or MBS—the millennial crown prince of Saudi Arabia—appears increasingly invincible. With the war in Ukraine disrupting energy supplies, Western leaders are eager to get their hands on his oil. But should they worry about the young prince’s power?

00:00 - How dangerous is MBS
01:06 - How MBS has reformed Saudi Arabia
02:59 - Who is MBS?
03:36 - MBS’ rise to power
06:21 - Khalid Al-Jabri on MBS’ brutal regime
08:14 - The murder of Jamal Khashoggi 
09:21 - The impact of the global energy crisis
10:02 - Who, if anyone, can stop MBS?

Read Nick Pelham’s 1843 profile on MBS: https://econ.st/3deSnoD 

Sign up to The Economist’s daily newsletter: https://econ.st/3QAawvI 

Find our most recent coverage on the Middle East & Africa: https://econ.st/3bTdJYv 

How to deal with despots: https://econ.st/3Qlpoye 

What does the Middle East offer America?: https://econ.st/3Plw2TU 

How did MBS rise to power?: https://econ.st/3QBkVXW 

Why many Saudis are seething at MBS’ reforms: https://econ.st/3SYsLwX",4627066,50201,,11153,PT13M58S
4,JiYVoHEV5hs,The Economist,Why is chicken so cheap?,2019-03-28T17:51:44Z,25,"People eat 65 billion chickens every year. It is the fastest-growing meat product. Yet pound for pound the price of chicken has fallen sharply. How has this happened?

Read more about Chickenomics here: https://econ.st/2Wtp04o
Click here to subscribe to The Economist on YouTube: https://econ.st/2xvTKdy 

Chickens are the most populous bird on the planet. There are 23 billion of them at any given time - that's ten times more than any other bird.  It's by far the fastest growing meat product but pound for pound the price of chicken has fallen sharply. How has this happened? 

This farm is at the forefront of a technology revolution that has drastically changed chicken farming. It's run by David Speller who's pioneered the use of CCTV and CO2 monitors in chicken sheds. Along with his own farm, he works as a consultant overseeing the raising of around 3 million chickens in the UK. 

Chickens were first domesticated over 8,000 years ago but it wasn't until the 1940s that major efforts were made to create a super breed. The chicken of tomorrow competition in America would change chickens forever.

Today the lifecycle of broilers, chickens that are bred purely for their meat, is entirely preordained. They grow faster and bigger than ever before and they can only live supported by human technology. Chickens have changed so quickly they are now four times the size they were in the 1950s. 

A barnyard chicken can live up to 10 years showing the huge evolutionary change the broilers have undergone. But selective breeding on a global scale comes at a cost. If the chickens live beyond their planned life they develop huge medical problems. And there are concerns the chicken industry is relying on an increasingly small gene pool. 

Keeping chickens in battery cages was banned in the EU in 2012 but some people want to create better lives for broiler chickens. Free-range birds have more access to open air runs, while organic chickens are typically free from antibiotics, hormones and other synthetic chemicals. Organic chickens get to live the longest - 81 days compared to intensively reared birds which live between 35 and 40 days. Free-range chickens get the most access to open air runs but when it comes to living space, organic and free-range fair far better than intensively reared birds where as many as 17 adult birds live in a single square metre.

Organic farming might offer animals a greater quality of life but consumers are largely driven by cost and in an average UK supermarket, an intensively reared chicken cost several times less than its free-range or organic cousins.

Over 95% of broiler chickens are intensively reared in the UK. Organic and free-range chickens make up the rest. For as long as shoppers want cheap and plentiful chicken, they will continue to  be bred ever more intensively.

For more from Economist Films visit: http://films.economist.com/ 
Check out The Economist’s full video catalogue: http://econ.st/20IehQk 
Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ 
Follow The Economist on Twitter: https://twitter.com/theeconomist 
Follow us on Instagram: https://www.instagram.com/theeconomist/ 
Follow us on Medium: https://medium.com/@the_economist",4036617,54526,,8239,PT6M24S
5,OKKbkS_LOu4,The Economist,Why does time pass?,2015-09-03T19:30:01Z,28,"The equations of physics suggest time should be able to go backwards as well as forwards. Experience suggests, though, that it cannot. Why? And is time travel really possible?

Click here to subscribe to The Economist on YouTube: http://econ.trib.al/rWl91R7 

Why does time pass? It is a question so profound that few people would even think to ask it. Yet its effects are all around. Human beings live in a perpetual present, inexorably sealed off from the past, but moving relentlessly into the future. For most people, time seems to be something that is just out there. A thing ticking away in the background - fixed, immutable. Time seems to go in one direction and in one direction only. But physicists see it much differently.

One of the great minds who changed the way science thinks about time was Albert Einstein. In 1905 he published his special theory of relativity. In it he demonstrated that time passes differently in different places depending on how those places are moving with respect to one another.

Einstein showed that the faster one travels the slower time goes for the traveler. At the speeds at which humans move this is imperceptible. But for someone traveling on a spaceship at speeds close to that of light, time would slow down compared with its passage for people on earth.

There was another important aspect of Einstein's theory which he didn't even realize when he published it. That time was woven into the very fabric of space itself. Einstein used this insight to help develop his general theory of relativity which incorporated gravity. He published it in 1915. 

With the general theory of relativity he demonstrated that massive objects warped the fabric of space-time. It is this curvature that causes time to slow down near them. Time slows down in proportion to the gravitational pull of a nearby object so the effect would be strong near a black hole but milder near the earth. But even here it can be detected. Einstein's theories had to be taken into account when the GPS system was set up otherwise it would have been inaccurate. 

One scientist who puzzled over the directionality of time was Arthur Eddington, a 20th century astronomer who defined the concept of the arrow of time, based on observations made by the 19th century physicist Ludwig Boltzmann. The arrow of time is based on the second law of thermodynamics which says the disorder known as entropy increases with time. For example, a building left untouched will slowly decay into its surroundings. It will disintegrate into a more chaotic state but it is highly unlikely that the building will become more orderly over time - this is because there are many more ways for a system to be disorderly than orderly. There can be many ways for something to break for instance but only one way for it to be put back together again. A system will be less disordered in the past and more disordered in the future. This is the arrow of time. 

So how can the arrow of time be reconciled with Einstein's equations? If time can go forwards and backwards according to relativity does that mean it's possible to go backwards in time? The theory of relativity does allow time travel to the future.

Einstein's theories do allow for the formation of wormholes in space. These are shortcuts that link otherwise distant places in the space-time continuum. 

Although wormholes are theoretically possible they're a highly implausible proposition. That's because the equations suggest enormous masses and energies would be required to create and manipulate one. 

What remains then is a mystery. Theory fails to forbid traveling backwards in time but practice suggests it might just as well be forbidden. For now it would appear the arrow of time cannot be reversed. No one knows why time passes but it seems that no matter how people look at it, it goes in one direction in one direction only.

Check out Economist Films: http://films.economist.com/ 
Check out The Economist’s full video catalogue: http://econ.st/20IehQk 
Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ 
Follow The Economist on Twitter: https://twitter.com/theeconomist 
Read our Tumblr: http://theeconomist.tumblr.com/ 
Follow us on Instagram: https://www.instagram.com/theeconomist/ 
Check out our Pinterest: https://uk.pinterest.com/theeconomist/
Follow us on LINE: http://econ.st/1WXkOo6",3325908,46644,,4344,PT10M30S
6,iTLssSIetq0,The Economist,The World in 2021: five stories to watch out for,2020-12-23T15:00:30Z,25,"The World in 2021 will start to look beyond covid-19: to the launch of an asteroid-smashing space probe, the next step in the fight against climate change and China's supremacy at the box office. Here are five stories to watch out for.

00:00 - Top five stories for 2021
00:39 - Democracy under threat
04:17 - The electric revolution revs up
06:55 - A chance to turn a corner on climate change
10:39 - China v Hollywood: battle of the box offices
14:40 - Defending the planet

Sign up to The Economist's daily newsletter: https://econ.st/3qJCAk5 

Find all of the articles in World In 2021: https://econ.st/3a4z5Pr 

Read our latest coverage of covid-19: https://econ.st/3abooL1 

Find all our climate-change coverage: https://econ.st/3oBoLSX 

2020: the year when everything changed: https://econ.st/2Kytkyy 

The pandemic has eroded democracy and respect for human rights: https://econ.st/3oIb0BI 

How would-be autocrats used covid-19 as an excuse to grab more power: https://econ.st/3qJ29l8 

Why democracy failed in the Middle East: https://econ.st/2Wl9pps 

Electric vehicles: who will rule the Teslaverse? https://econ.st/3qK0ITG 

Countries should seize the moment to flatten the climate curve: https://econ.st/2JICCYY 

Paris-anniversary climate pledges bring progress but fall short: https://econ.st/3nxNB60 

The world's energy system must be transformed completely: https://econ.st/37V83Y5 

Why it's time to make coal history: https://econ.st/39YIvf9 

The World in 2021: the pandemic has shaken up the movie business: https://econ.st/39YGWxS 

Daily chart: Hollywood is losing ground in China: https://econ.st/39ZvUIs 

How Hollywood should deal with Chinese censors: https://econ.st/2VYlocv 

Why easier access to space imposes new environmental responsibilities on humanity: https://econ.st/340i8Sp 

A new moon race has begun: https://econ.st/3qMu7fM",3304981,43320,,3479,PT18M20S
7,A4OmtyaBHFE,The Economist,"To see Germany’s future, look at its cars",2021-09-24T15:00:14Z,25,"As the election approaches, Germany's carmakers will face the same challenges as its new leaders: a need to innovate, tackle climate change and reassess its trade relationship with China. How this world-renowned motor industry navigates the road ahead could tell a lot about Germany’s future.

00:00‌ ‌-‌ ‌Germany‌ ‌faces‌ ‌numerous‌ ‌challenges‌ ‌
00:49‌ ‌-‌ ‌Can‌ ‌Germany’s‌ ‌cars‌ ‌reveal‌ ‌its‌ ‌future?‌ ‌(or‌ ‌whatever‌ ‌the‌ ‌title‌ ‌is)‌ ‌
02:13‌ ‌-‌ ‌Is‌ ‌Germany‌ ‌too‌ ‌reliant‌ ‌on‌ ‌trade‌ ‌with‌ ‌China?‌ ‌
03:46‌ ‌-‌ ‌Germany's‌ ‌reluctance‌ ‌to‌ ‌digitalise‌ ‌
05:09‌ ‌-‌ ‌The‌ ‌race‌ ‌to‌ ‌go‌ ‌electric‌ ‌ ‌
06:41‌ ‌-‌ ‌The‌ ‌future‌ ‌of‌ ‌electric‌ ‌cars‌ ‌ ‌
08:17‌ ‌-‌ ‌What’s‌ ‌in‌ ‌store‌ ‌for‌ ‌Germany’s‌ ‌new‌ ‌leader?‌ ‌

Read our special report about Germany after Angela Merkel: https://econ.st/3Cuw3Pj 

Find all of our analysis of Germany’s upcoming election: https://econ.st/3hQ0Zl9 

View all our Europe section for all our coverage: https://econ.st/2ZgMqkb 

The Economist Explains: How do Germany’s elections work? https://econ.st/3hS6aB3 

German voters face a bewildering array of possible coalitions: https://econ.st/3nS5dwq 

The warring parties’ plans for Germany’s economy are full of holes: https://econ.st/3Ewl7Tf 

Why Climate change will feature heavily in Germany’s election: https://econ.st/3hM3Knu 

Why German cars have the most to lose from a changing auto industry: https://econ.st/3EDZnF4 

How new means of getting from A to B are disrupting carmaking: https://econ.st/3ClVz9o 

Who will rule the Teslaverse? https://econ.st/3hS5mMx 

Read about the new 800V electric cars that will recharge in half the time: https://econ.st/3lAivuM 

What the million-mile battery means for electric cars: https://econ.st/3nPV5nP 

Old electric cars are a raw material of the future: https://econ.st/3lG23sP 

Read about Volkswagen’s plans for electric cars: https://econ.st/3lEmkPK 

Listen to “The Economist Asks” podcast with Herbert Diess, chief executive of Volkswagen, about electric cars: https://econ.st/3CtU1dn",3248737,50198,,4665,PT11M3S
8,6R6WFAvzgvE,The Economist,Inside Ivory Coast's hidden gold rush,2016-05-06T12:55:28Z,25,"Inside Ivory Coast's hidden gold rush takes a look at the gold mining industry in Ivory Coast. For a long time mining was seen as a dirty alternative to a more wholesome farming lifestyle. But some of the richest gold-mining potential in Africa is luring hundreds of thousands of Ivorians off the land and into the mines. 

Click here to subscribe to The Economist on YouTube: http://econ.trib.al/rWl91R7 

Check out Economist Films: http://films.economist.com/ 
Check out The Economist’s full video catalogue: http://econ.st/20IehQk 
Like The Economist on Facebook: https://www.facebook.com/TheEconomist/ 
Follow The Economist on Twitter: https://twitter.com/theeconomist 
Read our Tumblr: http://theeconomist.tumblr.com/ 
Follow us on Instagram: https://www.instagram.com/theeconomist/ 
Check out our Pinterest: https://uk.pinterest.com/theeconomist/
Follow us on LINE: http://econ.st/1WXkOo6",3213735,8484,,466,PT5M41S
9,uynhvHZUOOo,The Economist,See what three degrees of global warming looks like,2021-10-30T11:00:25Z,25,"If global temperatures rise three degrees Celsius above pre-industrial levels, the results would be catastrophic. It’s an entirely plausible scenario, and this film shows you what it would look like.

00:00 - What will a 3°C world look like?
00:57 - Climate change is already having devastating effects
02:58 - How climate modelling works
04:06 - Nowhere is safe from global warming
05:20 - The impact of prolonged droughts 
08:24 - Rising sea levels, storm surges and flooding
10:27 - Extreme heat and wet-bulb temperatures
12:51 - Increased migration and conflict 
14:26 - Adaptation and mitigation are crucial 

Read our briefing about a three degree world: https://econ.st/3nJiXYS 

View all of The Economist’s climate change coverage: https://econ.st/3b1RwU2 

Sign up to our climate change newsletter: https://econ.st/3b1dtCQ 

Listen to our new climate podcast, “To a Lesser Degree”: https://econ.st/3b1RuLU 

Read our special report on stabilising the climate: https://econ.st/3nw6CXK 

Listen to an episode of “The Intelligence” podcast about a 3°C world: https://econ.st/2Zw3Utv 

What would different levels of global warming look like? https://econ.st/2ZBsZDb 

How climate modelling works: https://econ.st/3jNmlAN 

Read about the IPCC’s starkest warning yet about climate change: https://econ.st/3nxagk6 

What to look out for at COP26: https://econ.st/2ZHngeZ 

Why the COP26 climate summit will be both crucial and disappointing: https://econ.st/3Gvvibz 

Broken promises, energy shortages and covid-19 will hamper COP26: https://econ.st/3EnDBnU 

Why damage from climate change will be widespread and sometimes surprising: https://econ.st/3Et40kq 

Children born today are likely to face seven times more extreme weather events than their grandparents: https://econ.st/3GyuXEO 

How to prepare for rising sea levels: https://econ.st/3EmtO1t 

Podcast: The growing risk of deadly heatwaves: https://econ.st/3nFWFH8 

The danger posed by heatwaves needs to be taken more seriously: https://econ.st/3k7SbZd 

What if firms were forced to pay for frying the planet: https://econ.st/3nGpseT",3162365,56552,,11907,PT16M24S
