,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,UMLtkp4AFkc,The Guardian,North Korea's Slow Motion Military - North Korea parade in Slow Motion,2010-10-12T16:48:05Z,25,"The Hermit Kingdom allowed international media to watch its largest ever military parade - part of the campaign to establish Kim Jong-il's youngest son as the leader-in-waiting.  Video by Dan Chung and Tania Branigan.

Subscribe to The Guardian on YouTube ► http://is.gd/subscribeguardian

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership
Guardian Culture ► https://www.youtube.com/guardianculturearts

#northkorea #military #slowmotion #northkoreanews #northkorealeader #slowmo",30435602,111758,,10367,PT3M1S
1,KGKBMvtDY68,The Guardian,Sex workers take steroids - Bangladeshi sex workers 'plump up' for clients | Guardian Investigations,2010-04-09T16:20:03Z,25,"Sex workers in Bangladesh, some as young as 12, are putting their health at risk by taking a drug to make themselves fatter so they are more attractive to clients. Their madams feed them steroids also used to make cows gain weight.
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership
Guardian Culture ► https://www.youtube.com/guardianculturearts

#Bangladesh #SexWorkers #Sex #Steroids",25860594,23742,,2148,PT5M15S
2,l2rhoCeYBqs,The Guardian,Someone stole naked pictures of me. This is what I did about it - Emma Holten | Comment is Free,2015-01-21T15:57:53Z,25,"WARNING: THIS VIDEO CONTAINS NUDITY
Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub
Four years ago, intimate photographs of Danish journalist Emma Holten were posted on the web. Thousands viewed them and she still receives online harassment. The issues of revenge porn and hacked photos are part of a larger problem with our relationship to consent, she argues. So Holten decided to pose for and release a new set of pictures of her body. Here she explains why.

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► http://is.gd/guardianwires
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture

#RevengePorn #EmmaHolten #Hacking #OnlineHarassment",15584181,34685,,2122,PT2M48S
3,mnGjQKdJrPU,The Guardian,The Trap: the deadly sex-trafficking cycle in American prisons,2018-06-29T22:35:05Z,25,"The Trap investigates how prisons and jails across the United States have become recruiting grounds for human traffickers, who are targeting incarcerated women and trafficking them out of correctional facilities and into pimp-controlled prostitution
Subscribe to The Guardian on YouTube ► http://is.gd/subscribeguardian

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► http://is.gd/guardianwires
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture

#thetrap #sextrafficking #prostitution #USA #humantrafficking #prison",14059965,89959,,9789,PT32M4S
4,HvCzXSjujkE,The Guardian,McKamey Manor: Inside America's most extreme haunted house experience,2015-10-30T11:37:16Z,25,"Warning: this video contains graphic scenes. McKamey Manor is one of the most extreme haunted house experiences in the US.
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

Located in Russ McKamey’s San Diego backyard, the full ‘haunt’ lasts eight hours, yet no one has managed to complete it. McKamey has amassed a cult following online and there is a 27,000 waiting list, but does is his event cross the line from fright to torture?

Read: extreme haunted house – inside the real life kingdom of masochists ► http://www.theguardian.com/lifeandstyle/2015/oct/30/extreme-haunted-house-masochists-mckamey-manor

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► http://is.gd/guardianwires
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture

#McKameyManor #HauntedHouse #ExtremeHauntedHouse #Torture #Masochism",12506161,90998,,22315,PT7M18S
5,JYPyI1agpiw,The Guardian,The children trapped in Bangladesh's brothel village,2016-05-17T09:20:00Z,25,"Daulatdia is an entire village in Bangladesh dedicated to prostitution. Every day, 1,600 trafficked, enslaved and abandoned women and girls sell themselves for £2 a time.
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

In the midst of the trade live 300 children, many born in the village. Some will be groomed to be the future of the business like their mothers and grandmothers. With education and support, a few may find their way out

WARNING: Some people might find this content distressing

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership
Guardian Culture ► https://www.youtube.com/guardianculturearts

#Bangladesh #Daulatdia #Prostitution #Sex #BrothelVillage",9688166,75714,,7166,PT11M53S
6,z6ACE-BBPRs,The Guardian,Yasiin Bey (aka Mos Def) force fed under standard Guantánamo Bay procedure,2013-07-08T11:03:23Z,25,"As Ramadan begins, more than 100 hunger-strikers in Guantánamo Bay continue their protest. More than 40 of them are being force-fed.
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

A leaked document sets out the military instructions, or standard operating procedure, for force-feeding detainees. 

In this four-minute film made by Human Rights organisation Reprieve and Bafta award-winning director Asif Kapadia, US actor and rapper Yasiin Bey (formerly known as Mos Def), experiences the procedure.

Warning: some viewers may find these images distressing.

Obama urged to halt Ramadan force-feeding at Guantánamo ► 
http://www.guardian.co.uk/world/2013/jul/08/obama-urged-halt-ramadan-guantanamo

Guantánamo authorities 'planning Ramadan force-feeding factory' ►  http://www.guardian.co.uk/world/2013/jul/05/guantanamo-hunger-strike-ramadan-force-feeding

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► http://is.gd/guardianwires
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture

#MosDef #Guantanamo #Gitmo #GuantanamoBay #Torture #ForceFeeding",9372696,45662,,26646,PT4M38S
7,eHCaIvPN2rY,The Guardian,"The Yamuna, India's most polluted river",2017-07-07T10:43:26Z,25,"Guardian India correspondent Michael Safi takes a journey along the Yamuna river. 
Subscribe to The Guardian on YouTube ► http://is.gd/subscribeguardian

Stretching 855 miles (1,375km) across the north of the country, at its source in the Himalayas its water is crystal clear. 

However, once it streams through New Delhi, it turns into one of the filthiest rivers in the world. Rapid urbanisation is partly to blame, but so is lax enforcement of laws against illegal dumping.

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership

#yamuna #india #pollution #himalayas #delhi",8844282,88094,,29985,PT9M59S
8,mjzVCt3Om-M,The Guardian,A deep sea dive into Bermuda’s hidden depths,2016-08-17T15:33:12Z,25,"Guardian environment reporter Oliver Milman joins a group of scientists on an underwater expedition off the Bermuda coast to help chart its hidden depths and gauge the general health of the area’s reef and coral. 
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

Travelling in a two-man submersible, Milman and submarine pilot Kelvin Magee go on a journey 500ft below the surface.

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership
Guardian Culture ► https://www.youtube.com/guardianculturearts

#DeepSeaDive #Bermuda #Coral #ClimateChange",8683217,59796,,2617,PT4M5S
9,HjVPNjnRKYs,The Guardian,Generations of Romanian girls trafficked into Europe's sex industry,2016-08-19T15:01:28Z,25,"Maya is one of the many Romanian girls lured to work in brothels and massage parlours across Europe in the hope of escaping poverty at home.
Subscribe to The Guardian on YouTube ► http://bit.ly/subscribegdn

Often deceived by boyfriends who are little more than pimps, these teenagers are desperate for a better life. Maya is now in a brothel in Switzerland, but her younger sister, Geida, hopes for a different future.

Support the Guardian ► https://support.theguardian.com/contribute

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Sign up for the Guardian documentaries newsletter ► https://www.theguardian.com/info/2016/sep/02/sign-up-for-the-guardian-documentaries-update

The Guardian ► https://www.theguardian.com

The Guardian YouTube network:

Guardian News ► https://www.youtube.com/guardianwires
Guardian Football ► https://www.youtube.com/user/GuardianFootball
Guardian Sport ► http://www.youtube.com/c/GuardianSportVideo
Guardian Live ► https://www.youtube.com/user/guardianmembership
Guardian Culture ► https://www.youtube.com/guardianculturearts

#Romania #HumanTrafficking #Sex #Prostitution #SexTrafficking",8032265,39335,,2976,PT9M10S
