,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,sjl5zyr_VrU,The Sun,Russian and Belarusian military carryout missile drills at Ukraine border,2022-02-04T12:13:02Z,25,"RUSSIAN Defence Minister Sergei Shoigu reviewed live-fire exercises in western Belarus on Thursday (January 3), part of a surge of military activity close to Ukraine.

Russia, in its biggest deployment to Belarus since the Cold War ended, is expected to have 30,000 troops as well as fighter jets and missile systems for the joint exercises that run until Feb. 20, NATO Secretary-General Jens Stoltenberg said.

The presence of a large Russian force in Belarus has added to western fears that Russia could be preparing to attack Ukraine on multiple fronts. Moscow denies any such intention and says the exercises are defensive in nature.

Ukraine said Russia currently has a total of 115,000 troops near its borders.

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139
#Russia #Belarus #Ukraine",12808276,74860,,2835,PT4M19S
1,eMvgCbXS2Cw,The Sun,Most painful cliff dives | Red Bull Cliff Diving Championships,2019-04-07T11:00:03Z,25,"With the new season of the Red Bull Cliff Diving World Series about to start here's a reminder of what can go wrong.

While the bravery and skill of the competitors is not in doubt, last year's events proved that even the best divers, such as champion Gary Hunt, can sometimes get it wrong.

The 2019 championship starts in the Philippines on April 13.

From Brexit breaking news to HD movie trailers, The Sun newspaper brings you the latest news videos and explainers from the UK and around the world.

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",7173004,14977,,529,PT2M22S
2,KvRnbIeTDAo,The Sun,Ukrainian missile operator describes blowing up Russian 'Z tanks',2022-03-21T16:47:38Z,25,"UKRAINIAN female missile operator describes the conditions on the frontline in the fight against Russia and details how she blew up a 'Z tank'.

Meet Tetyana Chornovol, a former nationalist member of parliament, who has swapped anti-corruption campaigning to be an anti-tank missile operator in the frontline trenches.

Chornovol said: ""I switched it on and saw tanks on the screen. They just entered within the range of my missile. I took aim and destroyed the first tank. Interestingly, the rocket was flying for quite some time.

Perhaps the tanks registered the rocket's launch and managed to turn back but I shot it right at the fuel tanks and the ammunition load has detonated."" 

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139
#Russia #Ukraine #Ztanks",6968103,66036,,6848,PT1M45S
3,rrbJ2Y4xHWg,The Sun,Rotting dead Russian soldiers found in trenches as Putin continues slaughter in east Ukraine,2022-04-13T14:41:45Z,25,"The Sun's Defence Editor Jerome Starkey finds dead Russian soldiers rotting in trenches that have been made into shallow graves as Putin continues slaughter in the east of Ukraine.

DEAD Russian soldiers were left rotting in their bunkers on Tuesday as Ukraine’s troops overran their positions — but a deadly new onslaught by Putin’s forces is feared within days.

The Sun witnessed scenes of carnage following a major battle outside Kharkiv — even as Russian President Vladimir Putin vowed to press on with his slaughter in the east.

Bodies lay slumped in blown-open dugouts after Ukraine seized control of a ridgeline in the three-day battle for Mala Rohan — where soldiers are confident they can defeat Russia.

One said: “Whatever Putin does, we won’t surrender. We have won the battle of Mala Rohan. We are one step closer to winning the war.”

But it comes amid rising fears Russia will unleash chemical weapons to turn the tide in its bloodbath invasion after many defeats.

Dozens of Russian troops in T-72 tanks had dug into a treeline two miles outside Kharkiv and bombarded Ukraine’s second city.

Continue reading
Dead Russian soldiers found rotting as Putin continues slaughter in the east of Ukraine
https://www.thesun.co.uk/news/18247223/russian-soldiers-rotting-putin-east-ukraine/

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",5667916,45331,,7576,PT2M7S
4,6xJlPO5jqE8,The Sun,MPs behaving badly (Part 1),2019-03-25T12:33:14Z,25,"MPs are elected to represent their constituencies but sometimes their behaviour can get the better of them. These are a collection of our politicians' funniest/worst moments from the House of Commons

Who is John Bercow?
https://www.thesun.co.uk/news/2803131/who-john-bercow-speaker-commons-remainer-brexit-eu/


From Brexit breaking news to HD movie trailers, The Sun newspaper brings you the latest news videos and explainers from the UK and around the world.

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",4585625,55384,,6614,PT11M14S
5,QIOoG6Z4rbA,The Sun,Fleet of Russian missile launchers 'take out drones mid-air',2022-06-02T08:53:52Z,25,"MOMENT a fleet of Russian missile launchers 'take out Ukrainian combat drones mid-air.'

This menacing video shows the potency of Russia's S-300PM2 'Favorit' anti-aircraft missile system as it purportedly blasts Ukrainian combat drones from the sky.

The show of military might may be intended as a threatening response to Washington's recent vow to supply Kyiv with new long-range missiles.

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139
#Russia #Ukraine",4446974,23754,,2792,PT3M24S
6,IoL_qPSxu-Q,The Sun,"'Give Ukraine weapons, you don't have to fight for us' says Air Force",2022-03-28T09:42:56Z,25,"After more than a month, Russia has failed to seize any major Ukrainian city, but the conflict remains deadly and has killed thousands of people.

Ukrainian Air Force spokesman, Colonel Yuri Ignat, told to Reuters on Saturday (March 26) the country's pilots had trained for years and conducted joint exercises with U.S. pilots precisely because ""we understood that there could be such a scenario"". Ukraine now needs fighter jets such as American F-15s and F-16s to supplement Ukraine's ageing Soviet-era MiG-29s and Sukhoi planes, he said, in order to overcome Russia's numerical and technological superiority in the air.

""We are fighting with the equipment of the '70s and '80s, they are fighting with the equipment of 2010 and later,"" Ignat said.

""We would be grateful for the Soviet-made equipment offered to us by the countries of Central Europe which still have it. But it will not be enough,"" he said, referring to the offer by neighbouring Poland earlier this month to transfer its Russian-made MiG-29 fighter jets to a U.S. base in Germany as a way to replenish Ukraine's air force in its defence against invading Russian forces.

The United States rejected the offer by Poland.

“Give Ukraine weapons, you don't have to fight for us. We don't ask to close the sky anymore. Give us weapons, we will defend ourselves,” Ignat said.

A Ukrainian fighter pilot, known by his Air Force call sign “Juice”, spoke to Reuters from the cockpit of his plane.

“We are taught that we need to be very creative. We need to be tactically flexible,” he said.

“This jet is very capable. It's very manoeuvrable. And everyone just love loves it. But unfortunately, now it's not - it is absolutely not - effective against Russian jets, Russian fighter jets,” he said.

“The main problem for us is not the tactics. It's just zero equipment…the problem is technology,” he added.

Missile attacks have been a feature of Russia's invasion. The bombardment has hit military targets as well as residential areas, schools and hospitals in Ukrainian cities including Kharkiv and the besieged port of Mariupol on the Sea of Azov. Moscow denies it is targeting civilians.

Russia says the operation was necessary because the United States was using Ukraine to threaten Russia while Russian speakers were being persecuted in Ukraine.

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",4213975,26192,,3205,PT5M8S
7,_idVXgEUjQQ,The Sun,Hilarious moment Downing Street policeman knocks on Number 10 to let Larry cat in,2018-11-20T17:09:29Z,25,"This is the hilarious moment Larry the Downing Street cat photobombed the news as he demanded to be let in to No10.

A police officer guarding the Prime Minister's official home had to knock on the famous black door to summon someone to open it.

The door can't be opened from the outside because it has no handle.

Instead a member of No10 staff had to come and open it from the inside, allowing Larry to slip back in to the warmth.

The whole incident was caught on camera in the background of a Sky News live broadcast.

Viewers were distracted from the political update by the feline's antics.

Continues: https://www.thesun.co.uk/news/7785405/hilarious-moment-larry-the-downing-street-cat-has-to-be-let-into-no10-by-a-policeman/

Sun Subscribers receive the latest breaking news and videos direct to their feed. SUBSCRIBE NOW and hit the bell to be the first in the know.

http://www.thesun.co.uk

Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",3618158,52021,,3450,PT56S
8,23LlgYbq-G8,The Sun,Russia releases U.S prisoner Trevor Reed in return for Russian pilot,2022-04-28T11:25:42Z,25,"RUSSIA has released U.S prisoner Trevor Reed in a surprise chain of events that has seen Russian pilot Konstantin Yaroshenko freed in return. 

In a surprise prisoner swap – former U.S. marine Trevor Reed, who was detained in Russia since 2019, has been released.

Russian pilot Konstantin Yaroshenko - who was serving a 20-year sentence in the United States for conspiracy to smuggle cocaine – was released in return.

The swap, which U.S. officials have said was the result of months of hard and careful work, comes as U.S.-Russia relations are at their worst in decades.

Officials said the talks that led to Reed’s release strictly focused on securing his freedom… and was not the start of a broader diplomatic conversation.

President Joe Biden did not comment on details of the release, but said (quote) ""The negotiations that allowed us to bring Trevor home required difficult decisions that I do not take lightly.""

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139
#Russia #Ukraine",3212684,11247,,876,PT3M19S
9,fZ1cIiqLuT4,The Sun,Inside Ukraine invasion front line exclusive - Sun reporter takes cover from Russian shells,2022-02-25T16:13:09Z,25,"Sun reporter Jerome Starkey was forced to take cover from Russian shells exploding on the front line on Friday.

Russian missiles pounded Ukraine as families cowered in shelters and air raid sirens wailed across the major cities on the second day of Putin's full-scale invasion.

But Russia also appeared to be advancing on the outskirts of Kharkiv nearly 300 miles away as Russian forces drove deeper into Ukraine.

Our Sun man Jerome was forced to duck for cover with Ukrainian troops as Russian shells rained down nearby.

Reporting from the outskirts of the city, Jerome said: ""Everyone just had to take cover... we could hear the shells going over.""

Dramatic footage filmed on the front line showed a Ukrainian soldier diving in front of our defence editor in the thick snow as explosions are heard in the distance.

A Ukrainian soldier later showed off his trophies of enemy kills to Jerome as they stood in the trenches.

The soldier could be seen standing in the blizzard holding up a collection of patches he claimed to have taken from slain Russian troops.

Continue reading
Brave Sun man takes cover from Russian shells exploding on front line as Ukraine soldier shows trophies of enemy kills
https://www.thesun.co.uk/news/17771043/brave-sun-man-russian-shells-exploding-front-line/

The Sun newspaper brings you the latest breaking news videos and explainers from the UK and around the world

Become a Sun Subscriber and hit the bell to be the first to know

Read The Sun: http://www.thesun.co.uk
Like The Sun on Facebook: https://www.facebook.com/thesun/
Follow The Sun on Twitter: https://twitter.com/TheSun
Subscribe to The Sun on Snapchat: https://www.snapchat.com/discover/The_Sun/1633225139",2945337,31075,,3591,PT2M33S
