,Video Id,channelTitle,title,publishedAt,categoryId,description,viewCount,likeCount,favouriteCount,commentCount,duration
0,2X10yt_6JrA,The Telegraph,Obama catches fainting pregnant woman during speech,2013-10-21T20:39:41Z,25,"US president Barack Obama helped catch a pregnant woman when she became faint during his speech about the troubled Obamacare website, joking: ""This happens when I talk too long"". 

Karmel Allison, who has type 1 diabetes and is 20 weeks pregnant, began to swoon as she stood behind the president during his 25-minute speech in the White House Rose Garden. 

He interrupted his remarks to help her: ""You're ok. I'm right here. I got you."" As one of his aides helped lead Mrs Allison away, he added: ""This happens when I talk too long.""

She later took to Twitter to thank the commander-in-chief for the catch, saying: ""I'm ok world- just got a little lightheaded.Thanks, @BarackObama for catching me! And good thing this pregnant diabetic is pregnant :)""



Get the latest headlines http://www.telegraph.co.uk/

Subscribe to The Telegraph http://www.youtube.com/subscription_center?add_user=telegraphtv

Like us on Facebook http://www.facebook.com/telegraph.co.uk
Follow us on Twitter https://twitter.com/telegraph
Follow us on Google+ https://plus.google.com/102891355072777008500/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Daily Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",21691195,407347,,,PT50S
1,-EUbjOtRGaY,The Telegraph,President Barack Obama's best moments on camera,2016-10-13T18:28:44Z,25,"As Barack Obama prepares to say a final farewell to the Oval Office, we look back at some of the most popular clips that feature his best moments on camera as US president.

Get the latest headlines: http://www.telegraph.co.uk/

Subscribe: http://www.youtube.com/subscription_center?add_user=telegraphtv

Like us on Facebook: http://www.facebook.com/telegraph.co.uk

Follow us on Twitter: https://twitter.com/telegraph

Follow us on Google+ https://plus.google.com/102891355072777008500/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Daily Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",14563659,309746,,,PT2M35S
2,3RGobw1Tggg,The Telegraph,Duke & Duchess of Cambridge depart Poland for Germany,2017-07-19T09:03:58Z,25,"Get the latest headlines: http://www.telegraph.co.uk/

Subscribe: http://www.youtube.com/subscription_center?add_user=telegraphtv

Like us on Facebook: http://www.facebook.com/telegraph.co.uk

Follow us on Twitter: https://twitter.com/telegraph

Follow us on Google+ https://plus.google.com/102891355072777008500/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Daily Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",11428947,26954,,,PT2M31S
3,TzNCqZsFdKE,The Telegraph,Asda employee faints in front of Prince Charles,2020-07-09T19:50:45Z,25,"An Asda employee was filmed fainting in front of Prince Charles during a visit to a supermarket distribution centre. The man received medical attention and was feeling well enough to continue the conversation with the Royal later on.

Get the latest headlines: https://www.telegraph.co.uk/


Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",6013831,27384,,,PT1M30S
4,qDIQf10kHzY,The Telegraph,Ukrainian soldiers on front line come under attack | Kharkiv dispatch,2022-02-25T15:56:52Z,25,"Footage filmed by The Telegraph shows the reality for Ukrainian soldiers on the front line as they come under attack in Kharkiv.

“This is a spot where the Russians tried to break through on a ringroad yesterday, they were ambushed by the Ukrainians,” said Roland Oliphant, The Telegraph's senior foreign correspondent.

“The situation is this: as far as we understand the Russians have stopped on the northern side of the city. They don’t seem to be doing much for now but they’re lobbing shells in towards the Ukrainians and into the northern suburbs. 

“Our suspicion is they’re going to try and decapitate Kyiv so they don’t have to fight here.”

Read all the latest here: https://www.telegraph.co.uk/world-news/2022/02/25/ukraine-russia-invasion-news-war-putin-nato-kyiv-latest/

Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH

Get the latest headlines: https://www.telegraph.co.uk/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.

#Ukraine #Russia #Kharkiv",5096124,39121,,,PT2M8S
5,lmOyLYpxX-Y,The Telegraph,'My bowling is not beautiful but I don't care' - Romanian cricketer defends unorthodox bowling,2019-07-31T14:21:29Z,17,"Village green cricketers of the world shared a knowing laugh at his expense, but Romanian part-timer Pavel Florin has vowed to keep bowling in his own idiosyncratic way. 

Get the latest headlines: https://www.telegraph.co.uk/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",4947603,76660,,,PT1M30S
6,VLHDJPit4oI,The Telegraph,What does a Coronavirus isolation pod look like?,2020-03-05T11:56:34Z,17,"A Milton Keynes safety equipment supplies sy the demand for its isolation structures and pods has gone up ""astronomically"" since the coronavirus outbreak.

The company usually sells to the army and hospitals, but phone calls from China and other parts of the world being affected by the virus have been constant

Keep up to date with the latest coronavirus developments here: https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-cases-news-uk-covid-19-update-latest-live/

Get the latest headlines: https://www.telegraph.co.uk/


Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",4831093,12031,,,PT1M8S
7,-W_t9BlhG2s,The Telegraph,Will Smith slap: Celebrities react to shocking Oscars 2022 moment,2022-03-28T13:58:26Z,25,"Subscribe to The Telegraph with our special offer: just £1 for 3 months. Start your free trial now:
https://www.telegraph.co.uk/customer/subscribe/digitalsub/3for1/?WT.mc_id=tmgoff_pvid_conversion-subscription_editorial-iniative_03-22_EGW-13_organic_youtube

Actors, filmmakers and more have reacted to Oscar-winner Will Smith hitting Chris Rock at the 94th Academy Awards on Sunday. Smith took offence at a joke that Rock made about his wife, Jada Pinkett Smith, and her alopecia medical condition.

Some stars, including Pose's Michaela Jaé Rodriguez, threw their support behind last night's crowned Best Actor winner, while others were quick to condem Smith's violent response.

Watch to see how much the moment has divided opinion.

Read more: https://www.telegraph.co.uk/world-news/2022/03/28/do-will-smiths-son-tweets-oscar-slap-sent-shockwaves-hollywood/

#willsmith #chrisrock #oscars #reaction

Get the latest headlines: https://www.telegraph.co.uk/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",4813765,35255,,,PT2M53S
8,_AAJuynxnTQ,The Telegraph,Robert Downey Jr asks forgiveness for Mel Gibson,2011-10-18T07:33:03Z,24,"At an awards ceremony in Los Angeles, Robert Downey Jr pays tribute to Mel Gibson and asks Hollywood to forgive him for his recent problems.",4270801,69726,,,PT2M4S
9,Qh5jwZRvehk,The Telegraph,How to make buttercream icing | Cake Creations,2016-07-13T10:30:00Z,25,"In this video, learn how to make a perfect buttercream icing, ideal for assembling layered cakes.

Get the latest headlines: http://www.telegraph.co.uk/

Subscribe: http://www.youtube.com/subscription_center?add_user=telegraphtv

Like us on Facebook: http://www.facebook.com/telegraph.co.uk

Follow us on Twitter: https://twitter.com/telegraph

Follow us on Google+ https://plus.google.com/102891355072777008500/

On site: http://www.telegraph.co.uk/food-and-drink/cake-recipes/cake-creations-how-to-make-buttercream-icing/

Telegraph.co.uk and YouTube.com/TelegraphTV are websites of The Daily Telegraph, the UK's best-selling quality daily newspaper providing news and analysis on UK and world events, business, sport, lifestyle and culture.",4242031,25421,,,PT1M47S
