,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,rZlBDUxynJI,Anime/Animation,31,小耶绘画课堂,看动画学画画：怀孕天天吃葡萄，孩子真的眼睛变大吗？,2022-06-26T09:56:00Z,看动画学画画：怀孕天天吃葡萄，孩子真的眼睛变大吗？,934848,3317,22,PT1M12S
1,1laedAjKks4,Anime/Animation,31,无幻动漫,不愧是食神继承者，生吞100条活鱼后，厨艺竟暴涨了10倍,2022-05-03T09:19:00Z,不愧是食神继承者，生吞100条活鱼后，厨艺竟暴涨了10倍,165365,1026,12,PT1M41S
2,tceTYBX_RFU,Anime/Animation,31,小耶绘画课堂,看动画学画画：听说粘人的孩子是随妈妈？是真的吗？,2022-06-23T09:23:00Z,看动画学画画：听说粘人的孩子是随妈妈？是真的吗？,153512,723,3,PT1M7S
3,zR6EKEWTqo8,Anime/Animation,31,无幻动漫,人力发电的太阳能乌龟，不仅能充当充电宝，还能无限生产美味海苔,2022-05-06T09:29:00Z,人力发电的太阳能乌龟，不仅能充当充电宝，还能无限生产美味海苔,109858,599,17,PT2M23S
4,O80DcwxPbew,Anime/Animation,31,无幻动漫,比蛋白粉还强上一万倍的大蒜，吃完后秒变12快腹肌的大猛男,2022-05-09T09:33:00Z,比蛋白粉还强上一万倍的大蒜，吃完后秒变12快腹肌的大猛男,104650,719,5,PT2M53S
5,AZF-tFtWxFY,Anime/Animation,31,无幻动漫,说出来你可能不信，被屁嘣过的苹果美味无比，身价竟暴增4000万,2022-03-06T09:13:00Z,说出来你可能不信，被屁嘣过的苹果美味无比，身价竟暴增4000万,85923,528,12,PT2M9S
6,lQaZyvPMOLw,Anime/Animation,31,无幻动漫,吃饭全靠做梦，三天饿九顿的修仙路，简直太惨,2022-05-03T09:52:01Z,吃饭全靠做梦，三天饿九顿的修仙路，简直太惨,76418,451,3,PT2M11S
7,QTTWUJTRae0,Anime/Animation,31,无幻动漫,数十年都不曾出现一次，美食四天竟为它集结 ，羡慕这条鱼,2022-05-09T09:50:00Z,数十年都不曾出现一次，美食四天竟为它集结 ，羡慕这条鱼,76235,446,7,PT2M34S
8,LDVexkCK6ls,Anime/Animation,31,无幻动漫,赌场老炮马失前蹄，智商被人无情碾压，沦为提线木偶任人拿捏,2022-05-11T09:47:00Z,赌场老炮马失前蹄，智商被人无情碾压，沦为提线木偶任人拿捏,73483,471,14,PT2M34S
9,dpI0aXwmiWw,Anime/Animation,31,无幻动漫,一辈子只能享用一次的樱桃，美味无比，快艾特你的女朋友来吃,2022-05-11T09:03:00Z,一辈子只能享用一次的樱桃，美味无比，快艾特你的女朋友来吃,66213,438,9,PT2M22S
10,qsvKf1-1Eb4,Anime/Animation,31,无幻动漫,邪恶组织霍乱人间，人类老大哥怒了，掏出百米大刀就要砍,2022-05-20T09:00:59Z,邪恶组织霍乱人间，人类老大哥怒了，掏出百米大刀就要砍,65232,454,8,PT1M40S
11,TMXaL4Xzi-A,Anime/Animation,31,无幻动漫,数万人排队争抢，用猴子洗澡水做成的汤，光是闻下味道就幸福不以,2022-03-25T09:30:08Z,数万人排队争抢，用猴子洗澡水做成的汤，光是闻下味道就幸福不以,62097,432,5,PT1M53S
12,rDlxIYu9g0I,Anime/Animation,31,无幻动漫,巨臭榴莲炸弹，臭到让人嗝屁，臭到让你一个月倒地不起,2022-05-07T09:01:00Z,巨臭榴莲炸弹，臭到让人嗝屁，臭到让你一个月倒地不起,62096,459,11,PT2M34S
