,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,lDVmGLkw3zo,Autos & Vehicles,2,Hyundai Australia,First-ever Hyundai Tucson N Line,2021-09-23T01:39:30Z,"Discover the first-ever Hyundai Tucson N Line. 

See more: https://bit.ly/ExploreTheTucsonNLine

Connect with us: 
Facebook: https://www.facebook.com/HyundaiAustr...
Instagram: https://www.instagram.com/hyundaiaus/​​ 
Twitter: https://twitter.com/HyundaiAus​​
LinkedIn: https://www.linkedin.com/company/hyun...",65306167,147,0,PT16S
1,jV51BGIzkwU,Autos & Vehicles,2,Top Gear,"""Terminator"" Vs Range Rover | Top Gear | Series 19",2013-10-06T09:00:01Z,"James May assesses the new Range Rover at Nevada's Automotive Test Center for the ultimate challenge against an autonomous military machine - the Terminator of all terrain vehicles; The TerraMax.

Fancy another off-road showdown? See how the Suzuki Jimny stacks up against the Dacia Duster: https://youtu.be/m-RYrOVr-rI

Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear

Top Gear YouTube channel: http://www.youtube.com/topgear
TopGear.com website: http://www.topgear.com

Top Gear Facebook: http://www.facebook.com/topgear
Top Gear Twitter: http://twitter.com/BBC_topgear

This is a commercial channel from BBC Studios. Service & Feedback https://www.bbcstudios.com/contact/contact-us/",37402639,206212,5871,PT8M10S
2,DrUVMdkb4_k,Autos & Vehicles,2,Top Gear,Mercedes G63 AMG 6x6 Review | Top Gear | Series 21,2014-11-16T10:00:05Z,"Hammond is in the dunes of Abu Dhabi to drive a new six wheeled machine from Mercedes Benz – the G63 6x6. Originally developed for the Australian military, it's now available civilians - as long as you have over half a million dollars to spend! Subscribe: http://bit.ly/SubscribeToTopGear

Want to see more Mercedes off-road goodness? Check out this best-of Mercedes-Benz compilation: https://youtu.be/oozvOIje5Rg

Clip taken from series 21 episode 4.

WATCH MORE: 
Chris Harris Drives: http://bit.ly/ChrisHarrisDrives 
Drag Races: http://bit.ly/TGDragRaces 
Car Walkarounds: http://bit.ly/CarWalkarounds

Welcome to the most comprehensive collection of official Top Gear clips. Whether you're searching for a caravan challenge, Ken Block in the Hoonicorn, cars versus fighter jets, Stig power laps or the latest Chris Harris Drives, you can find all the iconic films here.

This is a commercial channel from BBC Studios. Service & Feedback https://www.bbcstudios.com/contact/contact-us/",35176998,316984,7418,PT8M3S
3,sF-_6_a6U60,Autos & Vehicles,2,Tata Passenger Electric Mobility Limited,Nexon EV: Drive what drove India electric!,2023-01-31T15:11:46Z,"India's #1 EV or India's most loved EV? You pick!❤️

Built to give you more with every drive. It's feature loaded, premium, safe, trusted by over 40k customers, driven over 600M Kms. And now with an enhanced range of 453 kms! 
It's time to Go.ev with the Nexon EV! ⏱️

#NexonEV #EvolveToElectric",35560233,316,11,PT20S
4,AKbhRSVKmVw,Autos & Vehicles,2,Fiat Automóveis Brasil,FIAT I Siga a Fiat Toro,2023-04-19T00:07:51Z,"Siga aquele carro e você vai entender quem é a picape das picapes! Confira a sua Fiat Toro em um super filme de lançamento, entregando tudo em potência, conforto e muita atitude.",26603385,2033,43,PT31S
5,JhdRv3KNHXA,Autos & Vehicles,2,Top Gear,Dodge Demon vs Lamborghini Aventador | Top Gear: Series 25,2019-02-05T18:30:01Z,"Matt LeBlanc takes the Dodge Demon for a spin, but the Demon was made to do one thing, tear up a drag strip. How will it perform in a drag race against a Lamborghini Aventador? 

Want more drag race action? Here's a McLaren 720S vs the electric VW ID R: https://youtu.be/2aY3uhARp0A

Subscribe to Top Gear for more videos: http://bit.ly/SubscribeToTopGear

Full boxsets of Series 24 & 25 available on iPlayer (UK): http://bit.ly/iPlayer-WatchTG

Taken from Top Gear: Series 25, Episode 4

WATCH MORE TOP GEAR:
Matt LeBlanc: http://bit.ly/TG-MattLeBlanc
Series 25: http://bit.ly/TG-S25
Chris Harris Drives: http://bit.ly/ChrisHarrisDrives

MORE ABOUT TOP GEAR:
Want to watch a bit of Top Gear on the internet? Welcome to the most comprehensive collection of official clips you'll find on YouTube. Whether you're searching for a caravan challenge, Ken Block in the Hoonicorn, cars versus fighter jets, Stig power laps or the latest Chris Harris Drives, you can find all the iconic films here. Make sure you're subscribed to the official Top Gear YouTube channel: http://bit.ly/SubscribeToTopGear

This is a commercial channel from BBC Studios. Service & Feedback https://www.bbcstudios.com/contact/contact-us/",24375041,406150,20815,PT6M2S
6,ccNIThWKa4w,Autos & Vehicles,2,Jiffy Lube,"How Jiffy Lube Performs a Signature Service Oil Change, presented by Jiffy Lube",2015-09-21T11:00:02Z,"Learn more about the Jiffy Lube Signature Service Oil Change at: https://www.jiffylube.com/auto-services/oil-change

Find Jiffy Lube locations near you: https://www.jiffylube.com/locations

The Jiffy Lube Signature Service Oil Change is a lot more than your regular oil change. We inspect, check/fill and clean essential components of your vehicle too. Basically, we make sure you car is running smoothly so you can Leave Worry Behind.

Upon arrival, you’ll our service bays and highly trained Jiffy Lube technicians ready to service your bay. Depending on the size of the location and time of the day, the team could vary from three to seven employees.

Carefully follow the direction of the technician to pull your vehicle into the bay. Our technicians above and below get to work as soon as the car is stopped. The technician under the bay will drain fluids and replace the oil filter while other technicians get pushing checking your oil level, transmission fluid, differential fluid, transfer case fluid, power steering fluid, windshield washer fluid, and battery water. They’ll also give a look over your brake fluid levels, serpentine belts, wiper blades, antifreeze levels, engine and passenger air filters, headlights, and the chassis.

You’ll hear technicians above and below the bay calling out their progress to each other during the process. That’s to ensure the proper steps are taken to service your vehicle the right way.

Once your car is filled with fresh oil and all of your systems have been checked, a courtesy technician will wash exterior windows and vacuum the interior floorboards.

As we said, the Jiffy Lube Signature Service Oil Change isn’t just an oil change, it is preventive maintenance to keep your vehicle running smoothly. We help get you in and out quickly so you can take back your day and Leave Worry Behind.

Download Jiffy Lube coupons and promotions: https://www.jiffylube.com/coupons

Watch more How-To videos in our Check and Change series: https://www.youtube.com/playlist?list=PL-5Ed_M7rD80-_oD5WZGmwETrN94kZFC_
Read our Tips In A Jiffy blog: https://www.jiffylube.com/resource-center/category/motor-oil

Follow Jiffy Lube on social media:
http://www.facebook.com/jiffylube 
http://www.twitter.com/jiffylube 

About Jiffy Lube:
Jiffy Lube pioneered the fast oil change industry in 1979 with the opening of the first service center. In fact, you can say we have a history of innovation and a mission to help our customers Leave Worry Behind. Learn more at https://www.jiffylube.com/about/history.

----Content In This Video----
0:00 - Jiffy Lube Signature Service Oil Change
0:22 - Inspections During An Oil Change
0:58 - Completing An Oil Change
1:19 - Additional Signature Services

#CheckAndChange, #CarMaintenance, #HowTo #DIY",22335283,,,PT1M48S
7,F8gCpuZOpWI,Autos & Vehicles,2,Jiffy Lube,One Place,2021-06-03T17:35:12Z,"Find Jiffy Lube locations near you: https://www.jiffylube.com/locations 

Download Jiffy Lube coupons and promotions: https://www.jiffylube.com/coupons

Follow Jiffy Lube on social media:
http://www.facebook.com/jiffylube 
http://www.twitter.com/jiffylube 

About Jiffy Lube:
Jiffy Lube pioneered the fast oil change industry in 1979 with the opening of the first service center. In fact, you can say we have a history of innovation and a mission to help our customers Leave Worry Behind. Learn more at https://www.jiffylube.com/about/history.",19989209,,,PT16S
8,zuNNH9ad2Ag,Autos & Vehicles,2,Truck Hero,Truck Hero - Accessories for Trucks. For Jeeps. For Life.,2020-10-26T20:04:10Z,"Trucks and Jeeps are an extension of who we are. Trucks are tools that allow us to work better, haul heavier, and play harder. Jeeps allow us to adventure greater, climb higher, and explore further.

At Truck Hero, we believe that your vehicle should enable you to live the kind of life you want to live. That’s why we’ve created truck and Jeep accessories that expand your vehicle’s utility, ensure its security, and heighten its performance. We don’t just tailor our products to your vehicle, we also customize them to fit your lifestyle. Whether it’s getting the groceries, getting to the job, or getting lost. 

Learn more: https://truck-hero.com/",17403843,135,7,PT2M12S
9,DOoAhZWtCOI,Autos & Vehicles,2,HyundaiIndia,The all-new Hyundai VERNA | Futuristic. Ferocious. | TVC,2023-03-21T08:29:20Z,"The wait is over. Born of futuristic design and ferocious power, the all-new Hyundai VERNA is something that this world has never seen before.
To know more, click here: bit.ly/Hyundai_VERNA

#Hyundai #HyundaiIndia #AllNewVerna #Futuristic #Ferocious #ILoveHyundai

For more updates

Subscribe: https://goo.gl/XsoGVO  
Twitter: https://twitter.com/HyundaiIndia  
Facebook: https://www.facebook.com/HyundaiIndia 
Instagram: https://instagram.com/hyundaiindia/  
LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",17104673,3173,295,PT40S
