,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,1vnzNUP7Jbg,Documentary,35,dominic swinfield,Dry Heaving in plane,2008-01-31T00:09:23Z,Dry Heavy Admission in Ft Pierce airport in the back of a Piper Warrior 180. This guy count take my flying!!,5867,14,2,PT29S
1,jDWTJcxmI3E,Documentary,35,Having Fun With Video,best seattle truck accident attorney,2016-04-23T18:29:16Z,best seattle truck accident attorney,765,2,0,PT26S
2,71ttsCZ6mk4,Documentary,35,Having Fun With Video,best orlando commercial painter,2016-04-19T22:44:51Z,best orlando commercial painter,358,1,1,PT25S
3,R4tW6-8Cgg8,Documentary,35,dominic swinfield,Night flight space coast,2008-02-06T01:05:00Z,Night flight space coast florida,350,0,1,PT1M36S
4,mSibnoRNIC8,Documentary,35,dominic swinfield,My Edited Video,2011-11-22T12:27:38Z,"This when I was learning to flying in America on the Space Coast. I was conducting my night landings. Close by the shuttle was ready to launch the next day! What a site.
I was flying a Cessna 172FG. Older plane but great fun and did me proud. This was landing at Space Coast regional (KTIX) in Florida just down from Merritt Island.",183,0,1,PT1M41S
5,CGeB1972rJY,Documentary,35,Having Fun With Video,texas truck accident attorney,2016-04-14T01:04:06Z,texas truck accident attorney,152,0,0,PT41S
6,EiVJZxp--NM,Documentary,35,Having Fun With Video,seattle truck accident lawyer,2016-04-23T18:34:39Z,seattle truck accident lawyer,108,0,0,PT2M11S
7,uuS0MBhzN0M,Documentary,35,Having Fun With Video,best orlando painter,2016-04-19T22:46:46Z,best orlando painter,89,0,0,PT1M51S
8,F2nzbEhLpuA,Documentary,35,Having Fun With Video,best orlando residential painter,2016-04-19T22:47:06Z,best orlando residential painter,88,0,0,PT3M30S
9,9_CsC8mGIcs,Documentary,35,Having Fun With Video,best orlando painting contractor,2016-04-19T22:43:46Z,best orlando painting contractor,79,0,0,PT17S
10,YcgoBdLX5Cc,Documentary,35,Having Fun With Video,best texas truck accident attorney,2016-04-14T01:04:48Z,best texas truck accident attorney,77,0,0,PT1M41S
11,ZhjZiGUpkEk,Documentary,35,Having Fun With Video,best seattle truck accident lawyer,2016-04-23T18:29:28Z,best seattle truck accident lawyer,73,0,0,PT1M43S
12,431XwAw0YxA,Documentary,35,Having Fun With Video,best texas truck accident lawyer,2016-04-14T01:04:51Z,best texas truck accident lawyer,32,0,0,PT1M41S
13,chQNJTmbUyw,Documentary,35,Having Fun With Video,seattle truck accident attorney,2016-04-23T18:29:29Z,seattle truck accident attorney,17,0,0,PT26S
14,VMAoZzonZGE,Documentary,35,Having Fun With Video,texas truck accident lawyer,2016-04-14T01:04:19Z,texas truck accident lawyer,9,0,0,PT1M41S
