,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,kp9_Z7touRQ,Drama,36,987schaumi4654,Crazy Arlt,2008-12-18T14:55:05Z,Crazy Arlt,6231,4,1,PT6S
1,9ReD80fSHec,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (2) #shorts #tiktok #gaixinh,2021-07-23T04:51:24Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (2),420,0,0,PT7S
2,MBWFbd_5sJs,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (5) #shorts #tiktok #gaixinh,2021-07-22T04:32:39Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (5),253,0,0,PT9S
3,QZFLpO6z61I,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (4) #shorts #tiktok #gaixinh,2021-07-22T04:32:57Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (4),230,0,0,PT8S
4,Okf5Ns4gRD4,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (10) #shorts #tiktok #gaixinh,2021-07-23T04:51:30Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (10),182,0,0,PT7S
5,Hske7abHXO8,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (9) #shorts #tiktok #gaixinh,2021-07-23T04:51:23Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (9),167,0,0,PT9S
6,U2HrGZeX9SI,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (3) #shorts #tiktok #gaixinh,2021-07-23T04:51:30Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (3),121,0,0,PT8S
7,rridqv6HdKQ,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (11) #shorts #tiktok #gaixinh,2021-07-22T04:32:37Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (11),70,0,0,PT8S
8,JTQCbi2DHEY,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (17) #shorts #tiktok #gaixinh,2021-07-22T04:32:34Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (17),67,0,0,PT44S
9,_7I9h6KYUSk,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (6) #shorts #tiktok #gaixinh,2021-07-22T04:32:38Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (6),63,1,0,PT44S
10,i5G3f4BBS4I,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (13) #shorts #tiktok #gaixinh,2021-07-22T04:33:41Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (13),47,0,0,PT31S
11,npFMmBExEzo,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (1) #shorts #tiktok #gaixinh,2021-07-22T04:32:38Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (1),46,0,0,PT22S
12,TQ0OiDp4JwM,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (7) #shorts #tiktok #gaixinh,2021-07-22T04:32:29Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (7),38,0,0,PT9S
13,xvh60h2tboQ,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (14) #shorts #tiktok #gaixinh,2021-07-22T04:32:33Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (14),38,0,0,PT28S
14,BkdcMIelQUY,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (15) #shorts #tiktok #gaixinh,2021-07-22T04:32:26Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (15),31,0,0,PT50S
15,AXzREGFzr4g,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (8) #shorts #tiktok #gaixinh,2021-07-22T04:33:02Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (8),29,0,0,PT9S
16,6lVQT-0TPi4,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (18) #shorts #tiktok #gaixinh,2021-07-22T04:34:52Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (18),26,0,0,PT45S
17,5l8rAocEJcU,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (19) #shorts #tiktok #gaixinh,2021-07-22T04:32:32Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (19),22,0,0,PT42S
18,SKJkLx8vYBE,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (12) #shorts #tiktok #gaixinh,2021-07-22T04:32:36Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (12),17,0,0,PT58S
19,AAKIrVyGidY,Drama,36,Francisco Leon,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (16) #shorts #tiktok #gaixinh,2021-07-22T04:32:24Z,Những Bài Tập Gym Nữ Tại Nhà Mùa Dịch (16),7,0,0,PT40S
