,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,h_b4zDtl3Uw,Education,27,Fundoo Programming,7 ट्रिक्स सीख लो सब आपकी Value करेंगे | 7 Psychological Laws Of Power (By Robert Greene)|Psychology,2022-02-27T06:27:47Z,"7 ट्रिक्स सीख लो सब आपकी Value करेंगे | 7 Psychological Laws Of Power (By Robert Greene)|Psychology

#Real_Life_Investment #FundooProgramming #Psychology

Books ::
1).48 Laws of Power  :👉👉 https://amzn.to/3bQb0t1

MY GEARS :-
MIC-1 : https://amzn.to/2NED3AN
MIC-2 : https://amzn.to/2UgjFwL
Notebook-1 : https://amzn.to/2T9g6vy
Notebook-2 : https://amzn.to/2Vw0RJR
Laptop : https://amzn.to/2Tc9Naz
Laptop Table : https://amzn.to/2Vz3D17
Chair : https://amzn.to/2NCQjpG


This all Kinds Of questions Answers You can find Here.


We thought why not make a video on this? So we made one only for you. 😉

#Fundoo_Boy


→DID YOU LIKE THE VIDEO? GIVE IT A THUMBS UP 👍
→SUBSCRIBE to my channel: 
http://www.youtube.com/channel/UC90F0i80IZEHqm6PCAHk1BQ…
→SHARE this Video if you liked it
FACEBOOK PAGE: https://www.facebook.com/FundooProgramming/",2321232,47843,409,PT11M
1,6y_mafFt_50,Education,27,Debunked,What's The Most Indestructible Animal To Ever Live On Earth? DEBUNKED,2019-11-23T14:00:15Z,"Anti Nuke Cockroach, Space Water Bears, Bulletproof Dinos & Immortal Worms are just some of the incredible animals we look at as we determine the Toughest Most Indestructible Animal Ever!
Get Surfshark VPN at https://Surfshark.deals/debunked - Enter promo code DEBUNKED for 83% off and three extra months free!   

#debunked #mythsdebunked #funscience

CREDITS Stu K - Researcher | Writer | Producer | Animator | Illustrator | Editor | Presenter
John B - Script Editor 
Daniel W - Illustrator
Robin B - Guest VO

Thanks to our Patreon Supporters, with Special Thanks to  Melissa MacPherson/

Help support us from as little $1 a month and get exclusive artwork and wallpapers for your phone by visiting
https://www.patreon.com/debunked

Sources:
Ecology and Classification of North American Freshwater Invertebrates, Encyclopedia of Ecology,  Encyclopedia of Insects, Scientific Reports - The Resilience of Life to Astrophysical Events from Nature.com, National Science Centre, Microscope Master, AMNH, National Geographic, Planet Dinosaur, The Cell: A Molecular Approach - NCBI, Royal Society Of Biology, Guinness World Records, Washington Post, Discover Magazine, New World Encyclopedia, BBC, The Guardian, New Scientist, Oxford Academic - What Determines the Regenerative Capacity in Animals?, Harvard University, Development Genes and Evolution Journal - Experimental studies of the regeneration of Planaria maculata, Smithsonian Magazine, Science Focus, Science ABC.",2141187,46963,3217,PT19M5S
2,pIzIxst8h-0,Education,27,Looper,Why You Never Hear From Phoebe Cates Anymore,2016-09-14T16:00:04Z,"Phoebe Cates is perhaps best remembered for being one of the most recognizable teen idols of the '80s. She rose to fame when she appeared in the coming-of-age comedy Fast Times at Ridgemont High.

Cates played Linda Barrett in the film, and her famous bikini drop scene cemented her place as a teen idol. Cates began appearing on the cover of teen magazines like Seventeen, Tiger Beat, and Teen Beat -- which were popular magazines of the time.

Cates also appeared in the Gremlins movies in the late '80s and early '90s but she has since gradually moved away from the Hollywood spotlight. What has this former teen idol been up to lately, and why don’t we hear from her anymore?

#PhoebeCates #Actor #Celeb

Motherhood | 0:00
String of bad luck | 0:46
Lack of interest | 1:12
Charity work | 1:34
A new calling | 1:54

Read Full Article: http://www.looper.com/19687/real-reasons-phoebe-cates-disappeared-hollywood/",1549020,5392,596,PT2M44S
3,J7R2WA95rtc,Education,27,Super Crazy Kids,#Shorts Little Baby Boy&Girl Learning Numbers with Toys Number Count | Kids Educational videos,2023-07-16T05:30:07Z,"Watch #Shorts Little Baby Boy&Girl Learning Numbers with Toys Number Count | Kids Educational videos.
#shorts #littlebaby #funplay #numbers #numbersforkids #toys #numbercounting #kidseducational
Thanks for watching
Please Like! & Share
For more Updates and Videos
Subscribe to us: https://goo.gl/qQOSTh

..............................................................................................................

Follow Us In Other Social Sites...
Blogger: https://goo.gl/kdQkgV
Instagram: https://goo.gl/4RaDvg
Twitter: https://goo.gl/39EEQw
Fb: https://www.facebook.com/supercrazykidss/
Pinterest: https://www.pinterest.com/supercrazykidss/super-crazy-kids/",1493649,,0,PT1M
4,GvG3U84I0bo,Education,27,Lecker schnell,Unglaublich einfach und lecker!❗ Tolles Weihnachtsessen!,2021-12-14T17:18:10Z,"Unglaublich einfach und lecker! Tolles Weihnachtsessen!
Wenn Sie Ihrer Familie etwas unglaublich Leckeres zubereiten möchten, bereiten Sie dieses einfache und köstliche Rezept zu. Dies ist eine perfekte Option für ein Weihnachtsessen! Das Rezept ist so einfach, dass es jeder nachkochen kann. Dieses einfache und köstliche Rezept wird Ihre ganze Familie ansprechen. Ein einfaches und leckeres Rezept wird ein Rezept №1 für die ganze Familie. Ihre Familie wird Ihnen dankbar sein, wenn Sie dieses einfache und köstliche Rezept für den Feiertagstisch zubereitet haben. Kochen Sie mit Freude! Mit Liebe kochen!
Zubereitung und Zutaten:
3 Hähnchenbrust.
Schnitte wie im Video machen.
Salz, schwarzer Pfeffer, Paprika, 2 Esslöffel Pflanzenöl.
Pflanzenöl.
Mit gekochter Soße einfetten.
2 Tomaten.
Mit gekochter Soße einfetten.
6 Pilze.
150-200g Käse.
Weiter wie im Video.
30 Minuten bei 180 °C backen.
7 mittelgroße Kartoffeln.
Mit Wasser auffüllen und fertig garen.
4-5 Pilze.
Pflanzenöl.
Braten Sie die Pilze, bis sie gar sind.
Die Kartoffeln zu den Champignons geben und weitere 2-3 Minuten bei mittlerer Hitze köcheln lassen.
Dill.
30g Butter.
Salz, schwarzer Pfeffer.
Guten Appetit!
Freunde, wenn euch das Video gefallen hat, könnt ihr bei der Entwicklung des Kanals helfen:
Teilen Sie dieses Video mit Freunden in sozialen Netzwerken. Netzwerk + Rezept wird auf Ihrer Site gespeichert!
Bewerte das Video! 👍Es ist schön und wichtig für die Entwicklung des Kanals!
    SCHREIBEN SIE EINEN KOMMENTAR oder zumindest einen Smiley. Ich werde sehr glücklich sein!
Registrieren Sie sich ganz schnell
https://www.youtube.com/channel/UCiKvWEIIlfHKHx6BbkGtDsA
Bereits registriert? ▶ Schalten Sie den Klingelton ein, um über neue Videos auf dem Laufenden zu bleiben! Danke für die guten Kommentare und tollen Bewertungen! Wir kochen mit Liebe! 💖💖💖",1165251,6694,145,PT8M3S
5,awxrKUooLmw,Education,27,Academy of Maritime Education and Training (AMET),Admission cum Recruitment Drive by MAERSK | Last date to apply 12th may  | 2022 - 2023 |,2022-04-28T08:46:53Z,"A.P Moller - Maersk and AMET  jointly conduct Admission cum Recruitment Drive for B.Sc Nautical Science and B.E Marine Engineering Admissions 2022-2023
Last date Apply is 12th May 
Online CET from 4th May to 14th May
For more details regarding eligibility criteria and the admission process, please log on to www.ametuniv.ac.in
or
Click the link: https://www.ametuniv.ac.in/application-form.html
Dial Toll-free 1800 108 3030
Email to: admission@ametuniv.ac.in.
#AMETUniversity #AMETLegacy #admissionsopen #ametinternational #education #learning #Maritime #engineering #Admission2022 #offshore #naval #nauticalscience #marineengineering #mearsk",1048064,,,PT20S
6,P4hUwJhmPgY,Education,27,Practical Wisdom - Interesting Ideas,7 truths about money that banks don’t want you to know,2021-04-21T15:00:10Z,"Bank’s are a good place to keep your money. However, whether you are taking a loan, spending your money, or saving it, there are numerous ways that banks make money off you. In this video, you will learn 7 Truths About Money, That Banks Don't Want You To Know. Enjoy!

Try Audible and Get Two Free Audiobooks: https://amzn.to/3d2dVBd

#truth #banking #finance

Timestamp
(01:21) You are losing money every year
(02:52) Banks earn from your card transactions
(05:08) Your money in the bank is not physical
(06:42) Bankers are not your friends
(08:06) Foreign transaction fees
(09:02) Always check your accounts
(09:38) You are being watched

Popular Videos:

The Formula Millions Have Used to Become Rich
[video: https://www.youtube.com/watch?v=TQyzXqDaiWE]

Habits that will make you rich
[video: https://www.youtube.com/watch?v=AWU9idXsEYY]

Build Unbreakable Self Discipline With These 5 Rules - https://www.youtube.com/watch?v=Ul0uQrFZNAs

References: https://bit.ly/3traJ9n

Practical Wisdom – Interesting Ideas

DISCLAIMER: I’m not a financial adviser. These videos are for educational purposes only. No official financial advice is being given. Please always check with a professional before making any investments or financial decisions. Your investments are your sole responsibility, these videos merely share my own opinions with no guarantee of gain or losses.
- The Audible link is an affiliate link meaning if you make a purchase using the link, I will receive a small commission at no extra charge to the buyer.",964185,32763,1984,PT10M39S
7,4Rx7CEqZAFw,Education,27,Abhi and Niyu,Why UPI can make India a financial superpower? UPI international explained by Abhi and Niyu,2023-07-21T13:00:12Z,"In this video, Abhi and Niyu explain how UPI is going international. Recently Prime Minister Modi was in France for Bastille day celebrations. He was invited by the French President Emanuel Macron. On this occasion PM Modi announced a very important partnership. Now UPI will work in France. Indian tourists will be able to pay via UPI in Eiffel tower. This will be a huge victory for NPCI and India to prove that our digital infrastructure can work seamlessly in the western world.

#UPI #Modi #abhiandniyu

Unified Payments Interface (UPI) is an instant real-time payment system developed by National Payments Corporation of India (NPCI) facilitating inter-bank peer-to-peer (P2P) and person-to-merchant (P2M) transactions. The interface is regulated by the Reserve Bank of India (RBI) and works by instantly transferring funds between two bank accounts on a mobile platform.

UPI is a convenient and secure way to make payments, and it has become increasingly popular in India in recent years. In fact, UPI transactions now account for over 75% of all digital payments in India.

Here are some of the benefits of using UPI:

It is instant and real-time.
It is secure and encrypted.
It is convenient and easy to use.
It is available 24/7.
It is free to use for most transactions.
If you are looking for a convenient and secure way to make payments, then UPI is a great option. You can use UPI to transfer money to friends and family, pay for goods and services, and even recharge your mobile phone.

A video by Abhiraj Rajadhyaksha & Niyati Mavinkurve

Get our equipment:

My favourite camera: https://amzn.to/3hYR3ZT
Budget camera to shoot videos: https://amzn.to/3vmcHtZ
Best Tripod to shoot videos: https://amzn.to/3VtVY2D
Best Mic for YouTube: https://amzn.to/3C9OOtH
Best light for background lighting: https://amzn.to/3WM1CyN
Phone to shoot Reels: https://amzn.to/3GrhAZp
Best laptop to edit on: https://amzn.to/3juJIS5
Cheapest laptop to edit 4K videos: https://amzn.to/3vkSOUm


Facebook: https://www.facebook.com/abhiandniyu
Instagram: https://www.instagram.com/abhiandniyu
Twitter: https://twitter.com/abhiandniyu

About Us:
Abhi and Niyu is the fastest growing Indian educational YouTube channel. Abhi and Niyu are a husband-wife couple who believe in the power of our youth.

Abhi and Niyu started their page to talk about positive, impactful ideas and to inspire offline action from online content. It was a way to change the way our negative feeds operated and replace negative news with positive, action-oriented news that made some change. They decode and simplify issues for Millenials and believe small steps lead to big outcomes in the future. Their videos span different genres like history, environment, and sustainability, policy discussions, social commentary, economics, personal finance, among others.",917560,65507,2086,PT11M55S
8,AFlg7fKDBNs,Education,27,World Affairs by Unacademy,India Rejects China’s Billion Dollars Plan | Don't want BYD's Investment,2023-07-22T11:26:30Z,"#India #China #Billion @WorldAffairsUnacademy 
India Rejects China’s Billion Dollars Plan | Don't want BYD's Investment | By Prashant Dhawan

🚀🚀Win *Apple MacBook* & *iPad* by participating in this *FREE* of cost Test, Doesn't matter if your answers are right or wrong.
Use code *PD10* to enroll - https://unacademy.onelink.me/081J/1c10dmn1
#geopolitics #worldaffairs #prashantdhawan
#worldaffairscurrentaffairs #hotissue #recentnews #breakingnews
#unacademy #unacademycurrentaffairs
#currentIssue

Free SSC test every Sunday, enrol free by using PD10 - https://bit.ly/3jhTowg
Free BANK test every Sunday, enrol free by using PD10 - https://bit.ly/31bOKtU
Official Instagram channel - https://www.instagram.com/worldaffairspd10/
  
Link of the Playlist: https://www.youtube.com/playlist?list=PLLv9XAzj8u4if0FYgk3YVranLhZ_IJA4a
Telegram Channel - https://t.me/worldaffairsbyprashantdhawansir

🚀 Goal Subscription Page: https://unacademy.onelink.me/081J/5d36e784
🚀 Goal Special Class Page: https://unacademy.onelink.me/081J/7966eed3
🚀 Goal Combat Page: https://unacademy.onelink.me/081J/9e0fa3fb
🚀 iOS: https://unacademy.onelink.me/081J/77d9587c
🚀Android: https://unacademy.onelink.me/081J/223ac76c
🚀Subscribe Today: https://unacademy.onelink.me/081J/39bea711

👉🏻 SSC Exams Combat Link: https://unacademy.com/combat/ssc-exams/VLEMN
👉🏻 SSC Special Class Link: https://unacademy.com/goal/ssc-exams/VLEMN/classes
👉🏻 Subscribe Today: https://unacademy.com/goal/ssc-exams/VLEMN
👉🏻 Subscribe Today: https://unacademy.com/plus/goal/VLEMN
👉 Bugs Bounty Program Submission Form: http://bit.ly/guidelineviolationform

Top educators are teaching live on Unacademy.
Use Special Code “PD10” to get 10% discount on your Unacademy Subscription.
Subscribe today - https://unacademy.com/plus/goal/KSCGY

Download the Unacademy Learning App here:
Android: https://goo.gl/02OhYI
iOS: https://goo.gl/efbytP

Do Subscribe and be a part of the community for more such lessons here: https://www.youtube.com/channel/UCCJsQKOKArvDksacfT2ryQw?sub_confirmation=1

Unacademy Subscription Benefits:

1. Learn from your favourite teacher
2. Dedicated DOUBT sessions
3. One Subscription, Unlimited Access
4. Real-time interaction with Teachers
5. You can ask doubts in the live class
6. Limited students
7. Download the videos & watch offline",706199,43237,5603,PT11M36S
9,EAqz0A0AZx4,Education,27,World Affairs by Unacademy,"Russia Accidentally Bombed China’s Grain Shipment | 60,000 tonnes Destroyed",2023-07-22T06:44:04Z,"#Russia #China #Ukriane @WorldAffairsUnacademy 
Russia Accidentally Bombed China’s Grain Shipment | 60,000 tonnes Destroyed | By Prashant Dhawan


#geopolitics #worldaffairs #prashantdhawan
#worldaffairscurrentaffairs #hotissue #recentnews #breakingnews
#unacademy #unacademycurrentaffairs
#currentIssue

Free SSC test every Sunday, enrol free by using PD10 - https://bit.ly/3jhTowg
Free BANK test every Sunday, enrol free by using PD10 - https://bit.ly/31bOKtU
Official Instagram channel - https://www.instagram.com/worldaffairspd10/
  
Link of the Playlist: https://www.youtube.com/playlist?list=PLLv9XAzj8u4if0FYgk3YVranLhZ_IJA4a
Telegram Channel - https://t.me/worldaffairsbyprashantdhawansir

🚀 Goal Subscription Page: https://unacademy.onelink.me/081J/5d36e784
🚀 Goal Special Class Page: https://unacademy.onelink.me/081J/7966eed3
🚀 Goal Combat Page: https://unacademy.onelink.me/081J/9e0fa3fb
🚀 iOS: https://unacademy.onelink.me/081J/77d9587c
🚀Android: https://unacademy.onelink.me/081J/223ac76c
🚀Subscribe Today: https://unacademy.onelink.me/081J/39bea711

👉🏻 SSC Exams Combat Link: https://unacademy.com/combat/ssc-exams/VLEMN
👉🏻 SSC Special Class Link: https://unacademy.com/goal/ssc-exams/VLEMN/classes
👉🏻 Subscribe Today: https://unacademy.com/goal/ssc-exams/VLEMN
👉🏻 Subscribe Today: https://unacademy.com/plus/goal/VLEMN
👉 Bugs Bounty Program Submission Form: http://bit.ly/guidelineviolationform

Top educators are teaching live on Unacademy.
Use Special Code “PD10” to get 10% discount on your Unacademy Subscription.
Subscribe today - https://unacademy.com/plus/goal/KSCGY

Download the Unacademy Learning App here:
Android: https://goo.gl/02OhYI
iOS: https://goo.gl/efbytP

Do Subscribe and be a part of the community for more such lessons here: https://www.youtube.com/channel/UCCJsQKOKArvDksacfT2ryQw?sub_confirmation=1

Unacademy Subscription Benefits:

1. Learn from your favourite teacher
2. Dedicated DOUBT sessions
3. One Subscription, Unlimited Access
4. Real-time interaction with Teachers
5. You can ask doubts in the live class
6. Limited students
7. Download the videos & watch offline",694134,42258,3020,PT11M45S
