,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,ib1JzPHpggw,Entertainment,24,Warrior Vietnam,"WARRIOR LEVEL UP THE FUN - BỪNG TỈNH NĂNG LƯỢNG, CHÁY MỌI CUỘC VUI | 15s",2023-06-19T12:00:26Z,"LEVEL UP THE FUN với nước tăng lực Warrior x MONO, cùng homies bừng tỉnh năng lượng & cháy mọi cuộc vui.

Uống Warrior là cứ cháy mãi thoaiiiiii!
Nạp Warrior ngay tại https://www.bachhoaxanh.com/nuoc-tang-luc-warrior

#NuocTangLucWarrior #LevelUpTheFun #MONO #Bungtinhnangluong
#Chaymoicuocvui #TCPVietnam #Tiếp_Năng_Lượng_Bừng_Sức_Sống",15560795,13,0,PT15S
1,ZWDkVqEk2mg,Entertainment,24,Grunge,The Darkest Movies On Netflix That Nobody Is Talking About,2018-05-11T18:00:02Z,"If we had been told 20 years ago that we would one day have the vast library of Netflix at our fingertips to watch films anytime we wanted, we would have been in disbelief. But, plenty of times we still find ourselves mindlessly scrolling through titles and complaining that there’s nothing to watch. In reality, there are plenty of great films you can watch on Netflix, but you just have to know what to look for. If you’re looking for something dark, there are plenty of great obscure options that you likely haven’t heard of. Let’s take a look at the darkest movies on Netflix that nobody is talking about.

#Dark #Movies #Netflix

Veronica | 0:00
Raw | 1:02
Mexico Barbaro | 1:50
The Wailing | 2:29
The Invitation | 3:02
Cube | 3:49
The Void | 4:31
Train to Busan | 5:14
The Bar | 5:46
Creep | 6:35

Read Full Article: http://www.grunge.com/118743/darkest-movies-youll-find-netflix/",4615166,76132,5484,PT7M45S
2,ED1SJ1TA2Do,Entertainment,24,Prime Video,Invincible - Season 2 Teaser Trailer | Prime Video,2023-07-22T01:07:50Z,"This is the Season 2 teaser trailer for Invincible. New episodes coming November 3!!! Based on the groundbreaking comic book by Robert Kirkman, Cory Walker, and Ryan Ottley, the story revolves around 18-year-old Mark Grayson, who’s just like every other guy his age—except his father is (or was) the most powerful superhero on the planet. Still reeling from Nolan’s betrayal in Season 1, Mark struggles to rebuild his life as he faces a host of new threats, all while battling his greatest fear - that he might become his father without even knowing it. Starring Steven Yeun, with Sandra Oh, Zazie Beetz, Grey DeLisle, Chris Diamantopoulos, Walton Goggins, Gillian Jacobs, Jason Mantzoukas, Ross Marquand, Khary Payton, Zachary Quinto, Andrew Rannells, Kevin Michael Richardson, Seth Rogen, and J.K. Simmons. Joining the Season 2 cast are Sterling K. Brown, Peter Cullen, Rob Delaney, Calista Flockhart, Phil LaMarr, Luke MacFarlane, Tatiana Maslany, Scott McNairy, Jay Pharoah, Ella Purnell, Tim Robinson, Ben Schwartz, Rhea Seehorn, Lea Thompson, Paul F. Tompkins, Shantel VanSanten, and more. The executive producers are Kirkman, Catherine Winder, David Alpert, Simon Racioppa, Margaret M. Dean, Rogen, and Evan Goldberg, and the co-executive producers are Helen Leigh and Walker.
 
» SUBSCRIBE: http://bit.ly/PrimeVideoSubscribe
 
About Invincible:
INVINCIBLE is an adult animated superhero series that revolves around 17-year-old Mark Grayson, who’s just like every other guy his age — except his father is the most powerful superhero on the planet, Omni-Man. But as Mark develops powers of his own, he discovers his father’s legacy may not be as heroic as it seems.
 
About Prime Video:
Want to watch it now? We've got it. This week's newest movies, last night's TV shows, classic favorites, and more are available to stream instantly, plus all your videos are stored in Your Video Library. Over 150,000 movies and TV episodes, including thousands for Amazon Prime members at no additional cost.
 
Get More Prime Video: 
Stream Now: http://bit.ly/WatchMorePrimeVideo
Facebook: http://bit.ly/PrimeVideoFB
Twitter: http://bit.ly/PrimeVideoTW
Instagram: http://bit.ly/primevideoIG
 
Invincible - Season 2 Teaser Trailer | Prime Video
https://youtu.be/ED1SJ1TA2Do
 
Prime Video
https://www.youtube.com/PrimeVideo

#Invincible #PrimeVideo",2501287,142858,6392,PT1M46S
3,91LzFfMg4ng,Entertainment,24,Zach King,Zach Reacts to Your Christmas Magic | MAGIC OF THE MONTH - December 2021,2021-12-01T16:03:02Z,"SUBSCRIBE HERE - http://bit.ly/SUBSCRIBE-ZACH_KING
In this December episode, I react to your ""Christmas Themed"" magic tricks. Plus, I've got a special announcement at the end of the video! 

Watch our Christmas Short Film Here - https://www.youtube.com/watch?v=-w7bTb4qVPU

Watch Last Years Top Magician Magic of the Month Award Show - https://www.youtube.com/watch?v=HbGPoCrtcFM

Keep an eye on the community tab on my YouTube Channel for the next magic challenge. Merry Christmas and have a happy new year!

EXPERIENCE MORE MAGIC
---------------------------------------
👕New Merch - zachking.store
📚Read my 3 books - https://amzn.to/2Ecuh9E",2008226,45361,940,PT6M44S
4,Qcs4ajaz1wg,Entertainment,24,Kanchhi Official,कान्छी भाग - १६० || Kanchhi Epi -160 || Ashaa Khadka || Sukumaya || July 22/2023,2023-07-22T14:12:07Z,"Nepali Serial || 𝐊𝐀𝐍𝐂𝐇𝐇𝐈 || ""कान्छी"" ||

Concept Written\ Direction\Production By 𝐀𝐬𝐡𝐚 (𝐒𝐮𝐤𝐮𝐦𝐚𝐲𝐚)
Editor: Yoseph Sewak
Sub Editor: Devraj Acharya
Camera : Shyam Gautam
Makeup : Sarita Gautam
Light : Daan Bdr.oli, Man Bdr. Mahara
Background Music : C.L Sharma

𝐒𝐩𝐞𝐜𝐢𝐚𝐥 𝐓𝐡𝐚𝐧𝐤𝐬 : 
Santosh Neupane
Bhagawoti Neupane
Bimal Dagi
Narayan Kadel

Title song
Vocal: Smriti Shahi
Lyrics: Narayan Kadel
Music: Jaya Devkota
Online Supporter/Logo Design : Bishal Rai (𝑴𝒇𝒖 ) 

𝐀𝐫𝐭𝐢𝐬𝐭𝐬 : Ramchandra Adhikari, Rama Thapaliya, Shivahari Acharya, Manju Shrestha, Aasha Khadka, Sagar Gautam, Laxminath Mautgaliya, Laxmi Shrestha, Santosh Neupane, Sandesh Neupane, Indrajit Chaulagain, Sangam Rai, Melina Rai, Nishu Rai, Simran Neupane, Aahana Khadka, Rohit Karki, Bhagwan Bhandari, Chanda Bidari, Sital Thakuri, Devraj Acharya, Shriya Gajurel, Rajkumar Bhattarai, Sita Bhattarai, Gauri Thapa Magar, e.t.c

© Kanchhi Official

WARNING
THE ALLEGED GUNS, KNIVES ETC ARE PROPS FOR SERIAL PURPOSES ONLY. NO VIOLENCE, GANG-RELATED CRIMES, OR CRIMINAL ACTIVITIES ARE CONNECTED TO THIS SERIAL OR ANY OF THE BEHIND-THE-SCENES FOOTAGE/PHOTOS TAKEN DURING THIS SERIAL.
VIEWER DISCRETION IS ADVISED

►𝗙𝗼𝗹𝗹𝗼𝘄 
Facebook Page : https://www.facebook.com/bhuntikanchiserial
YouTube : https://www.youtube.com/channel/UCW3tanFliOpdM3zT-B6rCLA

ＬＩＫＥ | ＣＯＭＭＥＮＴ | ＳＨＡＲＥ | ＳＵＢＳＣＲＩＢＥ
*****************************************************************
यस च्यानलमा अपलोड भएका हरेक रिपोर्ट तथा अन्य Video हरु कपि, Download गरी अन्य Channel मा upload गरेको पाइएमा प्रचालित कानुन बमोजिम कडा भन्दा कडा कारबाही गरिनेछ ।
#KanchhiOfficial #AshaKhadka",1650370,85635,1879,PT49M42S
5,AywyhQbW5x0,Entertainment,24,TV Promos,"Riverdale 1x13 Inside ""The Sweet Hereafter"" (HD) Season 1 Episode 13 Inside Season Finale",2017-05-11T16:02:54Z,"Riverdale 1x13 ""The Sweet Hereafter"" Season 1 Episode 13 Inside (Season Finale) - Archie (KJ Apa) and Veronica (Camila Mendes) continue to grow closer. Betty (Lili Reinhart) is tired of her family acting as if nothing has happened and confronts her mother. Jughead (Cole Sprouse) finds himself in an unexpected situation, leaving Archie and the gang scrambling. Hermione (Marisol Nichols) makes Fred (Luke Perry) an offer that seems too good to be true. Meanwhile, the truth about Blossoms’ family business is revealed leaving Cheryl (Madelaine Petsch) to take matters into her own hands. Madchen Amick and Ashleigh Murray also star. Lee Toland Krieger directed the episode written by Roberto Aguirre-Sacasa (#113). Original airdate 5/11/2017. Subscribe to tvpromosdb on Youtube for more Riverdale season 1 promos in HD!

Riverdale official website: http://cwtv.com/shows/riverdale
Watch more Riverdale Season 1 videos: https://www.youtube.com/playlist?list=PLfrisy2KXzkcjbhEVV9AXb5u9_wIS37mu
Like Riverdale on Facebook: https://www.facebook.com/CWRiverdale
Follow Riverdale on Twitter: https://twitter.com/CW_Riverdale
Follow Riverdale on Instagram: https://www.instagram.com/thecwriverdale

Riverdale 1x13 Inside/Preview ""The Sweet Hereafter"" (Season Finale)
Riverdale Season 1 Episode 13 Inside
Riverdale Season 1 Season Finale Inside
Riverdale 1x13 Inside ""The Sweet Hereafter"" (HD) Season Finale

» Watch Riverdale Thursdays at 9:00pm/8c on The CW
» Starring: KJ Apa, Lili Reinhart, Luke Perry, Cole Sprouse, Marisol Nichols

Contribute subtitle translations for this video: https://www.youtube.com/timedtext_video?v=AywyhQbW5x0",1399349,15441,161,PT2M16S
6,8JIx5i8ZGps,Entertainment,24,HAR PAL GEO,Sirf Tum Mega Episode 05 - [Eng Sub] - Anmol Baloch - Hamza Sohail - Mohsin Abbas - 22nd July 2023,2023-07-22T17:00:09Z,"Thanks for watching Har Pal Geo. Please click here https://bit.ly/3rCBCYN to Subscribe and hit the bell icon to enjoy Top Pakistani Dramas and satisfy all your entertainment needs. Do you know Har Pal Geo is now available in the US? Share the News. Spread the word.

Sirf Tum Mega Episode 05 - [Eng Sub] - Anmol Baloch - Hamza Sohail - Mohsin Abbas Haider - 22nd July 2023 - Har Pal Geo

""Sirf Tum"" revolves around Abeer who has recently returned from abroad to live with her extended family. Abeer's perspective on life and her priorities are different from her family's, which leads to conflict between them. Her cousins, Hanan and Hamza, are also part of this extended family.

Hamza is a rebellious and unconventional person who dreams of living life without any responsibilities or restrictions. In contrast, Hanan is a mature and sensible man who believes in love and relationships. After a series of events, Abeer and Hamza are set to marry. However, Hamza's inappropriate demands and unreasonable behaviour towards Abeer cause her to back out from the wedding. This creates chaos in the family and creates tension between Hamza & Abeer.
Ultimately, Hanan and Abeer are forced to marry each other. Though they reluctantly start their new life together, their past traumas continue to haunt them. The question remains: will Hanan and Abeer be able to overcome their past and find love for each other? Or will their differences and past experiences lead to further conflict and separation?

Written by: Seema Munaf
Directed by: Mazhar Moin
Produced by: Abdullah Kadwani & Asad Qureshi
Production House: 7th Sky Entertainment

Cast: 
Anmol Baloch - Abeer
Hamza Sohail - Hannan
Mohsin Abbas - Hamza
Sakina Khan - Amal
Fazila Kazi - Farah
Hiba Aziz - Sara
Erum Akhter - Mahrukh
Ayesha Gul - Amina
Sabiha Hashmi - Zubaida
Akber Islam - Aijaz
Zia Gurchani - Faraz
Salma Asim - Noreen


#SirfTum
#AnmolBaloch 
#HamzaSohail
#Mohsin Abbas",1340063,29593,537,PT39M3S
7,PH4Kk_hMTHY,Entertainment,24,CubeHub01,UNBELIEVABLE SPORT MOMENTS IN HISTORY!,2022-07-09T18:41:43Z,"When sports surprise the word 😧

Like and sub! :D
-

sports, funny, moments, fails, 1 in a trillion
-
In this video we commentate/report about some of the most incredible plays, funny moments, and most impressive moments that happened during sports, we also add edits in the clips to make it more entertaining! 
-
Thanks Elliot for helping with the voice over!
-
For copyright issues: cubehubbusiness01@gmail.com

""While YouTube can’t decide what is fair use or mediate copyright disputes, that doesn’t mean fair use can’t exist on YouTube""",1295950,5073,149,PT8M30S
8,CgS7WfFvjKk,Entertainment,24,Beta Squad,BEST FRIEND TEST 2: BETA SQUAD EDITION,2023-07-22T17:00:55Z,"Today the Beta Squad test how good their friendship is with a best friend challenge. Who do you think is the best friend is in beta squad?
Subscribe to everyone! 
Aj: http://www.youtube.com/ajshabeel
Sharky: http://www.youtube.com/afcsharky
Chunkz: http://www.youtube.com/chunkzeast 
Niko: http://www.youtube.com/omilana7
Kenny: http://www.youtube.com/mrkennyoj

Follow us on Social Media to stay connected!
Twitter ► https://twitter.com/BetaSquad5
Instagram ►  https://www.instagram.com/betasquad5",1141016,58018,1754,PT27M6S
9,0yl-gW66IF8,Entertainment,24,Law&Crime Network,VERDICT WATCH: Rapper YNW Melly Double Murder Trial — FL v. Jamell Demons - Day 19,2023-07-22T19:08:38Z,"Rapper YNW Melly, born Jamell Demons, faces trial for allegedly murdering two of his friends in October 2018 and staging the murders to look like a drive-by shooting. Authorities allege 24-year-old Demons killed aspiring Florida rappers YNW Juvy, aka Christopher Thomas Jr., and YNW Sakchaser, aka Anthony Williams, with Cortlen Henry, aka YNW Bortlen. 

Check out our YNW Melly recap podcast!: https://bit.ly/3Pc2Wd2

Read the latest updates on this case: https://lawandcrime.com/high-profile/ynw-melly-verdict-watch-jury-returns-saturday-to-resume-third-day-of-deliberations/

Listen to Law&Crime's Sidebar Podcast on Apple & Spotify:
Apple: https://bit.ly/3qH0Nfj
Spotify: https://spoti.fi/3wITe7b 

Follow Law&Crime on TikTok: https://bit.ly/43zW1P7

#YNWMelly #JamellDemons #LawAndCrime 

STAY UP-TO-DATE WITH THE LAW&CRIME NETWORK:
Watch Law&Crime Network on YouTubeTV: https://bit.ly/3td2e3y
Where To Watch Law&Crime Network: https://bit.ly/3akxLK5
Sign Up For Law&Crime's Daily Newsletter: https://bit.ly/LawandCrimeNewsletter
Read Fascinating Articles From Law&Crime Network: https://bit.ly/3td2Iqo

LAW&CRIME NETWORK SOCIAL MEDIA:
Instagram: https://www.instagram.com/lawandcrime/
Twitter: https://twitter.com/LawCrimeNetwork
Facebook: https://www.facebook.com/lawandcrime
Twitch: https://www.twitch.tv/lawandcrimenetwork

LAW&CRIME NETWORK PODCASTS: https://lawandcrime.com/podcasts/

SUBSCRIBE TO ALL OF LAW&CRIME NETWORK YOUTUBE CHANNELS:
Main Channel: https://www.youtube.com/channel/UCz8K1occVvDTYDfFo7N5EZw
Law&Crime Shorts: https://www.youtube.com/channel/UCVXOqoOCYbi-iXChKAl6DTQ
Channel B: https://www.youtube.com/channel/UCXCLaaClAWQiTkl3pw9ZdLw
Channel C: https://www.youtube.com/channel/UCMV3pzWIhJGLYzoHyxBjjNw",863629,5495,700,PT6H16M36S
