,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,Lub8x-mMjyQ,Film & Animation,1,Три богатыря,Три богатыря на дальних берегах | Мультфильм для всей семьи,2016-07-01T09:00:00Z,"На этот раз Алеша Попович, Добрыня Никитич и Илья Муромец, благодаря козням коварной Бабы Яги, оказываются за семью морями на необитаемом острове, на котором живут туземцы и страшный Гомума. В их отсутствие купец Колыван решают вместе с Бабой-Ягой захватить царство и забрать власть у князя Киевского. На помощь незадачливому правителю приходит конь Юлий, а также жены богатырей и их многочисленные родственники.
Словом, богатырей и зрителей ждут приключения на дальних берегах, обыкновенные и невероятные.
Синдбад. Пираты семи штормов http://bit.ly/sindbad_piraty
Снежная королева 3. Огонь и лед http://bit.ly/the_snow_queen_3
Три богатыря. Все серии http://bit.ly/tri_bogatiry_vse_serii
Иван Царевич и Серый Волк. Все серии http://bit.ly/ivan_tsarevich_vse_serii
Все мультфильмы для детей - http://bit.ly/vse_multfilmy 
Любимые песенки для детей - http://bit.ly/muzpausa 

Наш канал: https://www.youtube.com/c/TriBogatirya
Наш сайт: http://3bogatirya.ru/ 

Мы в Контакте: https://vk.com/tribogatirya
Мы в Одноклассниках: http://odnoklassniki.ru/tribogatirya
Мы в Facebook: https://www.facebook.com/tribogatirya
#трибогатыря #мультик #длядетей",117830436,,0,PT1H8M12S
1,_v8Uj4-2Rpk,Film & Animation,1,Фильмы и Сериалы Студии Квартал 95,"Сериал - ""Сваты""  (1-й сезон 1-я серия) фильм комедия для всей семьи",2014-07-01T07:00:01Z,"Президент Слуга Народа - Миссия выполнима! https://www.youtube.com/channel/UCp2zBKrqP0ZQF6RN4RJtF2Q 

Все началось с горящей путевки в Италию, которая подворачивается молодой паре - Маше и Максиму Ковалевым. Нужно лишь решить вопрос: под чьим присмотром оставить дочь -- пятилетнюю Женю. И Маша, и Максим обращаются за помощью к своим родителям. Обе родительские семьи сначала отказывают, но из-за опасения, что сваты согласятся, а, значит, две недели будут вредно влиять на внучку, одновременно приезжают присматривать за Женей. Отношения между сельской четой Будько (родителями Маши) и интеллигентными и утонченными Ковалевыми (родителями Максима) теплыми назвать сложно. И вот теперь им предстоит впервые прожить неделю под одной крышей и одержать победу во влиянии на внучку. Результат воспитательного противостояния, веселых приключений и нелепых ситуаций оказывается неожиданным для всех: сваты сближаются, впервые проникаясь взаимным уважением и симпатией.

Сериал «Сваты» можно по праву назвать самым успешным украинским телевизионным продуктом. На сегодняшний день фильм увидели зрители в более чем десяти странах мира: в России, Белоруссии, Болгарии, Молдове, Латвии, Литве, Эстонии, Казахстане, Израиле, Австралии и США.

Студия Квартал 95
Режиссер: Юрий Морозов
Продюсеры: Владимир Зеленский, Сергей Шефир, Андрей Яковлев, Борис Шефир, Александр Богуцкий
Сценарий: Андрей Яковлев, Михаил Савин, Юрий Микуленко, Андрей Ильков, тимофей Саенко
Производство: кинокомпания KYIVFILM
В ролях: Людмила Артемьева, Анатолий Васильев, Татьяна Кравченко, Федор Добронравов, Ульяна Иващенко, Владимир Турчинский, Денис Роднянский, Инна Королева, Алексей Дмитриев
Украина 2008 год

Смотрите на официальном канале фильмы студии Квартал 95 - сериалы, мелодрамы, комедии Контент перероблений для міжнародного використання",70828906,246835,19162,PT1H9M27S
2,COGuhHINJ2E,Film & Animation,1,Три богатыря,Иван Царевич и Серый Волк - 2. Мультфильм. Полная версия.,2015-12-26T14:00:00Z,"Три богатыря и принцесса Египта http://bit.ly/TB_prinzessa_Egipta

Yandex-market Три богатыря:
https://market.yandex.ru/franchise/14351070?utm_source=youtube&utm_medium=video&utm_campaign=melnitsa2019&utm_content=link1

Синдбад. Пираты семи штормов http://bit.ly/sindbad_piraty
Снежная королева 3. Огонь и лед http://bit.ly/the_snow_queen_3
Три богатыря. Все серии http://bit.ly/tri_bogatiry_vse_serii
Иван Царевич и Серый Волк. Все серии http://bit.ly/ivan_tsarevich_vse_serii
Все мультфильмы для детей - http://bit.ly/vse_multfilmy 
Любимые песенки для детей - http://bit.ly/muzpausa 

Наш канал: https://www.youtube.com/c/TriBogatirya
Наш сайт: http://3bogatirya.ru/ 

Мы в Контакте: https://vk.com/tribogatirya
Мы в Одноклассниках: http://odnoklassniki.ru/tribogatirya
Мы в Facebook: https://www.facebook.com/tribogatirya
#трибогатыря #иванцаревич2 #мультик #длядетей",43365249,140471,0,PT1H13M21S
3,1p7NmlTW5qo,Film & Animation,1,Dil Raju,"Subramanyam For Sale | Telugu Full Movie 2015 | English Subtitles | Harish Shankar, Sai Dharam Tej",2015-12-13T15:27:47Z,"Watch Subramanyam For Sale Telugu Full Movie 2015 With Subtitles 
Starring: Sai Dharam Tej, Regina Cassandra, Adah Sharma, Tejaswi Madivada, Brahmanandam, Nagababu, Ajay, Rao Ramesh, Suman, Jhansi, Pragathi, Fish Venkat


Director Of Photography : C. Ramprasad

Editing : Gautham Raju

Choreography : Vijay

Music Director: Mickey J Meyer

Art: Ramakrishna

Action: Ram-Laxman 

Story, screenplay, dialogues & Direction: Harish Shankar

Producer: Raju

Co-Producers: Shirish - Laxman

Studio: Sri Venkateswara Creations
 

Follow us on:
Twitter: https://twitter.com/SVC_official
Facebook: https://www.facebook.com/DilRajuOfficial
Youtube: http://goo.gl/dwcKmr",34468828,125072,4170,PT2H31M47S
4,JLMofAiJz2Q,Film & Animation,1,NiharikaMovies,"Thuppakki Full Movie ||  Vijay, Kajal Aggarwal, AR Murugadoss || Tupaki Movie",2016-06-02T13:09:20Z,"Watch Thuppakki/Tupaki Full Length Movie

Starring: Vijay, Kajal Aggarwal, Vidyut Jamwal, Sathyan, Zakir Hussain, and Among Others

Subscribe to our channel for more latest Telugu movies - 
https://www.youtube.com/user/NiharikaMovies?sub_confirmation=1


Directed by AR Murugadoss
Produced by Kalaipuli S. Thanu
Written by AR Murugadoss
Music by Harris Jayaraj
Cinematography by Santosh Sivan",33882858,129515,4900,PT2H49M47S
5,BzO8pLJP7x0,Film & Animation,1,Fakt Marathi Tv,DHOLKI Marathi Comedy Full Movie | जबरदस्त कॉमेडी चित्रपट | Siddharth Jadhav & Sayaji Shinde,2016-12-15T13:19:21Z,"DHOLKI Marathi Comedy Full Movie | जबरदस्त कॉमेडी चित्रपट | Siddharth Jadhav & Sayaji Shinde
#dholki #dholkimovie #dholkimarathimovie #siddarthjadhav #manasinaik #sayajishinde #marathimovies #FaktMarathi
Directed By: Raju Desai, Vishal (Bittu) Desai
Produced By: Madan Porwal, Shirish Pattanshetty
Written By: Shyamsunder Dandwate
Screenplay By: Shyamsunder Dandwate
Genre: Drama/Comedy
Starring: Siddarth Jadhav, Manasi Naik, Kashmira Kulkarni, Sayaji Shinde, Jyoti Chandekar, Sanjay Kulkarni, Dr Vilas Ujawane Vijay Nikam, Vandana and others.

Dholki is the story of Lalya, a village buffoon who is a lazy, good for nothing and fun-loving person. Though he is the apple of his mother`s eye he is being constantly ridiculed and avoided by all villagers. His life takes a dramatic turn when one day he discovers a long forgotten Dholki over a series of hilarious events.
For more Marathi Blockbuster Movies, Please Subscribe to our channel and Enjoy.
https://www.youtube.com/channel/UCTmo6Mwiw6IXJ-_8Vgzg-tw?sub_confirmation=1
Please take a moment to like and subscribe our YouTube channel  

Visit Facebook page : https://www.facebook.com/FaktMarathiTV/

Visit Instagram page : https://www.instagram.com/faktmarathitv/ 

Visit Twitter page : https://twitter.com/faktmarathitv?lang=en",26283107,84499,1925,PT2H16M26S
6,mN8OH69BZC4,Film & Animation,1,Aditya Movies,"Mard The Khiladi New Hindi Dubbed Full Movie | Nara Rohit, Vishakha Singh | Aditya Movies",2018-05-02T09:12:41Z,"Watch & Enjoy Mard The Khiladi New Hindi Dubbed Full Movie (Rowdy Fellow Telugu) Movie. Starring #NaraRohit, #VishakhaSingh. Music By Sunny M R. Produced by Aditya Music India Pvt. Ltd. Written & Directed By Krishna Chaitanya. 

Subscribe to Aditya Movies for all Latest, Popular, Blockbuster & Superhit Hindi Dubbed Videos.

Film Name : Mard The Khiladi (Rowdy Fellow Telugu)
Producer : Aditya Music India Pvt. Ltd 
Director : Krishna Chaitanya
Music Director: Sunny M R
Actor : Nara Rohit
Actress: Vishakha Singh

------------------------------------------------------------------
For More Full Movies , Subscribe to:
https://www.youtube.com/user/adityacinema
For Hit & Latest Music:
https://www.youtube.com/user/adityamusic
For Devotional Music: 
https://www.youtube.com/user/adityadevotional
Also You Can:
'LIKE' us on Facebook: 
https://www.facebook.com/adityamusic/
'FOLLOW' us on Twitter: 
https://twitter.com/adityamusic

© 2018 Aditya Music India Pvt. Ltd.",25402765,152730,2861,PT2H12M6S
7,u5NJUF-M6pc,Film & Animation,1,HighlightsNepal,"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki",2017-01-13T01:37:07Z,"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki

Aama Saraswati Geeta Devi Films Presents! 
New Nepali Full Movie CHHAKKA PANJA
a Film by Deepashree Niraula
Starring: Deepak Raj Giri, Priyanka Karki, Jeetu Nepal, Kedar Ghimire, Buddhi Tamang, Shivahari Paudel, Barsha Raut, Kiran KC, Jaynanda Lama, Prem Lopchan
Background Music: Tsujil Karmacharya
Dubbing: Manoj Rajbahak
Sound Design & Mixing: Sunya Maan Shrestha
Color Correction: Kapli Parajuli
VFX: Gautam Raj Khadka
Choreographer: Kabiraj Gahatraj
Action: Roshan Shrestha
Editor: Bipin Malla
Cinematographer: Purushottam Pradhan
Music: Deepak Sharma , Rajan Raj Shiwakoti
Music Arranger : Almoda Uprety Rana, Rajan Ishan 
Production Designer: Suman Giri""Vanja""
Exe. Producer: Nirmal Sharma
Directed by Deepa Shree Niraula
#HighlightsNepal #ChhakkaPanja #NepaliFullMovie.
© Highlights Nepal Pvt. Ltd.

#HighlightsNepal #ChhakkaPanja #DeepakDeepa
To stay updated please CLICK HERE to SUBSCRIBE: http://www.youtube.com/user/highlightsnepal2009

Highlights Nepal Pvt. Ltd is authorized to upload this video. Using of this video on other channels without prior permission will be strictly prohibited. (Embedding to the websites is allowed)

Visit us @ www.highlightsnepal.com.

Connect With Highlights Nepal:
Facebook Page: http://www.facebook.com/highlightsnepal
Twitter: https://twitter.com/HLNepal
Instagram: https://instagram.com/highlightsnepal2009/
Google+: https://plus.google.com/+highlightsnepal2009
iTunes: https://itunes.apple.com/gb/app/highlights-nepal/id980657024?mt=8

Get Complete & Updated News of Nepali music and movie:  
http://www.melodynepal.com
Facebook Page: https://www.facebook.com/melodynepal

Business Inquiries: info@highlightsnepal.com",22594787,120330,7469,PT2H16M5S
8,whIpRskedkQ,Film & Animation,1,SriBalajiMovies,"Vikramarkudu Telugu Full Movie | Ravi Teja, Anushka, SS Rajamouli | Sri Balaji Video",2013-05-22T15:51:47Z,"Watch Vikramarkudu Full Movie With English Subtitles Exclusively on Sri Balaji Video. #Vikramarkudu Movie Starring #RaviTeja, #AnushkaShetty, Prakash Raj, Vineeth Kumar, Brahmanandam, Ruthika, Rajiv Kanakala, Raghubabu, Ajay, Directed By #SSRajamouli, Music Composed By MM Keeravani.

Athili Sathi Babu (Ravi Teja) is a smalltime thief in Hyderabad. A small girl comes to Sathi Babu claiming that he is her father. Later on it is revealed that there is a look-alike of Sathi Babu in the form of Vikram Singh Rathod who had an impeccable track record as IPS officer. His past in Chambal valley catches up with him. The rest of the story is all about how these look-alikes take care of baddies.

► Subscribe to YouTube Channel: http://goo.gl/tEjah
► Like us on Facebook: https://www.facebook.com/sribalajivideo
► Circle us on G+: https://plus.google.com/+SriBalajiMovies
► Like us on Twitter: https://twitter.com/sribalajivideos
► Visit Our Website: http://www.sribalajivideo.com",15933762,66924,2284,PT2H40M56S
9,Sr0AxyrcGk8,Film & Animation,1,United India Exporters,Anjaan - Tamil Full Movie | Suriya | Samantha | Yuvan Shankar Raja | N. Lingusamy,2016-04-22T13:56:00Z,"Krishna, who comes to Mumbai in search of his missing brother, learns that he was a dreaded gangster known as Raju Bhai. Later, an interesting twist unfolds when Krishna meets his brother's enemies.

Movie Anjaan
Starring Suriya, Samantha Ruth Prabhu
Directed by N. Lingusamy
Produced by  Thirrupathi Brothers
Released Year  2014

Watch the full movie in ⬇️ 
► Amazon:  https://bit.ly/ANJAAN
► YouTube: https://bit.ly/ANJAANMOVIE

Watch your favourite movies & scenes from our other handles ⬇️
► UIE Telegu: http://bit.ly/UIEMoviesTelugu
► UIE Tamil  Scenes: http://bit.ly/UIETamilScenes

For more exclusive updates follow us on ⬇️
► Twitter: http://bit.ly/UIETwitter
► Instagram: http://bit.ly/UIEInstagram
► Facebook: http://bit.ly/UIEFacebook
► Website: http://bit.ly/UIEWebsite

In Association with Divo ⬇️
► Facebook: https://www.facebook.com/divomovies/
► Twitter: https://www.twitter.com/divomovies/
► Instagram: https://www.instagram.com/divomovies/",15791435,80726,3954,PT2H22M1S
