,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,UOxkGD8qRB4,Gaming,20,League of Legends,"K/DA - POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) | Music Video - League of Legends",2018-11-03T07:30:00Z,"K/DA Ahri, K/DA Evelynn, K/DA Kai’Sa, and K/DA Akali take the world stage with their debut single. Keep the show going on the Rift with these new Epic skins.

MEET THE BAND:

https://universe.leagueoflegends.com/en_US/kda

LISTEN NOW:

Spotify: http://smarturl.it/kdapopstars/spotify
Apple Music: http://smarturl.it/kdapopstars/applemusic
iTunes: http://smarturl.it/kdapopstars/itunes
Google Play: http://smarturl.it/kdapopstars/googleplay
Deezer: http://smarturl.it/kdapopstars/deezer

PRODUCTION CREDITS:

K/DA - ""POP/STARS""
Featured artists: Madison Beer, (G)I-DLE, Jaira Burns 
Written by: Riot Music Team and Harloe
Korean translation by: Lydia Paek and Minji Kim  
Produced by: Riot Music Team
Mixed by: Riot Music Team 
Mastered by: Riot Music Team
Vocals performed by: Madison Beer, Miyeon of (G)I-DLE, Soyeon of (G)I-DLE, Jaira Burns
Additional vocals by: Harloe 
Vocal production by: Riot Music Team
Executive Producers: Riot Games & Justin Tranter

http://madisonbeer.com/
http://www.cubeent.co.kr/gidle
https://www.instagram.com/jairaburns/

Jaira Burns appears courtesy of Upscale Music Group / Interscope Records

ANIMATION: 

Fortiche Prod

LYRICS:

You know who it is
Coming 'round again
You want a dose of this
Right now
It’s K/DA uh!

I'm a goddess with a blade
소리쳐봐 내 이름
잊지 못하게
Loud loud loud loud
I could take it to the top
절대 멈추지 못해
내가 끝내주는
Bad gal gal gal

And when I start to talk like that (like that)
Oh you won’t know how to react
I’m a picture perfect face
With that wild in my veins
You can hear it in my
Growl, growl, growl, growl

So keep your eyes on me now
무엇을 보든 좋아할 거야
닿을 수 없는 level
나와 대결 원한 널 확신해
We got it all in our hands now
So can you handle what we’re all about
We’re so tough
Not scared to show you up
Can you feel the rush now?

Ain’t nobody bringing us down down down down down down
They could try but we’re gonna wear the crown
You could go another round round round round round round round
Wish you luck but you’re not bringing us down
We go hard
Till we get it get it
We go hard
We so in it in it
We POP/STARS
Only winning winning now
Ain’t nobody bringing us down down down down

Hey!
You ready for this? (Let's go!)
See 언제든지 내 모습 magic
단 한 번에 내가 잡어
절대 기죽지 않지 uh!
Pow pow 네가 뭘 알아
견딜 수 없어, 원해도.
원하는 게 얼굴에 보여
I’m trouble and you’re wanting it
I’m so cold
When I move that way
You gonna be so blown
I’m the realest in the game uh!

Say I’m on fire with a blade
You’re about to hear my name
Ringing in your head like oh

So keep your eyes on me now
무엇을 보든 좋아할 거야
We’re so tough
Not scared to show you up
Can you feel the rush now?

Ain’t nobody bringing us down down down down down down
They could try but we’re gonna wear the crown
You could go another round round round round round round round
Wish you luck but you’re not bringing us down
We go hard
Till we get it get it
We go hard
We so in it in it
We POP/STARS
Only winning winning now
Ain’t nobody bringing us down down down down

Oh... 난 멈추지 않아
Oh oh we go hard
Oh oh we POP/STARS (stars), stars (stars)

Ain’t nobody bringing us
Ain’t nobody bringing us down down down down down down
They could try but we’re gonna wear the crown
You could go another round round round round round round round
Wish you luck but you’re not bringing us down
We go hard
Till we get it get it
We go hard
We so in it in it
We POP/STARS
Only winning winning now
Ain’t nobody bringing us down down down down

MORE RIOT GAMES MUSIC:

https://www.youtube.com/user/RiotGamesInc/playlists?sort=dd&view=50&shelf_id=23

PLAY LEAGUE OF LEGENDS:

http://riot.com/signup

#KDA #POPSTARS #LEAGUEOFLEGENDS",559822117,5969742,255063,PT3M23S
1,fB8TyLTD7EE,Gaming,20,League of Legends,"RISE (ft. The Glitch Mob, Mako, and The Word Alive) | Worlds 2018 - League of Legends",2018-09-26T13:00:06Z,"Reaching the peak takes more than skill. Only those with the ambition to RISE above all others will know its height.

For more information on the 2018 League of Legends World Championship visit http://www.lolesports.com.

Listen Now: (http://smarturl.it/ewxshd)
    Spotify: http://smarturl.it/ewxshd/spotify
    Apple Music: http://smarturl.it/ewxshd/applemusic
    iTunes: http://smarturl.it/ewxshd/itunes
    GooglePlay: http://smarturl.it/ewxshd/googleplay
    Deezer: http://smarturl.it/ewxshd/deezer

************************************************
“RISE”
Featured artists: The Glitch Mob, Mako, and The Word Alive
Written by: Riot Music Team and Alex Seaver of Mako
Additional writing by: Justin Tranter
Produced by: Riot Music Team, Alex Seaver of Mako, and The Glitch Mob
Additional production by: HEALTH
Mixed by: Miles Walker at Silent Sound Studios
Assisted by: Ryan Jumper
Mastered by: Riot Music Team
Vocals performed by: Mako and The Word Alive
Vocal production by: Riot Music Team and Alex Seaver of Mako
The Word Alive appears courtesy of Fearless Records

https://theglitchmob.com/
https://www.wearemako.com/
https://wearethewordalive.com/ 



************************************************

Welcome to the wild, no heroes and villains
Welcome to the war we've only begun, so
Pick up your weapon and face it
There's blood on the crown go and take it
You get one shot to make it out alive, so
Higher and higher you chase it
It’s deep in your bones, go and take it
This is your moment, now is your time, so

Prove yourself and 
RISE, RISE
Make 'em remember you
RISE
Push through hell and 
RISE, RISE
They will remember you
RISE

Welcome to the climb up, reach for the summit
Visions pray that one false step lead the end, so
Higher and higher you chase it
It's deep in your blood, go and take it
This is your moment, take to the skies, go

Prove yourself and 
RISE, RISE
Make 'em remember you
RISE
Push through hell and 
RISE, RISE
They will remember you
RISE

So get along, so get along, go
Get along 'long get a move on up
So get along, so get along, go
Get along 'long get a move on up
And as you fight among the death beneath the dirt
Do you know yet?
Do you want it?
And when the giants call to ask you what you're worth
Do you know if,
Win or die, you'll

Prove yourself and 
RISE, RISE
Make 'em remember you
RISE
Push through hell and 
RISE, RISE
They will remember you
RISE
Prove yourself and RISE, RISE
(Pick up your weapon and face it)
RISE
(It’s deep in your blood, go and take it)
RISE, RISE
(Higher and higher you chase it)
RISE, RISE",345218085,3026868,95613,PT3M31S
2,r6zIGXun57U,Gaming,20,League of Legends,Legends Never Die (ft. Against The Current) | Worlds 2017 - League of Legends,2017-10-18T13:00:08Z,"The pursuit of mastery is an endless journey, but those who persevere etch their names in history. 

For more information on the 2017 League of Legends World Championship visit http://www.lolesports.com.

""Legends Never Die""
Featured artist: Against The Current
Written by: Riot Games Music Team, Alex Seaver of Mako, and Justin Tranter
Produced by: Riot Games Music Team, Alex Seaver of Mako, and Oliver
Mixed and mastered by: Riot Games Music Team
Vocals performed by: Against The Current
Vocal production by: Riot Games Music Team, and Colin Brittain
Additional vocal production by: Alex Goot

http://www.atcofficial.com/
https://www.youtube.com/againstthecurrentNY
https://www.facebook.com/againstthecurrentband
https://www.facebook.com/WeAreMako

************************************************

Legends Never Die when the world is calling you
Can you hear them screaming out your name?
Legends Never Die they become a part of you
Every time you bleed for reaching greatness 
Relentless you survive

They never lose hope when everything's cold and the fighting's near
It's deep in their bones they’ll run into smoke when the fire is fierce
'Oh pick yourself up, ‘cause

Legends Never Die when the world is calling you
Can you hear them screaming out your name?
Legends Never Die they become a part of you
Every time you bleed for reaching greatness 
Legends Never Die

They're written down in eternity
But you'll never see the price it costs, the scars collected all their lives

When everything’s lost, they pick up their hearts and avenge defeat
Before it all starts, they suffer through harm just to touch a dream
'Oh pick yourself up, ‘cause

Legends Never Die when the world is calling you
Can you hear them screaming out your name?
Legends Never Die they become a part of you
Every time you bleed for reaching greatness 
Legends Never Die",246087575,2994537,77811,PT2M59S
3,F5tSoaJ93ac,Gaming,20,League of Legends,Imagine Dragons & JID - Enemy (from the series Arcane: League of Legends) | Official Music Video,2021-10-28T11:00:05Z,"Oh, the misery, everybody wants to be my ENEMY. Watch the official music video for Arcane’s title track, Enemy. Arcane is coming to Netflix on November 6 at 7:00 PM PT.

PRODUCTION CREDITS
Enemy by Imagine Dragons & JID
Written by: Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Robin Fredriksson, Mattias Larsson, Justin Tranter, Destin Route p/k/a J.I.D
Produced by: Mattman & Robin (Wolf Cousins Productions)
Mixed by: Serban Ghenea (MixStar Studios)
Mastered by: Randy Merrill (Sterling Sound, NYC)
Session Engineer: Ben Sedano (Conway Studios), John Hanes

ANIMATION: 
Fortiche Prod
Co-Directors: Arnaud Delord, Bart Maunoury
Producers: Pascal Charrue, Jérôme Combe
Production Company: Fortiche, Riot Games


LYRICS
Look out for yourself!

I wake up to the sounds of the silence that allows
For my mind to run around, with my ear up to the ground
I’m searching to behold the stories that are told
When my back is to the world, that was smiling when I turned
Tell you you’re the greatest
But once you turn they hate us

Oh, the misery!
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy... y... y... y...
Look out for yourself!
My enemy... y... y... y...
Look out for yourself!
But I’m ready

Your words up on the wall, as you’re praying for my fall
And the laughter in the halls, and the names that I’ve been called
I stack it in my mind, and I’m waiting for the time
When I show you what it’s like, to be words spit in a mic!
Tell you you’re the greatest
But once you turn they hate us

Oh, the misery!
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be 
My enemy... y... y... y...
Look out for yourself!
My enemy... y... y... y...
Look out for yourself!

Look, okay
I’m hoping that somebody pray for me
I’m praying that somebody hope for me
I’m staying where nobody ‘posed to be
P-p-posted
Being a wreck of emotions
Ready to go whenever just let me know
The road is long so put the pedal into the floor
The enemy’s on my trail, my energy unavailable
Imma tell ‘em hasta luego

They wanna plot on my trot to the top, 
I’ve been outta shape, thinkin’ out the box
I’m an astronaut, I blasted off the planet rock
To cause Catastrophe and it matters more because I had it not
Had I thought about wreaking havoc on an opposition
Kinda shockin’ they wanted static with precision
I’m automatic quarterback, I ain’t talkin’ sacking
Pack it, pack it up, Iont panic, batter batter up
Who the baddest, it don’t matter, cause we at ya throat

Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy
Oh, the misery!
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be 
My enemy

They say pray it away, I swear, I’ll never be a Saint, no way
My enemy
They say pray it away, I swear, I’ll never be a Saint

Look out for yourself!

From the Arcane: League of Legends Original Soundtrack
November 6 // November 13 // November 20
The #Arcane soundtrack drops in three releases. 
Pre-save now. https://lnk.to/ArcaneLeagueofLegends

P/C 2020 Darkroom/Interscope Records under exclusive license to Riot Games, Inc.                                                                                              
Imagine Dragons appears Courtesy of KIDinaKORNER/Interscope Records.                                                                                                                                                     JID appears courtesy of Dreamville/Interscope Records",234894293,3205178,36919,PT3M34S
4,TJryIc0Cwy4,Gaming,20,Clash Royale,Clash Royale: The Last Second (Official Commercial),2016-12-22T16:57:29Z,"When it comes down to the last second... 

Subscribe! http://supr.cl/SubRoyale

When a ridiculous duel comes down to the wire, that final arrow can make all the difference!

Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.

Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.

Lead the Clash Royale Family to victory!

FEATURES
● Duel players from around the world in real-time and take their Trophies
● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones
● Destroy opponent’s towers and win Crowns to earn epic Crown chests
● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses
● Construct your ultimate Battle Deck to defeat your opponents
● Progress through multiple Arenas all the way to the top
● Form a Clan to share cards and build your very own battle community
● Challenge your Clanmates and friends to a private duel
● Learn different battle tactics by watching the best duels on TV Royale

PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale. A network connection is also required.

Support:
Are you having problems? Visit http://supercell.helpshift.com/a/clash-royale/ or contact us in-game by going to Settings, Help and support.

Privacy Policy:
http://supercell.com/en/privacy-policy/

Terms of Service:
http://supercell.com/en/terms-of-service/

Parent's Guide:
http://supercell.com/en/parents/",179596145,468675,12093,PT50S
5,fbmJ_mI2ywE,Gaming,20,Talking Angela,💖🍰 Bake With Me! 💖🍰 Sweet Treats in My Talking Angela 2,2021-08-12T13:07:03Z,"Are you ready to bake, besties?! 🙌 Let’s head to the Sweet Shop and shine in My Talking Angela 2! ✨💖🍰 https://o7n.co/mta2-yt-trailer1-des

OMG! We’re going to have so much fun together! 😍 Watch and see all the yummy things we can bake in my new game. 🥳 We’re going to make the SWEETEST creations – and decorate them, too. 🦄 So many sprinkles, so little time! 

And there are lots of delicious recipes to unlock. What should we make first? 🧁 Cupcakes? 🎂 A three-layer cake decorated with unicorns? Ice pops?! 😋

BFFs have SO much more fun 2gether. ❤️🥰 I can’t wait to share all this with you! Meet you in the Sweet Shop! 😘✨ https://o7n.co/mta2-yt-trailer1-des

🎮💖 My Talking Angela 2 is available to download and play worldwide on all major platforms. 

#NewGame #MyTalkingAngela2 #Trailer

Subscribe to my channel so you don't miss any of my new videos, #LittleKitties! 👉 https://www.youtube.com/c/TalkingAngela/?sub_confirmation=1

Hey LittleKitties! Thanks for coming to my channel! I post lots of fun things for all of you, from my music videos and lifestyle tips and tricks, to fun gameplay videos and trailers! 

💖Videos for Lots of Laughs! 💖
Want to watch some of my BEST videos, #LittleKitties?! Me too! Let’s have some fun together! 
https://www.youtube.com/playlist?list=PL_D8rl3_l7S_BIzxMpPZtHlBJ3MGSEFEW

💖 Lifestyle and Music Videos 💖
Did I mention I’m a singer, dancer, and SUPERSTAR ON THE RISE?! That’s right! You can watch me perform in my music videos!🎤🎵And I love sharing all my favorite things too, like DIY tutorials and fashion and beauty tips. Stay tuned! 
🤩 Lifestyle: https://www.youtube.com/playlist?list=PL_D8rl3_l7S-BV1LUbNvrcbeeImueGTCq
🎤 Music: https://www.youtube.com/playlist?list=PL_D8rl3_l7S-1CWgpEJnEeTQG0JyLSfqg
💃 Dance: https://www.youtube.com/playlist?list=PL_D8rl3_l7S_Jy8cRGvlAObnmqZi4Daos

☆ Watch most Popular videos here! https://www.youtube.com/playlist?list=PL_D8rl3_l7S-7frcE1fB5dKybxYoRQ2PD

💖 My Games – My Talking Angela and My Talking Angela 2 💖
Are you ready for some fun, besties? Let’s play my games! 
In My Talking Angela 2, you and I are going to explore the big city together. We can bake cakes, play music, learn martial arts, travel, create makeup looks, dance, play dress-up and SO MUCH MORE! Let’s discover the magic of true friendship! 👉 https://outfit7.com/apps/my-talking-angela-2 
And in My Talking Angela, you can adopt your very own Talking Angela and give her a glamorous life. She’s all yours to look after! Play now and make her a superstar! 👉 https://outfit7.com/apps/my-talking-angela/ 

Let’s have some fun! 

✨Angela✨

Find out more about me and my best friends in our super fun games! 👉 https://outfit7.com/applications/

For more fun...
▶︎ Go on an adventure with Talking Tom: https://www.youtube.com/TalkingTom 
▶︎ Be part of the Talking Tom & Friends fun! https://www.youtube.com/TalkingFriends
▶︎ Join Talking Tom Heroes on their missions: https://www.youtube.com/TalkingTomHeroes
▶︎ Are you ready to LEVEL UP THE FUN with us?: https://www.youtube.com/channel/UCRLtkybxNbcLloUTNWS14ig/

Check out our adventures all around the world! 
🇷🇺 Russia: Говорящий Том и Друзья: https://www.youtube.com/TomFriendsRu 
🇧🇷 Brasil: Talking Tom & Friends Brasil: https://www.youtube.com/TomFriendsBr
🇪🇸 Espanol: Talking Tom & Friends Español: https://www.youtube.com/TomFriendsEs 
🏳️ Arabic: توم المتكلم والأصدقاء بالعربية: https://www.youtube.com/channel/UCqHnmAQd_liHj6pU0IH-jLg
🇮🇳 India: बातूनी टॉम और मित्र हिंदी: https://www.youtube.com/c/बातूनीटॉमऔरमित्रहिंदी
🇰🇷 Ko: 토킹톰앤프렌즈: https://www.youtube.com/channel/UCR-_RUGyNsfnlhDof1S2KbQ
🇮🇹 Italy: Talking Tom & Friends Italia: https://www.youtube.com/c/TalkingTomandFriendsItalia
🇫🇷 France: Talking Tom & Friends France: https://www.youtube.com/c/TomFriendsFr
🇹🇷 Turkey: Konuşan Tom ve Arkadaşları Türkiye: https://www.youtube.com/c/KonuşanTomveArkadaşlarıTürkiye
🇩🇪 Deutsch: Talking Tom & Friends auf Deutsch: https://www.youtube.com/c/TalkingTomandFriendsaufDeutsch
🇯🇵 Japanese: トーキング・トム・アンド・フレンズ: https://www.youtube.com/channel/UCddBa7iMC-JWDeLE8helOiQ
🇨🇳 Chinese: 會說話的湯姆貓家族中文頻道: https://www.youtube.com/channel/UCpB_Rt4GwuGnGr6yPISWd1A/

Talking Angela is also known as: 会说话的安吉拉,トーキング・アンジェラ,토킹안젤라, Говорящая Анджела, Konuşan Angela, أنجيلا المتكلمة, बातूनी एंजेला, 會說話的安吉拉.
#TalkingAngela #Angela",173711369,71103,0,PT55S
6,lVgjUWFSR6w,Gaming,20,GEVids,Minecraft NOSTALGIA 🥺 #shorts,2022-03-25T13:48:35Z,"This is Minecraft's most nostalgic and OG worlds. These don't include Minecraft 1.18 seeds, but rather worlds from stampylonghead and the Temple of Notch. However, it's still Minecraft 4K, Minecraft Nostalgia and proof that Minecraft is beautiful...

TikTok - gevids and idea by @transcribes :)

#shorts #minecraft #tiktok",167331284,6739472,49069,PT24S
7,ABTdTTnnEU8,Gaming,20,MrBeast Gaming,World’s Largest Explosion!,2021-04-07T18:45:24Z,"We set up a bunch of TNT and worked our way up the the world's largest TNT blast! Also if the boys survive they get a prize every round because why not

SUBSCRIBE OR YOU'LL HAVE BAD LUCK

New Merch - https://shopmrbeast.com

Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/kCQKvZD
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",150698152,1881595,77645,PT8M32S
8,veXT2HCQM9I,Gaming,20,Angry Birds,Angry Birds | Top 10 Hatchlings Cutest Moments,2020-11-12T16:00:10Z,"The Hatchlings may just be the cutest of the Angry Birds, sometimes they ooze levels of adorableness that no one should be subjected to. Except you right now that is!

Check out our Top 10 Hatchlings cutest moments!

🌟SUBSCRIBE to Angry Birds Channel and never miss a thing: https://rov.io/subscribe

➡️FOLLOW Angry Birds on:
Facebook: https://www.facebook.com/angrybirds/
Instagram: https://www.instagram.com/angrybirds/
Twitter: https://twitter.com/angrybirds

➡️PLAY all Angry Birds games: https://www.angrybirds.com/games 

#AngryBirds #Hatchlings #Adorbs",145648344,254848,0,PT12M53S
9,3dfXDiDi7UA,Gaming,20,Gadgets By Panku,easy science experiment||science easy experiment||simple experiment do at home||#short#E_bull_jet#yt,2021-12-07T07:23:36Z,"science easy experiment || simple experiment do at home || #short#E_bull_jet#yt
#theblack108
#easy science experiment


experiments,athomewithexplanationwatermelon,water park,watermelon sugar,watermelon juice,watercolor painting,watercolor,water pump,watercolor drawing,water tank",138736200,2190342,1455,PT28S
