,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,2pLT-olgUJs,Howto & Style,26,Chloe Ting,Get Abs in 2 WEEKS | Abs Workout Challenge,2019-08-12T11:45:00Z,"Abs Abs Abs! Everyone seems to be asking for a QUICK and short schedule, so I put together a 2 weeks schedule to help you get closer to those defined abs and to lose weight. A 2 weeks program is easier to commit to, and you can always do it again after you finish it!

Enjoy the abs workout guys! 

✚✚✚ TRY THE NEW 2020 2 weeks shred ✚✚✚ 
https://www.chloeting.com/program/2020/two-weeks-shred-challenge.html

✚ 2019 2 Weeks Shred Challenge Schedule
https://chloeting.com/program/2019/two-weeks-shred-challenge
EP#1 - 13 Mins HIIT Workout - https://youtu.be/2MoGxae-zyo
EP#2 - Abs in 2 weeks - https://youtu.be/2pLT-olgUJs
EP#3 - Arms & Core - https://youtu.be/3Pr6n-nKfMA
EP#4 - Lower Body - https://youtu.be/I9nG-G4B5Bs

✚ SHOP MY MERCH!
https://store.chloeting.com

✚ Free Recipes
https://www.chloeting.com/recipes/

☆Sponsor this channel☆
https://www.youtube.com/chloeting/join
☆Sub to my 2nd channel☆
https://www.youtube.com/channel/UCBrcDabYtwbR1VIhwH5efZA?sub_confirmation=1

☆My Instagram links☆
https://www.instagram.com/chloe_t/
https://www.instagram.com/itschloeting/

☆Music by☆
Dylan Locke - Johnny Johnny Instrumental
https://spoti.fi/3tIzSMZ
https://www.youtube.com/user/RadialCreations

Track: Ascence - Places Like That [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/jmpRflEHdqs
Free Download / Stream: http://ncs.io/PlacesLikeThat

Track: Dominic Strike - Heartbeat
Music Provided by Magic Records
Listen To The Original: https://youtu.be/Mc_f1j5u0y4
Free Download: https://fanlink.to/o9ha

Party in Backyard - Bitch Lasagna Instrumental

#abs #absworkout #chloeting

IMPORTANT DISCLAIMER: Please note that all of my videos are titled according to SEO best practices for content discoverability. Unfortunately this may mean that video titles are subjective and shouldn't be seen as absolute truth. As an example, targeting fat reduction is not scientifically proven but a video title might suggest otherwise. When following any of my videos, please take precaution to exercise in a safe environment, and I highly suggest seeing a health and fitness professional to give you advice on your exercise form and dietary needs. Every person is unique and there is no one size fits all solution to health or fitness. I am not a medical professional and your health and safety is the utmost importance.",509983845,8760433,309220,PT11M4S
1,WSauz5KVKTU,Howto & Style,26,marsgizmo,and the story continues... the 3D Printed Scissor Snake is growing.... thanks to you 😅,2020-09-02T12:15:48Z,"Thank you very much to all my Subscribers!

If you enjoy the videos, please Like and Subscribe ❤️, it helps me create more videos.. and I'll be forever grateful 😊.

This is a show with 3D printing and robots. I hope it brings a smile on your face 🙂

Some of my affiliate recommendations: https://linktr.ee/marsgizmo
Good entry level 3D Printer:
 - Amazon (aff.): https://amzn.to/3ptn1vG
 - Bannggood (aff.): https://www.banggood.com/custlink/33Dy5eQwoJ

My Instagram Channel: https://www.instagram.com/marsgizmo/
My TikTok Channel: https://www.tiktok.com/@marsgizmo/

3D model used in this video: https://www.thingiverse.com/thing:1902131
#marsgizmo #Shorts",364926051,5370375,65918,PT24S
2,_tDlxi2sXgk,Howto & Style,26,Kote Kitty - Songs and cartoons for children,Learn colors with Balloons and Surprise Eggs | Meow-meow Kitty fun games for kids,2021-11-07T10:17:38Z,Learn colors with Balloons and Kitty Kote ! Fun games for kids ! Meow-meow kitty. Kids animation and songs for kids. Surprise eggs.,218515709,729319,0,PT23M24S
3,oENmiMtB9iY,Howto & Style,26,Blossom,Useful skin tag remover #shorts,2022-08-04T21:00:20Z,"Subscribe to Blossom: https://www.youtube.com/channel/UC2WuPTt0k8yDJpfenggOAVQ?sub_confirmation=1

About Blossom:
Welcome to your cheat sheet for creative and unique DIY projects, mixed with daily life fixes that keep you and your family in mind. Consider your life hacked! 

Follow us:
Facebook: http://bit.ly/BlossomFacebook
Instagram: http://bit.ly/BlossomInstagram
Website: http://bit.ly/BlossomFirstMedia

#Blossom #DIY #Hacks #skin #skincare #beauty #beautygadget #skintags #skintagremoval 


https://www.youtube.com/channel/UC2WuPTt0k8yDJpfenggOAVQ",167542654,1773478,4792,PT8S
4,3L19mqT7xCE,Howto & Style,26,Myntra,Be Extraordinary Everyday with Myntra,2023-02-07T10:28:23Z,"Why wait for special days when you can look #ExtraordinaryEveryday? Look like a star everyday by choosing from the widest range of 100% original brands, only on Myntra.

#Myntra #BeExtraordinaryEveryday #MyntraExtraordinaryEveryday #RanbirKapoorxMyntra #RanbirKapoor",98439784,34305,45,PT30S
5,egh_wWCEVyM,Howto & Style,26,GoDaddy India,India Data Center,2022-07-07T12:52:47Z,,93829434,2202,36,PT11S
6,rUYJbAMSdIc,Howto & Style,26,Pantene Indonesia,"Buat Rambut, No More Setengah-Setengah! Pakai Miracles Hair Supplement!",2022-12-02T15:52:49Z,"Masih gak sadar effort lo setengah-setengah sama rambut? Hari gini shampoan aja gak cukup. 

Pakai Miracles Hair Supplement! Daily dan Weekly untuk #RambutKeCharged maksimal.

Ga percaya? Keanu aja udah buktiin, kamu juga dong!

#RambutTanpaBatas",92570819,3420,106,PT1M56S
7,KaX4RlOv5_c,Howto & Style,26,Myntra,Be Extraordinary Everyday with Myntra,2023-02-09T15:02:24Z,"Why wait for special days when you can look #ExtraordinaryEveryday? Look like a star everyday by choosing from 40K+celeb approved styles, only on Myntra.

#Myntra #BeExtraordinaryEveryday #MyntraExtraordinaryEveryday #KiaraAdvanixMyntra

ABOUT MYNTRA:
Myntra is the ultimate destination for fashion and lifestyle, hosting a wide array of merchandise including clothing, footwear, accessories, jewelry, personal care products, and more. It is time to redefine your style statement with our treasure trove of trendy items. Our online store brings you the latest in designer products straight out of fashion houses. You can shop online at Myntra from the comfort of your home and get your favorites delivered right to your doorstep.

Subscribe to Myntra’s YouTube Channel - https://www.youtube.com/@myntra  
To shop, visit the Myntra App now - https://myntra.onelink.me/eWcy/2el7rg...

Follow us on other social media channels:
Facebook: https://www.facebook.com/myntra/​​​
Instagram: https://www.instagram.com/myntra/​​​
Myntra Beauty Instagram: https://www.instagram.com/myntrabeauty/
Twitter: https://twitter.com/myntra",90439206,38522,333,PT30S
8,vwMH9eJGTcU,Howto & Style,26,WhatsUpMoms,MOM HACKS ℠ | Arts & Crafts (Ep. 2),2015-11-12T14:00:03Z,"12 awesome ways to make the the most of craft time by reducing mess, keeping supplies neat, and teaching your kid proper technique.  Share this video and subscribe (it's free!) for more from this new series and videos every M-W-Th-F! http://bit.ly/sub2moms

Ep. 1  Grocery Shopping:  https://youtu.be/SRsUyLr47_g
Ep. 2  Arts & Crafts: https://youtu.be/vwMH9eJGTcU
Ep. 3  Laundry Edition:  https://youtu.be/qDJgt-sto-Q

Thank you for making us the #1 Parenting Network on YouTube!

Follow What’s Up Moms on:
Facebook: https://www.facebook.com/WhatsUpMoms
Instagram! http://instagram.com/whatsupmoms
Twitter: http://www.twitter.com/whatsupmoms
Pinterest: http://www.pinterest.com/whatsupmoms

You can find supplies in the links below: 
Marbles (for lazy susan)
http://amzn.to/1T2t7An

Baking pans (for lazy susan)
http://amzn.to/1T2taMG

Muffin pan (for portable art tray)
http://amzn.to/1Or2BbN

Muffin liners (for portable art tray)
http://amzn.to/1Or2Fbq

Glass containers (for diy watercolor)
http://amzn.to/1T2tmeR

Denatured Alcohol (to remove paint/marker from a surface)
http://amzn.to/1T2tr20

Lint Roller (to pick up glitter)
http://amzn.to/1T2ttqJ

Press N Seal (for mess-free surface)
http://amzn.to/1Or2TPR

Gallon Ziploc Bags (for mess-free craft)
http://amzn.to/1Or2Y69

Vegetable Oil (to unclog glue cap)
http://amzn.to/1T2tACP

Plastic container (for glue sponge)
http://amzn.to/1T2tBqi

We provide our videos for entertainment and promotional purposes only.  It is your responsibility to evaluate the accuracy, timeliness, completeness, or usefulness of the content, instructions and advice contained in our videos.  WUM is not liable for any loss or damage caused by your reliance on anything contained in our videos.",68911522,207994,11248,PT2M17S
9,pIj56EQLCgg,Howto & Style,26,Chase,Experience More of Your World with Chase Sapphire Reserve (:30),2022-10-27T12:30:30Z,"Follow Michael B. Jordan as he experiences more of the world with Chase Sapphire Reserve. More info at chase.com/SapphireReserve

Play with Audio Description: https://youtu.be/75qbPTV3qBc

Chase is the U.S. consumer and commercial banking business of JPMorgan Chase & Co. (NYSE: JPM), a leading global financial services firm with assets of $2.6 trillion and operations worldwide.  Chase serves nearly half of America's households with a broad range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing.  Customers can choose how and where they want to bank: 4,700 branches, 16,000 ATMs, mobile, online and by phone.  For more information, go to Chase.com.


Terms of Service: https://www.chase.com/resources/social-media-terms-conditions


Connect with Chase Online:

Follow @Chase on Twitter: http://twitter.com/Chase
Chase Official Website: https://www.chase.com
Chase Mobile: https://www.chase.com/mobile
Chase En Español: https://www.chase.com/espanol
Find a Branch or ATM near you: https://locator.chase.com

Experience More of Your World with Chase Sapphire Reserve (:30)
https://youtu.be/pIj56EQLCgg",48224869,215,,PT31S
