,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,gClK659fHKc,Movies,30,YouTube Movies,"Me, Myself and Irene",2023-07-15T04:00:02Z,"A mild-mannered Rhode Island cop with a split-personality disorder escorts a woman wanted by the police in upstate New York back to her home town, but when he discovers she's really being set up for murder, he helps her flee back to the safety of his own jurisdiction.",,7977,1050,PT1H54M30S
1,yLJFXXbWZtY,Movies,30,YouTube Movies,Babylon A.D.,2023-07-15T04:00:02Z,"In the darkly futuristic world of Babylon A.D., the rules are simple: kill or be killed. Hard-hitting action superstar Vin Diesel stars as Toorop, a ruthless mercenary hired to smuggle a mysterious young woman from the post-apocalyptic confines of Eastern Europe to the glittering megalopolis of New York City.  Hunted at every turn, Toorop spirits his charge across a nightmarish wasteland only to uncover a shocking secret that will bring the entire world to its knees.  Eye-popping action and mind-blowing science fiction clash head-on in this hard-edged thriller, where the only rule is survival.",,5641,391,PT1H30M15S
2,H-ez5on5wHU,Movies,30,YouTube Movies,The Blair Witch Project,2012-09-03T15:46:45Z,"THE BLAIR WITCH PROJECT follows a trio of filmmakers on what should have been a simple walk in the woods but quickly becomes an excursion into heart-stopping terror. As the three become inexplicably lost, morale deteriorates. 
Hunger sets in. Accusations fly. As the end of their journey approaches, they realize that what they are filming now is not a legend...but their own descent into unimaginable horror.",,3504,0,PT1H20M57S
3,dygYCbG-jNk,Movies,30,YouTube Movies,A-X-L,2023-07-20T04:00:03Z,"A.X.L. is a top-secret, robotic dog who develops a special friendship with Miles and will go to any length to protect his new companion.",,2813,215,PT1H38M38S
4,Bx5D7v-px_s,Movies,30,YouTube Movies,The Call (2013),2013-05-21T10:29:44Z,"In this heart-pounding, edge-of-your-seat thriller, veteran 911 operator Jordan (Halle Berry) takes a life-altering call from a teenage girl (Abigail Breslin) who has been kidnapped and thrown into the trunk of a madman's car. But with the clock ticking, Jordon soon realizes she must confront a killer from her past in order to save the girl's life and put an end to a serial killer's haunting rampage. 2013 Emergency Films, LLC. All Rights Reserved.",,4497,390,PT1H34M15S
5,7UVx24oybwM,Movies,30,YouTube Movies,Hop,2012-02-10T20:34:55Z,"From the creators of Despicable Me comes an all-new comedy about candy, chicks and rock 'n' roll! He was destined to be the Easter Bunny, but all he wanted to do was rock! When teenage E.B. (voiced by Russell Brand) leaves for Hollywood in pursuit of his dream to become a rock star drummer, he meets Fred (James Marsden), an out-of-work slacker with his own lofty goals. Together the two encounter a series of hilarious mishaps and misadventures and in the end help each other recognize the importance of family. ""The laughs don't stop in this movie treat for all ages!"" — Pete Hammond, BOXOFFICE",,5703,,PT1H35M7S
6,eEFJ8xVZ0d4,Movies,30,YouTube Movies,Set Up,2023-07-14T19:49:54Z,"A group of friends plan out a detailed heist that turns deadly when one betrays the other by taking off with the goods. Taking matters into his own hands, Sonny seeks out his revenge teaming up with the most dangerous mob boss in town to get back what is rightfully his. When he finally comes face to face with his longtime friend he will be forced to make a life changing choice.",,1867,107,PT1H24M54S
7,tI_grVt2rWE,Movies,30,YouTube Movies,The Dead (2010),2023-07-14T19:49:57Z,"An American mercenary (Rob Freeman of SAVING PRIVATE RYAN), the sole survivor of a plane crash, has to run across Africa, battling with the living dead. Joining forces with a local military man desperately searching for his son amongst the chaos, he fights to survive, in the first zombie road movie ever.",,1659,155,PT1H44M53S
8,7ZGdHSD62xg,Movies,30,YouTube Movies,Never Back Down,2023-07-14T19:49:59Z,"Jake (Sean Faris) is the new kid in school. When a beautiful girl (Amber Heard) befriends him, Jake thinks he's set. But instead, her fight-club boyfriend, Ryan (Cam Gigandet), smacks Jake a bloody, black-eyed welcome. Humiliated, Jake then turns to a mixed martial arts (MMA) master (Djimon Hounsou), who teaches him how to fight...and how to walk away. But it becomes obvious that a brutal re-match is inevitable if Jake wants to stop Ryan and his bullying, once and for all.",,1589,128,PT1H53M10S
9,tt1GB3VHAjo,Movies,30,YouTube Movies,Baby's Day Out,2023-07-15T04:00:01Z,"Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnappers who pretend to be photographers from the newspaper. Successfully kidnapping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals.",,1409,113,PT1H38M53S
