,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,mZvHEoO0qUQ,Music,10,T-Series Bhakti Sagar,Jai Maa Vaishnodevi I English Subtitles I Watch online Full Movie I GULSHAN KUMAR I GAJENDRA CHAUHAN,2011-12-23T21:43:26Z,"Watch Jai Maa Vaishnodevi Full Movie (Subscribe: http://www.youtube.com/tseriesbhakti)
Artists: Gulshan Kumar, Gajendra Chauhan, Kiran Juneja
Singers: Anuradha Paudwal, Suresh Wadkar, Sonu Nigam
Music: Amar - Utpal, Surindra Kohli
Author: Naqsh Lalaypuri, Bharat Acharya, Balvir Nirdosh
Producer: Gulshan Kumar
Director: Shantilal Soni

If You like the video don't forget to share with others & also share your views.
Stay connected with us!!!
► Subscribe: http://www.youtube.com/tseriesbhakti
► Like us on Facebook: https://www.facebook.com/BhaktiSagarTseries/
► Follow us on Twitter: https://twitter.com/tseriesbhakti

For Spiritual Voice Alerts, Airtel subscribers Dial 589991 (toll free) 
To set popular Bhakti Dhun as your HelloTune, Airtel subscribers Dial 57878881",65553754,331209,21342,PT2H27M21S
1,1fjE4x9R1Zo,Music,10,T-Series Bhakti Sagar,"Jai Dakshineshwar Kali Maa, HEMA MALINI I GULSHAN KUMAR, ANURADHA PAUDWAL, ADITYA PAUDWAL,ALOKNATH I",2012-04-04T12:43:07Z,"#AnuradhaPaudwal Watch Full Movie Jai Dakshineshwar Kali Maa only on T-Series Bhakti Sagar Channel
Artists: Hema Malini, Ajinkya Dev, Mrinal Kulkarni, Aloknath, Jaishri T,
Vilasraj, Jaishree Gadkar, Ramna Vadhavan, Alhad Pisat, Gulshan Kumar, Anuradha Paudwal
Producer: Anuradha Paudwal
Banner: Bhav Taarini Productions & Super Cassettes Industries Ltd.
Singers: Anuradha Paudwal, Kavita Paudwal, Suresh Wadkar
Writer: Darshan Laad
Music Director: Aditya Paudwal
Lyricists: Suraj Ujjaini, Bharat Acharya, Shekhar Sen, Ravindra Jain
Director: Shantilal Soni

If You like the video don't forget to share with others & also share your views.
Stay connected with us!!!
► Subscribe: http://www.youtube.com/tseriesbhakti
► Like us on Facebook: https://www.facebook.com/BhaktiSagarTseries/
► Follow us on Twitter: https://twitter.com/tseriesbhakti

For Spiritual Voice Alerts, Airtel subscribers Dial 589991 (toll free) 
To set popular Bhakti Dhun as your HelloTune, Airtel subscribers Dial 57878881",34670036,146442,5588,PT2H19M37S
2,SHpCEUO3JJA,Music,10,T-Series Apna Punjab,Jee Aayan Nu | Full Punjabi Movie | Harbhajan Mann | Priya Gill,2012-07-24T06:45:42Z,"Jee Ayan Nu is a Punjabi feature film, released in 2002. It stars Harbhajan Mann in the lead role with Priya Gill. It was directed by Manmohan Singh. It is one of the most successful movie in Punjabi cinema. The movie's songs are quite popular and were sung by Harbhajan Mann, Alka Yagnik and others. Jee Aayan Nu is the first film in the history of Punjabi cinema to be made on such a lavish scale and with renowned technicians who have contributed their best efforts and dedication.",24988150,95187,3152,PT3H7M40S
3,qZGTO57m2dU,Music,10,T-Series Bhakti Sagar,Jai Jwala Maa I Watch Hindi Movie Online I GULSHAN KUMAR I GAJENDRA CHAUHAN I BINDU DARA SINGH,2012-01-24T14:24:58Z,"Jai Jwala Maa The best known Jwala Ji shrine is located in the lower Himalayas in Jawalamukhi town of the Kangra district of Himachal Pradesh state of India, about 55 kilometers from the larger town of Dharamsala. Maa Jwala Devi, is the most famous Shakti Peetha where it is said that the ""Tongue"" of Maa Sati fell.  The physical manifestation of Jwala Ji is always a set of flames burning off natural gas. Watch Hindi Devotional Movie Jai Jwala Maa based on the story of Bhakt Dhyanu. Bhakt  Dhyanu was Param Bhakta of Maa Jwala. 
Producer: Gulshan Kumar
Director: Dharmesh Tiwari
Label: T-Series
Composer & Author: Kirti Anurag & P. Kiran Mishr
Singers: Anuradha Paudwal, Suresh Wadkar, Sonu Nigam, Mahendra Kapoor, Narendra Chanchal
Artist: Gulshan Kumar, Bindu Dara Singh, Gajendra Chauhan

If You like the video don't forget to share with others & also share your views.
Stay connected with us!!!
► Subscribe: http://www.youtube.com/tseriesbhakti
► Like us on Facebook: https://www.facebook.com/BhaktiSagarTseries/
► Follow us on Twitter: https://twitter.com/tseriesbhakti

For Spiritual Voice Alerts, Airtel subscribers Dial 589991 (toll free) 
To set popular Bhakti Dhun as your HelloTune, Airtel subscribers Dial 57878881",17626840,102585,5691,PT2H29M5S
4,wywSTsT08XI,Music,10,T-Series Apna Punjab,Asa Nu Maan Watna Da,2012-07-26T11:39:57Z,"Asa nu maan watna da is a Punjabi movie directed by Manmohan Singh released in 2004 and starring Harbhajan Mann. This film depicts what happens to those who return to their homeland after a prolonged absence abroad. This film deals with the following questions:
Are migrants really welcomed back to their motherland? Is it the same motherland which they left behind? Does the motherland have the same rich, cultural values which they strove to teach to their children? Are they left confused about where they fit in? Could Love bloom within two young hearts, born and raised in two different lands? Does forgiveness and love calm the stormy ocean of human hearts? What does the West offer the East and what does the East offer the West? Is unity possible?
cinematography was by Mr. Harmeet Singh.",15048045,61577,2336,PT2H59M23S
5,DDwqUY9MWDU,Music,10,T-Series Apna Punjab,Yaara O Dildaara | Full Punjabi Movie | Harbhajan Mann | Tulip Joshi,2012-05-22T10:00:07Z,"A complete family entertainer film which revolves around love and relationships.The film is based on two business families of Ludhiana. A romantic story that will reinstate your faith in true love. It is a mixture of comedy, love and emotions. The movie has Harbhajan Mann, Tulip Joshi, Kabir Bedi, Gulzar Inder Chahal, Jonita Doda, Gurpreet Ghughi, Neena Cheema, Sunita Dhir, Akshita Sharma, Gurpreet Grewal, B.N. Sharma, Kuldeep Sharma & Vijay Tandon. It is Directed By:Ksshitij Chaudhary
& Produced by T-Series



--------------------------",14896857,49344,1496,PT2H12M2S
6,J9DRDDb70xE,Music,10,T-Series Apna Punjab,Pinky Moge Wali | Full Punjabi Movie | Neeru Bajwa | Gavie Chahal,2012-11-24T12:58:09Z,"""Pinky Moge Wali"" is a Punjabi film starring Neeru Bajwa and Gavie Chahal. The movie got released on 28th September,2012

The film's title ""Pinky Moge Wali"" comes from the popular character introduced in Punjabi movie ""Jihne Mera Dil Lutya"".",7566664,22422,944,PT2H14M18S
7,pw2GJGfSM1Q,Music,10,مارلين___UR,العروس تهدي الوردة لرفيقتها🤣💃😍,2023-06-15T13:28:50Z,,6947221,121524,458,PT14S
8,Le5wTROS4oY,Music,10,T-Series Bhakti Sagar,"Sant Gyaneshwar New Hindi Movie I GAJENDRA CHAUHAN I AMAN VARMA (as Sant Gyaneshwar), T-SeriesBhakti",2012-04-05T09:46:21Z,"Watch Hindi Devotional Movie Sant Gyaneshwar only on T-Series Bhakti Sagar Channel
Singers: Anuradha Paudwal, Suresh Wadkar, Vinod Rathod, Ravindra Sathe
Producer: Gulshan Kumar, Super Cassettes Industries Ltd. (T-Series)
Artists: Aman Varma (as Sant Gyaneshwar), Gulshan Kumar, Gajendra Chauhan, Sudhir Dalvi,Varsha Usagonkar, Zarina Wahab, Dara Singh, Pramod Moutho, Adarsh Gautam, Vishnu Sharma, Ram Mohan, Arun Bali,
Geetika Tiwari, Shweta Gautam, Sahil Garodiya, Dharmesh Tiwari, Himanshu Jhunjhunwala
Writer: C.K. Mast
Lyricists: Pandit Kiran Mishr, Dharmesh Tiwari
Music Director: Nandu Honap
Director: Dharmesh Tiwari
Label: T-Series

If You like the video don't forget to share with others & also share your views.
Stay connected with us!!!
► Subscribe: http://www.youtube.com/tseriesbhakti
► Like us on Facebook: https://www.facebook.com/BhaktiSagarTseries/
► Follow us on Twitter: https://twitter.com/tseriesbhakti

For Spiritual Voice Alerts, Airtel subscribers Dial 589991 (toll free) 
To set popular Bhakti Dhun as your HelloTune, Airtel subscribers Dial 57878881 facebook: https://www.facebook.com/BhaktiSagarTseries/",5722694,21241,899,PT2H29M48S
9,hl5dQ4hhrm4,Music,10,T-Series Bhakti Sagar,"चार धाम Char Dham I Hindi Film I Gulshan Kumar, Aloknath, Kulbhushan Kharbanda",2012-01-24T11:40:42Z,"Char Dham - Hindi Film
Producer: Gulshan Kumar
Singers: Hariharan, Sonu Nigam, Anuradha Paudwal
Director: Uday Shankar Pani
Artists: Alok Nath | Kulbhushan Kharbanda | Gulshan Kumar | Deepak Deulkar | Anjana Mumtaz | Pooja Ghai Rawal
Music Label: T-Series

#tseriesbhaktisagar #chardham #chardhammovie #gulshankumar #chaardham #chardhamyatra 

The Char Dham is a set of four pilgrimage sites in India. It is believed that visiting these sites helps achieve moksha. The four Dhams are, Badrinath, Dwarka, Puri and Rameswaram. It is believed that every Hindu should visit the Char Dhams during one's lifetime
A man, who was separated from his family years ago, reconciles with them after completing a tour of four popular Indian pilgrimage places Called Char Dham. 

If You like the video don't forget to share with others & also share your views.
Stay connected with us!!!
► Subscribe: http://www.youtube.com/tseriesbhakti
► Like us on Facebook: https://www.facebook.com/BhaktiSagarTseries/
► Follow us on Twitter: https://twitter.com/tseriesbhakti

For Spiritual Voice Alerts, Airtel subscribers Dial 589991 (toll free) 
To set popular Bhakti Dhun as your HelloTune, Airtel subscribers Dial 57878881",4466020,25328,720,PT2H31M23S
