,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,KDo8n_7_2YI,News & Politics,25,USA TODAY,Brave woman fights off male attacker while alone at gym | USA TODAY #Shorts,2023-02-17T13:28:54Z,"A 24-year-old woman successfully fought off a male attacker while she was working out alone at her apartment's gym. The man was arrested and charged.

RELATED: Good Samaritans in Florida save unconscious woman as car drifts through red light https://bit.ly/3XywNNq

A Tampa woman who fought off an attacker at her apartment complex's gym is speaking out about her experience in the hopes that other women will feel more empowered.

Nashali Alma, 24, said she was exercising in her complex's gym, about 12 miles northwest of downtown Tampa, in late January when a man who looked familiar to her needed access to the gym, the Hillsborough County Sheriff's Office said.

Alma said she let the man in because she had seen him in the gym before. But as she was working out, Alma told investigators that the man approached her and grabbed her waist. Alma said she yelled at the man to get away from her but he kept chasing her around the gym, police said.

» Subscribe to USA TODAY: http://bit.ly/1xa3XAh
» Watch more on this and other topics from USA TODAY: https://bit.ly/3QYKjbc
» USA TODAY delivers current local and national news, sports, entertainment,  finance, technology, and more through award-winning journalism, photos, videos and VR.

#Florida #Gym #Fight",118934769,4351872,95253,PT37S
1,Oyfu5NHobhQ,News & Politics,25,Saru Baby and Aathish  Baby,Twist end 😂😂 #shorts #tiktok #lifehacks #tutorial #diy #youtubeshorts #shortvideo #funny #comedy,2023-06-18T04:15:02Z,,41110973,558186,198,PT30S
2,RVVfJVj5z8s,News & Politics,25,FRONTLINE PBS | Official,Amazon Empire: The Rise and Reign of Jeff Bezos (full documentary) | FRONTLINE,2020-02-19T02:00:04Z,"An inside look at how Amazon CEO Jeff Bezos built one of the largest and most influential economic forces in the world — and the cost of Amazon’s convenience.

This journalism is made possible by viewers like you. Support your local PBS station here: http://www.pbs.org/donate

Love FRONTLINE? Find us on the PBS Video App where there are more than 250 FRONTLINE documentaries available for you to watch any time: https://to.pbs.org/FLVideoApp
 
Subscribe on YouTube: http://bit.ly/1BycsJW

#JeffBezos #Documentary #frontlinePBS

Jeff Bezos is not only the richest man in the world, he has built a business that is without precedent in the history of American capitalism. His power to shape everything from the future of work to the future of commerce to the future of technology is unrivaled. As politicians and regulators around the world start to consider the global impact of Amazon — and how to rein in Bezos’ power — FRONTLINE investigates how he executed a plan to build one of the most influential economic and cultural forces in the world.
 
Instagram: https://www.instagram.com/frontlinepbs
Twitter: https://twitter.com/frontlinepbs
Facebook: https://www.facebook.com/frontline

FRONTLINE is streaming more than 200 documentaries online, for free, here: http://to.pbs.org/hxRvQP 

Funding for FRONTLINE is provided through the support of PBS viewers and by the Corporation for Public Broadcasting. Major funding for FRONTLINE is provided by the John D. and Catherine T. MacArthur Foundation and the Ford Foundation. Additional funding is provided by the Abrams Foundation, the Park Foundation, The John and Helen Glessner Family Trust, the Heising-Simons Foundation, and the FRONTLINE Journalism Fund with major support from Jon and Jo Ann Hagler on behalf of the Jon L. Hagler Foundation.",26361734,180521,26590,PT1H53M17S
3,JovtmKFxi3c,News & Politics,25,PBS NewsHour,China: Power and Prosperity -- Watch the full documentary,2019-11-22T21:44:01Z,"As China has risen in prosperity, influence and military strength, what are the social, economic and political forces at play? Come along with PBS NewsHour as we travel around the globe to explore the emerging superpower and its relationship with the United States.

""China: Power and Prosperity"" covers the country’s powerful leader, his signature foreign policy, U.S.-China trade and technology wars, how Chinese technology helps stifle dissent, and more. A collaboration with the Pulitzer Center on Crisis Reporting, PBS NewsHour conducted more than 70 on-camera interviews in eight Chinese cities and across eight countries.

00:00 President Xi Jinping
11:20 China’s Belt and Road initiative
22:19 US-China trade
33:45 Chinese billionaires
43:30 Big data or Big Brother?
53:41 The rise of Huawei
1:03:03 The green economy
1:11:10 Artistic renaissance 
1:17:04 The state of Uighurs in China
1:32:00 Hong Kong’s Umbrella Movement

Support your local PBS station here: https://pbs.org/donate

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",21425851,85052,,PT1H44M30S
4,5dZ_lvDgevk,News & Politics,25,FRONTLINE PBS | Official,In the Age of AI (full documentary) | FRONTLINE,2019-12-02T19:00:56Z,"A documentary exploring how artificial intelligence is changing life as we know it — from jobs to privacy to a growing rivalry between the U.S. and China.

FRONTLINE investigates the promise and perils of AI and automation, tracing a new industrial revolution that will reshape and disrupt our world, and allow the emergence of a surveillance society.

This journalism is made possible by viewers like you. Support your local PBS station here: http://www.pbs.org/donate

Love FRONTLINE? Find us on the PBS Video App where there are more than 250 FRONTLINE documentaries available for you to watch any time: https://to.pbs.org/FLVideoApp
 
Subscribe on YouTube: http://bit.ly/1BycsJW

#ArtificialIntelligence #Automation #documentary

Instagram: https://www.instagram.com/frontlinepbs
Twitter: https://twitter.com/frontlinepbs
Facebook: https://www.facebook.com/frontline

FRONTLINE is streaming more than 200 documentaries online, for free, here: http://to.pbs.org/hxRvQP 

Funding for FRONTLINE is provided through the support of PBS viewers and by the Corporation for Public Broadcasting. Major funding for FRONTLINE is provided by the John D. and Catherine T. MacArthur Foundation and the Ford Foundation. Additional funding is provided by the Abrams Foundation, the Park Foundation, The John and Helen Glessner Family Trust, and the FRONTLINE Journalism Fund with major support from Jon and Jo Ann Hagler on behalf of the Jon L. Hagler Foundation.",19861330,133235,19740,PT1H54M17S
5,D0OW3qRbWYA,News & Politics,25,TODAY,Video shows Chinese fighter jet flying in front of US military plane,2023-06-05T19:15:00Z,"The Pentagon is reacting after it says a Chinese fighter jet made an aggressive maneuver around a U.S. military plane. This comes as China declined a high-profile meeting with American counterparts. Janis Frayer reports for TODAY.

» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY
» Watch the latest from TODAY: http://bit.ly/LatestTODAY

About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.  

Connect with TODAY Online!
Visit TODAY's Website: http://on.today.com/ReadTODAY
Find TODAY on Facebook: http://on.today.com/LikeTODAY
Follow TODAY on Twitter: http://on.today.com/FollowTODAY
Follow TODAY on Instagram: http://on.today.com/InstaTODAY",17334294,407169,19670,PT32S
6,bGx7hUx2rww,News & Politics,25,ABC 7 Chicago,Customer knocks alleged thief to ground at T.J. Maxx store,2023-05-02T19:06:44Z,A customer was captured on video taking matters into his own hands and knocking an alleged thief to the ground as she tried to walk away with bags of merchandise from a T.J. Maxx store in Mira Loma. #shortvideo #shorts,16119092,413356,63436,PT40S
7,F8_ME4VwTiw,News & Politics,25,Wall Street Journal,Ergonomics Expert Explains How to Set Up Your Desk | WSJ Pro Tip,2019-06-18T17:20:35Z,"Our desks weren't made for us. They were made for everyone. Simple fixes like adjusting your chair to match your height and adjusting your monitor to an arm's distance can make a huge impact. What are some other adjustments to optimize your workspace?

Ergonomics expert Jon Cinkay from the Hospital for Special Surgery is here to show you how to make your desk and office chair adapt to you and not the other way around.

Photo: Adam Falk/The Wall Street Journal

0:00 Meet Jon Cinkay, a body mechanics coordinator
0:31 Adjust your chair
1:04 Adjust your monitor
1:50 Mind your mouse, keyboard and phone
2:28 Move and stretch

#Ergonomics #Desk #WSJ",15145639,416609,6715,PT3M23S
8,CC37aa3rbTI,News & Politics,25,Sundaram Mutual,Balanced Advantage Funds: Get the Best of Both Worlds!,2023-05-24T10:15:44Z,"Choices are a plenty - whether it comes to the perfect vacation destination or investing in mutual funds. You try to find a balance that is right for you! Get the best of both equity and debt with Balanced Advantage Funds - the product that can bring you the best of both worlds!

Diversify your portfolio!

To learn more, visit our website today at https://bit.ly/3XefP8o",12102267,14,,PT30S
9,6Pm0Mn0-jYU,News & Politics,25,CNBC Make It,Why Finland And Denmark Are Happier Than The U.S.,2020-01-09T17:00:04Z,"What does it take to be happy? The Nordic countries seem to have it all figured out. Finland and Denmark have consistently topped the United Nations’ most prestigious index, The World Happiness Report, in all six areas of life satisfaction: income, healthy life expectancy, social support, freedom, trust and generosity.

Learn more about work-life balance secrets from the happiest countries in the world on CNBC Make It: https://cnb.cx/37So3YY

Each year, a group of happiness experts from around the globe rank 156 countries based on how “happy” citizens are, and they publish their findings in the World Happiness Report. Happiness might seem like an elusive concept to quantify, but there is a science to it.

When researchers talk about “happiness,” they’re referring to “satisfaction with the way one’s life is going,” Jeff Sachs, co-creator of the World Happiness Report and a professor at Columbia University, tells CNBC Make It.

“It’s not primarily a measure of whether one laughed or smiled yesterday, but how one feels about the course of one’s life,” he says.

Since the report began in 2012, Nordic countries — which include Denmark, Norway, Sweden, Finland and Iceland, plus the Faroe Islands, Greenland and Aland — consistently turn up at the top of the list. (The United States, on the other hand, typically lands somewhere around 18th or 19th place.)

» Subscribe to CNBC Make It.: http://cnb.cx/2kxl2rf

About CNBC Make It.: CNBC Make It. is a new section of CNBC dedicated to making you smarter about managing your business, career, and money.

Connect with CNBC Make It. Online
Get the latest updates: https://www.cnbc.com/make-it
Find CNBC Make It. on Facebook: https://cnb.cx/LikeCNBCMakeIt 
Find CNBC Make It. on Twitter: https://cnb.cx/FollowCNBCMakeIt 
Find CNBC Make It. on Instagram: https://bit.ly/InstagramCNBCMakeIt

#CNBCMakeIt
#Denmark
#Finland

Are Nordic People Really That Happy?",8799597,163597,19218,PT25M45S
