,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,QLur8MPmjfM,People & Blogs,22,New Gadgets,"New Gadgets!🥰 Tool Items, Smart Kitchen Appliances, Tools, Utensils/Home Cleaning/Inventions #shorts",2023-06-20T08:43:53Z,,66057050,820818,388,PT16S
1,TLVO_d7YL1U,People & Blogs,22,Vlogger Ayaan Story,Bhagwan kisi ko itna Majbur naa Banaye😢♥️ #shorts #emotional #concept #story,2023-06-19T02:45:01Z,,20562080,366044,138,PT47S
2,GnVhB6MljWY,People & Blogs,22,VihaanOpedia,How I made Chocolate Balls !!  Cooking with Kids !! No Fire No Bake Chocolate Balls ! #shortfeed,2023-06-19T15:36:40Z,"#shortfeed #shorts #ytshorts #kidsvideos #chocolateballs #dessertrecipe #quickdessert

Tags:
Chocolate Balls II Father's day special quick & Easy dessert recipe II Chocolate dessert recipe II Chocolate Date Balls, Chocolate Dessert, Healthy Energy Ball,Coklat Ball Resepi, Bebola Coklat, Chocolate Cake Balls recipe, Cake Pops, How to make chocolate truffles with milk at home, Chocolate Balls Recipe, Date Chocolate Balls Healthy Protein Snacks, Post Workout Snacks, Healthy Date Recipe, Healthy Dessert, Chocolate Recipe, Date & Nuts Ball, Choco Ball, Chocolate Dates Ball Recipe, Dessert Recipe, Easy Dessert, Sweet Dates Ball, Energy Balls, Date Balls, chocolate balls recipe easy, chocolate balls, how to make chocolate balls, होममेड चॉकलेट बॉल्स |
diy activities,kids,plasticine,sister,candies,lifehacks,easy life hacks,tips,simple life hacks, educational, cubes, diy projects, do it yourself, candles,macarone, painting, children,handcraft,draw,paint,tricks, finger,brother,sibling,tutorial, siblings,5-minute crafts kids, development,useful things,5-minute crafts,easy,puzzle, crafts, mini cake,baking,1000+ tiny cakes,best of tiny cakes,tiny cakes,cooking recipes,1000+ miniature cake,kindergarten,mini cooking asmr,cake,chocolate cake,miniature cake,satisfying miniature,tiny cake decorating,miniature cake recipe,best of miniature cake,miniature cake tutorial,cooking,science,miniature cake decorating,learning,1000+ miniature cake decorating videos,craft miniature,miniature,cake mini,animation,kids,jessi knudsen castaneda,dip recipes

#kidsbaking #baking #bakingwithkids #kidsinthekitchen #cupcakes #cookies #kidscooking #homemade #kids #kidbaker #kidsactivities #brownies #cookingwithkids #smallbusiness #bake #chocolate #homebaking #fromscratch #bakingkids #cooking #veganbaking #cake #yummy #foodie #bakinglove #kidsbake #lfbaking #bakingfun #collegefund #clairasconfectionsforcollege
#cake #cakelover #lovebaking #lovecooking #kidsreels #kidsactivities #kidsbakingchampionship #kidbaking #kidsvideos #cakeforkids #learning #kidslearning #kidslearningfun #motivation #birthday #birthdaycakes #birthdayideas #chocolate #chocolatecake #swisschocolate
#kidsvideos #kidsvideosforkids #kidsvideosonyoutube #kidsvideosfunny #kidsvideostowatch #kidsvideosforgirls #kidsvideosand #kidsactivity #kidsactivitygames #kidsactivityathome #kidsactivitybook #kidsactivityideas #kidsactivitytoys #kidsactivitysheets #kidsactivityand
#youtube #youtuber #instagram #music #love #spotify #tiktok #follow #like #explorepage #youtubers #youtubechannel #gaming #twitch #video #instagood #hiphop #memes #viral #subscribe #gamer #rap #facebook #explore #ps #instagood  #art #soundcloud #k #artist #trending 
#bakingfromscratch #food #dessert #kidsbakingclass #kidscanbake #bakersofinstagram #littlebaker #baker #familytime #delicious #bakes #foodphotography #stayhome #kidbaking #kidscancook #childrenbaking #kidsfun #empowerkids #bakingclass #kidswhobake #instagood #easyrecipeforkids #kidsmade #kidsofinstagram #kidsenrichment #kidsapproved #momlife #kidslifeskills #eatandtreats #kidsbussines

#fatherday #father'sdaycard #father'sdaydrawing #father'sdaysong #father'sdaysermon #father'sday #father'sdaycardideas #father'sdaygiftideas #father'sdayvideo #father'sdaycardeasy #father'sdaygifts #father'sdayorigami #father'sdaycrafts #father'sdaymusic #fathersday 'sdayvideochurch #fathersdaysongs #fathersdaycrafts #fathersdaygiftidea #fathersdaysongsforchurch #fathersdaycard #fathersdaymessage #fathersdayideas #fathersdaysermon #fathersdayvideo #fatherdaykabhai #fathersdaypoem #fathersdaycraftseasy #fatherdaykabhai2023 #fathersdaygifts #fatherdayand #father'sdayandmother'sday #father'sdayandmother'sdaydate #father'sdayandbirthdaypraiseonjune #father'sdayandmother'sdaycard #father'sdayandbirthdaypraiseonjune19th2022 #father'sdayandmother'sdaysong 
#fatherdaycakeidea #fathersdaycakeideas #fatherbirthdaycakeideaseasy #father'sdaycakeideas #fatherdaycakeideaand #fathersdaycakeideaandsupportingdetails

 #4bahan #4ingredients #coklatball #coklatriceball #edisiniaga #chocolateballs #chocolateball #chocolateballsrecipe #bebolacoklat #chocoball #chocoballs #sweet #chocolate balls #kids #chocolateballsrecipeeasy #chocolateball #chocolateballs #chocolateballsrecipe #chocolateballssouthparkorchestra #chocolateballssouthpark #chocolateballoonbowls #chocolateballoon #chocolateballsforcakedecoration #chocolateballerinacompany #chocolateballcake #chocolateballpython #chocolateballsasmr #chocolateballswithbiscuits #chocolateballmeltingdessert #chocolateballdessert #chocolateballasmr #chocolateballmasterchef #chocolateballicecream #chocolateballjapanesecommercial #chocolateballcakerecipe #chocolateballwithmarshmallowsinside #chocolateballcakedecorations #chocolateballand #chocolateballandmilkasmr #chocolateballkaisebanaen #chocolateballmaking #chocolateballcakedesign #chocolateballeating  #dessert #fathersday",13785806,299645,,PT1M
3,H_CNqe2hifQ,People & Blogs,22,Gadgets Cool Home,"🤩 Smart Appliances, Gadgets For Every Home/ Versatile Utensils (Inventions & Ideas) #shorts",2023-06-20T08:47:21Z,"🤩 Smart Appliances, Gadgets For Every Home/ Versatile Utensils (Inventions & Ideas) #shorts

Other Videos
1) New Gadgets & Versatile Utensils For Home  - https://youtu.be/KNlPuByyG4Q

2) Smart appliances, Gadgets For Every Home - https://youtu.be/wKJZEp88KoI

#coolgadgets #gadgets #newgadgets #Appliances #newhomeitems #Smartitems #5minute #moderngadgets #appliances #latestfurinture #SpacesavingFurniture #Smarthouse #Smartgadgets #Newlnventions #Homdecor #Homeappliances #beautysupply #homdecor #kitchenutensils #Boongltimes #kitchentools #Future #Products #appliancesforeveryhome #Newlnventions #technology #kitchensupplies #utilitiesforeveryhome #Treandygadgets #UtensilssmaVideos #trends # Newnicegadgets #smarthomegadgets #toolitems #makeupkitchen
#beautyskincare #basket #artkopoint #artkogadgets  #GadgetsCoolHome

Thank You For Watching 😘",10783588,276959,,PT1M
4,jsHEo7_B2h0,People & Blogs,22,Dabur Honey,"100% Pure: Asli Honey, Dabur Honey I No Sugar Adulteration",2020-12-12T15:23:17Z,"Dabur Honey clears all 22 parameters of FSSAI testing, like IRMS for no sugar adulteration, SMR for zero sugar syrup adulteration and LCMS-MS/MS for antibiotics. It is also 100% locally sourced. Truly Indian, truly pure, there's nothing like your favourite Dabur Honey!",7904323,164,488,PT45S
5,cYMq3oH0ozU,People & Blogs,22,滇西小哥 Dianxi Xiaoge,稻草窝窝里捂出的臭豆豉，做成油豆豉鱼，极其美味【滇西小哥】,2018-09-03T08:00:05Z,"家里每年都种一些黄豆，除了平日里做豆腐外，会留一些到了冬天的时候做臭豆鼓，将黄豆泡发煮软后放稻草堆里发酵，捂出淡淡的豆鼓香，就可以直接加调料凉拌，是一道特色的傣味菜，也可以晒干后做成油豆鼓或者水豆鼓，装坛子里密封储存，水豆鼓是施甸最具有代表性的特产了，我们经常用来拌一些蔬菜，小时候在家里，吃习惯了不觉得美味，后来离家远了却开始想念这淡淡的豆鼓香，也开始爱吃用豆鼓做的很多美食！

大家好！我是滇西小哥，一个地道的云南妹子，如果你喜欢我的视频，请持续关注我的频道，
我会在不同的平台分享我的生活，以及云南特色美食，祝你们天天开心，每天都有美食相伴～
YouTube【滇西小哥 Dianxi Xiaoge】▶https://bit.ly/2MH1T5N
Facebook【滇西小哥 Dianxi Xiaoge】 ▶https://bit.ly/2TsGflr
Instagram【dianxixiaoge_apenjie】▶https://bit.ly/2Wagkze

#滇西小哥 #DianxiXiaoge #ĐiềnTâyTiểuCa",3914964,36616,748,PT5M46S
6,XcY8mDiloKg,People & Blogs,22,Henry Hoops,Did A Pair A Sunglasses Ruin His NBA Career?,2022-03-02T18:45:41Z,"A Pair Of Sunglasses Might Have Cost LiAngelo His NBA Career… 

Back in 2015, the Ball brothers were an unstoppable force. 

In their only highschool year together they regularly blew out teams and won the state championship with a perfect 35-0 record.

Lonzo Ball was projected to be a NBA lottery pick and young LaMelo Ball was stunning teams with his ability and fearlessness. 

But it was actually LiAngelo Ball who led the team in scoring with 27 points per game. 

Everything was going according to Lavar’s plan.


Follow For Content ⬇️⬇️⬇️
Instagram: @HenryJHoops
TikTok: @HenryHoops",2533719,213318,426,PT1M
7,tUc90mqXRuY,People & Blogs,22,김프로 KIMPRO,What's up 남의팔 튜토리얼,2023-07-22T05:40:11Z,"#김프로 #유백합 #KIMPRO
🐯Contact🍀
DM : https://www.instagram.com/kimpro828/
E-mail : fm1778@naver.com",2383320,103812,626,PT15S
8,9oSuVb3_F2o,People & Blogs,22,Soy AHORA!,BAJO TIERRA! SE COSECHA EN SOLO 7 DÍAS!😮Cultivo de Supervivencia! Alto valor nutritivo! HUERTO,2020-06-26T19:00:11Z,"En este video te mostramos uno de nuestros comodines de supervivencia, un cultivo de alto poder nutritivo que se cosecha en solo 7 días y se siembra bajo tierra. Es imprescindible en el Huerto y en la alimentación saludable.


UNDERGROUND! HARVEST IN JUST 7 DAYS! Survival Cultivation! High nutritional value! ORCHARD
In this video we show you one of our survival jokers, a highly nutritious crop that is harvested in just 7 days and planted underground. It is essential in the Garden and in healthy eating.

Suscribite al canal aquí: https://www.youtube.com/c/SoyAhora

CONTACTOS:
Pagina en Facebook:
https://www.facebook.com/SoyAHORASoy/
Instagram:  https://www.instagram.com/ahoradana/

Si los videos te ayudan y quieres colaborar con el canal, 
Podes hacerlo con lo que sientas, 
desde Argentina en los siguientes links:
COLABORA CON $50 !!   http://cort.as/-NFbG
COLABORA CON $100 !!  😊  http://cort.as/-NFbe
COLABORA CON $200 !! 😁  http://cort.as/-NFbx
COLABORA CON $500 !! 💪😁 http://cort.as/-NFc6
COLABORA CON $1000 !! 💪😍 http://cort.as/-NFcN

o de cualquier parte del Mundo!  haciendo click aquí: https://www.paypal.me/SoyAHORASoy?locale.x=es_XC

QUERES COLLABORATES WITH THE CHANNEL?
You can collaborate with us, from anywhere in the World!
entering this page 
https://www.paypal.me/SoyAHORASoy?locale.x=es_XC",2296626,123106,2671,PT9M1S
9,5aT_ryRqwwE,People & Blogs,22,Perfect Snacks,Perfect Bar Makes Your Morning More Perfect,2019-10-07T20:56:10Z,"Gone are the days of struggling with your protein snacks, Perfect Snacks products are a creamy bite with crunchy bits of real fruit, nuts or chocolate. They're loaded with all the goodness you want, plus a cookie-dough texture you'll love.",1687480,273,56,PT31S
