,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,e6suFNbou5Y,Pets & Animals,15,That Little Puff,Oddly satisfying 🤪🤪🤪 Kids don’t try at home #thatlittlepuff  #Puffanythingyoulike #catsofyoutube,2022-07-04T01:49:54Z,,756709892,21864075,23339,PT34S
1,qu3GD9lDAHA,Pets & Animals,15,Sonyakisa8 TT,How to trim your cat`s claws 💅,2022-07-29T11:41:02Z,"Instagram : https://www.instagram.com/sonyakisa8/?hl=ru
Tiktok https://www.tiktok.com/@sonyakisa8?lang=ru-RU

#shorts",442604133,8766450,29106,PT14S
2,EO9FTY-8J8Y,Pets & Animals,15,That Little Puff,Do you have your earpuds ready? 😃😃😃 #nourisheveryyou #cats #catsofyoutube  #thatlittlepuff,2022-08-05T02:58:02Z,,440242800,13487790,15712,PT34S
3,cu38F7beXj0,Pets & Animals,15,Mister Hamster,🐹Hamster escapes the awesome maze for Pets in real life 🐹 in Hamster stories Part 2,2020-12-26T13:30:01Z,"Hamster maze for Pets in real life. Today's story is sure to be very dynamic.
Above is Mr Hamster, he was imprisoned. The hamster police ignored him, he broke the sink, escaped several dangerous traps and ran away. Mr Humster was quick, brave and lucky. The Hamster police could not catch him.
#MisterHamster #MazeDIYTraps #HamsterPolice",365498250,,33556,PT8M34S
4,07DcjCEK8eo,Pets & Animals,15,That Little Puff,Playlist: “Dont try them at home” 😂😂😂 #thatlittlepuff #catsofyoutube,2022-09-09T01:37:34Z,,311338938,12372031,11067,PT37S
5,h_sVyGbpt8k,Pets & Animals,15,That Little Puff,Time to show some real skills. #ThatLittlePuff #Puffanythingyoulike #catsofyoutube,2022-06-24T01:51:53Z,,259970546,9860702,10407,PT31S
6,cyXEVsiZqyA,Pets & Animals,15,ToeGrips,Lipoma in Dogs: Fine Needle Aspiration by a Veterinarian,2020-09-24T15:43:54Z,"To learn more about lipomas in dogs and better understand the value of fine needle aspiration, visit https://toegrips.com/lipoma-in-dogs/. There are different ways for a veterinarian to aspirate a lipoma, but in all cases, the dog does not seem to react or notice. Typically, the needle is very small—often the size that is used for canine vaccinations.

WARNING—Graphic video:  If procedures that use needles are upsetting, please skip this video.

Dr Buzby’s ToeGrips® 

ToeGrips® are nail grips for dogs that work by allowing the toenails to grip smooth surfaces like hardwood floors.
They are an ideal non-surgical solution for senior and arthritic dogs or dogs with mobility issues.
Increase your dog's traction, stability & confidence with Toe Grips!
🛒Shop - https://shop.toegrips.com/collections
📖Blog - https://toegrips.com/blog/
🌟Reviews - https://toegrips.com/reviews/
📺Toegrips channel - www.youtube.com/user/toegrips
👍Facebook - www.facebook.com/toegrips/
🐦Twitter - https://twitter.com/DrBuzby
📸Instagram - www.instagram.com/dr_buzbys_toegrips/",257572038,2115102,,PT12S
7,zbxII2LGjzA,Pets & Animals,15,That Little Puff,Prepare your earbuds! #thatlittlepuff #ChefPuff #catsofyoutube  #asmr,2022-07-22T02:17:00Z,,238167159,6967593,9160,PT30S
8,U-C0I-Ks14M,Pets & Animals,15,AaronsAnimals,The Runaway Duckling,2020-06-17T13:00:09Z,"Prince Michael's ducklings return home for the summer when Michael notices Gabe is having a hard time. Michael learns more about what it takes to be a parent. 

Turn on Closed Captions for Prince Michael's commentary.
Prince Michael's Personal Instagram➤ https://www.instagram.com/michaelismename

Part 1 of the Duckling series: https://youtu.be/6rothRN99sk
SUBSCRIBE ➤ https://www.youtube.com/c/AaronsAnimals

Thanks to Creamistry in Downey and Straw Hat Pizza in Long Beach for letting us film at their locations!

Want to watch more Aaron’s Animals?

Surprise film: 
https://www.youtube.com/watch?v=1Ne1hqOXKKI

All your Aaron’s Animals favorites:
https://www.youtube.com/playlist?list=PLm2jxqspsRAjAjNfz67_0XOzK2AWCPcIh


MERCH ➤ https://shop.aaronsanimals.com/

Facebook ➤ https://www.facebook.com/AaronsAnimals
Instagram ➤https://www.instagram.com/AaronsAnimals
Twitter ➤ https://twitter.com/AaronsAnimals
Official Website ➤ https://aaronsanimals.com/

Big thanks to @SamBeYourself  for his feature on the soundtrack.
Talent: Lorenzo Anzoleaga, Emily Wilson, Cali, Jake, Michelle, Rhys, Donald, Aaron, Clark, 

Writers: Sarah W., Alex F., Aaron, Andrew
Music: Andrew & Jesse, @SamBeYourself
https://soundcloud.com/andrew-gerlicher-music/this-my-jam-feat-sam-be-yourself
Sound: Kenji
VFX:   Aaron,  SoKrispy
Production:  Michelle, Micah, Biani, Lorenzo, Monica, Rhys, Clark

Thanks for watching!",221599274,1596548,30456,PT7M10S
9,aD9ntq-y5y4,Pets & Animals,15,That Little Puff,You asked for it: more kitchen hacks for your weekend! 😉 #thatlittlepuff #catsofyoutube,2023-02-11T01:45:25Z,,204555178,8046052,7979,PT53S
