,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,HPEVOui9PiY,Autos & Vehicles,2,Supercar Blondie,If you've never been in a private jet plane you NEED to see this #shorts,2022-04-11T16:00:17Z,Check out Rob for more- @pilot_rob,102171732,2487303,4290,PT51S
1,lDVmGLkw3zo,Autos & Vehicles,2,Hyundai Australia,First-ever Hyundai Tucson N Line,2021-09-23T01:39:30Z,"Discover the first-ever Hyundai Tucson N Line. 

See more: https://bit.ly/ExploreTheTucsonNLine

Connect with us: 
Facebook: https://www.facebook.com/HyundaiAustr...
Instagram: https://www.instagram.com/hyundaiaus/​​ 
Twitter: https://twitter.com/HyundaiAus​​
LinkedIn: https://www.linkedin.com/company/hyun...",63070688,129,0,PT16S
2,_4oGsOusyeU,Autos & Vehicles,2,Bridgestone Brasil,Bridgestone Turanza,2020-07-01T23:48:19Z,"Os pneus Bridgestone Turanza possuem menor nível de ruído e proporcionam uma direção suave, silenciosa e confiável, tanto no molhado quanto no seco. ¡Descubra Turanza!",51543445,662,0,PT16S
3,DrUVMdkb4_k,Autos & Vehicles,2,Top Gear,Mercedes G63 AMG 6x6 Review | Top Gear | Series 21,2014-11-16T10:00:05Z,"Hammond is in the dunes of Abu Dhabi to drive a new six wheeled machine from Mercedes Benz – the G63 6x6. Originally developed for the Australian military, it's now available civilians - as long as you have over half a million dollars to spend! Subscribe: http://bit.ly/SubscribeToTopGear

Want to see more Mercedes off-road goodness? Check out this best-of Mercedes-Benz compilation: https://youtu.be/oozvOIje5Rg

Clip taken from series 21 episode 4.

WATCH MORE: 
Chris Harris Drives: http://bit.ly/ChrisHarrisDrives 
Drag Races: http://bit.ly/TGDragRaces 
Car Walkarounds: http://bit.ly/CarWalkarounds

Welcome to the most comprehensive collection of official Top Gear clips. Whether you're searching for a caravan challenge, Ken Block in the Hoonicorn, cars versus fighter jets, Stig power laps or the latest Chris Harris Drives, you can find all the iconic films here.

This is a commercial channel from BBC Studios. Service & Feedback https://www.bbcstudios.com/contact/contact-us/",35159211,316820,7430,PT8M3S
4,sF-_6_a6U60,Autos & Vehicles,2,Tata Passenger Electric Mobility Limited,Nexon EV: Drive what drove India electric!,2023-01-31T15:11:46Z,"India's #1 EV or India's most loved EV? You pick!❤️

Built to give you more with every drive. It's feature loaded, premium, safe, trusted by over 40k customers, driven over 600M Kms. And now with an enhanced range of 453 kms! 
It's time to Go.ev with the Nexon EV! ⏱️

#NexonEV #EvolveToElectric",34207774,315,11,PT20S
5,WoNAt9bQZtY,Autos & Vehicles,2,MotorTrend Channel,World's Greatest Drag Race 6! | MotorTrend,2016-09-23T10:30:01Z,"As part of Motor Trend’s annual Best Driver’s Car competition powered by Mothers, we line up the contenders on an airstrip and bask in the glory of horsepower, wheelspin, and launch control. This year, Senior Features Editors Jason Cammisa and Jonny Lieberman give you a quick tour of the 12 competitors before strapping into their insurance-mandated helmets and firesuits and introducing pedal to metal. This year, the contestants are the Acura NSX, Aston Martin V12 Vantage S manual, Audi R8 V10 Plus, BMW M4 GTS, Chevrolet Camaro SS 1LE, Dodge Viper ACR, Ford Mustang Shelby GT350R, Jaguar F-Type SVR, McLaren 570S, Mercedes-AMG GT S, Nissan GT-R, and Porsche 911 Carrera S—except for one small addition after Jason realizes Jonny’s Dodge Charger Hellcat is parked nearby. 

#Worldsgreatestdragrace #motortrend #dragrace 

Subscribe now to make sure you're in on all the action!
https://www.youtube.com/subscription_center?add_user=motortrend

Facebook - http://facebook.com/motortrendmag
Twitter - http://twitter.com/motortrend
Google+ - https://plus.google.com/101867967859016552744/posts
Website - http://www.motortrend.com",30017603,286617,22079,PT9M42S
6,JhdRv3KNHXA,Autos & Vehicles,2,Top Gear,Dodge Demon vs Lamborghini Aventador | Top Gear: Series 25,2019-02-05T18:30:01Z,"Matt LeBlanc takes the Dodge Demon for a spin, but the Demon was made to do one thing, tear up a drag strip. How will it perform in a drag race against a Lamborghini Aventador? 

Want more drag race action? Here's a McLaren 720S vs the electric VW ID R: https://youtu.be/2aY3uhARp0A

Subscribe to Top Gear for more videos: http://bit.ly/SubscribeToTopGear

Full boxsets of Series 24 & 25 available on iPlayer (UK): http://bit.ly/iPlayer-WatchTG

Taken from Top Gear: Series 25, Episode 4

WATCH MORE TOP GEAR:
Matt LeBlanc: http://bit.ly/TG-MattLeBlanc
Series 25: http://bit.ly/TG-S25
Chris Harris Drives: http://bit.ly/ChrisHarrisDrives

MORE ABOUT TOP GEAR:
Want to watch a bit of Top Gear on the internet? Welcome to the most comprehensive collection of official clips you'll find on YouTube. Whether you're searching for a caravan challenge, Ken Block in the Hoonicorn, cars versus fighter jets, Stig power laps or the latest Chris Harris Drives, you can find all the iconic films here. Make sure you're subscribed to the official Top Gear YouTube channel: http://bit.ly/SubscribeToTopGear

This is a commercial channel from BBC Studios. Service & Feedback https://www.bbcstudios.com/contact/contact-us/",24359807,405957,20817,PT6M2S
7,ccNIThWKa4w,Autos & Vehicles,2,Jiffy Lube,"How Jiffy Lube Performs a Signature Service Oil Change, presented by Jiffy Lube",2015-09-21T11:00:02Z,"Learn more about the Jiffy Lube Signature Service Oil Change at: https://www.jiffylube.com/auto-services/oil-change

Find Jiffy Lube locations near you: https://www.jiffylube.com/locations

The Jiffy Lube Signature Service Oil Change is a lot more than your regular oil change. We inspect, check/fill and clean essential components of your vehicle too. Basically, we make sure you car is running smoothly so you can Leave Worry Behind.

Upon arrival, you’ll our service bays and highly trained Jiffy Lube technicians ready to service your bay. Depending on the size of the location and time of the day, the team could vary from three to seven employees.

Carefully follow the direction of the technician to pull your vehicle into the bay. Our technicians above and below get to work as soon as the car is stopped. The technician under the bay will drain fluids and replace the oil filter while other technicians get pushing checking your oil level, transmission fluid, differential fluid, transfer case fluid, power steering fluid, windshield washer fluid, and battery water. They’ll also give a look over your brake fluid levels, serpentine belts, wiper blades, antifreeze levels, engine and passenger air filters, headlights, and the chassis.

You’ll hear technicians above and below the bay calling out their progress to each other during the process. That’s to ensure the proper steps are taken to service your vehicle the right way.

Once your car is filled with fresh oil and all of your systems have been checked, a courtesy technician will wash exterior windows and vacuum the interior floorboards.

As we said, the Jiffy Lube Signature Service Oil Change isn’t just an oil change, it is preventive maintenance to keep your vehicle running smoothly. We help get you in and out quickly so you can take back your day and Leave Worry Behind.

Download Jiffy Lube coupons and promotions: https://www.jiffylube.com/coupons

Watch more How-To videos in our Check and Change series: https://www.youtube.com/playlist?list=PL-5Ed_M7rD80-_oD5WZGmwETrN94kZFC_
Read our Tips In A Jiffy blog: https://www.jiffylube.com/resource-center/category/motor-oil

Follow Jiffy Lube on social media:
http://www.facebook.com/jiffylube 
http://www.twitter.com/jiffylube 

About Jiffy Lube:
Jiffy Lube pioneered the fast oil change industry in 1979 with the opening of the first service center. In fact, you can say we have a history of innovation and a mission to help our customers Leave Worry Behind. Learn more at https://www.jiffylube.com/about/history.

----Content In This Video----
0:00 - Jiffy Lube Signature Service Oil Change
0:22 - Inspections During An Oil Change
0:58 - Completing An Oil Change
1:19 - Additional Signature Services

#CheckAndChange, #CarMaintenance, #HowTo #DIY",22272804,,,PT1M48S
8,F8gCpuZOpWI,Autos & Vehicles,2,Jiffy Lube,One Place,2021-06-03T17:35:12Z,"Find Jiffy Lube locations near you: https://www.jiffylube.com/locations 

Download Jiffy Lube coupons and promotions: https://www.jiffylube.com/coupons

Follow Jiffy Lube on social media:
http://www.facebook.com/jiffylube 
http://www.twitter.com/jiffylube 

About Jiffy Lube:
Jiffy Lube pioneered the fast oil change industry in 1979 with the opening of the first service center. In fact, you can say we have a history of innovation and a mission to help our customers Leave Worry Behind. Learn more at https://www.jiffylube.com/about/history.",19152291,,,PT16S
9,zuNNH9ad2Ag,Autos & Vehicles,2,Truck Hero,Truck Hero - Accessories for Trucks. For Jeeps. For Life.,2020-10-26T20:04:10Z,"Trucks and Jeeps are an extension of who we are. Trucks are tools that allow us to work better, haul heavier, and play harder. Jeeps allow us to adventure greater, climb higher, and explore further.

At Truck Hero, we believe that your vehicle should enable you to live the kind of life you want to live. That’s why we’ve created truck and Jeep accessories that expand your vehicle’s utility, ensure its security, and heighten its performance. We don’t just tailor our products to your vehicle, we also customize them to fit your lifestyle. Whether it’s getting the groceries, getting to the job, or getting lost. 

Learn more: https://truck-hero.com/",17403816,135,7,PT2M12S
