,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,MxL8ahHQLro,Comedy,34,Kane Foster,Water bowl prank FAIL (Bucket Prank),2013-05-15T06:45:34Z,"I was in tears from laughter. 
This is certainly one of the greatest moments I have had, it's one of those times when you do a super NINJA move that you wish people saw... but THIS WAS RECORDED! 
This prank video is certainly a fail on Tom's part but I laugh each time I watch. :D 

Facebook: http://bit.ly/KaneFosterFacebook

Instagram: @Officialkanefoster

Snapchat: ImKaneFoster

Twitter: @KaneeFoster 

Tumblr: http://bit.ly/TumblrKaneFoster",808823,3751,199,PT57S
1,DzfD0aAzOis,Comedy,34,Kane Foster,Best Pilot Ever!,2014-03-17T09:06:09Z,"This could have been a plane fail but because of the best pilot ever it wasn't. The best pilot in the world in the worst place to be a pilot.
To be honest though it could have been a close call but in the end it's a funny airplane flight. 




Snapchat: ImKaneFoster
Instagram: @OfficialKaneFoster (Click Show More)


Where to find Kane;
Facebook: http://bit.ly/KaneFosterFacebook
Instagram: @Officialkanefoster
Snapchat: ImKaneFoster
Twitter: @KaneeFoster 
Tumblr: http://bit.ly/TumblrKaneFoster

Do not replicate this video without consent.
Embedding this video on your website is acceptable with credit to Kane Foster.

**To use this video in a commercial player or in broadcasts, please message me on my Kane Foster Fanpage, linked above**",447070,3403,197,PT14S
2,fVqOyXdDQTc,Comedy,34,Clisare,Shite Irish Mammies Say // Clisare,2013-02-25T01:57:47Z,"The long-awaited sequel. For the one year anniversary of Shite Irish Girls Say. Every Irish mother you ever meet will sound like this. 

Shite Irish Girls Say: https://www.youtube.com/watch?v=svB6PyPU8PU 
More Videos About Ireland & Being Irish: http://bit.ly/1ByQKI9 

Best of Clisare: http://bit.ly/1D327Wy 

SUBSCRIBE for weekly videos: http://www.youtube.com/Clisare 
Subscribe to my channel for video blogs of my life: http://www.youtube.com/clisarevlogs

***Social Links***

TWITTER! http://www.Twitter.com/Clisare

FACEBOOK: http://www.facebook.com/Clisare

INSTAGRAM: http://www.instagram.com/clisare

TUMBLR: http://www.clisare.tumblr.com

MERCH: http://www.clisare.spreadshirt.net (EU & US shops)

Snapchat: RealClisare 

Bookmark me so you never miss an upload! http://bit.ly/WwhqDa

***Want Clisare to come to your activity/event?***
Contact Clisare here: http://bitly.com/134JzrR

**Want to send Clisare something?** 💌SEND SOMETHING💌: https://bit.ly/ClisarePOBox",304177,3400,382,PT1M51S
3,U7QewBWvCxI,Comedy,34,Rajan on the Rocks,Will Salman Khan Marry This Crazy Fan? | S.T.F.U. 18 Pranks,2015-11-19T13:00:01Z,"Are you a crazy Sallu bhai fan? Then this one is for you! Check out how an ardent fan of Salman Khan is out on streets asking people to help him get married to Salman. The reactions will make you rofl.

Click The Below Link To SUBSCRIBE:
https://www.youtube.com/channel/UC1nKvoG4VcWwHg7TLfKibUA?sub_confirmation=1

For More Pranks By S.T.F.U.18 Click The Below Link:
https://www.youtube.com/playlist?list=PLy10nufobxoM9LAWFFAn_TSPyymXgZPuZ",262700,2669,117,PT3M52S
4,rpUkpMfMWtw,Comedy,34,SnG Comedy,SnG: BMC! You Screwed Me,2014-10-27T08:52:23Z,"A comical take on the BMC's inefficiency and the day to day problems faced by a common man. If you can relate to it then don't forget to LIKE, Share & Comment.

Don't forget to Comment & Share!!

Credits:
Director - Abhishek Kabli
DOP - Abhimanyu Dange
Editor: Rahul Lalchandani
Sound Production - Clinton Mascarenhas
Sound Recoring - Ankur Tiwari
Special thanks to Neil Gomes & Avinash Tiwari

Check out amazing Gandu T-Shirts on the links below:
http://voxpopclothing.com/voxpress/BG1
http://voxpopclothing.com/voxpress/BG2
http://voxpopclothing.com/voxpress/BG3

Click Here to watch our Weekly show Dope
http://goo.gl/qi5F7f
 
Follow us on Facebook: https://www.facebook.com/BollywoodGandu
Interact with us on Twitter: https://twitter.com/BollywoodGandu

Facebook : https://www.facebook.com/pages/Culture-Machine/1378019385761995
Website : http://www.culturemachines.com
For Show bookings, Events, Concerts, Festivals please write to pr@culturemachine.in 

Catch these guys live in December!""
http://bit.ly/OMLGN13 

Check out our new show IMPROV. Click Here to book your tickets
http://in.bookmyshow.com/events/Schitz-En-Giggles-Improv-/ET00018833",193539,3741,161,PT4M34S
5,he3eOURzyZs,Comedy,34,Hey Bro! TV,Petis Campur Segala | BDSM #2,2016-04-25T12:00:01Z,"""Aku gak biasa makan mayat, aku bukan Sumanto""

=======

Prof. Reza dan Madame Cella bereksperimen dengan makanan asal daerah Madame: PETIS !

=======

Featuring

Reza Chandika:
https://www.instagram.com/rezachandika/

Marcella Febrianne
https://www.instagram.com/cindercella/
https://www.youtube.com/cindercella",123223,1721,139,PT7M54S
6,9wBn1s_l2kE,Comedy,34,Clisare,What An Irish Girl's Fake Tan Means | Clisare Roisin Thora,2015-10-20T12:38:38Z,"In no other country in the world does a girl's fake tan tell you as much about her. 

Tweet this video: http://bit.ly/1RTQecg 
Subscribe to Roisin Thora: http://bit.ly/1GfUiTb
Watch our video on her channel here: https://www.youtube.com/watch?v=ZO5F1P4ly5I 

Add me on Snapchat - RealClisare
Management: Oran@CollectiveDigitalStudio.com
PO Box address below 

▼OPEN ▼
▔▔▔▔▔▔▔▔▔▔
SUBSCRIBE for weekly videos: http://www.youtube.com/Clisare 
Subscribe to my channel for video blogs of my life:  http://www.youtube.com/clisarevlogs 

Best of Clisare: http://bit.ly/1E5efJT 
Irish Bucket List videos: http://bit.ly/1voc4hh

I'm trying to make the #IrishBucketList into a guide book! Sign up here to express interest & help make it happen: http://bit.ly/1dK24rt

INVITES AND REQUESTS (Business Enquires Only)
▔▔▔▔▔▔▔▔▔▔▔▔
Management: Oran@CollectiveDigitalStudio.com
Contact me directly: Clisare@gmail.com


FOLLOW ME!
▔▔▔▔▔▔▔▔▔▔
★WEBSITE: http://www.clisare.com
★FACEBOOK: http://www.facebook.com/Clisare
★TWITTER: http://www.Twitter.com/Clisare
★INSTAGRAM: http://www.instagram.com/clisare
★VINE: https://vine.co/clisare
★SNAPCHAT:  realclisare
★SOUNDCLOUD: http://soundcloud.com/Clisare 


MERCH:
▔▔▔▔▔▔▔▔▔▔
US:https://shop.spreadshirt.com/Clisare
EU:  https://shop.spreadshirt.ie/Clisare/ 


PO BOX
▔▔▔▔▔▔▔▔▔▔
Clisare
PM751990
Parcel Motel
Unit C1, North City Business Park
North Road
Dublin 11
(I open all presents on camera on my second channel!) 


AFFILIATE LINKS
▔▔▔▔▔▔▔▔▔▔
 ❤ FITSNACK: www.fitsnack.com/Clisare 
 
The equipment I use: 
CAMERA: Canon 600D, Canon 60D, Nikon 
MIC: Rode VideoMic Pro
EDITING: Premiere Pro
INTRO BY: https://www.youtube.com/JamesMitchellTV 💌SEND SOMETHING💌: https://bit.ly/ClisarePOBox",33916,923,66,PT3M11S
7,bEd6qOaWAxE,Comedy,34,LeoFinke,Ey ihr Fotzen  Limbo  Scheisse,2008-12-19T06:57:20Z,Ey ihr Fotzen  Limbo  Scheisse,20055,22,2,PT10S
8,e4u_RLdsmww,Comedy,34,Nalupa,Major Boobage,2008-12-18T14:11:51Z,MAJOR BOOBAGE!,18110,18,7,PT1M17S
9,3tYpYpGfR60,Comedy,34,efrain arias,Institucional e historia MAS QUE VENCEDORES - PR. EMILIO AGUERO ESGAIB,2009-08-20T22:16:44Z,"Video institucional de la Iglesia Mas Que Vencedores de Asuncion Paraguay, Pastor Principal Emilio Daniel Aguero Esgaib.",5362,14,3,PT8M2S
