,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,1vnzNUP7Jbg,Documentary,35,dominic swinfield,Dry Heaving in plane,2008-01-31T00:09:23Z,Dry Heavy Admission in Ft Pierce airport in the back of a Piper Warrior 180. This guy count take my flying!!,5864,14,2,PT29S
1,HrwxFjh8cqA,Documentary,35,Maximo Gwendolyn,Secrets Of Royal Travel Ep 1: Royal Train - British Documentary,2022-01-14T17:00:32Z,"Secrets Of Royal Travel Ep 1: Royal Train - British Documentary

Secrets Of Royal Travel Ep 1: Royal Train - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#RoyalTravel #RoyalTrips #SecretTrips",5441,29,1,PT47M23S
2,K9JIvlTNsMc,Documentary,35,Maximo Gwendolyn,Tales Of Princess Margaret - Rebel Without A Crown - British Documentary,2022-01-15T17:00:12Z,"Tales Of Princess Margaret - Rebel Without A Crown - British Documentary

Tales Of Princess Margaret - Rebel Without A Crown - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#PrincessMargaret #BritishDocumentary #RoyalScandal",4714,79,5,PT1H9M16S
3,uApyf3ysv3A,Documentary,35,Maximo Gwendolyn,Last Summer Of Princess Diana - British Documentary,2022-01-16T15:00:14Z,"Last Summer Of Princess Diana - British Documentary

Last Summer Of Princess Diana - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#PrinceCharles #PrincessDiana #BritishDocumentary",2612,4,1,PT47M50S
4,OCMI_CUTtS4,Documentary,35,Maximo Gwendolyn,Royal Scandal Series - Fergie & Andrew - The Duke & Duchess Of Disaster - British Documentary,2022-01-05T19:00:25Z,"Royal Scandal Series - Fergie & Andrew - The Duke & Duchess Of Disaster - British Documentary

Royal Scandal Series - Fergie & Andrew - The Duke & Duchess Of Disaster - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#RoyalScandal #SarahFerguson #PrinceAndrew",1678,0,0,PT1H4M38S
5,GFKB6yqQ60M,Documentary,35,Maximo Gwendolyn,Secrets Of Royal Travel Ep2: Royal Flight - British Documentary,2022-01-14T19:00:13Z,"Secrets Of Royal Travel Ep2: Royal Flight - British Documentary

Secrets Of Royal Travel Ep2: Royal Flight - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#RoyalSecret #RoyalTravel #RoyalFlight",1546,7,1,PT45M51S
6,_ri4Rjz_5Xw,Documentary,35,Maximo Gwendolyn,Prince Albert: The Power Behind Victoria - UK Royal Documentary,2022-01-19T19:00:12Z,"Prince Albert: The Power Behind Victoria - UK Royal Documentary

Prince Albert: The Power Behind Victoria - UK Royal Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#Royal #UK #Meghan #PrinceHarry #TheQueen #Queen #MeghanMarkle #Wedding #anniversary #Diana #PrinceWilliam #Kate #PrinceCharles #Archie #Phillips",1433,1,0,PT1H32M16S
7,jTCK-gNe-m4,Documentary,35,Maximo Gwendolyn,Royal Scandal Series - Diana: 7 Days That Shook The World - British Documentary,2022-01-06T17:00:14Z,"Royal Scandal Series - Diana: 7 Days That Shook The World - British Documentary

Royal Scandal Series - Diana: 7 Days That Shook The World - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#Royal #PrincessDiana",1257,0,0,PT1H23M51S
8,-uRw0yFWFQI,Documentary,35,Maximo Gwendolyn,The Fierce Royal Battle: The Markles vs The Monarchy - British Documentary,2022-01-06T15:00:09Z,"The Fierce Royal Battle: The Markles vs The Monarchy - British Documentary

The Fierce Royal Battle: The Markles vs The Monarchy - British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#RoyalFamily #TheMarkles",1110,0,0,PT1H11M11S
9,gzc2H8PgERg,Documentary,35,Maximo Gwendolyn,"Royal Secret Series - King Henry VIII: Man, Monarch, Or A Monster? British Documentary",2022-01-04T19:00:11Z,"Royal Secret Series - King Henry VIII: Man, Monarch, Or A Monster? British Documentary

Royal Secret Series - King Henry VIII: Man, Monarch, Or A Monster? British Documentary
👉👉 Please subscribe my channel: 
See more videos: 

Thanks for watching!!!!!
#RoyalSecret #KingHenryVIII",892,0,0,PT2H4M54S
