,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,OtCbzWXZ9VA,Education,27,Make Calbe Laugh,Learning Street Vehicles Names and Sounds for kids with tomica 2015 Cars and Trucks,2015-06-12T09:03:36Z,"Teaching Transportation Vehicles Names and Sounds to kids with tomica 2015 lego kinder airplane. This video covers most common vehicles including car, bicycle, motorcycle, train, double decker bus, bus, tour bus, school bus, police car, fire truck, ambulance, airplane, helicopter, truck, limousine and ship.

Kids can learn the names and also recognize the sounds of each vehicles they see on the street every day. It is simple and fun!

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos:
Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo

Learning Vehicles Colors for kids with tomica 2015 Cars and Trucks Lego
https://www.youtube.com/watch?v=QDPqW2oHT-A

Learn names of fruits by Velcro fruits Toy Cutting Plastic
https://www.youtube.com/watch?v=ynrWSRrLHMo

Velcro Food Slicing Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=pkOHbfzLmdI

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 1 
https://www.youtube.com/watch?v=kOF3tRXt1cQ

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 2
https://www.youtube.com/watch?v=yp7xbxDYi2g

How to make a melting Popsicle with Play-Doh 
https://www.youtube.com/watch?v=0ExWEdiIuOU

Velcro Vegetable Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=MVD9P13eDz4

Unboxing Play-Doh Picnic Food Buckets for kids learning 
https://www.youtube.com/watch?v=Uw3FxHzht8E

Velcro Food Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=wWZ49PjZDFM

Unboxing M&M's Easter Special chocolate egg and learn colors, 1, 2, 3, shapes 
https://www.youtube.com/watch?v=rtQjCrMEbqc",168044798,98712,0,PT3M6S
1,wuZC_KLnZbA,Education,27,Make Calbe Laugh,Street Vehicles Names and Sounds Collection 2 for kids with tomica,2015-08-18T18:13:52Z,"Teaching different common vehicles Names and Sounds to kids with tomica 2015 lego siku minion. This video covers common vehicles including unicycle,bicycle,tricycle,skateboard,segway,baby stroller,taxi,jeep,cabriolet,caravan,tram,bullet train,metro,sailboat, boat,dinghy,ferry, speed boat,submarine,hot air balloon,blimp,space shuttle,parachute.

Kids can learn the names and also recognize the sounds of each vehicles they see on the street or books every day. It is simple and fun!

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos:
Learn Sizes from Smallest to Biggest for kids with tomica 2015 hamburger car 
https://www.youtube.com/watch?v=DuEcvK99owI

Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo

Learning Vehicles Colors for kids with tomica 2015 Cars and Trucks Lego
https://www.youtube.com/watch?v=QDPqW2oHT-A

Learning Street Vehicles Names and Sounds for kids with tomica 2015 Cars and Trucks
https://www.youtube.com/watch?v=OtCbzWXZ9VA

Learn names of fruits by Velcro fruits Toy Cutting Plastic
https://www.youtube.com/watch?v=ynrWSRrLHMo

Velcro Food Slicing Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=pkOHbfzLmdI

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 1 
https://www.youtube.com/watch?v=kOF3tRXt1cQ

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 2
https://www.youtube.com/watch?v=yp7xbxDYi2g

How to make a melting Popsicle with Play-Doh 
https://www.youtube.com/watch?v=0ExWEdiIuOU

Velcro Vegetable Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=MVD9P13eDz4

Unboxing Play-Doh Picnic Food Buckets for kids learning 
https://www.youtube.com/watch?v=Uw3FxHzht8E

Velcro Food Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=wWZ49PjZDFM

Unboxing M&M's Easter Special chocolate egg and learn colors, 1, 2, 3, shapes 
https://www.youtube.com/watch?v=rtQjCrMEbqc",81228669,58363,0,PT4M33S
2,DuEcvK99owI,Education,27,Make Calbe Laugh,Learn Sizes from Smallest to Biggest for kids with tomica hamburger car,2015-07-31T16:27:54Z,"Calbe loves burger when he reaches 3 years old. I made this video to teach him different sizes from Smallest, Small, Big, Bigger, and Biggest with tomica hamburger car, hamburger eraser, wind up burger toy, velcro hamburger and real hamburger. It is simple, straight forward and fun!

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos:
Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo

Learning Vehicles Colors for kids with tomica 2015 Cars and Trucks Lego
https://www.youtube.com/watch?v=QDPqW2oHT-A

Learning Street Vehicles Names and Sounds for kids with tomica 2015 Cars and Trucks
https://www.youtube.com/watch?v=OtCbzWXZ9VA

Learn names of fruits by Velcro fruits Toy Cutting Plastic
https://www.youtube.com/watch?v=ynrWSRrLHMo

Velcro Food Slicing Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=pkOHbfzLmdI

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 1 
https://www.youtube.com/watch?v=kOF3tRXt1cQ

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 2
https://www.youtube.com/watch?v=yp7xbxDYi2g

How to make a melting Popsicle with Play-Doh 
https://www.youtube.com/watch?v=0ExWEdiIuOU

Velcro Vegetable Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=MVD9P13eDz4

Unboxing Play-Doh Picnic Food Buckets for kids learning 
https://www.youtube.com/watch?v=Uw3FxHzht8E

Velcro Food Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=wWZ49PjZDFM

Unboxing M&M's Easter Special chocolate egg and learn colors, 1, 2, 3, shapes 
https://www.youtube.com/watch?v=rtQjCrMEbqc",58025331,33662,0,PT1M41S
3,_gkhaWmMIv4,Education,27,Make Calbe Laugh,Street Vehicles Toys Collection for kids with tomica siku lego Cars and Trucks,2018-07-22T13:41:35Z,"My son exchanges toys with his friends, this is another collection which covers most common vehicles including bicycle, motorbike, train, double decker bus, bus, tour bus, school bus, police car, fire truck, ambulance, airplane, helicopter, truck, limousine ,ship and bendy bus.

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos, please see our playlist here!
https://www.youtube.com/watch?v=OtCbzWXZ9VA&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

For more of our videos:
Learning Farm Vehicles Names for kids with siku 
https://www.youtube.com/watch?v=GxbnJxbbcx8&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=1

Learning Special Food Trucks and more and how to order food for kids with tomica 2015 hotwheel 
https://www.youtube.com/watch?v=_rT5coSnngI&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Velcro Food Toy Cutting Pancake Croissant Plastic Cooking Playset for teaching children 
https://www.youtube.com/watch?v=eCp9_TQPPwY&index=28&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

Learning Construction Vehicles Names for kids with tomica 2015 siku lego 
https://www.youtube.com/watch?v=dKWOiiWywPE&index=2&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning Special Street Vehicles Names and Sounds and more for kids with tomica 2015 siku lego 
https://www.youtube.com/watch?v=ZOOw2qxooYI&index=1&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning letters with Street Vehicles for kids with tomica 2015 siku (Upper Case) 
https://www.youtube.com/watch?v=34poUTlbwao&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=3

Learning Special Street Vehicles Names and Sounds and more for kids with tomica 2015 siku 
https://www.youtube.com/watch?v=pnUtGVu0wow&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=7

Learning how to mix colors for kids with tayo hello kitty 
https://www.youtube.com/watch?v=4hRvLpWpsY4&index=8&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 100 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=_-R5juNrhWw&index=4&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 20 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=ah7Spvr2zA8&index=11&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning opposites for kids with street vehicles tomica 2015 
https://www.youtube.com/watch?v=08PCum-P2Gk&index=10&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning Street Vehicles Names and Sounds and more for kids with tomica 
https://www.youtube.com/watch?v=wuZC_KLnZbA&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=5

Learn Sizes from Smallest to Biggest for kids with tomica 2015 hamburger car 
https://www.youtube.com/watch?v=DuEcvK99owI&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=12

Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=15

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=14

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=13

Learning Vehicles Colors for kids with tomica 2015 Cars and Trucks Lego
https://www.youtube.com/watch?v=QDPqW2oHT-A&index=6&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning Street Vehicles Names and Sounds for kids with tomica 2015 Cars and Trucks
https://www.youtube.com/watch?v=OtCbzWXZ9VA&index=9&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learn names of fruits by Velcro fruits Toy Cutting Plastic
https://www.youtube.com/watch?v=b6gnxgerBiw&index=17&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

Velcro Food Slicing Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=pkOHbfzLmdI&index=16&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 1 
https://www.youtube.com/watch?v=kOF3tRXt1cQ&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=20",54211454,45818,0,PT7M20S
4,4l8bs_fU78w,Education,27,Happy Fish Swim School,Baby Swimming: Happy Fish Swim School,2014-07-24T08:27:52Z,"Baby swimming is something new to many parents in Singapore. The trend is growing and more people are receptive to the idea of letting babies to swim in recent years.

Baby swimming lesson is designed for babies from 4 months to 2 years old. Babies will learn how to enter water safely, hold their breath when they go underwater, turn and propel themselves to the side of the pool and finally get out of the pool safely. 

Besides, research shows early swimming helps baby in growing sense of self-esteem, confidence and independence. Swimming also provides very good stimulation to baby brain development.

Again, please do not attempt without proper swimming lessons
http://www.swimminglessons.com.sg/infantaquatics.htm
http://www.facebook.com/happyfishswimschool

LIKE AND SUBSCRIBE TO US!
#happyfishswimschool",44341640,53392,,PT2M9S
5,yp7xbxDYi2g,Education,27,Make Calbe Laugh,Velcro Fruit Toy Cutting Plastic Playset for teaching fruits to children 2,2015-05-09T04:06:53Z,"Interesting velcro fruit toy cutting kitchen cooking plastic (not wooden) playset. Thinking how to teach preschoolers about fruits?
This video is teaching preschoolers about fruits which include orange, watermelon, persimmon, mango, pomegranate and cantaloupe.
These colorful velcro toys playset is educational and fun for toddlers and young children to play. Children can learn fruits, and also learn how to separate the pieces apart and put them together as well.

The velcro toys playset we bought was affordable. My boy has been playing with these almost everyday. He can identify most of the fruit we have shown on the video, eg. like apple, orange, guava now. We are really happy he's learning a bit by bit everyday.

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos:
How to make a melting Popsicle with Play-Doh 
https://www.youtube.com/watch?v=0ExWEdiIuOU

Velcro Vegetable Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=MVD9P13eDz4

Unboxing Play-Doh Picnic Food Buckets for kids learning 
https://www.youtube.com/watch?v=Uw3FxHzht8E

Velcro Food Toy Cutting Kitchen Cooking Plastic Playset 
https://www.youtube.com/watch?v=wWZ49PjZDFM

Velcro Fruit Toy Cutting Kitchen Cooking Plastic Playset 1 
https://www.youtube.com/watch?v=kOF3tRXt1cQ

unboxing M&M's Easter Special chocolate egg and learn colors, 1, 2, 3, shapes 
https://www.youtube.com/watch?v=rtQjCrMEbqc",40160213,4791,0,PT1M47S
6,GTsCQfw-qps,Education,27,Alice,Bath Song | Nursery Rhymes & Kids Songs,2019-04-15T15:30:44Z,"Bath Song - Nursery Rhyme | Sweet Songs for Kids

Subscribe and watch new videos every week!

Enjoy our playlist:
https://www.youtube.com/watch?v=Z-GO1yMIMJQ&list=PLBAFHbyer9CSXnm0RxI0kIObibXIrKqmI

Lyrics:


About us:
Sweet song is a useful educational and entertaining channel for kids and their parents. Through the Beautiful 3D animation, educational texts and wonderful children's music, our videos give the opportunity for kids to learn colors, letters, numbers, animals and much more.

Our goal is to learn kids in a fun and enjoyable way. We help families  who want to see the safe, educational, quality content for their kids. We give the opportunity to learn and play with children to sing and dance together, to enjoy learning.

We love what we do for you!
Thanks all families  for spending  time with us. 

Your Sweet Song

Content Media Group FZE LLC
All rights reserved",39209883,103662,,PT2M45S
7,77IK9T45kiU,Education,27,ZAmericanEnglish,تعلم اللغة الإنجليزية من الصفر للمبتدئين بأفضل طريقة من أكبر قناة في العالم,2017-12-22T10:39:06Z,"تعلم اللغة الإنجليزية من الصفر للمبتدئين بأفضل طريقة من أكبر قناة في العالم
كورس شامل لتعلم اللغة الانجليزية من الصفر للمبتدئين كورس كامل من البداية الى الاحتراف : الحلقة 1
حمل التطبيق على اندرويد من هنا: 
http://bit.ly/zAmericanEnglish
Support us:  دعم القناة ماديا على باتريون
https://www.patreon.com/zamericanenglish


 لمعرفة كيفية مشاهدة الحلقات بالترتيب وايضا كيفية مذاكرة كل نوع من انواع الكورسات - شاهد هذا الفيديو
https://youtu.be/9cDYq1cun8o

✏️📖 هذه خطة الدراسة على القناة بالترتيب لمن اراد اتباع نفس الخطوات ✏️📖

١- إبدأ بكورس تعلم اللغة الانجلزية من الصفر بالتوازي مع كورس تعلم القراءة - حلقة من هنا وحلقة من هنا

بالاضافة الى كورس الصوتيات

كورس شامل لتعلم اللغة الانجليزية من الصفر بالترتيب هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmIFAnru_L7fnMhSV5YffLTZ

كورس شامل لتعلم القراءة في اللغة الانجليزية  بالترتيب هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmI4PahZ0eyFjcihT7_VAs79

كورس شامل لتعلم وشرح الصوتيات في اللغة الانجليزية بالترتيب هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmIiXGqtQMrfE_tzmqE6r7Tc


٢- بعد ذلك انتقل الى كورس تقوية مهارة الاستماع بالتوازي مع كورس المحادثة

كورس شامل لتقوية مهارة الاستماع في اللغة الانجليزية بالترتيب من هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmKGwdQda1LVJxE1p7BZYNgJ

كورس شامل لتعلم المحادثة باللغة الانجليزية بالترتيب من هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmKp2aC7PI7K0POsf812xLBN


٣- لا تنسى ان تدرس حلقة واحده من كورس القواعد يوميا بالترتيب الموجود على القناة - لا تكتب اي شيئ في القواعد

ولا تتعمق فيها - فقط ركز في الحلقة - افهم القاعده - اجعلها منطقية في عقلك - ثم اليوم التالي انتقل للتى تليها - بعد انهائهم - اعد من الاول بنفس الطريقة

كورس قواعد اللغة الانجليزية بالترتيب من هنا

https://www.youtube.com/playlist?list=PLp22-4PivYmLebd3vD0_WfIteVUlSA44G


٤- بعد هذا تكون جاهز للانتقال الى كورسات المستوى الثاني على القناة.

 تابعنا على

facebook  فيس بوك 
https://www.facebook.com/zamericanenglish

Twitter  تويتر 
https://twitter.com/ZAmericanEnglis

Instagram  انستجرام 
https://www.instagram.com/zamericanenglish/

مشاهدة الحلقات بالترتيب وطريقة مذاكرة كل كورس
https://www.youtube.com/watch?v=9cDYq1cun8o

كورس شامل لتعلم اللغة الانجليزية من الصفر , كورس شامل لتعلم اللغة الانجليزية من البداية بالصوت والصورة - افضل كورس لتعلم اللغة الانجليزية - تعلم اللغة الانجليزية للمبتدئين

-~-~~-~~~-~~-~-
Please watch: ""الاكسنت - اللهجة مهمة ام لا - بالدليل القاطع و بدون مجاملة"" 
https://www.youtube.com/watch?v=TSML870wXag
-~-~~-~~~-~~-~-",33816379,1264566,34952,PT8M36S
8,ZOOw2qxooYI,Education,27,Make Calbe Laugh,Tomica and Siku Interesting Cars Toys for kids,2015-10-23T19:43:39Z,"Tomica and Siku Interesting Cars Toys for kids covers special vehicles that kids seldom see which include car carrier, fuel tanker truck, courier delivery truck, racing car, logging truck, solar car, forklift, snowmobile, advertising truck, broadcasting truck, noodle truck, fruit truck, ice-cream truck.

Kids can learn the names and also recognize the sounds of each vehicles they seldom see on the street or books in this video. It is simple and fun!

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos, please see our playlist here!
https://www.youtube.com/watch?v=OtCbzWXZ9VA&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

For more of our videos:
Learning letters with Street Vehicles for kids with tomica 2015 siku (Upper Case) 
https://www.youtube.com/watch?v=34poUTlbwao&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=3

Learning Special Street Vehicles Names and Sounds and more for kids with tomica 2015 siku 
https://www.youtube.com/watch?v=pnUtGVu0wow&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=7

Learning how to mix colors for kids with tayo hello kitty 
https://www.youtube.com/watch?v=4hRvLpWpsY4&index=8&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 100 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=_-R5juNrhWw&index=4&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 20 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=ah7Spvr2zA8&index=11&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning opposites for kids with street vehicles tomica 2015 
https://www.youtube.com/watch?v=08PCum-P2Gk&index=10&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning Street Vehicles Names and Sounds and more for kids with tomica 
https://www.youtube.com/watch?v=wuZC_KLnZbA&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=5

Learn Sizes from Smallest to Biggest for kids with tomica 2015 hamburger car 
https://www.youtube.com/watch?v=DuEcvK99owI&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=12

Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=15

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=14

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=13",31354752,17167,0,PT2M49S
9,730IviKcE9c,Education,27,Talking Toyss,Different Bus Types Reviews with tomica トミカ siku,2019-06-21T11:00:00Z,"Different Types of Buses with tomica トミカ siku are shown. You will find single decker bus, double decker bus, triple decker bus, articulated bus, tour bus, cat bus, poice bus, minibus, open-top sightseeing bus, amphibious Bus in this video.

Hope you enjoy our video, pls subscribe, leave comments and check out TalkingToyss channel!

VooV ブーブ 変身 Transform street vehicles for kids with Street Vehicles and robot 
https://www.youtube.com/watch?v=ypKEa5v67jo&list=PLzmOp0GMcnLWOLTbZX_cUvWdh6fqRcfJj

Learning street vehicles and construction vehicles for kids with VooV ブーブ 変身 vehicles
http://www.youtube.com/watch?v=yX-QWSMoIIA&list=PLzmOp0GMcnLVNTJOVKUDsqCheROgANfwL&index=2

Teaching fruit to children with Surprise Velcro Fruit Toy Cutting Playset and Gashapon machines
http://www.youtube.com/watch?v=nPWezGB-FH4&list=PLzmOp0GMcnLUrbzi4j_uQz8rdc-hibN8n

Learning Long and Short for kids with tomica トミカ VooV ブーブ 変身 vehicles siku
http://www.youtube.com/watch?v=4bHQ44_04L8&list=PLzmOp0GMcnLXf0AvJNn7v4Au527L-imPa&index=2

Learning Street Vehicles Names and Sounds for kids with VooV ブーブ 変身 Transform vehicles
http://www.youtube.com/watch?v=1LcedUHmy0U&list=PLzmOp0GMcnLXf0AvJNn7v4Au527L-imPa&index=2

Learning Street Vehicles Names and Sounds for kids with Tayo the little bus 타요 꼬마버스 타요 중앙차고지 
https://www.youtube.com/watch?v=LUmzLTsGT_I&list=PLzmOp0GMcnLXf0AvJNn7v4Au527L-imPa

Learning Street Vehicles Names for kids with tomica siku lego 
https://www.youtube.com/watch?v=CYPQ-sChYEk&list=PLzmOp0GMcnLXf0AvJNn7v4Au527L-imPa

VooV ブーブ 変身 Transform street vehicles for kids with Cars and Building 3 
https://www.youtube.com/watch?v=BNt2kfihtUE&index=4&list=PLzmOp0GMcnLVNTJOVKUDsqCheROgANfwL

VooV ブーブ 変身 Transform street vehicles for kids with Street Vehicles and Buildings 2 
https://www.youtube.com/watch?v=WLTPz34rV5c&list=PLzmOp0GMcnLVNTJOVKUDsqCheROgANfwL

VooV ブーブ 変身 Transform street vehicles for kids with Cars and Buildings 
https://www.youtube.com/watch?v=At2Z-CiKBYs&list=PLzmOp0GMcnLVNTJOVKUDsqCheROgANfwL&index=2

Robot toys Choro-Q TRANSFORMERS チョロQ・トランスフォーマー for kids with Q Transformer 2 
https://www.youtube.com/watch?v=P2OuvqBegmc&list=PLzmOp0GMcnLVNTJOVKUDsqCheROgANfwL&index=4

Acoustic Guitar 1 by Audionautix is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Artist: http://audionautix.com/

Italian Afternoon by Twin Musicom is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Artist: http://www.twinmusicom.org/

Mountain Sun by Audionautix is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Artist: http://audionautix.com/

Thingamajig by Audionautix is licensed under a Creative Commons Attribution licence (https://creativecommons.org/licenses/by/4.0/)
Artist: http://audionautix.com/

Bounce Ball by Twin Musicom is licensed under a Creative Commons Attribution license

Redwood Highway by Audionautix is licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Artist: http://audionautix.com/",30981143,82794,0,PT6M37S
