,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,M7aRpgD2fR4,Entertainment,24,ANSONBEAN,INDUSTRY BABY (ft. Squid Game) Performance MV | ANSONBEAN,2021-10-29T04:00:10Z,"Song:
Industry Baby by Lil Nas X (ft. Jack Harlow)

Film and Editor:
Lewis Lau @lewis.lau

Choreographer and Director:
Jervin Racan @jervinracan

Dancers:
Jervin Racan @jervinracan
LapYin Cjheung @cheunglapyin 
Carlos Mendoza @calo_mendoza
Ar Yeung @aryeung0629
Rocky Shing @rockyshing
Jeff Cheung @jeff_cheungggg

Music Team:
Eugene Yip @eugenegenegene
Joebe Au @joebe_au 

Gaffer:
Laukit

Bestboy:
Roy Wong

Camera Assistant:
Tommy Li
Andrew Ng

Production Manager: 
Genius Lee

Photographer:
Henry Chan

Hair:
Alex So @ The Attic

Make-Up:
Jenny Shih
Heisan Hung

Styling:
Matthew Chan

Wardrobe:
Dunhill
Vans
Ralph Lauren

Special Starring:
Timothy Kong

Special Thanks:
Department & Co @dept.co.hk
UNIKDANZ HK @unikdanz

#IndustryBaby #LilNasX #SquidGame

Ignore These Extra Hashtags...
#lilnasx #jackharlow #lilnasxdance #dance #dancecover #dancehk #hkdance #hkdancer #dancevideo #choreography #hkig #hk #hkboy #cover #pop #hiphop #dancechallenge #squidgame #squidgamedance #jackharlowdance #industrybabydance #ANSONBEAN #industrybabycover #industrybabyremix",60784243,321669,5655,PT3M24S
1,Spu6OlAZHUo,Entertainment,24,World Dodgeball Federation,Canada vs USA - Men's Final | Dodgeball World Championship 2014 | 2nd Half,2014-06-15T23:54:03Z,"Watch the second half of Canada vs USA in the men's final of the 2014 Dodgeball World Championship.

www.worlddodgeballfederation.com
www.usadodgeball.com
www.dodgeballcanada.org",48139920,285160,15831,PT23M26S
2,7KW8xB69CRQ,Entertainment,24,rudakov_twins,Can you catch the ball with your head?⚽️🎾#football #soccer #footballgame #sports #boy,2023-06-10T09:24:26Z,,37716216,840623,702,PT24S
3,2X8QdNZjsaw,Entertainment,24,Nathan Collins,Just Go In 🤯 Tic Tac Toe Ball Toss 🏆,2023-06-05T13:00:04Z,"After playing Ping Pong Tic-Tac-Toe I came up with this new family game. Ball Toss Tic-Tac-Toe is full of skill and a lot of luck. 

Here is a list of the items for Ball Toss Tic-Tac-Toe:

Tic-Tac-Toe Board: https://amzn.to/45ykXYU
Plastic Ball: https://amzn.to/3qiT5HW
Ping Pong Balls: https://amzn.to/43xwcPh

#familygamenight #familygametime #partygames #competition #game #family #familyfun #TicTacToe #balltoss #familyfriendly 

As an Amazon Associate, I earn from qualifying purchases.",24934674,800187,1413,PT56S
4,dKWOiiWywPE,Entertainment,24,Make Calbe Laugh,Tomica Siku Lego Construction Vehicles Collection,2015-11-04T16:21:25Z,"Tomica Siku Lego Construction Vehicles Collection covers Construction Vehicles that kids may see which include road roller, excavator with jackhammer, excavator, excavator with magnet, concrete mixer, crane, dump truck, loader, bulldozer, mining truck

Kids can learn the names of each Construction vehicles they may see on the street or books in this video. It is simple and fun!

If you want to see more videos:
- please SUBSCRIBE makecalbelaugh!
https://www.youtube.com/channel/UCFTZxTcLJy_sycjzkN0uECA
- LIKE this video!
- SHARE it with friends on Facebook, Google+, Pinterest, etc.

If you want to see more behind the scene:
- website http://www.makecalbelaugh.com
- facebook https://www.facebook.com/Makecalbelaugh-1583639575208147/timeline/?ref=hl
- twitter https://twitter.com/MakeCalbeLaugh
THANK YOU !

For more of our videos, please see our playlist here!
https://www.youtube.com/watch?v=OtCbzWXZ9VA&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr

For more of our videos:
Learning Special Street Vehicles Names and Sounds and more for kids with tomica 2015 siku lego 
https://www.youtube.com/watch?v=ZOOw2qxooYI&index=1&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning letters with Street Vehicles for kids with tomica 2015 siku (Upper Case) 
https://www.youtube.com/watch?v=34poUTlbwao&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=3

Learning Special Street Vehicles Names and Sounds and more for kids with tomica 2015 siku 
https://www.youtube.com/watch?v=pnUtGVu0wow&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=7

Learning how to mix colors for kids with tayo hello kitty 
https://www.youtube.com/watch?v=4hRvLpWpsY4&index=8&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 100 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=_-R5juNrhWw&index=4&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

learn to count numbers 1 to 20 for kids with street vehicles tomica 
https://www.youtube.com/watch?v=ah7Spvr2zA8&index=11&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning opposites for kids with street vehicles tomica 2015 
https://www.youtube.com/watch?v=08PCum-P2Gk&index=10&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH

Learning Street Vehicles Names and Sounds and more for kids with tomica 
https://www.youtube.com/watch?v=wuZC_KLnZbA&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=5

Learn Sizes from Smallest to Biggest for kids with tomica 2015 hamburger car 
https://www.youtube.com/watch?v=DuEcvK99owI&list=PLTf2l8dfSCOI3GSY88-aGJytpoBbB23QH&index=12

Learn Animals Song for kid  (learn A to Z animals)
https://www.youtube.com/watch?v=ClnykPhwSDg&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=15

Learn names of vegetable by Velcro vegetable Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=44XzWz4cCwk&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=14

Learn names of fruits by Velcro fruits Toy Cutting Plastic Cooking Playset
https://www.youtube.com/watch?v=ynrWSRrLHMo&list=PLTf2l8dfSCOLChNebiUZYzrDGIJWQFiDr&index=13",17277443,6455,0,PT3M8S
5,3heA4RO5nT8,Entertainment,24,Moose Top TV Commercials,"Magic Mixies Mixlings | Magic Wand Reveals Magic Power | 15"" TVC",2022-05-30T22:49:56Z,"Available NOW at Walmart!

Experience REAL MAGIC with the Magic Mixies Mixlings, a cute new breed of Magic Mixies that are waiting to be created by you! Each Mixling belongs to a team with different magical powers – just use the included Magic Wand to reveal their Powers!  With over 40 little Mixlings to create and collect, there is so much enchantment in store and magical friends to adore!

Discover a whole new world and join Sienna and the Mixlings on a magical journey. Watch now: https://www.youtube.com/playlist?list=PL8YwhFVcM6M767q6DjEfhkNJti1wxJV5c 


https://magicmixies.com/ 
https://www.moosetoys.com/  

© 2021 The Moose Group

#MagicMixies #MagicMixiesMixlings #MagicusMixus #Toys #MooseToys",16938903,54,,PT16S
6,enXU2AWLhR8,Entertainment,24,Karaoketutor AGT Celine's Father - Vocal Coach,Daughter and Father Duet Top of The World | Celine Tam | Vocal Coach | 學唱歌,2016-09-19T06:08:58Z,"#celinetam #agtauditions #vocalcoach 

More Celine and Daddy Duet Song
Celine, Daughter and Father Duet Can You Feel The Love Tonight 
https://youtu.be/h8Mz2sqET0I
 
Watch Celine & Daddy's Music Videos, Please Support with Like, Share and Comment.
https://youtube.com/playlist?list=PL5B5DTouE16C-7yW0Kzb5SUmIXbyJFssh

Watch Dion & Daddy's Music Videos, Please Support with Like, Share and Comment.
https://www.youtube.com/watch?v=Xpg_ctU9hY4&list=PL5B5DTouE16BjYLbnc2FzQo4XUjl0t4gj

Watch Dion's Music Videos, Please Support Like, Share and Comment.
https://youtube.com/playlist?list=PL5B5DTouE16AXzW-XFxWvtW3PPbvkZeVg

Subscribe 
Youtube KaraokeTutor: https://www.youtube.com/user/karaoketutor
YouTube SAYMusic: https://www.youtube.com/user/singandyou
Youtube CelineTam:https://www.youtube.com/celinetamofficial
Patreon: https://www.patreon.com/vocalcoachstevetam

How AGT Celine Sing & Build Up Confidence 如何用唱歌建立信心
https://youtu.be/XHh3HQRoKAQ

Book Online Singing Class 預約線上唱歌課 by Steve Tam (AGT Celine Tam's Father)
https://www.singandyou.com/book-a-trial-class
Whatapps +852 96048548
Wechat: singandyoumusic

Watch Celine's Father's Vocal Coaching and Singing Lessons Online, Please Support with Like, Share, and Comment. 
https://youtube.com/playlist?list=PL5B5DTouE16Dgd_xZZeOuy6C2EoGy4Vln

Watch Celine & Dion, and Daddy Vlog, Please Support with Like, Share and Comment. 
https://youtube.com/playlist?list=PL5B5DTouE16ArJZ9kIuwrPmfSTem8uNg1

Watch Steve Tam Online Vocal Lessons Online, Please Support with Like, Share and Comment.
https://youtube.com/playlist?list=PL5B5DTouE16DUNOydblgHbwbRQc878Fy6

Kids Singing and Music Video on Social Media:
YouTube- https://www.youtube.com/user/singandyou
Instagram- https://instagram.com/vocalcoach_singandyou?r=nametag
Facebook- https://www.facebook.com/singandyou/?...
Twitter- https://twitter.com/singandyou
youku: https://i.youku.com/u/UNTQzOTE2MTY0?sp
weibo: https://weibo.com/u/5537288678
wechat: singandyoumusic
Tiktok: https://v.douyin.com/Nxyd3sP/

Wanna join AGT Celine's Father, Vocal Coach Steve Tam's Special Vocal Workshop?
希望有機會參加AGT Celine爸爸-著名聲樂教練Steve Tam的特別流行曲精英班嗎？
https://www.singandyou.com/copy-of-contact-us-%E9%A0%90%E7%B4%84

Learn to Sing online - Whether you are in Hong Kong, the Mainland, or overseas, and stay at home, you can now enjoy AGT Celine Tam's Father's Vocal Coach, Steve Tam’s online singing lessons. 
Celine Daddy Steve Tam 譚芷昀爸爸(唱歌老師)在線學唱歌 無論你在香港，內地或海外，安在家中，現在可以享受Celine 爸爸的唱歌教學

Advance Tailor-Make Singing Course (Online/Classroom) 
高級定制課程（在線/教室）歌唱課
https://www.singandyou.com/copy-of-contact-us-%E9%A0%90%E7%B4%84

Online Singing Class Video For Reference:
在線唱歌課視頻供參考：:
https://youtube.com/playlist?list=PL5B5DTouE16Dgd_xZZeOuy6C2EoGy4Vln

Commercial & Oversea Business Partnership:
Dr. Steve Master Class in Your City or in Your Company
商業和海外商業夥伴關係：
Steve Tam在您所在城市或公司的大師班
https://www.singandyou.com/vocal-corporate-training

Watch Steve's Students' Online Vocal Lessons
https://www.youtube.com/watch?v=ILjE5Cd1Ueo&list=PLlCqwzn_zlpow-OMPs_zN163FEI6HKk6G

Steve Vocal Coaching Student Testimonials 下課後的學生&家長心聲
https://www.singandyou.com/parent-testimonials

Steve Tam Duet & Solo Singing Music Video list:
https://www.youtube.com/watch?v=8i7eVbRpmIg&list=PL5B5DTouE16A1Uz7FT30k8H1E6Ns3YPJ0

Book Online Vocal Class
https://www.singandyou.com/book-a-trial-class
Global Whatapps+852 96048548
wechat: singandyoumusic
Existing Students from China, Hong Kong, the United States, England, Singapore, Malaysia, Australia, Canada, India, Indonesia, Japan, and Africa.....",15302682,219326,9351,PT5M51S
7,Pt-r0zR5imQ,Entertainment,24,Mr. & Mrs.Y studio™ 【Y氏工作室】,國際一流女模的著名男導師，一個教女人如何做女人的男人。,2023-05-25T00:22:59Z,他是國際小姐、世界小姐、環球小姐的專業儀態導師，被譽為形體藝術大師、國際超模教父，一個令女人更有女人味的男人。,14276374,278770,22201,PT47S
8,_cYBVPtFu9c,Entertainment,24,紳士君_我是紳士,哈尼克孜「MV」- 闻人听書 (被稱為千年一遇美女的新疆四美，一跳「一梦敦煌」便把萬千男士迷死！),2021-02-11T10:13:04Z,"Like 👍🏻 Share ✔️ Subscribe 💙
• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •
Welcome to the gentleman's channel! This channel is dedicated to producing beautiful women MV from all over the world. These ladies in this channel are only shown after a careful selection, so the quality of the video can be guaranteed! If you like these videos, please click Subscribe. Your support is my biggest motivation to continue to update the video!
---------------------------------------------------------------------------------
►Song: 虞兮叹 | 虞兮嘆 - 闻人听書【垓下一曲离乱 楚歌声四方】古风 中国风 抖音 中文歌曲 华语歌曲 | Chinese Song, Chinese Music
https://www.youtube.com/watch?v=WxCXqjGYoDM
---------------------------------------------------------------------------------
►IG: https://www.instagram.com/gentleman_iam/
►FB: https://www.facebook.com/Gentlemanforofficial/
---------------------------------------------------------------------------------
►For business inquiries and proposal: businessforwty@gmail.com

⬇__""DISCLAIMER""__⬇
Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use.",12734457,44036,2015,PT3M28S
9,b6LgnCmvjdI,Entertainment,24,一画美食,花生米不要炒著吃了，教你一種新做法，吃一次就忘不了，太香了。 【一畫美食】#花生米 #花生米新做法 #花生養生,2022-02-19T04:43:45Z,"花生米不要炒著吃了，教你一種新做法，吃一次就忘不了，太香了。 【一畫美食】#花生米 #花生米新做法 #花生養生

加入会员赞助一画美食：
https://www.youtube.com/channel/UC42yFsR28e17B5RTtHlQuEQ/join

今天给大家分享的是

喜欢一画的可以点击：
【http://bit.ly/3ry5hk4】

大家好，我是一画。

一画觉得美食是生活中的必需品，一顿美味的食物会令你一整天都感到愉快，更有动力去工作！一画每天都会在这里分享一道家常菜，让大家每天都能够享用美味的食物。

一画在发布视频的同时，会为大家提供20种以上语言的字幕（英语、德语、法语、马来语、菲律宾语、印地语、乌尔都语等），方便大家观看以及学习如何制作美食。。喜欢美食的朋友们可以订阅下噢。记得点击小铃铛🔔

如果出现英文字幕档住了中文字幕，或者是有双重中文字幕，大家可以按下CC关掉内建字幕（手机版的在右上角，电脑版的在右下角）。

【🐷猪肉类美食】http://bit.ly/2M6IOLg
【🐂牛肉类美食】http://bit.ly/3dqMNxE
【🐏羊肉类美食】http://bit.ly/3uhFf6k
【🐓家禽类美食】http://bit.ly/3ujsng8
【🐟海鲜类美食】http://bit.ly/3aDMii4
【🥬素食主义者】http://bit.ly/37x0pno
【🌝其他美食】http://bit.ly/2NfZRvd

商務合作：bdcilimited@gmail.com



food, foodofinstagram, foodie, toptags, instafood, yummy, amazingfood, tasty, chinesefood, chinesecuisine, chinesecooking, asianfood, chinesefoodlover, asiancooking, asian, asiancuisine, foodculinary, spicyfood, delicious, chineseculture, home-cooked, homefood, homecookedfood, homemademeal, 家常菜, 特色菜, 美食, 下饭菜, 美味, 美食视频, 小吃 

天天相見廚房, 玲子廚房,心靈舒果美食 ,老東北美食, 小穎美食 ,美食二哈 ,小安美食館 ,冯小厨 ,小英新食尚 ,家常菜日记 ,我是马小坏 QistinWongTV ,水大叔 ,妙招姐 ,美食煮艺 ,美食作家王刚,",9031707,56999,1013,PT8M17S
