,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,2pLT-olgUJs,Howto & Style,26,Chloe Ting,Get Abs in 2 WEEKS | Abs Workout Challenge,2019-08-12T11:45:00Z,"Abs Abs Abs! Everyone seems to be asking for a QUICK and short schedule, so I put together a 2 weeks schedule to help you get closer to those defined abs and to lose weight. A 2 weeks program is easier to commit to, and you can always do it again after you finish it!

Enjoy the abs workout guys! 

✚✚✚ TRY THE NEW 2020 2 weeks shred ✚✚✚ 
https://www.chloeting.com/program/2020/two-weeks-shred-challenge.html

✚ 2019 2 Weeks Shred Challenge Schedule
https://chloeting.com/program/2019/two-weeks-shred-challenge
EP#1 - 13 Mins HIIT Workout - https://youtu.be/2MoGxae-zyo
EP#2 - Abs in 2 weeks - https://youtu.be/2pLT-olgUJs
EP#3 - Arms & Core - https://youtu.be/3Pr6n-nKfMA
EP#4 - Lower Body - https://youtu.be/I9nG-G4B5Bs

✚ SHOP MY MERCH!
https://store.chloeting.com

✚ Free Recipes
https://www.chloeting.com/recipes/

☆Sponsor this channel☆
https://www.youtube.com/chloeting/join
☆Sub to my 2nd channel☆
https://www.youtube.com/channel/UCBrcDabYtwbR1VIhwH5efZA?sub_confirmation=1

☆My Instagram links☆
https://www.instagram.com/chloe_t/
https://www.instagram.com/itschloeting/

☆Music by☆
Dylan Locke - Johnny Johnny Instrumental
https://spoti.fi/3tIzSMZ
https://www.youtube.com/user/RadialCreations

Track: Ascence - Places Like That [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/jmpRflEHdqs
Free Download / Stream: http://ncs.io/PlacesLikeThat

Track: Dominic Strike - Heartbeat
Music Provided by Magic Records
Listen To The Original: https://youtu.be/Mc_f1j5u0y4
Free Download: https://fanlink.to/o9ha

Party in Backyard - Bitch Lasagna Instrumental

#abs #absworkout #chloeting

IMPORTANT DISCLAIMER: Please note that all of my videos are titled according to SEO best practices for content discoverability. Unfortunately this may mean that video titles are subjective and shouldn't be seen as absolute truth. As an example, targeting fat reduction is not scientifically proven but a video title might suggest otherwise. When following any of my videos, please take precaution to exercise in a safe environment, and I highly suggest seeing a health and fitness professional to give you advice on your exercise form and dietary needs. Every person is unique and there is no one size fits all solution to health or fitness. I am not a medical professional and your health and safety is the utmost importance.",508722683,8739525,308697,PT11M4S
1,JBUaiL6jTzE,Howto & Style,26,CharlisCraftyKitchen,"COCKTAIL GLASS TAKE HOME CUPCAKE TREAT with M&M's- candy bar, lolly buffet, birthday party",2013-08-30T03:30:01Z,"Make a COCKTAIL GLASS TAKE HOME CUPCAKE TREAT - great for a candy bar, lolly buffet or take home treat at a birthday party.  It was hard to know what to call these but they are an awesome idea we had to share!  

You might also like:

❤️ Disney video 1 - Princess treasure hunt! https://www.youtube.com/watch?v=Hw4Kwpe1fhc

❤️ Disney video 2 - our first day at Disneyland! https://www.youtube.com/watch?v=5A7M4fqCnUk

❤️ Disney video 3 - our 2nd day at Disneyland - https://www.youtube.com/watch?v=TU1ELspNbpM

❤️ Disney video 4 - Epic Disney Princess Rainbow Castle Cake! https://www.youtube.com/watch?v=O_ubOzGnmuM

Ingredients:
Cupcakes
Icing (we used blue)
Regular M&M's (you could use any type of small candy instead like jellybeans/skittles)
Jellybeans (we used yellow jelly-bellies)
Plastic cocktail glasses (available in some $2 shops and on ebay)

Please subscribe to Charlis channel to help her realize her dream of beating her Aunty Elise (from MyCupcakeAddiction) :)

If you like this video please let us know by clicking the thumbs up icon &/or commenting below!  Charli sees all (positive/constructive) comments and loves feedback!  Also if you have any edible craft ideas  you would like Charli to do a tutorial on please let us know!

Facebook page: www.facebook.com/charliscraftykitchen",406246867,77244,,PT2M33S
2,WSauz5KVKTU,Howto & Style,26,marsgizmo,and the story continues... the 3D Printed Scissor Snake is growing.... thanks to you 😅,2020-09-02T12:15:48Z,"Thank you very much to all my Subscribers!

If you enjoy the videos, please Like and Subscribe ❤️, it helps me create more videos.. and I'll be forever grateful 😊.

This is a show with 3D printing and robots. I hope it brings a smile on your face 🙂

Some of my affiliate recommendations: https://linktr.ee/marsgizmo
Good entry level 3D Printer:
 - Amazon (aff.): https://amzn.to/3ptn1vG
 - Bannggood (aff.): https://www.banggood.com/custlink/33Dy5eQwoJ

My Instagram Channel: https://www.instagram.com/marsgizmo/
My TikTok Channel: https://www.tiktok.com/@marsgizmo/

3D model used in this video: https://www.thingiverse.com/thing:1902131
#marsgizmo #Shorts",360060600,5302330,65646,PT24S
3,8d7raTCrmHQ,Howto & Style,26,Giallozafferano Italian Recipes,MOZZARELLA CROQUETTE XL #shorts #asmr,2022-03-31T16:00:04Z,"All the delicious flavors and taste of a croquette.... size XL! Could you eat it all? @khalidelmahi 

INGREDIENTS

500g mozzarella
500g minced meat
Flour as needed
1 egg
Breadcrumbs as needed
Oil for frying

Seasoning for minced meat: 
salt
pepper
1/2 chopped onion
parsley
extra virgin olive oil",259582495,6632811,7625,PT23S
4,_tDlxi2sXgk,Howto & Style,26,Kote Kitty - Songs and cartoons for children,Learn colors with Balloons and Surprise Eggs | Meow-meow Kitty fun games for kids,2021-11-07T10:17:38Z,Learn colors with Balloons and Kitty Kote ! Fun games for kids ! Meow-meow kitty. Kids animation and songs for kids. Surprise eggs.,215817774,725202,0,PT23M24S
5,Fvy43W36Nx0,Howto & Style,26,Village Cooking Channel,WATERMELON JUICE | Farm Fresh Fruit Juice Making | Watermelon Craft | Watermelon Experiment,2022-04-04T14:36:36Z,"Today in our village, we harvest farm fresh watermelons and we make healthy summer drinks with these fruits. We cleaning and cutting the watermelons in our village area to make this healthy drink.

In this video, we also show some watermelon hacks like watermelon craft ideas and watermelon experiments for fun.

Finally, we enjoy the watermelon juice with ice and this is lust JIL!",210447002,1252128,12973,PT12M17S
6,eOHQl4ZmYB8,Howto & Style,26,Woodworking Skill,Good Tips With Table Saws,2022-08-06T05:30:04Z,"Good Tips With Table Saws#WoodworkingSkill
Do you have an idea, a project to work on or a proposal? Please leave a comment below. We will do it for you. 
★Thank for watching!
★Please like, share, and subscribe our Channel here : https://bit.ly/2RtjjlT",171879649,1475990,1475,PT27S
7,oENmiMtB9iY,Howto & Style,26,Blossom,Useful skin tag remover #shorts,2022-08-04T21:00:20Z,"Subscribe to Blossom: https://www.youtube.com/channel/UC2WuPTt0k8yDJpfenggOAVQ?sub_confirmation=1

About Blossom:
Welcome to your cheat sheet for creative and unique DIY projects, mixed with daily life fixes that keep you and your family in mind. Consider your life hacked! 

Follow us:
Facebook: http://bit.ly/BlossomFacebook
Instagram: http://bit.ly/BlossomInstagram
Website: http://bit.ly/BlossomFirstMedia

#Blossom #DIY #Hacks #skin #skincare #beauty #beautygadget #skintags #skintagremoval 


https://www.youtube.com/channel/UC2WuPTt0k8yDJpfenggOAVQ",163274729,1726894,4579,PT8S
8,3L19mqT7xCE,Howto & Style,26,Myntra,Be Extraordinary Everyday with Myntra,2023-02-07T10:28:23Z,"Why wait for special days when you can look #ExtraordinaryEveryday? Look like a star everyday by choosing from the widest range of 100% original brands, only on Myntra.

#Myntra #BeExtraordinaryEveryday #MyntraExtraordinaryEveryday #RanbirKapoorxMyntra #RanbirKapoor",92766871,33761,36,PT30S
9,egh_wWCEVyM,Howto & Style,26,GoDaddy India,India Data Center,2022-07-07T12:52:47Z,,88993466,2051,35,PT11S
