,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,frA_fOuhDrg,Movies,30,YouTube Movies,Fast & Furious 7,2015-07-21T16:00:08Z,"Vin Diesel, Paul Walker and Dwayne Johnson lead the returning cast across the globe in their most gravity-defying and emotional adventure yet. Targeted by a cold-blooded black-ops assassin with a score to settle (Jason Statham), their only hope is to get behind the wheel again and secure an ingenious prototype tracking device. Facing their greatest threat yet in places as far away as Abu Dhabi and as familiar as the Los Angeles streets they call home, the crew must come together once again as a team, and as a family, to protect their own. (Original Title - Furious 7) - 2015 Universal Studios. All Rights Reserved.",,20603,,PT2H17M21S
1,mmqnQw7WnJk,Movies,30,YouTube Movies,World War Z,2014-01-13T20:03:08Z,"World War Z is the fast-paced, pulse-pounding epic of the potential last days of the human race. Former United Nations employee Gerry Lane (Brad Pitt) is called in to help stop the pandemic that has spread around the world.",,15365,0,PT1H56M1S
2,9LI1ZBIRATA,Movies,30,YouTube Movies,Grease,2013-12-07T00:24:59Z,"Grease is the one that you want! Go back to high school with Pink Lady Sandy (Olivia Newton-John), leader of the bad-boy T-Birds, Danny (John Travolta), and a rockin' and rollin' all-star cast. Available for the first time as a remastered Special Edition and featuring all-new bonus materials, Grease: Rockin' Rydell Edition is the word!",,4302,184,PT1H50M31S
3,s_OphrlEZLo,Movies,30,YouTube Movies,Spider-Man 3,2013-12-12T02:00:47Z,"Peter Parker (Tobey Maguire) has finally managed to strike a balance between his devotion to M.J. (Kirsten Dunst) and his duties as a superhero. But when his suit suddenly changes, turning jet-black and enhancing his powers, it transforms Peter, bringing out a dark vengeful side that he struggles to control. He must now battle his inner demons as two of the most-feared villains yet, Sandman (Thomas Haden Church) and Venom (Topher Grace), gather unparalleled power and a thirst for revenge which threatens Peter and everyone he loves. © 2007 Columbia Pictures Industries, Inc.  All Rights Reserved.  |  MARVEL, and all Marvel characters including the Spider-Man, Sandman and Venom characters ™ & © 2013 Marvel Characters, Inc. All Rights Reserved.",,38323,1445,PT2H19M9S
4,BLaIrTLY9Cg,Movies,30,YouTube Movies,Transformers: Revenge of the Fallen,2013-12-07T00:24:40Z,"The battle for Earth continues in this action-packed blockbuster from director Michael Bay and executive producer Steven Spielberg.  When college-bound Sam Witwicky (Shia LaBeouf) learns the truth about the ancient origins of the Transformers, he must accept his destiny and join Optimus Prime® and Bumblebee® in their epic battle against the Decepticons®, who have returned stronger than ever with a plan to destroy our world.",,7064,256,PT2H29M51S
5,3-fazH9p3K0,Movies,30,YouTube Movies,Star Trek Beyond,2016-10-17T18:00:01Z,From Producer J.J. Abrams comes one of the best-reviewed action movies of the year. Dispatched on a rescue mission to the farthest reaches of space the USS Enterprise is ambushed by Krall a ruthless warlord sworn against the Federation. Crash-landing on an uncharted hostile world Captain Kirk Spock and the crew are separated with no means of escape.  Only Jaylah a rebellious alien warrior can help them reunite and find a way off the planet in a race against time to stop Krall's deadly army from triggering all-out galactic war.,,915,0,PT2H2M22S
6,XdhCFGPTZGw,Movies,30,YouTube Movies,十年,2016-04-15T04:53:30Z,"每段故事既是獨立，也有細微的關聯，嘗試描述一個灰暗時代中的人性抉擇和掙扎；
      透過電影，坦白承認我們正面對一個厄困的未來，反思當下。
      第一篇：《浮瓜》（導演：郭臻）
      「五一節慶活動當日，一場流血恐襲將被上演。」
      第二篇：《冬蟬》（導演：黃飛鵬）
      博物學已失落了認知世界的方式。在高速「發展」的世界裡，它猶如幽靈般的姿態重現。十年
      後(2025年)不過是世界時常如末日般的季節，但城市洗刷記憶與歷史的力度和毁壞的速度卻強
      大得很。
      兩個旨在傳承博物學遺風的年輕人，他和她已開展標本製作好些年月。兩人無法擺脫記憶、無
      法抽身既有的事物當中的特別關係。雖然他和她一起製作有關物件的標本，然而他們這次再無
      法把物件送回民間，而是選擇在保育裡頭最消極的方式，把東西像安放墓穴一樣的安放到玻璃
      造的標本箱。他們嘗試把自己變成標本，讓皮膚慢慢硬化，直到再也不能感應並無法觸碰。
      而他性格分明極端，為這保存計劃勇往直前。他早前為她保存一切，但最終卻是她先為他著手
      做他的身體標本。他在不捨的同時寧願他在她手中保存和毀滅——而這從來是二人為一體。她
      為他調較著的藥水是微暖的，同時她亦時刻害怕她的驚惶會在藥水中顯影。說書人讀著他們工
      作日誌，如同和她一起慢慢在包裹，包裹著「感知」、包裹著「消亡」、包裹著那不再有感覺
      的生命。
      第三篇：《方言》（導演：歐文傑）
      十年後，中國政府已將普通話定為香港唯一的官方語言，並立法規定所有香港的士司機，必須
      通過國家語委普通話水平測試。所有未能通過測試的的士司機，必須在的士車頭及車尾貼上
      「非普通話的士司機」的標誌，並且不能在各大出入境管制站接載乘客。
      八十後香港的士司機阿漢，年過四十但仍未能學好普通話。他每天默默駕著「非普」的士，繼
      續在他土生土長的地方掙扎求存。在廣東話淪為方言的環境下，他發現除了「搵食」較以往艱
      難外，他所失去的原來還有更多。
      第四篇：《自焚者》（導演：周冠威）
      這是一套與謊言對抗的偽紀錄片。
      假設於2025年，香港仍然面對着中共的極權統治。因此，一群年輕人決意要爭取香港獨立，從
      而受到了嚴厲打壓。此時，有一個人在英國領事館門前自焚⋯⋯
      自焚者是誰？與港獨的關聯又是甚麼？不同受訪者有不同觀點，最終勾勒出的是對香港未來的
      願景還是一闕悲歌？自焚只是象徵，是要向謊言提出控訴！勇於承認殘酷的現實，正視被謊言
      長期扭曲的真相才是盼望的開始！
      第五篇：《本地蛋》（導演：伍嘉良）
      2025年，總總政治原因下，香港最後一間活雞農場結業。
      阿森（廖啟智飾演）多年來靠賣本地蛋為生，前景未明的同時，亦開始擔心參與了「少年軍」
      的兒子明仔，因為發覺明仔需要參與愈來愈多的「保密行動」。
      阿森會否找到機會了解兒子的掙扎與想法呢",,2589,255,PT1H43M48S
7,7gY3_Z_5EsQ,Movies,30,YouTube Movies,你的名字,2017-09-26T16:00:03Z,"故事發生在日本千年一遇的流星夜後一個月。住在鄉郊的女高中生宮水三葉對這種生活感到枯燥，一直非常嚮往都市生活。「來生要成為東京帥哥！」是她的願望。有一天，她真的夢見自己成為男生。眼前的是一個不熟悉的房間、不認識的朋友，還有她夢寐以求的東京寬闊街道。

另一邊廂，在東京生活的男子高校生立花瀧也有一個奇特夢境。夢中，他來到一個未見過的山中小町，發現自己變成一個女高中生！「我們的身分交換了？！」兩位從未見面的二人相遇，一段少女、少年奇妙物語隨之展開。

在半夢半醒間睜開睡眼，竟發現自己身處不知名的房間，甚至發現自己變成一個陌生女孩！而遠在他方的高校女生宮水三葉（上白石萌音 飾），醒來時也發現自己變成男孩，原來是他們的身體對調了！驚醒的兩人跳起床後發現又回到了自己的身體裡，但只要睡覺或半夢半醒之際，他們兩個人就會互換身份。一頭霧水的宮水決定循著片段的線索想要找到男孩，而男孩也透過在房間留下便條紙試著跟女孩溝通，兩人想盡辦法，在現實世界找到彼此，過程中更漸漸了解彼此，甚至開始產生好感，但沒想到兩人的奇遇並非隨機巧合，突如其來的事件也讓一切美好想像有了變化…",,2479,135,PT1H46M34S
8,51_p4GxxOOA,Movies,30,YouTube Movies,Back to the Future 2,2013-12-12T05:55:37Z,Marty McFly (Michael J. Fox) and Doc Brown (Christopher Lloyd) are back! This time they must travel into the future to prevent Marty's kids from getting in danger.,,1119,112,PT1H48M30S
9,sPs9Oo75_UI,Movies,30,YouTube Movies,Jumanji (1995),2014-02-26T19:34:50Z,"A mysterious game transports its players to the jungles of Jumanji! Thrilling effects!(Original Title - Jumanji (1995)) © 1995 TriStar Pictures, Inc. All Rights Reserved.",,2941,178,PT1H44M6S
