,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,T4SimnaiktU,Music,10,GEMblog,G.E.M.【光年之外 LIGHT YEARS AWAY 】MV (電影《太空潛航者 Passengers》中文主題曲) [HD] 鄧紫棋,2016-12-30T01:00:50Z,"APPLE: https://apple.co/3kWxajM
KKBox: http://bit.ly/2ijxCHY
Spotify: http://spoti.fi/2iKEDR7

• 音悅台連續六週TOP 1
• KKBox TOP 1
• Billboard Radio China兩週TOP 1

主唱： G.E.M. 鄧紫棋
曲詞： G.E.M. 鄧紫棋
編曲： Lupo Groinig
監製： Lupo Groinig

感受停在我髮端的指尖
如何瞬間 凍結時間
記住望著我堅定的雙眼
也許已經  沒有明天

面對浩瀚的星海
我們微小得像塵埃
漂浮在  一片無奈 

緣份讓我們相遇亂世以外
命運卻要我們危難中相愛
也許未來遙遠在光年之外
我願守候未知裡為你等待

我沒想到  為了你  我能瘋狂到
山崩海嘯  沒有你  根本不想逃
我的大腦  為了你  已經瘋狂到  
脈搏心跳  沒有你  根本不重要

一雙圍在我胸口的臂彎
足夠抵擋  天旋地轉
一種執迷不放手的倔強
足以點燃  所有希望

宇宙磅礡而冷漠
我們的愛微小卻閃爍
顛簸  卻如此忘我

緣份讓我們相遇亂世以外
命運卻要我們危難中相愛
也許未來遙遠在光年之外
我願守候未知裡為你等待

我沒想到  為了你  我能瘋狂到
山崩海嘯 沒有你  根本不想逃
我的大腦  為了你  已經瘋狂到
脈搏心跳  沒有你  根本不重要

也許航道以外  是醒不來的夢
亂世以外  是純粹的相擁

我沒想到  為了你  我能瘋狂到
山崩海嘯 沒有你  根本不想逃
我的大腦  為了你  已經瘋狂到
脈搏心跳  沒有你  根本不重要

相遇亂世以外 危難中相愛
相遇亂世以外 危難中相愛

#光年之外 #GEM #鄧紫棋
The Official Site | 官方網頁 : 

G.E.M.'s Official Site: http://www.geteverybodymoving.com/
Facebook: https://www.facebook.com/G.E.M.OfficialPage/
Fans Club: gemclubofficial.com
Weibo: http://weibo.com/gemtang
Twitter: http://twitter.com/gemoving
instagram: http://instagram.com/gem0816",268573858,615784,42906,PT3M56S
1,zOEISgh7k_g,Music,10,AMusic Official Channel,JC - 說散就散 Lyrics Video,2016-06-20T09:13:57Z,"Follow JC:
Facebook: https://www.facebook.com/JCjenniferofficial/
Instagram: https://www.instagram.com/JC_jennifer/

立即到各大音樂平台收聽及下載：
▶ iTunes: http://apple.co/28IncAg
▶ Apple Music: http://bit.ly/28IrANF
▶ KKBOX: http://bit.ly/28IoIPw
▶ MOOV: http://bit.ly/28Iq8b6
▶ Spotify: http://bit.ly/28Ip2jv
▶ MusicOne: http://bit.ly/28JRCgP
▶ JOOX: http://bit.ly/28NJiOL

說散就散
作曲：伍樂城
填詞：張楚翹
 
抱一抱 就當作從沒有在一起
好不好 要解釋都已經來不及
算了吧 我付出過甚麼沒關係
我忽略自己 就因為遇見你

沒辦法 好可怕 那個我 不像話
一直奮不顧身 是我太傻
 
*說不上愛別說謊 就一點喜歡
說不上恨別糾纏 別裝作感嘆
就當作我太麻煩 不停讓自己受傷
我告訴我自己 感情就是這樣
怎麼一不小心太瘋狂
 
抱一抱 再好好覺悟不能長久
好不好 有虧欠我們都別追究
算了吧 我付出再多都不足夠
我終於得救 我不想再獻醜
 
沒辦法 不好嗎 大家都 不留下
一直勉強相處 總會累垮
 
Repeat*
 
別後悔 就算錯過
在以後 你少不免想起我
還算不錯
當我不在你會不會難過
你夠不夠我這樣灑脫
 
說不上愛別說謊 就一點喜歡
說不上恨別糾纏 別裝作感嘆
將一切都體諒  將一切都原諒
我嘗試找答案  而答案很簡單
簡單得很遺憾 因為成長
我們逼不得已要習慣
因為成長 我們忽爾間說散就散
-------------------------------------------------
AMusic Official Website: http://www.amusic.hk/
AMusic Facebook: http://on.fb.me/12eLEcC
AMusic Weibo: http://weibo.com/paciwoodamusic",135949780,294034,6710,PT3M39S
2,ma7r2HGqwXs,Music,10,GEMblog,G.E.M.【倒數 TIK TOK】Official MV [HD] 鄧紫棋,2018-08-10T02:00:02Z,"APPLE: https://apple.co/3zHANAf
SPOTIFY: https://spoti.fi/2omJ9tG | KKBOX: http://bit.ly/2Oq1kKg

重新定義童話，重新定義實體EP！
一種更自主的購買音樂體驗，你可以自由選擇喜歡產品作為EP，將 G.E.M. 鄧紫棋《#另一個童話》帶入你的現實生活⋯
立即體驗：https://society6.com/hummingbirdmusic


G.E.M. 鄧紫棋2018全創作單曲《#倒數》

作曲：G.E.M. 鄧紫棋 ／ Lupo Groinig
作詞：G.E.M. 鄧紫棋 
監制：Lupo Groinig

還沒到的櫻花季  還沒用的照相機
還沒光臨的餐廳  還在期待  有著你的旅行
等待日落的巴黎  鐵塔之下牽著你
等待說著我願意  等待未來  每天身邊有你

一點一滴每一天珍惜
怕突然來不及  好好的愛你

時針一直倒數著  我們剩下的快樂
此刻相擁的狂熱  卻永遠都深刻
心跳一直倒數著  生命剩下的溫熱
至少用力地愛著  還烏黑的頭髮  有你就不怕白了 

漆黑過後是旭日  淚流以後是堅持
真的愛是日復日  從不放棄  重複說你願意
還沒退化的眼睛  抓緊時間看看你
愛是從來不止息  一個風景  每天新的生命

一點一滴每一天珍惜
用盡每一口氣  好好的愛你

時針一直倒數著  我們剩下的快樂
此刻相擁的狂熱  卻永遠都深刻
心跳一直倒數著  生命剩下的溫熱
至少用力地愛著  還烏黑的頭髮  有你就不怕白了

咖啡再不喝就酸了  晚餐再不吃就冷了
愛著為什麼不說呢  難道錯過了才來後悔著
誰夢未實現就醒了  誰心沒開過就灰了
追逐愛的旅途曲折  就算再曲折為你都值得

一點一滴每一天珍惜
用盡每一口氣  好好的愛你

時針一直倒數著  我們剩下的快樂
此刻相擁的狂熱  卻永遠都深刻
心跳一直倒數著  生命剩下的溫熱
至少痛並快樂著  愛過才算活著  有你別無所求了

有你別無所求了  有你別無所求了
有你別無所求了  有你別無所求了
有你別無所求了

#GEMblog #鄧紫棋

請即訂閱GEMblog頻道，緊貼最新G.E.M.鄧紫棋資訊https://www.youtube.com/subscription_center?add_user=GEMblog

The Official Site | 官方網頁 : 

G.E.M.'s Official Site: http://www.geteverybodymoving.com/
Facebook: https://www.facebook.com/G.E.M.Offici...
Weibo: http://weibo.com/gemtang
Twitter: http://twitter.com/gemoving
instagram: http://instagram.com/gem0816",127597823,387432,19965,PT4M2S
3,DsUmmudjkfQ,Music,10,EHPMusicChannel,阿涵 - 過客『我只是個陪伴者，陪著你傷心難過。』【動態歌詞Lyrics】,2018-03-04T06:47:23Z,"訂閱頻道收聽更多好聽的歌：
https://www.youtube.com/c/EHPMusicChannelII
Facebook臉書專頁：https://www.facebook.com/EHPMC/
IG：ehpmusicchannel
** 喜歡的朋友記得要分享出去喔~ 超級需要你們的支持!!! 也歡迎大家點歌!! **
- 歌詞在下面 -

作曲 : 阿涵
作詞 : 阿涵

沒有 誰能夠想到
你會 出現我身旁
也許 是命運開的玩笑

不敢 太靠近你的
身邊 怕你會嫌煩
只有 一個人默默孤單

是什麼 讓我們遇見的
是什麼 讓距離更近了
不奢求你多好 給我多一點微笑

你只是一個過客 從我的世界路過
我不敢太多不捨 怕你看出我難過
也許我想的太多 卻不能給你什麼
努力把傷心變少 笑容變多就好了

我只是個陪伴者 陪著你傷心難過
寂寞它每天數著 你那麼多的失落
你想要什麼你說 只要我現在有的
我們之間的點點滴滴 我一直都記得

不敢 太靠近你的
身邊 怕你會嫌煩
只有 一個人默默孤單

是什麼 讓我們遇見的
是什麼 讓距離更近了
不奢求你多好 再多給我一點微笑

你只是一個過客 從我的世界路過
我不敢太多不捨 怕你看出我難過
也許我想的太多 卻不能給你什麼
努力把傷心變少 笑容變多就好了

我只是個陪伴者 陪著你傷心難過
寂寞它每天數著 你那麼多的失落
你想要什麼你說 只要我現在有的
我們之間的點點滴滴 我一直都記得

我只是一個過客 從你的世界路過
我不敢太多不捨 怕你看出我難過
我想的太多 卻不能給你什麼
努力把傷心變少 笑容變多就好了

我只想每天陪著 陪著你傷心難過
寂寞它每天數著 你那麼多的失落
你想要什麼你說 只要我現在有的
點點滴滴 我一直都記得


合作郵箱：ehpmusicchannelhk@gmail.com

※歌曲跟影片版權為歌手本人及其音樂公司所有，若喜歡他們的音樂請支持正版，如版權方認為影片有侵權一事，請與我們聯絡，我們將徹底刪除影片。

Like, Comment, Share & Subscribe!
喜歡的請分享及訂閱本頻道!!",121901779,228863,6725,PT4M31S
4,FWtbGkpdoP4,Music,10,GEMblog,G.E.M.【來自天堂的魔鬼 AWAY】Official MV [HD] 鄧紫棋,2015-11-04T16:00:00Z,"APPLE: https://apple.co/38HIkmo
Spotify: http://spoti.fi/1RW0UXr
KKBox: http://bit.ly/1HadkdG

Music by G.E.M. 
Produced by Lupo Groinig
MV directed by Jeff Nicholas

十首新歌  十個MV
G.E.M. 首張全創作視聽專輯「新的心跳」將於11月6日發行。

10 songs 10 music videos
G.E.M.’s new visual album HEARTBEAT out November 6.

Also watch:  
G.E.M. brand new visual album HEARTBEAT intro video「新的心跳」介紹影片 - 音樂的進化 
http://www.youtube.com/watch?v=RHFyDrSPBZc
再見 GOODBYE Official MV
http://youtu.be/Lhel0tzHE08‎
一路逆風 AGAINST THE WIND Official MV 
https://youtu.be/C117NWgCJ88
於是 THEREFORE Official MV  
https://youtu.be/0tGgnh6F1YI
盲點 BLINDSPOT Official MV 
https://www.youtube.com/watch?v=rzzul2fmufI
查克靠近 CHUCK CLOSE Official MV
https://www.youtube.com/watch?v=GG4Mf8t_TAk

—————————————————————————

「如果你是蛇的誘惑，你存心迷惑，我才能軟弱；但你是牛頓頭上那顆若無其事的蘋果」，當魔鬼來自天堂，你才會知道什麼是一念之間，進與退的取捨。

視聽專輯《新的心跳》中的電音主打，在恍惚的電子樂和撕裂的鼓聲中是鄧紫棋在最渴望一刻的呼喚。面對真誠的陷阱，你是撲入，還是逃離？


來自天堂的魔鬼 [AWAY] 
詞/曲: G.E.M. 
編曲/監製：Lupo Groinig

夜裡造了美麗的惡夢
想清醒我卻抵不過心動
夢𥚃你是無底的黑洞
我無力抗拒失重

我的意識自控脈搏流動
全被你神秘引力操控
親愛的你是危險的迷宮
我找不到出口

You took my heart away, away, away
My head is blown away, away, away
你就是傳說來自天堂的魔鬼
You took my heart away, away, away, away, away, away, away

拜託別對我細心問候
這是你也不擦覺的陰謀
我討厭你無心的微笑
我快無可救藥

你像一個漩渦慢慢讓我
無法抽離一直地墜落
親愛的你是優雅的惡魔
一點一點把我吞沒

You took my heart away, away, away
My head is blown away, away, away
你就是傳說來自天堂的魔鬼
You took my heart away, away, away, away, away, away, away

如果你是蛇的誘惑　你存心迷惑　我才能軟弱
但你是牛頓頭上那顆　若無其事的蘋果

You took my heart away, away, away
You took my heart away, away, away
You took my heart away, away, away
My head is blown away, away, away
你就是傳說來自天堂的魔鬼
You took my heart away, away, away, away, away, away, away


The Official Site | 官方網頁 : 
G.E.M.'s Official Site: http://www.geteverybodymoving.com/
Facebook: https://www.facebook.com/G.E.M.OfficialPage/?fref=ts
Weibo: http://weibo.com/gemtang
Twitter: http://twitter.com/gemoving
Instagram: http://instagram.com/gem0816
Fans Club: gemclubofficial.com",120591929,415486,20196,PT4M17S
5,hgIDXTmmgDg,Music,10,EHPMusicChannel,張紫豪 - 可不可以『不希望我的未來不是你，只願意和你永遠不分離。』【動態歌詞Lyrics】,2018-08-22T11:27:43Z,"❖訂閱頻道收聽更多好聽的歌：https://www.youtube.com/c/EHPMusicChannelII
❖Facebook臉書專頁：https://www.facebook.com/EHPMC/
❖IG：ehpmusicchannel
** 喜歡的朋友記得要分享出去喔~ 超級需要你們的支持!!! **
❖歌詞在下面❖
----------------------------------------------------------------------------------------------------------
詞：劉偉鋒
曲：劉偉鋒
編曲：劉偉鋒

說好帶你流浪
而我卻半路返航
墜落自責的海洋

發現離不開你
我開始決定回去
你已不在原地

我可以接受你的所有
所有小脾氣
我可以帶你去吃很多
很多好東西
我可以偶爾給你帶來
帶來小甜蜜
就像前幾年那樣
每天都會給你製造很多驚喜
你的心傷 我能治愈
我的快樂也只有你能給予
我們就別再分離

可不可以 和你在一起
我們之間有太多回憶
愛上了你 沒什麼道理
只是剛好情竇初開遇到你
不希望我的未來不是你
只願意和你永遠不分離
趁我還沒有過保質期
趁你還願意

三年的回憶
我如何抹去
能不能再拾起
永遠在一起
還沒有過期
我們就別再分離

可不可以 和你在一起
我們之間有太多回憶
愛上了你 沒什麼道理
只是剛好情竇初開遇到你
不希望我的未來不是你
只願意和你永遠不分離
趁我還沒有過保質期
趁你還願意

可不可以 和你在一起
我們之間有太多回憶
愛上了你 沒什麼道理
只是剛好情竇初開遇到你
不希望我的未來不是你
只願意和你永遠不分離
趁我還沒有過保質期
趁你還願意

趁我還沒有過保質期
趁你還願意

----------------------------------------------------------------------------------------------------------
❖歌手資料 About Singer
 ➸ 微博 | https://www.weibo.com/u/5641476621

❖此歌曲已於酷狗音樂上線，喜歡的小伙伴記得去支持喔!!
----------------------------------------------------------------------------------------------------------
❖合作郵箱：ehpmusicchannel@gmail.com

❖歌曲跟影片版權為歌手本人及其音樂公司所有，本頻道只作推廣及宣傳之用，若喜歡他們的音樂請支持正版。如版權方認為影片有侵權一事，請與我們聯絡，我們將徹底刪除影片。

❖Like, Comment, Share & Subscribe❖
❖喜歡的請分享及訂閱本頻道❖",116060522,318532,10179,PT4M2S
6,wrIDSc52hoo,Music,10,Eurobeat,Joy - Touch By Touch (Extended Maxi Version),2014-12-23T09:12:08Z,"Joy - Touch By Touch (Extended Maxi Version) from the album Greatest Hits

Subscribe to eurobeat channel - https://www.youtube.com/c/EurobeatChannel
Stream / Download: http://smarturl.it/Joy_GreatestHits",78766928,290355,7019,PT5M25S
7,hLThkxsnQpk,Music,10,EHPMusicChannel,虎二 - 你一定要幸福『在夜深人靜的時候想起他，他現在好嗎？』【動態歌詞Lyrics】,2018-11-09T11:11:33Z,"❖訂閱頻道收聽更多好聽的歌：https://www.youtube.com/c/EHPMusicChannelII
❖Facebook臉書專頁：https://www.facebook.com/EHPMC/
❖IG：ehpmusicchannel
** 喜歡的朋友記得要分享出去喔~ 超級需要你們的支持!!! **
❖歌詞在下面❖
----------------------------------------------------------------------------------------------------------
演唱：虎二
原唱：何潔
作詞：唐恬
作曲：吳夢奇
編曲：吳歡
混音：虎二
發行：廣州索氧音樂文化傳播有限公司

沿著路燈一個人走回家
和老朋友打電話
你那裡天氣好嗎
有什麼新聞可以當作笑話

回憶與我都不愛說話
偶爾我會想起他
心裡有一些牽掛
有些愛卻不得不各安天涯

在夜深人靜的時候想起他
送的那些花
還說過一些撕心裂肺的情話
賭一把幸福的籌碼
在人來人往的街頭想起他
他現在好嗎
可我沒有能給你想要的回答
可是你一定要幸福啊

回憶與我都不愛說話
偶爾我會想起他
心裡有一些牽掛
有些愛卻不得不各安天涯

在夜深人靜的時候想起他
送的那些花
還說過一些撕心裂肺的情話
賭一把幸福的籌碼
在人來人往的街頭想起他
他現在好嗎
可我沒有能給你想要的回答
可是你一定要幸福啊

在夜深人靜的時候想起他
送的那些花
還說過一些撕心裂肺的情話
賭一把幸福的籌碼
在人來人往的街頭想起他
他現在好嗎
可我沒有能給你想要的回答
可是你一定要幸福啊

幸福啊

----------------------------------------------------------------------------------------------------------
❖歌手資料 About Singer
 ➸ 虎二 YouTube頻道 | https://www.youtube.com/user/torrrrrrre
 ➸ 微博 | https://www.weibo.com/torrrrrrre
 ➸ 個人網站 | https://h2.gg/
 ➸ 合作聯繫（微信） | https://tigerwangmusic.com/#contact
 ➸ IG | https://www.instagram.com/tigerwang2222/

❖歌曲上架平台
 ➸QQ音樂 | http://t.cn/EAG5j4s
 ➸酷狗音樂 | http://t.cn/EAG5j4B
 ➸酷我音樂 | http://t.cn/EAGUgpZ
 ➸咪咕音樂 | http://t.cn/EAG5j4k
 ➸鈴聲訂購 | http://t.cn/EAGUgpc
----------------------------------------------------------------------------------------------------------
❖合作郵箱：ehpmusicchannel@gmail.com

❖Photo by Andre Benz on Unsplash

❖歌曲跟影片版權為歌手本人及其音樂公司所有，本頻道只作推廣及宣傳之用，若喜歡他們的音樂請支持正版。如版權方認為影片有侵權一事，請與我們聯絡，我們將徹底刪除影片。

❖Like, Comment, Share & Subscribe❖
❖喜歡的請分享及訂閱本頻道❖",76427108,178230,5762,PT4M21S
8,p2at9A5XOM8,Music,10,EHPMusicChannel,阿涵 - 說一句我不走了（原唱：小五）『問自己還有什麼值得搶手，能夠讓你會回首。』【動態歌詞Lyrics】,2018-11-07T11:05:43Z,"❖訂閱頻道收聽更多好聽的歌：https://www.youtube.com/c/EHPMusicChannelII
❖Facebook臉書專頁：https://www.facebook.com/EHPMC/
❖IG：ehpmusicchannel
** 喜歡的朋友記得要分享出去喔~ 超級需要你們的支持!!! **
❖歌詞在下面❖
----------------------------------------------------------------------------------------------------------
原唱：小五
翻唱：阿涵
作詞：小五
作曲：小五

從來沒有 想到你會走
這一天來的好快
一分鐘一分鐘
每個短信主題是分手
一切都沒有如果
一切都沒有結果

我知道 你騙我 
說和我沒有幸福
我現在還有什麼
來一杯酒加一份痛加傷心
到底你問你自己要什麼方式 我不懂

還清楚最後吻你的時候
沒有以往的感受 難過念頭
停不住眼淚去挽留 把我耍完就走
怎麼相信當初的你是那麼溫柔
問自己還有什麼值得搶手
能夠讓你會感動 能夠讓你會回首
能夠讓你為我留 能夠讓你不會走
能夠讓你抱著我 說一句我不走了

我知道 你騙我
說和我沒有幸福
我現在還有什麼
來一杯酒加一份痛加傷心
到底你問你自己要什麼方式 我不懂

還清楚最後吻你的時候
沒有以往的感受 難過念頭
停不住眼淚去挽留 把我耍完就走
怎麼相信當初的你是那麼溫柔
問自己還有什麼值得搶手
能夠讓你會感動 能夠讓你會回首
能夠讓你為我留 能夠讓你不會走
能夠讓你抱著我 說一句我不走了

還清楚最後吻你的時候
沒有以往的感受 難過念頭
停不住眼淚去挽留 把我耍完就走
怎麼相信當初的你是那麼溫柔
問自己還有什麼值得搶手
能夠讓你會感動 能夠讓你會回首
能夠讓你為我留 能夠讓你不會走
能夠讓你抱著我 說一句我不走了

還清楚最後吻你的時候
沒有以往的感受 難過念頭
停不住眼淚去挽留 把我耍完就走
怎麼相信當初的你是那麼溫柔
問自己還有什麼值得搶手
能夠讓你會感動 能夠讓你會回首
能夠讓你為我留 能夠讓你不會走
你卻沒有回頭 依然沒有對我說
那一句我不走了

----------------------------------------------------------------------------------------------------------
❖歌手資料 About Singer
 ➸ 微博 | https://www.weibo.com/xiaohanlove
 ➸ 網易云 | 是阿涵阿
 ➸ 合作查詢 | hanxiwenhua888@163.com(涵晰文化）

❖歌曲上架平台
 ➸ 網易云電台 | https://music.163.com/program?id=2057369503
----------------------------------------------------------------------------------------------------------
❖合作郵箱：ehpmusicchannel@gmail.com

❖Photo by Filippo Ascione on Unsplash

❖歌曲跟影片版權為歌手本人及其音樂公司所有，本頻道只作推廣及宣傳之用，若喜歡他們的音樂請支持正版。如版權方認為影片有侵權一事，請與我們聯絡，我們將徹底刪除影片。

❖Like, Comment, Share & Subscribe❖
❖喜歡的請分享及訂閱本頻道❖",71275942,143492,2253,PT4M46S
9,WY6nQK7zbsk,Music,10,EHPMusicChannel,陳雪凝 - 綠色『說不痛苦那是假的，畢竟我的心也是肉做的。』【動態歌詞Lyrics】,2019-03-08T11:15:00Z,"❖訂閱頻道收聽更多好聽的歌：https://www.youtube.com/c/EHPMusicChannelII
❖Facebook臉書專頁：https://www.facebook.com/EHPMC/
❖IG：ehpmusicchannel
** 喜歡的朋友記得要分享出去喔~ 超級需要你們的支持!!! **
❖歌詞在下面❖
----------------------------------------------------------------------------------------------------------
演唱：陳雪凝
作詞：陳雪凝
作曲：陳雪凝
編曲：Dadz
和聲：李美靈芝
混音：一曲不空
發行：3SEVEN參七

若不是你突然闖進我生活
我怎會把死守的寂寞放任了

說不痛苦那是假的
畢竟我的心也是肉做的
你離開時我心裡的彩虹
就變成灰色

說不心酸那是假的
如果我真的沒那麼愛過
愛著一個沒有靈魂的人
世界都是黑色

若不是你突然闖進我生活
我怎會把死守的寂寞放任了
愛我的話你都說 愛我的事你不做
我卻把甜言蜜語當做你愛我的軀殼
你的悲傷難過我不參破
我也會把曾經的且過當施捨
不去計較你太多 從此你在我心裡只剩綠色

說很快活那是假的
你的名字依然那麼深刻
每個字都刺穿我的心臟
那鮮明的痛是紅色

若不是你突然闖進我生活
我怎會把死守的寂寞放任了
愛我的話你都說 愛我的事你不做
我卻把甜言蜜語當做你愛我的軀殼
你的悲傷難過我不參破
我也會把曾經的且過當施捨
不去計較你太多 從此你在我心裡只剩綠色
呼

若不是你突然闖進我生活
我怎會把死守的寂寞放任了
愛我的話你都說 愛我的事你不做
我卻把甜言蜜語當做你愛我的軀殼

若不是你突然闖進我生活
我怎會把死守的寂寞放任了
愛我的話你都說 愛我的事你不做
我卻把甜言蜜語當做你愛我的軀殼
你的悲傷難過我不參破
我也會把曾經的且過當施捨

若不是你突然闖進我生活
我怎會把死守的寂寞放任了
愛我的話你都說 愛我的事你不做
我卻把甜言蜜語當做你愛我的軀殼
----------------------------------------------------------------------------------------------------------
❖歌手資料 About Singer
 ➸ 微博 | https://www.weibo.com/u/5177703103

❖歌曲上架平台
 ➸ 酷狗音樂 | http://t.cn/EIgeuha
 ➸ QQ音樂 | http://url.cn/5PRB2Db
----------------------------------------------------------------------------------------------------------
❖合作郵箱：ehpmusicchannelhk@gmail.com
（歡迎投稿音樂/攝影作品）

❖Original Photo by Luke Stackpoole

❖歌曲版權為歌手本人及其音樂公司所有，本頻道只作推廣及宣傳之用，若喜歡他們的音樂請到以上平台鏈接購買歌曲支持。

❖Like, Comment, Share & Subscribe❖
❖喜歡的請分享及訂閱本頻道❖",70489391,269135,10303,PT4M31S
