,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,Rve59bvK9RY,News & Politics,25,Angel One,Angel Broking is now Angel One | Quick Account Opening | #AngelOneForAll | Everyone Deserves Better,2021-08-06T02:30:11Z,"Introducing Angel One, the one platform that promises to be the #OneForAll your financial needs. After 25 successful years of a traditional broking model, we are now a digital-first fintech house, in an exciting new avatar – Angel One. Speed, Transparency and Smart recommendations, start your #SmartSauda with us today as we start a new journey at www.angelone.in

#AngelOneForAll
**************************************************************************************************
Investments in the securities market are subject to market risk, read all the related documents carefully before investing. Brokerage will not exceed the SEBI prescribed limit. https://bit.ly/2UmU75T
**************************************************************************************************
Visit Angel One Now - https://www.angelone.in
.
Facebook - https://www.facebook.com/OfficialAngelOne
Twitter - https://twitter.com/AngelOne
LinkedIn - https://www.linkedin.com/company/angelone/
Telegram - https://t.me/Official_AngelOne
Instagram - https://www.instagram.com/angelone/
**************************************************************************************************
#AngelOneForAll #AngelOne #OneForAll",419826079,105377,142,PT20S
1,1ycLWc4bRtg,News & Politics,25,South China Morning Post,‘Folded man’ stands up straight after 28 years following surgery that broke bones,2020-09-10T07:13:46Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

A man suffered from a form of ankylosing spondylitis so severe that his upper body folded onto his thighs. Three parts of his body were ‘connected’ – his chin to his chest, his breastbone to his pubic bone, and his face to his thigh bone. After undergoing four operations at Shenzhen University General Hospital, in which his bones were literally broken and reconstructed, he finally stood straight – after 28 years. 

Credit: 二更深圳/深圳大学总医院

 

 

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",123659444,1847871,84289,PT11M14S
2,KDo8n_7_2YI,News & Politics,25,USA TODAY,Brave woman fights off male attacker while alone at gym | USA TODAY #Shorts,2023-02-17T13:28:54Z,"A 24-year-old woman successfully fought off a male attacker while she was working out alone at her apartment's gym. The man was arrested and charged.

RELATED: Good Samaritans in Florida save unconscious woman as car drifts through red light https://bit.ly/3XywNNq

A Tampa woman who fought off an attacker at her apartment complex's gym is speaking out about her experience in the hopes that other women will feel more empowered.

Nashali Alma, 24, said she was exercising in her complex's gym, about 12 miles northwest of downtown Tampa, in late January when a man who looked familiar to her needed access to the gym, the Hillsborough County Sheriff's Office said.

Alma said she let the man in because she had seen him in the gym before. But as she was working out, Alma told investigators that the man approached her and grabbed her waist. Alma said she yelled at the man to get away from her but he kept chasing her around the gym, police said.

» Subscribe to USA TODAY: http://bit.ly/1xa3XAh
» Watch more on this and other topics from USA TODAY: https://bit.ly/3QYKjbc
» USA TODAY delivers current local and national news, sports, entertainment,  finance, technology, and more through award-winning journalism, photos, videos and VR.

#Florida #Gym #Fight",113518501,4259757,92855,PT37S
3,XHMEMJK9nic,News & Politics,25,South China Morning Post,Partners in crime: Dog in China helps girl keep a lookout so she can watch TV,2020-09-18T06:54:25Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

This German shepherd serves as a lookout while his “partner in crime” watches television at home, while her father is out. When he hears footsteps, Nuomi barks and signals immediately. A video of their collaboration has gone viral in China, bringing the pair almost 4.5 million likes on the country’s social media.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",29487171,589437,28434,PT4M8S
4,RBfaTLqsBBI,News & Politics,25,South China Morning Post,Sheep shorn of 35kg fleece after being rescued in Australia,2021-02-26T20:12:27Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

Baarack the sheep received a long-overdue trim after he was found in a forest in Australia. It was not clear for how long he had gone without a shearing.

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",23785050,191157,8706,PT1M50S
5,-USOWsPzgZ8,News & Politics,25,Eyewitness News ABC7NY,Mail carrier desperately yells for help from Siri during robbery,2023-05-31T13:12:39Z,"#shorts #robbery #news #caughtoncamera 

Check out more Eyewitness News - http://abc7ny.com/ 

Find us on social media:
FACEBOOK: https://www.facebook.com/ABC7NY/ 
INSTAGRAM: https://www.instagram.com/abc7ny/ 
TWITTER: https://twitter.com/abc7ny 
TIKTOK: https://www.tiktok.com/@abc7ny 

We’re abc7NY, also known as Channel 7 and WABC-TV on TV, home to Eyewitness News, New York’s Number 1 news.   We hope you love us on YouTube as much as you do on television! 

NEW TIPS: 
Online: http://abc7ny.com/submit-a-news-tip/2599968/ 
Email: abc7ny@abc.com 

About WABC-TV:  https://abc7ny.com/about/

#nyc #news #breakingnews",23755522,665216,67280,PT49S
6,1vpLxGktPoA,News & Politics,25,South China Morning Post,"Scolded by driver, toll booth worker in China forces herself to smile",2020-01-28T07:25:01Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

A toll booth worker in eastern China’s Zhejiang province was filmed being scolded by a driver to the point of tears. She then had to force herself to smile as she turned to serve other drivers.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",22807112,455303,25823,PT1M17S
7,y6oPgV0tJrM,News & Politics,25,South China Morning Post,"Ip Chun (葉準), 84-year-old Wing Chun legend",2009-03-16T13:23:24Z,"Subscribe our YouTube channel for free here: https://sc.mp/2kAfuvJ

Following the success of this year's action blockbuster Ip Man, biopic of the legendary Wing Chun grandmaster and mentor to Bruce Lee, a revival of the Chinese martial art has taken Hong Kong by storm.
 
In this video we meet sifu Ip Chun, son and successor of none other than Ip Man. He currently teaches classes at the humble Ving Tsun Athletic Association's headquarters in Mong Kok which was established in 1967. Ip Chun prefers to see Wing Chun as a health regimen rather than just a form of combat.
 
The spry 84-year-old tells us about all things Wing Chun and his thoughts on the future of the martial art in today's society.

今年推出的動作鉅片《葉問》以詠春宗師兼李小龍師傅葉問的傳奇一生為題材，大收旺場之餘，也在香港掀起一股詠春熱。
本視頻送上葉問之子葉準師傅的專訪。葉師傅現於有四十二年歷史的旺角詠春體育會任教。對他來說，詠春並非用以搏擊，而是強身健體之道。
現年八十四歲的葉師傅還會暢詠春的種種，以及對這種武術在當今社會承傳的展望。",21454680,86438,5276,PT3M37S
8,JovtmKFxi3c,News & Politics,25,PBS NewsHour,China: Power and Prosperity -- Watch the full documentary,2019-11-22T21:44:01Z,"As China has risen in prosperity, influence and military strength, what are the social, economic and political forces at play? Come along with PBS NewsHour as we travel around the globe to explore the emerging superpower and its relationship with the United States.

""China: Power and Prosperity"" covers the country’s powerful leader, his signature foreign policy, U.S.-China trade and technology wars, how Chinese technology helps stifle dissent, and more. A collaboration with the Pulitzer Center on Crisis Reporting, PBS NewsHour conducted more than 70 on-camera interviews in eight Chinese cities and across eight countries.

00:00 President Xi Jinping
11:20 China’s Belt and Road initiative
22:19 US-China trade
33:45 Chinese billionaires
43:30 Big data or Big Brother?
53:41 The rise of Huawei
1:03:03 The green economy
1:11:10 Artistic renaissance 
1:17:04 The state of Uighurs in China
1:32:00 Hong Kong’s Umbrella Movement

Support your local PBS station here: https://pbs.org/donate

Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG
Find more from PBS NewsHour at https://www.pbs.org/newshour
Subscribe to our YouTube channel: https://bit.ly/2HfsCD6

Follow us:
Facebook: http://www.pbs.org/newshour
Twitter: http://www.twitter.com/newshour
Instagram: http://www.instagram.com/newshour

Subscribe:
PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts
Newsletters: https://www.pbs.org/newshour/subscribe",21371367,84947,,PT1H44M30S
9,5dZ_lvDgevk,News & Politics,25,FRONTLINE PBS | Official,In the Age of AI (full documentary) | FRONTLINE,2019-12-02T19:00:56Z,"A documentary exploring how artificial intelligence is changing life as we know it — from jobs to privacy to a growing rivalry between the U.S. and China.

FRONTLINE investigates the promise and perils of AI and automation, tracing a new industrial revolution that will reshape and disrupt our world, and allow the emergence of a surveillance society.

This journalism is made possible by viewers like you. Support your local PBS station here: http://www.pbs.org/donate

Love FRONTLINE? Find us on the PBS Video App where there are more than 250 FRONTLINE documentaries available for you to watch any time: https://to.pbs.org/FLVideoApp
 
Subscribe on YouTube: http://bit.ly/1BycsJW

#ArtificialIntelligence #Automation #documentary

Instagram: https://www.instagram.com/frontlinepbs
Twitter: https://twitter.com/frontlinepbs
Facebook: https://www.facebook.com/frontline

FRONTLINE is streaming more than 200 documentaries online, for free, here: http://to.pbs.org/hxRvQP 

Funding for FRONTLINE is provided through the support of PBS viewers and by the Corporation for Public Broadcasting. Major funding for FRONTLINE is provided by the John D. and Catherine T. MacArthur Foundation and the Ford Foundation. Additional funding is provided by the Abrams Foundation, the Park Foundation, The John and Helen Glessner Family Trust, and the FRONTLINE Journalism Fund with major support from Jon and Jo Ann Hagler on behalf of the Jon L. Hagler Foundation.",19328761,131872,19634,PT1H54M17S
10,58S4RoBZLEI,News & Politics,25,South China Morning Post,Chinese model becomes internet sensation with her fast posing skills,2020-02-22T10:34:22Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

A model in eastern China’s Zhejiang province amazed many online for how fast she can change poses. She can strike two poses every second and model up to 485 sets of outfits a day.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",19161371,259662,18697,PT2M13S
11,iBnc5JLd5oY,News & Politics,25,South China Morning Post,Veterinarians extract 1.7kg gallstone from elephant in Thailand,2021-04-07T14:10:53Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

Veterinary surgeons in Thailand have removed a 1.7kg (3.7lbs) gallstone from a 50-year-old elephant. The team said Sai Thong nearly died of acute kidney failure, but was saved after a six-hour operation on March 30, 2021. 
 

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",19087907,96610,3993,PT1M36S
12,au3Zzf33vXw,News & Politics,25,South China Morning Post,Donald Trump clashes with media at chaotic midterm election press conference,2018-11-08T12:26:46Z,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube

US President Donald Trump snapped at the media during a chaotic midterm elections news conference at the White House.",18464439,164356,27835,PT4M20S
13,V_sgc2q_Das,News & Politics,25,South China Morning Post,South Korean beauty YouTuber Dawn Lee’s cancer diary,2019-05-23T16:00:05Z,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube

After being diagnosed with lymphoma in February, South Korean beauty YouTuber Dawn Lee decided to chronicle her battle against the illness, to encourage people in similar situations.

Follow her journey here: 
https://www.youtube.com/user/doublej0128
https://instagram.com/2dawn_

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",18376476,262060,12020,PT4M2S
14,IYvXpUuHOl8,News & Politics,25,South China Morning Post,6-year-old battles tears to master table tennis in China,2019-12-12T16:00:18Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

A six-year-old girl in eastern China’s Shandong province has inspired many with her determination to master table tennis. She has become an online star after the training school shared clips of her sessions online. After training for a year, she won in her age group at her first official competition.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",17749059,145316,13800,PT3M15S
15,xVJIkwf2Yz0,News & Politics,25,South China Morning Post,Art students in China ‘prank’ teachers with their realistic drawings,2019-12-06T16:00:17Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

An art school in Beijing in China has attracted millions of followers online for sharing videos of its students “pranking” teachers with their realistic drawings.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",17358168,271966,6180,PT3M13S
16,F8_ME4VwTiw,News & Politics,25,Wall Street Journal,Ergonomics Expert Explains How to Set Up Your Desk | WSJ Pro Tip,2019-06-18T17:20:35Z,"Our desks weren't made for us. They were made for everyone. Simple fixes like adjusting your chair to match your height and adjusting your monitor to an arm's distance can make a huge impact. What are some other adjustments to optimize your workspace?

Ergonomics expert Jon Cinkay from the Hospital for Special Surgery is here to show you how to make your desk and office chair adapt to you and not the other way around.

Photo: Adam Falk/The Wall Street Journal

0:00 Meet Jon Cinkay, a body mechanics coordinator
0:31 Adjust your chair
1:04 Adjust your monitor
1:50 Mind your mouse, keyboard and phone
2:28 Move and stretch

#Ergonomics #Desk #WSJ",15124153,416116,6712,PT3M23S
17,D0OW3qRbWYA,News & Politics,25,TODAY,Video shows Chinese fighter jet flying in front of US military plane,2023-06-05T19:15:00Z,"The Pentagon is reacting after it says a Chinese fighter jet made an aggressive maneuver around a U.S. military plane. This comes as China declined a high-profile meeting with American counterparts. Janis Frayer reports for TODAY.

» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY
» Watch the latest from TODAY: http://bit.ly/LatestTODAY

About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.  

Connect with TODAY Online!
Visit TODAY's Website: http://on.today.com/ReadTODAY
Find TODAY on Facebook: http://on.today.com/LikeTODAY
Follow TODAY on Twitter: http://on.today.com/FollowTODAY
Follow TODAY on Instagram: http://on.today.com/InstaTODAY",14553436,343685,17300,PT32S
18,TLdJMOA8x7Q,News & Politics,25,South China Morning Post,‘Fake socialite’ lives 21 days for free in Beijing as social experiment,2021-12-10T08:30:33Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

An art student from the Central Academy of Fine Arts in Beijing did an experiment for her graduation project - to attempt to live 21 days for free in Beijing. She disguised herself as a socialite and slept in the halls of extravagant hotels, tried on jade bracelets at auctions, and enjoyed free food and drinks. Her 21-day project caused a sensation online, triggering heated discussion about class, privilege, and wealth inequality.

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/

#scmp #China",14144651,181943,9251,PT7M8S
19,r6z_ia0L7Wc,News & Politics,25,South China Morning Post,Chinese online star Li Ziqi provides an escape from urban life,2019-12-23T10:44:46Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

Chinese online star Li Ziqi has become one of the most famous internet celebrities in the country by sharing videos of her rural life. She picks ingredients from her farm, constructs furniture by hand and cooks a vast spread, providing a respite from busy urban living for her tens of millions of fans worldwide.

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",13996438,246769,20091,PT6M9S
20,oBA4E66fERQ,News & Politics,25,South China Morning Post,‘Till We Meet Again’: video of doomed Indonesian submarine crew’s farewell song shared online,2021-04-28T10:02:08Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

“I'm not ready to live without you” are part of the lyrics of a popular Indonesian song that has become a submarine crew’s final farewell before their vessel sank off the coast of Bali. Poignant footage showing the submarine crew singing the song Sampai Jumpa or “Till We Meet Again” on board their vessel before leaving for duty has been widely shared online. Officials confirmed that all 53 crew members of the KRI Nanggala 402 died following the tragedy on April 21, 2021. The video was filmed and released by the Indonesian navy in March, but has gone viral in the wake of the tragedy. 
 

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",13952507,283752,20891,PT2M32S
21,Pvp1GQhvIG8,News & Politics,25,South China Morning Post,Disabled son in China takes care of paralysed father,2022-01-14T09:00:20Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

Despite his limited physical abilities, Zhang Xiaodong can take care of his father, who had a stroke several years ago. The 36-year-old was diagnosed with ankylosing spondylitis in 2008. Since then, he has only been able to move his arms and hands. He recently started sharing videos of their daily life on social media platforms to earn money for joint surgery which may help him walk again.

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/

#scmp #China",13459973,88232,5843,PT4M31S
22,IhVq9X-Y9hY,News & Politics,25,South China Morning Post,Speedy student cameraman keeps pace with sprinters in college dash in China,2021-06-08T06:49:14Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

A college student at Datong University in northern China’s Shanxi province won applause online for keeping pace with all of the competitors during a 100-metre sprint.

Support us:
https://subscribe.scmp.com

Follow us on:
Website:  https://www.scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/

#scmp #China",13392789,208686,12178,PT50S
23,KGoKsv2omBU,News & Politics,25,South China Morning Post,Japan’s transparent restrooms hope to dispel stereotypes of dirty public toilets,2020-08-17T12:26:24Z,"Subscribe to our YouTube channel for free here: 
https://sc.mp/subscribe-youtube

Transparent restrooms, which turn opaque once the door is locked, have gone into operation at two parks in Tokyo, Japan. They are part of a project launched by a non-profit organisation and local government to renovate 17 public washrooms in Shibuya. The programme aims to dispel Japanese stereotypes that public toilets are dirty, smelly and scary.
 

Follow us on:
Website:  https://scmp.com
Facebook:  https://facebook.com/scmp
Twitter:  https://twitter.com/scmpnews
Instagram:  https://instagram.com/scmpnews
Linkedin:  https://www.linkedin.com/company/south-china-morning-post/",10065129,133777,10677,PT1M23S
