,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,Be2jA2NUAq0,Nonprofits & Activism,29,Laerdal Global Health,MamaBirthie - Shoulder Dystocia,2017-05-15T13:41:18Z,"A video showing how to run a simulation scenario of shoulder dystocia using MamaBirthie Birthing simulator from Laerdal Global Health. For more information, visit https://laerdalglobalhealth.com/products/mamabirthie/",58762688,,,PT3M46S
1,36m1o-tM05g,Nonprofits & Activism,29,TEDx Talks,My philosophy for a happy life | Sam Berns | TEDxMidAtlantic,2013-12-13T19:20:05Z,"Never miss a talk! SUBSCRIBE to the TEDx channel: http://bit.ly/1FAg8hB

Just before his passing on January 10, 2014, Sam Berns was a Junior at Foxboro High School in Foxboro, Massachusetts, where he achieved highest honors and was a percussion section leader in the high school marching band. He also achieved the rank of Eagle Scout in the Boy Scouts of America. Sam was diagnosed with Progeria, a rare, rapid aging disease, at the age of 2. He is featured in the Emmy award-winning documentary Life According to Sam, which premiered on HBO on October 21, 2013, 2 days before his 17th birthday.

In the spirit of ideas worth spreading, TEDx is a program of local, self-organized events that bring people together to share a TED-like experience. At a TEDx event, TEDTalks video and live speakers combine to spark deep discussion and connection in a small group. These local, self-organized events are branded TEDx, where x = independently organized TED event. The TED Conference provides general guidance for the TEDx program, but individual TEDx events are self-organized.* (*Subject to certain rules and regulations)",51920243,1082985,50758,PT12M45S
2,QHB4jfB1PuU,Nonprofits & Activism,29,Scientology,What is Scientology? David Miscavige welcomes viewers to Scientology Network,2022-10-10T17:13:30Z,"Mr. David Miscavige, ecclesiastical leader of the Scientology religion, welcomes viewers to Scientology Network, “You’ve probably heard of Scientology. Well, whatever you have heard,  if you haven’t heard it from us, I can assure you, we are not what you expect. So, take a look and then decide for yourself.” Go to: https://www.scientology.tv",50709867,,437,PT1M1S
3,7TXEZ4tP06c,Nonprofits & Activism,29,TEDx Talks,Why people believe they can’t draw - and how to prove they can | Graham Shaw | TEDxHull,2015-04-01T14:46:14Z,"Why is it that so many people think they can’t draw? Where did we learn to believe that? Graham Shaw will shatter this illusion – quite literally - in a very practical way. He’ll demonstrate how the simple act of drawing has the power to make a positive difference in the world.

Graham specialises in the art of communication and has helped thousands of people to make important presentations. He is perhaps best known for his use of fast cartoon drawings to communicate ideas and is the author of ‘The Art of Business Communication’.

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",38818752,865086,25611,PT15M4S
4,LNHBMFCzznE,Nonprofits & Activism,29,TEDx Talks,"After watching this, your brain will not be the same | Lara Boyd | TEDxVancouver",2015-12-15T17:25:30Z,"In a classic research-based TEDx Talk, Dr. Lara Boyd describes how neuroplasticity gives you the power to shape the brain you want. Recorded at TEDxVancouver at Rogers Arena on November 14, 2015.

YouTube Tags: brain science, brain, stroke, neuroplasticity, science, motor learning, identity, TED, TEDxVancouver, TEDxVancouver 2015, Vancouver, TEDx, Rogers Arena, Vancouver speakers, Vancouver conference, ideas worth spreading, great idea,

Our knowledge of the brain is evolving at a breathtaking pace, and Dr. Lara Boyd is positioned at the cutting edge of these discoveries. In 2006, she was recruited by the University of British Columbia to become the Canada Research Chair in Neurobiology and Motor Learning. Since that time she has established the Brain Behaviour Lab, recruited and trained over 40 graduate students, published more than 80 papers and been awarded over $5 million in funding. 

Dr. Boyd’s efforts are leading to the development of novel, and more effective, therapeutics for individuals with brain damage, but they are also shedding light on broader applications. By learning new concepts, taking advantage of opportunities, and participating in new activities, you are physically changing who you are, and opening up a world of endless possibility. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",38602095,463590,11600,PT14M24S
5,LVgzOyHVcj4,Nonprofits & Activism,29,TEDx Talks,"No Sex Marriage – Masturbation, Loneliness, Cheating and Shame | Maureen McGrath | TEDxStanleyPark",2016-07-06T17:43:06Z,"Love? Marriage? Sex? Can a married couple have all three? Perhaps it’s unrealistic since so many marriages end in divorce today. Why is that? One reason might be that a reported 20% of all marriages are sexless and that number is rising. Why have we lost the lust in our marriages? Is it technology, is it trust? More importantly, how can we “get back at it” in our marriages today?

Maureen McGrath - nursetalk@hotmail.com - hosts the Sunday Night Sex Show on News Talk 980 CKNW. She is a Registered Nurse, Sex Educator and author of “Sex & Health"".

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",32682732,252534,21969,PT21M52S
6,vn-uyCShY9g,Nonprofits & Activism,29,Church of Jesus Christ | Come Unto Christ ,Study with the Missionaries,2020-11-20T16:01:33Z,"Take a look at what happens when you request an online or in-person visit with missionaries from The Church of Jesus Christ of Latter-day Saints. Click here to study with missionaries in your area: https://bit.ly/3DkcKd0 

Whether you want to grow your faith in God, learn how to pray, or find answers to your questions about the Book of Mormon, missionaries are here to help! They volunteer their time every day to help people all over the world experience more joy, hope, and peace by drawing closer to Jesus Christ. 

Why not see what missionaries can do for you? Get started by requesting a visit here: https://bit.ly/3DkcKd0   

Follow us on social media:  
Facebook: https://www.facebook.com/ComeUntoChrist  
Instagram: https://www.instagram.com/ComeUntoChrist  
Twitter: https://twitter.com/ComeUntoChrist  
Website: https://www.ComeUntoChrist.org 

Transcript: 
Have you ever wondered what would happen if you actually sat down with missionaries from The Church of Jesus Christ of Latter-day Saints? 
Well, the answer depends on you. What do you want to talk about? 
Maybe you want a closer relationship with God, or maybe you’re really interested in the teachings of Jesus Christ. 
Or maybe you’re just curious about our beliefs. 
Whatever the reason, here’s what to expect. 
After you make a request online, two missionaries will reach out with a text, an email, or a phone call.
About us: We’re unpaid volunteers who come from all over the world. 
We take up to two years out of our lives to serve people and share the message of Jesus Christ. 
They’ll contact you to set up a visit that fits your schedule. 
Usually, it’s between 15 minutes and half an hour. 
It can be online, in your home, at church, or even in a public place. 
Then, the visit usually goes something like this:  
If you’re OK with it, we would usually start with a prayer. 
Then if you requested an item, we’ll give it to you, then share a quick message. 
If you told us beforehand you want to discuss a specific topic, we’ll come prepared to discuss it. 
And if you want to discuss something different, that’s completely fine. It’s your call. 
When we’re finished, we’ll ask you if you’d like another visit. 
If you say yes, great, we’ll set something up. If not, we’ll be on our way. 
And, that’s about it. Of course, every visit is different, but those are the basics. 
So, at a minimum, you have a nice conversation about God.  
But lots of people end up getting more out of it. You may be one of them. 
Only one way to find out!",26846495,3866,709,PT1M35S
7,F4Zu5ZZAG7I,Nonprofits & Activism,29,TEDx Talks,7 Ways to Make a Conversation With Anyone | Malavika Varadan | TEDxBITSPilaniDubai,2016-01-11T17:33:05Z,"“We mustn’t speak to strangers.” Malavika Varadan, challenges this societal norm, by presenting 7 ways to make conversation with anyone.

RJ extraordinaire, Malavika Varadan, creates waves quite literally with her morning show, Breakfast No.1 on City 101.6. An avid fitness enthusiast, positivity ninja and drama queen, she has chiseled a benchmark in the radio industry. At TEDxBITSPilaniDubai she will choose to redefine connections.

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",23836211,552522,14924,PT15M23S
8,Y2cF5T-EJ9Y,Nonprofits & Activism,29,Propane: Energy for Everyone,The Future Is Now With Propane,2022-06-24T16:05:16Z,What if there was a better direction on the path to zero carbon emissions? There is. And it’s propane—the energy for everyone.,19429983,19,23,PT31S
9,LnJwH_PZXnM,Nonprofits & Activism,29,TEDx Talks,How not to take things personally? | Frederik Imbo | TEDxMechelen,2020-03-04T18:41:31Z,"Frederik Imbo studied theatre at the Royal Conservatory of Ghent and has acted in lots of television series. He founded Imboorling and now has over 15 years' experience in stimulating and supporting people. With the aim of improving their communication skills Frederik gives presentations, workshops, training courses and personal coaching sessions to anyone prepared to make their two ears available. 

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",16259124,536810,24764,PT17M37S
