,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,VOAV5T6pcwg,People & Blogs,22,Delicious Food,Making pickled eggs,2023-05-01T15:35:51Z,,98253312,700226,1049,PT15S
1,jXm0y-csiuE,People & Blogs,22,emi wong,"10 MIN EXERCISE & STRETCH FOR SHOULDERS, NECK & THE COLLARBONE AREA ~ Emi",2020-04-05T12:07:57Z,"SUBSCRIBE & TURN ON NOTIFICATIONS FOR NEW VIDEOS! thank you for your support (:

MY WEBSITE: https://www.emiwong.life/
► all my workout programs: https://www.emiwong.life/programs
► more videos to watch: https://www.emiwong.life/other-videos

FOR EARLY ACCESS TO MY VIDEOS
► join the #femily membership: http://bit.ly/femilymembers

LET'S BE FRIENDS!
► my instagram: https://www.instagram.com/emiwong_/
► my facebook: https://www.facebook.com/EmiWongg/
► my dogs' instagram: https://www.instagram.com/ballb.udon.almond/

WORK CONTACT: emi.stayfitandtravel@gmail.com",86518456,1780644,23925,PT10M30S
2,uZm4_8VU1Dw,People & Blogs,22,也是Emma 呀🌸,小朋友給消防員送粽子結果意外跑偏，藍朋友：我很丑？那我走？,2022-06-05T11:19:34Z,,72064520,1355540,4249,PT14S
3,rOqMLm05gPI,People & Blogs,22,Delicious Food,Sesame seed bun,2023-05-23T14:40:47Z,,68669850,416069,305,PT15S
4,W4eKVKwf3rQ,People & Blogs,22,emi wong,"30 min Full Body Fat Burn HIIT (NO JUMPING) - Ab, Core, Arm, Back, Leg, Thigh & Cardio ~ Emi",2019-10-09T12:44:04Z,"SUBSCRIBE & TURN ON NOTIFICATIONS FOR NEW VIDEOS! thank you for your support (:

MY WEBSITE: https://www.emiwong.life/
► all my workout programs: https://www.emiwong.life/programs
► more videos to watch: https://www.emiwong.life/other-videos

FOR EARLY ACCESS TO MY VIDEOS
► join the #femily membership: http://bit.ly/femilymembers

LET'S BE FRIENDS!
► my instagram: https://www.instagram.com/emiwong_/
► my facebook: https://www.facebook.com/EmiWongg/
► my dogs' instagram: https://www.instagram.com/ballb.udon.almond/

WORK CONTACT: emi.stayfitandtravel@gmail.com",44981623,693472,14686,PT30M55S
5,Jg61m0DwURs,People & Blogs,22,emi wong,SLIM LEGS IN 20 DAYS! 10 min No Jumping Quiet Home Workout ~ Emi,2019-08-26T11:51:01Z,"SUBSCRIBE & TURN ON NOTIFICATIONS FOR NEW VIDEOS! thank you for your support (:

MY WEBSITE: https://www.emiwong.life/
► all my workout programs: https://www.emiwong.life/programs
► more videos to watch: https://www.emiwong.life/other-videos

FOR EARLY ACCESS TO MY VIDEOS
► join the #femily membership: http://bit.ly/femilymembers

LET'S BE FRIENDS!
► my instagram: https://www.instagram.com/emiwong_/
► my facebook: https://www.facebook.com/EmiWongg/
► my dogs' instagram: https://www.instagram.com/ballb.udon.almond/

WORK CONTACT: emi.stayfitandtravel@gmail.com

♡INTRO SONG: Aarre - When We Were Young (ft. Reece Lemonius)",37860102,853818,25591,PT11M35S
6,w8KwvHyajnk,People & Blogs,22,Cartoon Network Asia,We Bare Bears | ที่ดีที่สุดของ Panda 🐼 | Cartoon Network,2018-10-06T09:00:10Z,"รวบรวมเรื่องราวของเจ้าแพนด้า เจ้าหมีจอมติดโทรศัพท์และแสนจะน่ารัก แม้แต่ตอนจามจนโด่งดังเป็นที่รู้จัก รวมถึงความโรแมนติกในการพบเจอความรักของเขา ไปชมความป่วนที่แสนจะน่ารักของเจ้าแพนด้ากันได้เลยที่ We Bare Bears ที่ดีที่สุดของ Panda


อย่าลืมกดติดตาม We Bare Bears Thailand 
จะได้ไม่พลาดความสนุกใหม่ๆจากสามหมีนะคะ",36370149,174596,,PT16M30S
7,Z90xpWvuUPs,People & Blogs,22,emi wong,"BEST PLANK WORKOUT FOR SMALLER WAIST, FLAT ABS & FULL BODY FAT BURN! 10 Variations",2018-09-19T12:58:16Z,"Go to https://www.squarespace.com/emiwong to get a free trial and 10% off your first purchase

SUBSCRIBE & TURN ON NOTIFICATIONS FOR NEW VIDEOS! thank you for your support (:

MY WEBSITE: https://www.emiwong.life/
► all my workout programs: https://www.emiwong.life/programs
► more videos to watch: https://www.emiwong.life/other-videos

FOR EARLY ACCESS TO MY VIDEOS
► join the #femily membership: http://bit.ly/femilymembers

LET'S BE FRIENDS!
► my instagram: https://www.instagram.com/emiwong_/
► my facebook: https://www.facebook.com/EmiWongg/
► my dogs' instagram: https://www.instagram.com/ballb.udon.almond/

WORK CONTACT: emi.stayfitandtravel@gmail.com",31169809,371356,8038,PT13M28S
8,lI5g2V1wnEA,People & Blogs,22,Damas Jewellery,"Damas Jewellery - 100 years of history, innovation and design",2022-04-09T09:35:36Z,"Our story began over 100 years ago; we have since become the leading and most recognized jewellers in the Middle East. Our name is synonymous with the ever-sought-after and unparalleled luxurious Arabian aesthetic. Invention, craftsmanship and design integrity remain at the heart of what we do by bringing you iconic designs that hold meaning and are inspired by the region’s rich heritage and culture. Staying true to our legacy and a jewellery house from the region and to the region. 
 بدأت قصتنا منذ 100 عام... وأكملنا الحكاية بعدها لنصبح دار المجوهرات الرائدة في الشرق الأوسط، والمعروفة في كل بقعة منه. بات اسمنا مرادفاً للإتقان، والاهتمام بالتفاصيل، والتصاميم التي تزخر بالجمال الذي يحاكي الفن العربي وإرثه الغني لنكون الأكثر طلباً والأروع تصميماً. قمة الابتكار، الحرفية العالية، وأرقى مستويات التصميم... هذا ما يجسد هدفنا في كل ما نصنع ونُبدع لنأتيكِ بتحف فنية بديعة محمّلة بالمعاني الراقية ومستوحاة من ثقافة المنطقة وتراثها الغني. الإخلاص لتراثنا والسعي إلى التجديد الدائم لنجمع في تصاميمنا سحر الأمس وألق العصر هو ما يجعلنا دار المجوهرات التي تستوحي من المنطقة قطعاً فنية تليق بالمنطقة. #رمضان_مع_داماس #بيت_تصميم_المجوهرات #مجوهرات_رمضان 

#RamadanWithDamas #HouseOfJewelleryDesign #RamadanUnites #DamasJewellery",26920081,950,0,PT47S
9,AIu3Rqp5G8k,People & Blogs,22,Cartoon Network Asia,We Bare Bears | รวมเหตุการณ์เพี้ยน ๆ | Cartoon Network,2018-10-24T01:00:00Z,"ในแต่ละวันของสามหมีเต็มไปด้วยความสนุกสนานแสนป่วน วันนี้เราได้รวบรวมเหตุการณ์สนุกๆแสนเพี้ยนของก๊วนสามหมีและผองเพื่อนไว้ที่นี่แล้ว ไปชมกันได้เลยที่ We Bare Bears รวมเหตุการณ์เพี้ยน ๆ

อย่าลืมกดติดตาม We Bare Bears Thailand 
จะได้ไม่พลาดความสนุกใหม่ๆจากสามหมีนะคะ",26760510,131139,,PT13M37S
