,Video Id,Category,CategoryId,channelTitle,title,publishedAt,description,viewCount,likeCount,commentCount,duration
0,f2mdMcf-fJs,Science & Technology,28,MihaiDesigns,Who says one nozzle is enough!? 3D printing with different nozzle sizes,2021-06-04T12:54:58Z,"Most people only 3D print with the stock 0.4mm nozzle that came with the printer. Like a camera that comes with a stock lens, there's a lot you can do with it, but there are other options that open up new possibilities.

Use smaller nozzles for tiny details and larger ones for quicker printing. Trouble is that plastic doesn't have enough time to melt, so the larger nozzles will have to be longer as well, with longer heating blocks.

New hotends are coming out every day with improved melting capabilities, optimized for higher temperatures, or with other cool tweaks. But E3D's open sourced V6 hotend is still one of the best in terms of value. They've then expanded the options to the Volcano and the SuperVolcano hotends for more and more throughput.

Larger nozzles do have a downside: they can't print small details. So it's not a one size fits all kind of scenario. It's a matter of using the right nozzle for the job. 3D printing is awesome!

3D Benchy STL (boat model) at http://www.3dbenchy.com/


Patreon https://www.patreon.com/mihaidesigns
Buy me a coffee http://mihaid.com/coffee
Instagram: https://www.instagram.com/mihaidesigns/​
https://mihaidesigns.com

#mihaidesigns #shorts",454721991,8460799,9985,PT28S
1,ajxAMtugTOY,Science & Technology,28,reXpair,Open Fork design Emergency tire puncture repair kit,2022-06-29T16:30:01Z,Link reXpair.com,305784364,3764552,5236,PT1M
2,Yh9Poe3dvu0,Science & Technology,28,reXpair,DIY tire puncture repair 👨‍🔧 🚘,2021-11-23T14:46:36Z,Toolkit order link-reXpair.com,202897436,3765014,3655,PT56S
3,_CKhQnjBtGM,Science & Technology,28,ToolsToday,Carving Logo and Filling With Epoxy,2021-01-15T15:28:51Z,"Carving the Toolstoday logo using the Amana Tool item no. 45624-K 60° Spektra™ coated v-bit from the Toolstoday Website! **What do you think of how this logo turned out?
- - - - - - -
RPM: 18,000
Feed Rate: 40ipm
Plunge Rate: 20ipm
Depth of Cut: .21""
- - - - - - -
This bit left a very clean cut that was filled with Total Boat 2:1 epoxy and some pure white Black Diamond Pigment. Find the epoxy here - https://www.totalboat.com/product/high-performance-21-epoxy-kits After the epoxy cured I flattened it off with the item no. RC-2255 2.5"" Diameter 3 wing insert carbide flattening bit available from Toolstoday.
- - - - - - -
RPM: 18,000
Feed Rate: 190ipm
Plunge Rate: 80ipm
- - - - - - -
I used a couple of pieces of blue painters tape to offset the touch off probe so it didn't potentially hit any new wood. Flattening this saves a lot of sanding as the epoxy is not easy to remove. After flattening 20 seconds of sanding with 220 grit and this tray is ready for finish! #short",195370752,3502734,5193,PT52S
4,XBl3fmPtbTs,Science & Technology,28,reXpair,$2 tire puncture repair,2022-07-26T16:00:17Z,"Usually how much you need pay for your tire puncture repair? 
Have you tried to wait 2-4hours for road assistant?
A puncture ruined your travel?

Take reXpair toolkit in vehicles, worry no more tire troubles.  

reXpair.com to check more toolkit details.",179276121,5108958,3504,PT1M
5,ta_tTZrarE0,Science & Technology,28,eAlimvideo,Asma-ul-Husna (99 Names of Allah),2011-02-22T09:14:42Z,"eAlim Technology Limited (www.eAlimTech.com) a Hong Kong based company; manufacturer of Digital Islamic Gadgets and Products like Digital Quran, Islamic iPads & eBook Readers, Islamic Android Tablets & MIDS, Quran Pen, Islamic TV Box with unique features such as GPS, FM Transmitter, Tafseer, Ahdeeth and other Islamic books, Software for Nokia Phones and much more; and are also actively involved in making Android based Islamic Software for Android world.",97897284,919576,75499,PT3M32S
6,QwWBFcaKdjc,Science & Technology,28,World's factory,Oil barrels processed into iron sheets #metalsheets #recycle  #process #automation,2023-04-18T06:42:31Z,The factory uses machines to turn discarded oil drums into iron sheets that could be used to make roofs,87380630,,1123,PT24S
7,zUaMtSMZDgg,Science & Technology,28,Namecheap,See Spike launch his online business with Namecheap,2019-05-21T19:31:57Z,"Be like Spike! Launch your professional website in minutes with Namecheap. Domains, hosting, security and more! Sign up today at https://www.namecheap.com/",81301950,2568,39,PT31S
8,I4lksXaU1qk,Science & Technology,28,Tommy Technetium,Liquid oxygen is magnetic! 🧲,2022-05-21T19:09:29Z,The magnetic properties of liquid nitrogen and liquid oxygen are compared,66595326,1877952,7373,PT33S
9,VISxvLoaCQE,Science & Technology,28,Guyisa work shoes,Safety shoe quality testing.0266-5.#safetyshoes #workshoes #shoes#workboots,2023-02-23T02:18:02Z,"Professional safety shoes to do the test, do not imitate! Anti-smashing and anti-piercing safety shoes with steel toe GUYISA safety shoes with steel toe https://guyisa.com 
WhatsApp：+86 13070796490 
Facebook :+86 13070796490",64871808,869378,4172,PT16S
10,LM_29yJXVkc,Science & Technology,28,World's factory,tire factory workers #stevedore #Transportation,2023-05-04T12:56:13Z,The workers packed the tires together so that they could be loaded more when they were transported.,63283816,487724,2833,PT12S
11,ZVl-Lm_XaTI,Science & Technology,28,World's factory,Volkswagen original tire production process #volkswagen #chinafactory #tire,2023-05-24T11:37:04Z,Volkswagen's Chinese factory is assembling tires for cars,43566348,827647,4080,PT47S
12,KxZOemmTXrw,Science & Technology,28,reXpair,A tubeless tire puncture repair,2022-10-25T16:00:14Z,"reXpair brings chemical repair way to plug DIY repair. More than a plug, chemical sealing realizes permanently bonding into tire. 

Link reXpair.com   Further doubts, welcome to leave messages from website.",40564481,381140,559,PT16S
13,TD_BZN0bn_U,Science & Technology,28,Samsung,Samsung Galaxy Unpacked January 2021: Official Replay,2021-01-14T17:27:21Z,"It’s the moment we’ve all been waiting for. #SamsungUnpacked was LIVE on January 14, 2021.

00:00       Opening: TM Roh
04:31       Galaxy Buds Pro
14:52       Galaxy SmartTag/SmartTag+ 
18:30       INTERLUDE: TM ROH 
20:11       Galaxy S21/Galaxy S21+ 
34:48       One UI 3 
39:17       Galaxy S21 Ultra  
58:44       Galaxy Experience 
01:03:00  SmartThings/Connected Cars/Digital Keys 
01:09:23  INTERLUDE: TM ROH
01:10:17  GUEST PRESENTER: Google 
01:13:11  CLOSING SPEECH: TM ROH

Learn more: http://www.samsung.com

To view the YouTube streams on a desktop or laptop computer you'll need:
• Most recent version of Google Chrome, Firefox, MS Edge or Safari
• Operating system: Windows 7+, Mac OS X 10.7+ or Ubuntu 10+",35193662,,,PT1H17M24S
